日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-09-01,999.03,984.48,1013.58,974.78,28800.0,29598105.98,3.88,-1.55,-15.52,0.0,BK0577,concept,核能核电
2010-09-10,985.99,986.49,996.59,970.1,2187511.0,2686050770.14,2.69,0.2,2.01,0.06,BK0577,concept,核能核电
2010-09-13,988.39,997.42,1004.59,984.08,2246832.0,2877633706.44,2.08,1.11,10.93,0.06,BK0577,concept,核能核电
2010-09-14,999.02,1025.24,1053.35,990.51,2767516.0,3581790465.07,6.3,2.79,27.82,0.07,BK0577,concept,核能核电
2010-09-15,1020.29,998.68,1024.49,993.83,2135139.0,2754128458.32,2.99,-2.59,-26.56,0.05,BK0577,concept,核能核电
2010-09-16,998.48,992.96,1016.51,978.6,2175478.0,2776425465.34,3.8,-0.57,-5.72,0.06,BK0577,concept,核能核电
2010-09-17,999.32,991.97,1006.75,986.82,1419561.0,1851346500.69,2.01,-0.1,-0.99,0.04,BK0577,concept,核能核电
2010-09-20,992.82,971.48,998.43,967.59,1121148.0,1426984604.28,3.11,-2.07,-20.49,0.03,BK0577,concept,核能核电
2010-09-21,975.45,970.7,984.88,963.71,958157.0,1227688395.55,2.18,-0.08,-0.78,0.02,BK0577,concept,核能核电
2010-09-27,973.36,992.82,1001.06,967.23,1481999.0,1959431193.98,3.49,2.28,22.12,0.04,BK0577,concept,核能核电
2010-09-28,989.81,976.06,994.57,969.69,1474979.0,1936259897.95,2.51,-1.69,-16.76,0.04,BK0577,concept,核能核电
2010-09-29,978.73,978.92,994.93,964.5,1232117.0,1602990193.96,3.12,0.29,2.86,0.03,BK0577,concept,核能核电
2010-09-30,972.84,983.08,989.98,967.38,1196138.0,1500524351.94,2.31,0.42,4.16,0.03,BK0577,concept,核能核电
2010-10-08,988.21,1003.44,1013.84,984.74,2007121.0,2554659334.25,2.96,2.07,20.36,0.05,BK0577,concept,核能核电
2010-10-11,1022.4,1040.19,1050.24,1013.12,3653661.0,4228215598.38,3.7,3.66,36.75,0.09,BK0577,concept,核能核电
2010-10-12,1036.11,1052.54,1067.02,1020.41,3022730.0,3375780543.65,4.48,1.19,12.35,0.08,BK0577,concept,核能核电
2010-10-13,1051.37,1054.48,1071.64,1031.5,3658872.0,4838098605.38,3.81,0.18,1.94,0.09,BK0577,concept,核能核电
2010-10-14,1062.08,1055.06,1085.47,1036.49,4556198.0,6550162158.67,4.64,0.06,0.58,0.12,BK0577,concept,核能核电
2010-10-15,1053.21,1087.52,1103.86,1046.33,3222810.0,5471221078.33,5.45,3.08,32.46,0.08,BK0577,concept,核能核电
2010-10-18,1103.53,1097.88,1140.44,1082.03,4334576.0,6651327877.46,5.37,0.95,10.36,0.11,BK0577,concept,核能核电
2010-10-19,1095.97,1107.22,1112.4,1072.19,2649266.0,3429892555.64,3.66,0.85,9.34,0.07,BK0577,concept,核能核电
2010-10-20,1087.2,1088.72,1109.55,1065.43,2555146.0,3490414535.42,3.98,-1.67,-18.5,0.07,BK0577,concept,核能核电
2010-10-21,1096.15,1092.08,1111.4,1077.16,2540706.0,3288469209.77,3.14,0.31,3.36,0.06,BK0577,concept,核能核电
2010-10-22,1089.64,1081.57,1099.44,1071.82,2464677.0,3881591979.5,2.53,-0.96,-10.51,0.06,BK0577,concept,核能核电
2010-10-25,1087.28,1098.08,1105.96,1073.15,3117781.0,4561310372.38,3.03,1.53,16.51,0.08,BK0577,concept,核能核电
2010-10-26,1100.22,1097.53,1115.59,1082.38,3298084.0,5334011535.7,3.02,-0.05,-0.55,0.08,BK0577,concept,核能核电
2010-10-27,1096.59,1095.09,1116.27,1084.04,3084785.0,4393835578.38,2.94,-0.22,-2.44,0.08,BK0577,concept,核能核电
2010-10-28,1097.35,1093.02,1113.3,1076.65,2328240.0,3412584187.83,3.35,-0.19,-2.07,0.06,BK0577,concept,核能核电
2010-10-29,1093.34,1089.09,1104.23,1073.76,2910896.0,3979251998.23,2.79,-0.36,-3.93,0.07,BK0577,concept,核能核电
2010-11-01,1091.36,1110.76,1120.28,1083.69,3847943.0,5953509455.15,3.36,1.99,21.67,0.1,BK0577,concept,核能核电
2010-11-02,1121.76,1117.82,1147.64,1106.89,4804781.0,7981558320.04,3.67,0.64,7.06,0.12,BK0577,concept,核能核电
2010-11-03,1117.87,1096.23,1130.8,1088.22,3380671.0,5937165106.65,3.81,-1.93,-21.59,0.09,BK0577,concept,核能核电
2010-11-04,1097.98,1105.86,1111.91,1088.06,2745043.0,4716977407.26,2.18,0.88,9.63,0.07,BK0577,concept,核能核电
2010-11-05,1110.0,1118.31,1126.08,1097.88,3223311.0,5007100591.02,2.55,1.13,12.45,0.08,BK0577,concept,核能核电
2010-11-08,1118.82,1131.64,1137.42,1110.17,3173304.0,4528506508.71,2.44,1.19,13.33,0.08,BK0577,concept,核能核电
2010-11-09,1133.88,1128.33,1144.71,1111.86,4093893.0,5317766208.59,2.9,-0.29,-3.31,0.1,BK0577,concept,核能核电
2010-11-10,1122.79,1115.03,1130.83,1103.2,3069416.0,4099301952.93,2.45,-1.18,-13.3,0.08,BK0577,concept,核能核电
2010-11-11,1113.4,1127.35,1153.67,1108.51,3928575.0,5429310100.52,4.05,1.1,12.32,0.1,BK0577,concept,核能核电
2010-11-12,1123.49,1055.6,1135.0,1038.26,4971934.0,6514107175.03,8.58,-6.36,-71.75,0.13,BK0577,concept,核能核电
2010-11-15,1057.47,1067.8,1076.95,1039.56,3347681.0,4023529020.58,3.54,1.16,12.2,0.09,BK0577,concept,核能核电
2010-11-16,1067.94,1029.83,1074.52,1018.33,3086166.0,3836907308.91,5.26,-3.56,-37.97,0.08,BK0577,concept,核能核电
2010-11-17,1020.11,1011.46,1038.93,1001.33,2241257.0,2903768759.23,3.65,-1.78,-18.37,0.06,BK0577,concept,核能核电
2010-11-18,1019.69,1014.2,1026.8,999.31,1604701.0,2102439230.51,2.72,0.27,2.74,0.04,BK0577,concept,核能核电
2010-11-19,1017.71,1024.9,1029.12,995.68,2153773.0,2813118044.04,3.3,1.06,10.7,0.05,BK0577,concept,核能核电
2010-11-22,1014.5,1025.18,1035.4,1010.15,2163230.0,3310198870.58,2.46,0.03,0.28,0.06,BK0577,concept,核能核电
2010-11-23,1021.98,1002.55,1026.21,986.25,2024873.0,2795355052.85,3.9,-2.21,-22.63,0.05,BK0577,concept,核能核电
2010-11-24,995.63,1025.77,1030.9,990.42,1882209.0,2597241247.98,4.04,2.32,23.22,0.05,BK0577,concept,核能核电
2010-11-25,1028.42,1034.8,1042.16,1019.8,1980325.0,2863961305.55,2.18,0.88,9.03,0.05,BK0577,concept,核能核电
2010-11-26,1033.65,1022.29,1038.21,1014.05,1658637.0,2168401598.46,2.33,-1.21,-12.51,0.04,BK0577,concept,核能核电
2010-11-29,1021.41,1024.28,1031.82,1010.27,1547668.0,2404976388.45,2.11,0.19,1.99,0.04,BK0577,concept,核能核电
2010-11-30,1024.34,999.13,1031.18,980.96,2137533.0,3030042520.41,4.9,-2.46,-25.15,0.05,BK0577,concept,核能核电
2010-12-01,1007.62,1017.51,1027.31,999.09,1472575.0,2094281722.78,2.82,1.84,18.38,0.04,BK0577,concept,核能核电
2010-12-02,1023.34,1018.87,1032.34,1009.58,1652281.0,2428564207.36,2.24,0.13,1.36,0.04,BK0577,concept,核能核电
2010-12-03,1020.61,1006.73,1024.52,997.14,1111596.0,1666730846.64,2.69,-1.19,-12.14,0.03,BK0577,concept,核能核电
2010-12-06,1007.37,995.65,1012.93,987.7,1190119.0,1693345396.94,2.51,-1.1,-11.08,0.03,BK0577,concept,核能核电
2010-12-07,994.07,998.87,1003.46,976.0,1023327.0,1424041302.1,2.76,0.32,3.22,0.03,BK0577,concept,核能核电
2010-12-08,998.29,992.1,1005.17,988.18,971449.0,1565091773.77,1.7,-0.68,-6.77,0.02,BK0577,concept,核能核电
2010-12-09,989.5,984.33,1002.62,978.8,1150030.0,1714142696.77,2.4,-0.78,-7.77,0.03,BK0577,concept,核能核电
2010-12-10,981.77,993.69,1000.22,979.04,924184.0,1271156321.17,2.15,0.95,9.36,0.02,BK0577,concept,核能核电
2010-12-13,993.86,1018.18,1020.09,991.6,1765283.0,2844712128.19,2.87,2.46,24.49,0.05,BK0577,concept,核能核电
2010-12-14,1019.68,1021.6,1027.25,1009.56,1772692.0,3031685287.24,1.74,0.34,3.42,0.05,BK0577,concept,核能核电
2010-12-15,1020.58,1027.11,1048.28,1012.19,1653411.0,2622674365.42,3.53,0.54,5.51,0.04,BK0577,concept,核能核电
2010-12-16,1024.06,1015.64,1026.68,1010.89,1060055.0,1581573123.0,1.54,-1.12,-11.47,0.03,BK0577,concept,核能核电
2010-12-17,1017.52,1013.55,1021.92,1006.11,912621.0,1375840018.44,1.56,-0.21,-2.09,0.02,BK0577,concept,核能核电
2010-12-20,1013.97,999.77,1024.68,982.5,1610571.0,2542356361.65,4.16,-1.36,-13.78,0.04,BK0577,concept,核能核电
2010-12-21,1000.96,1012.63,1015.96,992.39,1300809.0,1799327252.78,2.36,1.29,12.86,0.03,BK0577,concept,核能核电
2010-12-22,1012.65,1003.03,1017.93,999.3,1349962.0,2289654927.77,1.84,-0.95,-9.6,0.03,BK0577,concept,核能核电
2010-12-23,1002.8,990.76,1009.67,987.18,1399826.0,2046366155.98,2.24,-1.22,-12.27,0.04,BK0577,concept,核能核电
2010-12-24,988.41,978.18,994.57,971.9,1260661.0,1721378928.67,2.29,-1.27,-12.58,0.03,BK0577,concept,核能核电
2010-12-27,976.02,952.93,988.56,949.83,1035774.0,1466412667.71,3.96,-2.58,-25.25,0.03,BK0577,concept,核能核电
2010-12-28,950.4,931.03,957.57,927.61,953331.0,1186328072.51,3.14,-2.3,-21.9,0.02,BK0577,concept,核能核电
2010-12-29,931.32,935.61,941.27,921.08,656327.0,827053979.54,2.17,0.49,4.58,0.02,BK0577,concept,核能核电
2010-12-30,935.28,931.95,943.42,922.6,826251.0,1023625595.37,2.23,-0.39,-3.66,0.02,BK0577,concept,核能核电
2010-12-31,932.94,946.6,950.03,925.97,965800.0,1243968310.62,2.58,1.57,14.65,0.02,BK0577,concept,核能核电
2011-01-04,958.0,959.57,967.55,941.78,1257547.0,1810059048.81,2.72,1.37,12.97,0.03,BK0577,concept,核能核电
2011-01-05,955.17,965.27,972.36,948.78,1749895.0,3151981997.3,2.46,0.59,5.7,0.04,BK0577,concept,核能核电
2011-01-06,965.22,964.57,975.24,957.79,1288359.0,2209622702.17,1.81,-0.07,-0.7,0.03,BK0577,concept,核能核电
2011-01-07,963.32,961.83,973.62,954.81,1085449.0,1593162287.07,1.95,-0.28,-2.74,0.03,BK0577,concept,核能核电
2011-01-10,961.47,941.72,967.23,937.87,928097.0,1350717003.79,3.05,-2.09,-20.11,0.02,BK0577,concept,核能核电
2011-01-11,939.49,946.19,950.05,931.52,789712.0,1076754960.31,1.97,0.47,4.47,0.02,BK0577,concept,核能核电
2011-01-12,946.88,948.82,953.58,936.32,647914.0,882922482.08,1.82,0.28,2.63,0.02,BK0577,concept,核能核电
2011-01-13,950.79,946.69,955.82,942.16,580954.0,800833876.97,1.44,-0.22,-2.13,0.01,BK0577,concept,核能核电
2011-01-14,946.9,939.28,950.94,933.24,761823.0,1015852817.82,1.87,-0.78,-7.41,0.02,BK0577,concept,核能核电
2011-01-17,932.43,914.26,940.71,910.35,813105.0,1091339835.48,3.23,-2.66,-25.02,0.02,BK0577,concept,核能核电
2011-01-18,909.98,908.88,916.4,895.71,514796.0,638397668.42,2.26,-0.59,-5.38,0.01,BK0577,concept,核能核电
2011-01-19,908.37,924.9,927.11,901.77,789497.0,1244426079.79,2.79,1.76,16.02,0.02,BK0577,concept,核能核电
2011-01-20,922.41,907.48,932.54,902.67,815027.0,1165783700.44,3.23,-1.88,-17.42,0.02,BK0577,concept,核能核电
2011-01-21,905.57,918.69,926.31,901.42,686893.0,972483574.35,2.74,1.24,11.21,0.02,BK0577,concept,核能核电
2011-01-24,919.57,911.92,929.28,904.66,623028.0,811568208.52,2.68,-0.74,-6.77,0.02,BK0577,concept,核能核电
2011-01-25,912.89,905.0,915.27,894.88,548509.0,763986994.46,2.24,-0.76,-6.92,0.01,BK0577,concept,核能核电
2011-01-26,904.05,930.07,956.53,901.16,635890.0,719774461.28,6.12,2.77,25.07,0.02,BK0577,concept,核能核电
2011-01-27,922.11,946.97,955.81,915.96,1228572.0,1432090086.26,4.28,1.82,16.9,0.03,BK0577,concept,核能核电
2011-01-28,941.8,940.79,949.87,930.04,927373.0,1158889360.65,2.09,-0.65,-6.18,0.02,BK0577,concept,核能核电
2011-01-31,938.31,948.67,954.32,932.48,1010496.0,1280781860.35,2.32,0.84,7.88,0.03,BK0577,concept,核能核电
2011-02-01,951.84,946.18,959.79,940.76,837049.0,1206272585.54,2.01,-0.26,-2.49,0.02,BK0577,concept,核能核电
2011-02-09,940.24,937.46,952.18,928.07,928488.0,1307222994.49,2.55,-0.92,-8.72,0.02,BK0577,concept,核能核电
2011-02-10,935.87,950.14,950.86,930.38,964809.0,1315582813.35,2.18,1.35,12.68,0.02,BK0577,concept,核能核电
2011-02-11,949.39,956.2,963.57,943.14,1095140.0,1444451573.22,2.15,0.64,6.06,0.03,BK0577,concept,核能核电
2011-02-14,957.36,972.96,976.69,955.17,1550050.0,2186373365.27,2.25,1.75,16.76,0.04,BK0577,concept,核能核电
2011-02-15,974.81,976.25,989.86,966.32,1719204.0,2353901638.72,2.42,0.34,3.29,0.04,BK0577,concept,核能核电
2011-02-16,975.32,980.65,984.08,963.08,1285649.0,1906563770.5,2.15,0.45,4.4,0.03,BK0577,concept,核能核电
2011-02-17,981.54,984.52,991.61,967.53,1707470.0,2741160957.36,2.46,0.39,3.87,0.04,BK0577,concept,核能核电
