日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-08-31,999.67,989.57,999.67,977.79,3364529.0,6634089216.0,2.19,-1.04,-10.43,2.42,BK1007,concept,植物照明
2021-09-01,985.05,967.46,985.17,956.7,4323224.0,8969891584.0,2.88,-2.23,-22.11,3.1,BK1007,concept,植物照明
2021-09-02,964.1,966.45,969.95,958.47,2389931.0,4468847872.0,1.19,-0.1,-1.01,1.72,BK1007,concept,植物照明
2021-09-03,964.84,974.01,979.18,959.25,3424816.0,5374207744.0,2.06,0.78,7.56,2.46,BK1007,concept,植物照明
2021-09-06,975.54,992.75,992.86,964.77,2997203.0,5061085184.0,2.88,1.92,18.74,2.15,BK1007,concept,植物照明
2021-09-07,990.67,994.51,999.47,988.01,2958937.0,5005862656.0,1.15,0.18,1.76,2.12,BK1007,concept,植物照明
2021-09-08,995.83,1004.04,1004.46,993.23,3260248.0,4761438464.0,1.13,0.96,9.53,2.34,BK1007,concept,植物照明
2021-09-09,1001.02,987.92,1001.12,984.21,3095531.0,4598251776.0,1.68,-1.61,-16.12,2.22,BK1007,concept,植物照明
2021-09-10,985.97,996.27,999.35,979.1,3586439.0,6929259520.0,2.05,0.85,8.35,2.58,BK1007,concept,植物照明
2021-09-13,991.49,980.57,991.49,972.21,2644736.0,4656499712.0,1.94,-1.58,-15.7,1.9,BK1007,concept,植物照明
2021-09-14,981.93,974.88,992.09,971.78,2806935.0,4445645056.0,2.07,-0.58,-5.69,2.02,BK1007,concept,植物照明
2021-09-15,973.57,972.86,974.71,964.49,2178969.0,3368605952.0,1.05,-0.21,-2.02,1.56,BK1007,concept,植物照明
2021-09-16,973.77,949.54,975.74,948.59,2698749.0,3951889952.0,2.79,-2.4,-23.32,1.94,BK1007,concept,植物照明
2021-09-17,951.92,939.37,952.45,926.22,2089291.0,3148439632.0,2.76,-1.07,-10.17,1.5,BK1007,concept,植物照明
2021-09-22,930.04,939.47,941.9,927.1,1601571.0,2809735904.0,1.58,0.01,0.1,1.15,BK1007,concept,植物照明
2021-09-23,941.52,946.84,955.45,941.52,2274785.0,4192078032.0,1.48,0.78,7.37,1.63,BK1007,concept,植物照明
2021-09-24,948.93,926.59,948.93,926.59,2282798.0,3321380176.0,2.36,-2.14,-20.25,1.64,BK1007,concept,植物照明
2021-09-27,930.04,901.81,936.45,893.97,2890523.0,5025132544.0,4.58,-2.67,-24.78,2.08,BK1007,concept,植物照明
2021-09-28,902.66,895.33,904.03,893.29,1842221.0,3158742656.0,1.19,-0.72,-6.48,1.32,BK1007,concept,植物照明
2021-09-29,889.37,858.18,889.37,858.18,1931464.0,3337849184.0,3.48,-4.15,-37.15,1.39,BK1007,concept,植物照明
2021-09-30,863.32,877.28,878.32,863.32,1676196.0,3354229776.0,1.75,2.23,19.1,1.2,BK1007,concept,植物照明
2021-10-08,890.27,909.94,910.31,890.27,3063330.0,5115201792.0,2.28,3.72,32.66,2.2,BK1007,concept,植物照明
2021-10-11,914.16,925.4,928.23,914.16,2572512.0,3881250976.0,1.55,1.7,15.46,1.85,BK1007,concept,植物照明
2021-10-12,921.73,911.59,924.87,900.85,2769114.0,4280828864.0,2.6,-1.49,-13.81,1.99,BK1007,concept,植物照明
2021-10-13,910.55,919.98,919.99,898.83,2720402.0,3950687888.0,2.32,0.92,8.39,1.95,BK1007,concept,植物照明
2021-10-14,921.98,926.82,928.74,915.49,2185710.0,3250858848.0,1.44,0.74,6.84,1.57,BK1007,concept,植物照明
2021-10-15,922.81,929.42,933.92,918.36,3207371.0,5719089408.0,1.68,0.28,2.6,2.3,BK1007,concept,植物照明
2021-10-18,928.17,934.75,934.75,923.78,2728549.0,5123527424.0,1.18,0.57,5.33,1.96,BK1007,concept,植物照明
2021-10-19,934.09,929.23,935.34,924.74,2556667.0,4562332160.0,1.13,-0.59,-5.52,1.84,BK1007,concept,植物照明
2021-10-20,930.38,923.78,930.95,922.75,1938398.0,3301348944.0,0.88,-0.59,-5.45,1.39,BK1007,concept,植物照明
2021-10-21,922.61,910.74,922.61,908.18,2252097.0,4031425024.0,1.56,-1.41,-13.04,1.62,BK1007,concept,植物照明
2021-10-22,911.12,910.45,916.21,906.03,2118402.0,3973041024.0,1.12,-0.03,-0.29,1.52,BK1007,concept,植物照明
2021-10-25,910.76,917.72,917.72,900.7,2130501.0,3446932160.0,1.87,0.8,7.27,1.53,BK1007,concept,植物照明
2021-10-26,918.74,925.35,928.13,912.41,2819995.0,4973721088.0,1.71,0.83,7.63,2.02,BK1007,concept,植物照明
2021-10-27,923.91,904.38,923.91,899.74,2036669.0,3120207680.0,2.61,-2.27,-20.97,1.46,BK1007,concept,植物照明
2021-10-28,895.88,874.55,902.83,873.08,2206814.0,3533580272.0,3.29,-3.3,-29.83,1.58,BK1007,concept,植物照明
2021-10-29,879.31,894.8,897.1,875.93,2858410.0,5623186688.0,2.42,2.32,20.25,2.05,BK1007,concept,植物照明
2021-11-01,894.0,906.53,908.11,892.14,2503404.0,4884635136.0,1.78,1.31,11.73,1.8,BK1007,concept,植物照明
2021-11-02,907.86,897.89,917.31,890.3,3285520.0,6720540672.0,2.98,-0.95,-8.64,2.36,BK1007,concept,植物照明
2021-11-03,897.94,906.25,911.37,897.09,2491566.0,4939904512.0,1.59,0.93,8.36,1.79,BK1007,concept,植物照明
2021-11-04,909.41,936.72,936.72,909.09,3801148.0,7781113600.0,3.05,3.36,30.47,2.73,BK1007,concept,植物照明
2021-11-05,936.42,938.49,949.22,928.83,3428417.0,5980840448.0,2.18,0.19,1.77,2.46,BK1007,concept,植物照明
2021-11-08,937.74,931.1,938.31,921.01,2880626.0,5080468992.0,1.84,-0.79,-7.39,2.07,BK1007,concept,植物照明
2021-11-09,929.53,940.61,942.74,924.48,2871207.0,5767151872.0,1.96,1.02,9.51,2.06,BK1007,concept,植物照明
2021-11-10,942.21,956.13,960.89,940.18,4143541.0,6866327808.0,2.2,1.65,15.52,2.98,BK1007,concept,植物照明
2021-11-11,950.97,970.64,975.41,949.2,3704675.0,7084988416.0,2.74,1.52,14.51,2.66,BK1007,concept,植物照明
2021-11-12,968.37,980.46,982.07,964.35,3198596.0,5487241728.0,1.83,1.01,9.82,2.3,BK1007,concept,植物照明
2021-11-15,981.63,983.45,988.48,974.68,2904880.0,5026105088.0,1.41,0.3,2.99,2.09,BK1007,concept,植物照明
2021-11-16,981.66,965.83,984.95,965.83,3021585.0,5143571712.0,1.94,-1.79,-17.62,2.17,BK1007,concept,植物照明
2021-11-17,961.42,976.08,976.27,959.86,2374107.0,3764750672.0,1.7,1.06,10.25,1.7,BK1007,concept,植物照明
2021-11-18,974.61,965.79,982.48,965.36,2674021.0,4425058304.0,1.75,-1.05,-10.29,1.92,BK1007,concept,植物照明
2021-11-19,962.2,978.0,981.5,962.2,2905190.0,4646510080.0,2.0,1.26,12.21,2.09,BK1007,concept,植物照明
2021-11-22,979.66,1006.04,1006.43,979.66,4974347.0,8511603200.0,2.74,2.87,28.04,3.57,BK1007,concept,植物照明
2021-11-23,1004.31,1003.61,1012.13,1001.81,3585708.0,5661020672.0,1.03,-0.24,-2.43,2.57,BK1007,concept,植物照明
2021-11-24,1004.53,1008.11,1016.44,1002.05,3242344.0,5626688512.0,1.43,0.45,4.5,2.33,BK1007,concept,植物照明
2021-11-25,1011.38,1003.99,1013.64,1003.19,3175561.0,4813441792.0,1.04,-0.41,-4.12,2.28,BK1007,concept,植物照明
2021-11-26,1000.87,997.89,1002.86,991.01,2469187.0,4160382960.0,1.18,-0.61,-6.1,1.77,BK1007,concept,植物照明
2021-11-29,982.84,991.67,1000.22,979.77,3073875.0,5906201344.0,2.05,-0.62,-6.22,2.21,BK1007,concept,植物照明
2021-11-30,994.63,995.34,1004.13,988.01,2771850.0,4774000896.0,1.63,0.37,3.67,1.99,BK1007,concept,植物照明
2021-12-01,995.48,1004.99,1005.32,989.66,3177317.0,6182327808.0,1.57,0.97,9.65,2.28,BK1007,concept,植物照明
2021-12-02,1002.27,977.59,1002.28,976.69,2614080.0,4285382176.0,2.55,-2.73,-27.4,1.88,BK1007,concept,植物照明
