日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-01-06,999.85,998.96,1005.56,995.78,2568655.0,3328541858.61,0.98,-0.1,-1.04,0.83,BK1124,concept,毫米波概念
2023-01-09,1002.57,993.55,1006.09,991.24,2861321.0,3506857031.8,1.49,-0.54,-5.41,0.93,BK1124,concept,毫米波概念
2023-01-10,994.46,991.17,996.02,988.31,2596560.0,3346207553.78,0.78,-0.24,-2.38,0.84,BK1124,concept,毫米波概念
2023-01-11,990.05,982.66,997.39,981.5,2493241.0,3391789711.11,1.6,-0.86,-8.51,0.81,BK1124,concept,毫米波概念
2023-01-12,985.76,983.63,990.75,980.04,2185589.0,2759030268.19,1.09,0.1,0.97,0.71,BK1124,concept,毫米波概念
2023-01-13,987.1,976.43,987.1,969.15,2230372.0,2828466477.53,1.82,-0.73,-7.2,0.72,BK1124,concept,毫米波概念
2023-01-16,976.49,992.11,995.3,976.12,2701794.0,3281330837.17,1.96,1.61,15.68,0.87,BK1124,concept,毫米波概念
2023-01-17,994.84,995.14,1003.37,992.76,2391986.0,3098046004.1,1.07,0.31,3.03,0.77,BK1124,concept,毫米波概念
2023-01-18,996.04,1008.15,1010.07,993.36,2455010.0,2935714450.21,1.68,1.31,13.01,0.79,BK1124,concept,毫米波概念
2023-01-19,1005.96,1020.05,1020.52,1004.74,3610715.0,4896884750.17,1.57,1.18,11.9,1.17,BK1124,concept,毫米波概念
2023-01-20,1018.97,1022.19,1027.75,1015.49,2828311.0,3650948936.8,1.2,0.21,2.14,0.92,BK1124,concept,毫米波概念
2023-01-30,1036.06,1039.16,1045.99,1032.6,3810006.0,4920010727.56,1.31,1.66,16.97,1.23,BK1124,concept,毫米波概念
2023-01-31,1034.05,1035.6,1037.58,1030.54,2937375.0,3594500966.52,0.68,-0.34,-3.56,0.95,BK1124,concept,毫米波概念
2023-02-01,1038.54,1058.48,1058.48,1036.33,3780153.0,5206754579.15,2.14,2.21,22.88,1.22,BK1124,concept,毫米波概念
2023-02-02,1059.92,1059.79,1070.53,1057.97,4438702.0,5930237926.52,1.19,0.12,1.31,1.44,BK1124,concept,毫米波概念
2023-02-03,1059.02,1062.1,1063.09,1042.48,4533543.0,5740504628.03,1.94,0.22,2.31,1.47,BK1124,concept,毫米波概念
2023-02-06,1059.31,1061.38,1070.81,1057.81,3359441.0,4298851499.05,1.22,-0.07,-0.72,1.09,BK1124,concept,毫米波概念
2023-02-07,1062.19,1073.21,1073.22,1056.86,3028253.0,4083877466.35,1.54,1.11,11.83,0.98,BK1124,concept,毫米波概念
2023-02-08,1078.95,1064.96,1080.43,1063.68,3224748.0,4577727224.33,1.56,-0.77,-8.25,1.04,BK1124,concept,毫米波概念
2023-02-09,1057.35,1092.29,1093.91,1054.2,5004949.0,7044993517.62,3.73,2.57,27.33,1.62,BK1124,concept,毫米波概念
2023-02-10,1092.52,1093.46,1110.33,1087.48,4124794.0,6125269028.34,2.09,0.11,1.17,1.33,BK1124,concept,毫米波概念
2023-02-13,1092.43,1106.99,1110.92,1091.05,4404932.0,6493797924.88,1.82,1.24,13.53,1.43,BK1124,concept,毫米波概念
