日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-02-09,1009.63,1068.28,1084.5,1002.54,1726654.0,1967658528.0,8.2,6.83,68.28,0.9,BK1066,concept,民爆概念
2022-02-10,1083.67,1093.81,1114.12,1083.06,2746476.0,3741076352.0,2.91,2.39,25.53,1.43,BK1066,concept,民爆概念
2022-02-11,1085.46,1101.6,1125.38,1072.32,4270042.0,6652150272.0,4.85,0.71,7.79,2.23,BK1066,concept,民爆概念
2022-02-14,1076.51,1071.08,1096.82,1064.37,3175578.0,5049924864.0,2.95,-2.77,-30.52,1.66,BK1066,concept,民爆概念
2022-02-15,1072.73,1067.15,1090.15,1055.35,2775359.0,4105951968.0,3.25,-0.37,-3.93,1.45,BK1066,concept,民爆概念
2022-02-16,1071.38,1085.74,1085.85,1060.2,2905609.0,4677209344.0,2.4,1.74,18.59,1.52,BK1066,concept,民爆概念
2022-02-17,1066.93,1049.33,1066.93,1045.42,2828731.0,4815720192.0,1.98,-3.35,-36.41,1.48,BK1066,concept,民爆概念
2022-02-18,1031.51,1034.8,1040.44,1023.13,2248211.0,3511114000.0,1.65,-1.38,-14.53,1.17,BK1066,concept,民爆概念
2022-02-21,1043.6,1049.87,1053.52,1038.49,2849783.0,5513681920.0,1.45,1.46,15.07,1.49,BK1066,concept,民爆概念
2022-02-22,1054.07,1089.73,1089.73,1051.04,2693145.0,4137610432.0,3.69,3.8,39.86,1.41,BK1066,concept,民爆概念
2022-02-23,1087.89,1079.63,1088.0,1069.21,4111136.0,9504943872.0,1.72,-0.93,-10.1,2.15,BK1066,concept,民爆概念
2022-02-24,1065.48,1024.43,1069.28,1008.41,3891448.0,8954384384.0,5.64,-5.11,-55.2,2.03,BK1066,concept,民爆概念
2022-02-25,1025.12,1021.45,1040.72,1020.64,2850885.0,6297027584.0,1.96,-0.29,-2.98,1.49,BK1066,concept,民爆概念
2022-02-28,1026.67,1027.16,1028.03,1002.15,2888986.0,7209978880.0,2.53,0.56,5.71,1.51,BK1066,concept,民爆概念
2022-03-01,1028.27,1021.56,1028.63,1009.73,2288774.0,5489027840.0,1.84,-0.55,-5.6,1.19,BK1066,concept,民爆概念
2022-03-02,1017.21,1020.13,1021.02,1014.04,1809096.0,3959500640.0,0.68,-0.14,-1.43,0.94,BK1066,concept,民爆概念
2022-03-03,1023.63,1003.21,1023.63,999.74,1849899.0,3568336560.0,2.34,-1.66,-16.92,0.97,BK1066,concept,民爆概念
2022-03-04,999.91,982.81,1003.58,979.13,2052918.0,4253391424.0,2.44,-2.03,-20.4,1.07,BK1066,concept,民爆概念
2022-03-07,983.32,973.25,994.88,968.01,1971804.0,3183341408.0,2.73,-0.97,-9.56,1.03,BK1066,concept,民爆概念
2022-03-08,972.15,944.08,974.32,936.24,2202736.0,4093654144.0,3.91,-3.0,-29.17,1.15,BK1066,concept,民爆概念
2022-03-09,945.39,931.6,948.52,892.64,2003220.0,3451062704.0,5.92,-1.32,-12.48,1.05,BK1066,concept,民爆概念
2022-03-10,949.55,944.06,957.88,941.9,2297993.0,4232883264.0,1.72,1.34,12.46,1.2,BK1066,concept,民爆概念
2022-03-11,928.73,943.82,944.06,912.59,1784644.0,3088234112.0,3.33,-0.03,-0.24,0.93,BK1066,concept,民爆概念
2022-03-14,938.51,921.93,947.67,921.93,2170636.0,3507858832.0,2.73,-2.32,-21.89,1.13,BK1066,concept,民爆概念
2022-03-15,918.18,884.15,923.91,883.81,2333049.0,3624586288.0,4.35,-4.1,-37.78,1.22,BK1066,concept,民爆概念
2022-03-16,893.38,917.24,918.34,871.72,2651763.0,4527518208.0,5.27,3.74,33.09,1.38,BK1066,concept,民爆概念
2022-03-17,919.97,917.01,932.42,911.78,2557295.0,4824827648.0,2.25,-0.03,-0.23,1.34,BK1066,concept,民爆概念
2022-03-18,912.6,928.38,931.36,910.47,1991397.0,2945604976.0,2.28,1.24,11.37,1.04,BK1066,concept,民爆概念
2022-03-21,926.88,939.27,939.34,921.37,2046874.0,3132459584.0,1.94,1.17,10.89,1.07,BK1066,concept,民爆概念
2022-03-22,934.59,929.94,937.83,925.57,1574589.0,2500907056.0,1.31,-0.99,-9.33,0.82,BK1066,concept,民爆概念
