日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-01-28,1006.58,1014.44,1021.77,990.8,3544574.0,2291310624.0,3.1,1.44,14.44,0.88,BK1065,concept,气溶胶检测
2022-02-07,1026.86,1020.33,1031.34,1010.83,3421895.0,2172628144.0,2.02,0.58,5.89,0.85,BK1065,concept,气溶胶检测
2022-02-08,1018.59,1036.44,1041.74,1016.01,3528050.0,2242058656.0,2.52,1.58,16.11,0.88,BK1065,concept,气溶胶检测
2022-02-09,1036.4,1050.49,1053.03,1027.91,4202139.0,2660736192.0,2.42,1.36,14.05,1.04,BK1065,concept,气溶胶检测
2022-02-10,1052.22,1040.81,1056.53,1036.48,3401319.0,2214882928.0,1.91,-0.92,-9.68,0.85,BK1065,concept,气溶胶检测
2022-02-11,1039.3,1007.58,1039.3,1006.04,4188824.0,2570093632.0,3.2,-3.19,-33.23,1.04,BK1065,concept,气溶胶检测
2022-02-14,1004.6,1010.2,1018.82,1002.08,3237524.0,1971144512.0,1.66,0.26,2.62,0.8,BK1065,concept,气溶胶检测
2022-02-15,1009.36,1012.74,1014.87,999.02,2361519.0,1495670640.0,1.57,0.25,2.54,0.59,BK1065,concept,气溶胶检测
2022-02-16,1016.3,1031.07,1032.17,1014.99,2240554.0,1434059968.0,1.7,1.81,18.33,0.56,BK1065,concept,气溶胶检测
2022-02-17,1045.27,1062.39,1074.71,1045.27,3326968.0,2367916336.0,2.86,3.04,31.32,0.83,BK1065,concept,气溶胶检测
2022-02-18,1052.1,1061.48,1061.48,1047.33,3366350.0,2265087472.0,1.33,-0.09,-0.91,0.84,BK1065,concept,气溶胶检测
2022-02-21,1058.23,1072.34,1072.87,1054.82,6454961.0,3793730560.0,1.7,1.02,10.86,1.6,BK1065,concept,气溶胶检测
2022-02-22,1067.07,1064.61,1069.13,1054.33,4486395.0,2790206256.0,1.38,-0.72,-7.73,1.11,BK1065,concept,气溶胶检测
2022-02-23,1065.79,1074.72,1075.62,1062.56,4075497.0,2512152432.0,1.23,0.95,10.11,1.01,BK1065,concept,气溶胶检测
2022-02-24,1071.96,1057.62,1081.45,1046.67,8260584.0,4763097344.0,3.24,-1.59,-17.1,2.05,BK1065,concept,气溶胶检测
2022-02-25,1062.12,1066.48,1073.71,1059.15,4418388.0,2733557520.0,1.38,0.84,8.86,1.1,BK1065,concept,气溶胶检测
2022-02-28,1066.28,1081.32,1082.26,1048.67,5853208.0,3546495520.0,3.15,1.39,14.84,1.45,BK1065,concept,气溶胶检测
2022-03-01,1079.59,1080.07,1083.87,1071.82,4068520.0,2647852992.0,1.11,-0.12,-1.25,1.01,BK1065,concept,气溶胶检测
2022-03-02,1072.74,1076.26,1078.16,1063.28,3249687.0,2077781584.0,1.38,-0.35,-3.81,0.81,BK1065,concept,气溶胶检测
2022-03-03,1082.18,1068.91,1082.6,1067.59,3152691.0,1986136224.0,1.39,-0.68,-7.35,0.78,BK1065,concept,气溶胶检测
2022-03-04,1072.2,1077.6,1093.52,1071.11,4154919.0,2968949888.0,2.1,0.81,8.69,1.03,BK1065,concept,气溶胶检测
2022-03-07,1074.3,1047.51,1075.17,1042.47,6227926.0,3652506448.0,3.03,-2.79,-30.09,1.55,BK1065,concept,气溶胶检测
2022-03-08,1046.27,1006.36,1047.56,1003.23,6606581.0,3634330912.0,4.23,-3.93,-41.15,1.64,BK1065,concept,气溶胶检测
2022-03-09,1009.46,990.05,1015.48,946.49,6535438.0,3412928496.0,6.86,-1.62,-16.31,1.62,BK1065,concept,气溶胶检测
2022-03-10,1010.58,1010.87,1017.98,1003.59,5998278.0,3194904352.0,1.45,2.1,20.82,1.49,BK1065,concept,气溶胶检测
2022-03-11,1000.91,1014.76,1018.96,980.84,4937469.0,2782282592.0,3.77,0.38,3.89,1.23,BK1065,concept,气溶胶检测
2022-03-14,1010.42,980.78,1012.08,980.78,4418382.0,2741399168.0,3.08,-3.35,-33.98,1.1,BK1065,concept,气溶胶检测
2022-03-15,973.67,932.8,976.58,932.8,6287854.0,3344621808.0,4.46,-4.89,-47.98,1.56,BK1065,concept,气溶胶检测
2022-03-16,946.9,948.94,955.01,907.05,5640517.0,2955317760.0,5.14,1.73,16.14,1.4,BK1065,concept,气溶胶检测
2022-03-17,961.26,974.23,983.42,957.65,5145658.0,2989320240.0,2.72,2.67,25.29,1.28,BK1065,concept,气溶胶检测
2022-03-18,969.42,973.86,980.8,964.76,3844804.0,2188242176.0,1.65,-0.04,-0.37,0.96,BK1065,concept,气溶胶检测
2022-03-21,973.15,987.27,987.47,968.54,4560732.0,2468306016.0,1.94,1.38,13.41,1.13,BK1065,concept,气溶胶检测
2022-03-22,982.76,977.5,985.49,971.07,3379695.0,1949054176.0,1.46,-0.99,-9.77,0.84,BK1065,concept,气溶胶检测
2022-03-23,980.39,978.47,985.23,972.75,2730820.0,1491857296.0,1.28,0.1,0.97,0.68,BK1065,concept,气溶胶检测
2022-03-24,973.29,964.52,973.29,957.31,2664003.0,1469200112.0,1.63,-1.43,-13.95,0.66,BK1065,concept,气溶胶检测
2022-03-25,965.81,951.44,972.02,951.1,2847373.0,1552117408.0,2.17,-1.36,-13.08,0.71,BK1065,concept,气溶胶检测
2022-03-28,948.32,951.68,954.46,935.07,3568163.0,1823699408.0,2.04,0.03,0.24,0.89,BK1065,concept,气溶胶检测
2022-03-29,954.8,940.44,955.48,936.12,3216732.0,1721345424.0,2.03,-1.18,-11.24,0.8,BK1065,concept,气溶胶检测
2022-03-30,945.71,949.71,950.84,939.35,4952964.0,2430637680.0,1.22,0.99,9.27,1.23,BK1065,concept,气溶胶检测
2022-03-31,945.72,945.9,956.46,943.14,4149930.0,2156063872.0,1.4,-0.4,-3.81,1.03,BK1065,concept,气溶胶检测
2022-04-01,941.06,942.78,942.82,932.28,3655901.0,1902537728.0,1.11,-0.33,-3.12,0.91,BK1065,concept,气溶胶检测
2022-04-06,940.79,947.06,951.78,938.99,3560903.0,1847962928.0,1.36,0.45,4.28,0.88,BK1065,concept,气溶胶检测
2022-04-07,945.59,921.5,945.59,921.5,4869598.0,2416595664.0,2.54,-2.7,-25.56,1.21,BK1065,concept,气溶胶检测
2022-04-08,921.94,905.19,923.16,900.62,4002304.0,1939920160.0,2.45,-1.77,-16.31,0.99,BK1065,concept,气溶胶检测
2022-04-11,899.84,860.96,899.84,856.18,4027756.0,1961897584.0,4.82,-4.89,-44.23,1.0,BK1065,concept,气溶胶检测
2022-04-12,861.45,877.43,877.43,852.21,3578124.0,1748689264.0,2.93,1.91,16.47,0.89,BK1065,concept,气溶胶检测
2022-04-13,873.52,863.82,880.17,860.29,2539230.0,1266215584.0,2.27,-1.55,-13.61,0.63,BK1065,concept,气溶胶检测
2022-04-14,865.56,877.24,883.36,865.56,2716912.0,1504493264.0,2.06,1.55,13.42,0.67,BK1065,concept,气溶胶检测
2022-04-15,876.22,857.68,876.36,854.53,2323608.0,1228708224.0,2.49,-2.23,-19.56,0.58,BK1065,concept,气溶胶检测
2022-04-18,852.78,862.98,866.43,842.21,1874198.0,953265328.0,2.82,0.62,5.3,0.47,BK1065,concept,气溶胶检测
2022-04-19,861.96,862.84,872.48,856.87,2579461.0,1225260144.0,1.81,-0.02,-0.14,0.64,BK1065,concept,气溶胶检测
2022-04-20,863.11,853.05,866.23,846.63,2478361.0,1172386752.0,2.27,-1.13,-9.79,0.62,BK1065,concept,气溶胶检测
2022-04-21,850.17,820.48,853.75,819.32,4407377.0,2009147344.0,4.04,-3.82,-32.57,1.09,BK1065,concept,气溶胶检测
2022-04-22,814.85,806.15,814.89,800.89,3079172.0,1414428352.0,1.71,-1.75,-14.33,0.76,BK1065,concept,气溶胶检测
2022-04-25,795.31,739.22,795.31,738.76,5106328.0,2218426192.0,7.01,-8.3,-66.93,1.27,BK1065,concept,气溶胶检测
2022-04-26,744.51,711.19,747.64,708.42,4148950.0,1808968944.0,5.31,-3.79,-28.03,1.03,BK1065,concept,气溶胶检测
2022-04-27,703.78,733.41,734.84,690.49,4964647.0,2204417488.0,6.24,3.12,22.22,1.23,BK1065,concept,气溶胶检测
2022-04-28,719.79,715.14,727.63,706.94,4225749.0,1782414448.0,2.82,-2.49,-18.27,1.05,BK1065,concept,气溶胶检测
2022-04-29,724.54,758.01,761.79,724.54,4833641.0,2065137440.0,5.21,5.99,42.87,1.2,BK1065,concept,气溶胶检测
2022-05-05,762.63,787.13,792.26,756.77,4672041.0,2045155376.0,4.68,3.84,29.12,1.16,BK1065,concept,气溶胶检测
2022-05-06,785.19,789.85,792.65,775.37,4156882.0,1928800176.0,2.2,0.35,2.72,1.03,BK1065,concept,气溶胶检测
2022-05-09,783.29,796.44,801.51,781.08,2596671.0,1282598272.0,2.59,0.83,6.59,0.65,BK1065,concept,气溶胶检测
2022-05-10,791.91,810.37,812.09,783.64,3711122.0,1673228752.0,3.57,1.75,13.93,0.92,BK1065,concept,气溶胶检测
2022-05-11,814.43,814.24,836.58,814.24,7225740.0,3173230016.0,2.76,0.48,3.87,1.8,BK1065,concept,气溶胶检测
2022-05-12,824.59,835.37,844.94,823.59,4119342.0,2041759056.0,2.62,2.6,21.13,1.02,BK1065,concept,气溶胶检测
2022-05-13,833.05,838.95,842.36,830.03,3116529.0,1647222048.0,1.48,0.43,3.58,0.77,BK1065,concept,气溶胶检测
2022-05-16,840.63,824.71,844.97,822.11,3338671.0,1645824704.0,2.72,-1.7,-14.24,0.83,BK1065,concept,气溶胶检测
2022-05-17,824.76,820.75,825.8,809.24,2594035.0,1238929312.0,2.01,-0.48,-3.96,0.64,BK1065,concept,气溶胶检测
2022-05-18,822.6,832.16,838.7,817.55,2339940.0,1172783488.0,2.58,1.39,11.41,0.58,BK1065,concept,气溶胶检测
