日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2014-05-13,1039.17,1029.23,1045.01,1021.72,2985328.0,2687329696.0,2.33,2.92,29.23,0.51,BK0690,concept,氟化工
2014-05-14,1092.62,1092.85,1098.59,1088.57,1042262.0,1102893056.0,0.97,6.18,63.62,0.18,BK0690,concept,氟化工
2014-05-15,1088.66,1080.62,1089.54,1076.1,860850.0,891551152.0,1.23,-1.12,-12.23,0.15,BK0690,concept,氟化工
2014-05-16,1053.21,1058.42,1067.47,1046.51,1397054.0,1057119440.0,1.94,-2.05,-22.2,0.24,BK0690,concept,氟化工
2014-05-19,1059.09,1047.61,1059.09,1035.81,922975.0,746624400.0,2.2,-1.02,-10.81,0.16,BK0690,concept,氟化工
2014-05-20,1065.67,1056.04,1088.77,1055.09,1546969.0,1225211376.0,3.21,0.8,8.43,0.26,BK0690,concept,氟化工
2014-05-21,1050.38,1061.92,1064.66,1038.52,1058790.0,839470928.0,2.48,0.56,5.88,0.18,BK0690,concept,氟化工
2014-05-22,1056.9,1047.93,1064.87,1046.46,921852.0,707051648.0,1.73,-1.32,-13.99,0.16,BK0690,concept,氟化工
2014-05-23,1045.14,1054.27,1056.76,1043.11,647579.0,527364032.0,1.3,0.61,6.34,0.11,BK0690,concept,氟化工
2014-05-26,1057.12,1066.97,1072.36,1054.83,760497.0,517944032.0,1.66,1.2,12.7,0.13,BK0690,concept,氟化工
2014-05-27,1067.87,1051.28,1067.87,1049.77,546866.0,369502896.0,1.7,-1.47,-15.69,0.09,BK0690,concept,氟化工
2014-05-28,1047.19,1056.23,1056.79,1043.56,513772.0,367022080.0,1.26,0.47,4.95,0.09,BK0690,concept,氟化工
2014-05-29,1055.19,1050.08,1064.66,1049.85,489063.0,331818160.0,1.4,-0.58,-6.15,0.08,BK0690,concept,氟化工
2014-05-30,988.02,995.16,997.46,985.7,729182.0,561135248.0,1.12,-5.23,-54.92,0.12,BK0690,concept,氟化工
2014-06-03,1058.83,1061.51,1066.93,1053.56,717588.0,574096128.0,1.34,6.67,66.35,0.12,BK0690,concept,氟化工
2014-06-04,1054.44,1034.87,1057.66,1029.12,748756.0,567982800.0,2.69,-2.51,-26.64,0.13,BK0690,concept,氟化工
2014-06-05,1027.87,1037.0,1037.84,1027.23,806553.0,769383696.0,1.03,0.21,2.13,0.14,BK0690,concept,氟化工
2014-06-06,1037.78,1031.66,1038.72,1018.52,590889.0,517230912.0,1.95,-0.51,-5.34,0.1,BK0690,concept,氟化工
2014-06-09,1026.53,1025.48,1032.32,1021.17,665556.0,651849344.0,1.08,-0.6,-6.18,0.11,BK0690,concept,氟化工
2014-06-10,1023.94,1032.43,1033.74,1010.69,704237.0,627329440.0,2.25,0.68,6.95,0.12,BK0690,concept,氟化工
2014-06-11,1034.1,1040.68,1042.73,1031.38,900477.0,814873520.0,1.1,0.8,8.25,0.15,BK0690,concept,氟化工
2014-06-12,1040.56,1033.61,1040.56,1029.41,822931.0,769438000.0,1.07,-0.68,-7.07,0.14,BK0690,concept,氟化工
2014-06-13,1031.6,1039.0,1042.66,1026.84,901721.0,825974128.0,1.53,0.52,5.39,0.15,BK0690,concept,氟化工
2014-06-16,1036.86,1044.76,1045.45,1034.23,726785.0,715327856.0,1.08,0.55,5.76,0.12,BK0690,concept,氟化工
2014-06-17,1044.09,1035.26,1045.89,1034.33,667081.0,650299056.0,1.11,-0.91,-9.5,0.11,BK0690,concept,氟化工
2014-06-18,1037.27,1029.63,1038.87,1021.6,839424.0,798564624.0,1.67,-0.54,-5.63,0.14,BK0690,concept,氟化工
2014-06-19,1025.67,1002.55,1031.29,993.73,830205.0,799199456.0,3.65,-2.63,-27.08,0.14,BK0690,concept,氟化工
2014-06-20,1003.67,1004.34,1006.27,995.87,547666.0,542709472.0,1.04,0.18,1.79,0.09,BK0690,concept,氟化工
2014-06-23,1005.06,1008.49,1013.41,1002.96,541109.0,528957040.0,1.04,0.41,4.15,0.09,BK0690,concept,氟化工
2014-06-24,1007.41,1022.26,1022.35,1006.61,530570.0,514690912.0,1.56,1.37,13.77,0.09,BK0690,concept,氟化工
2014-06-25,1017.92,1002.5,1018.69,1001.58,538006.0,494304656.0,1.67,-1.93,-19.76,0.09,BK0690,concept,氟化工
2014-06-26,1004.66,1016.82,1024.75,1004.03,647894.0,650576864.0,2.07,1.43,14.32,0.11,BK0690,concept,氟化工
2014-06-27,1017.98,1023.94,1029.32,1010.03,828695.0,847722928.0,1.9,0.7,7.12,0.14,BK0690,concept,氟化工
2014-06-30,1021.73,1027.73,1031.36,1020.29,563564.0,585941952.0,1.08,0.37,3.79,0.1,BK0690,concept,氟化工
2014-07-01,1027.77,1034.47,1035.22,1023.55,630512.0,630786224.0,1.14,0.66,6.74,0.11,BK0690,concept,氟化工
2014-07-02,1032.17,1037.01,1037.7,1029.23,770209.0,834591728.0,0.82,0.25,2.54,0.13,BK0690,concept,氟化工
2014-07-03,1038.32,1042.4,1043.42,1034.43,834444.0,904700624.0,0.87,0.52,5.39,0.14,BK0690,concept,氟化工
2014-07-04,1043.73,1047.1,1057.47,1042.44,876550.0,935726608.0,1.44,0.45,4.7,0.15,BK0690,concept,氟化工
2014-07-07,1044.22,1046.76,1048.71,1039.0,582618.0,620064272.0,0.93,-0.03,-0.34,0.1,BK0690,concept,氟化工
2014-07-08,1045.26,1055.05,1055.28,1037.79,670261.0,738566720.0,1.67,0.79,8.29,0.11,BK0690,concept,氟化工
2014-07-09,1053.62,1038.67,1055.28,1037.63,733098.0,931415232.0,1.67,-1.55,-16.38,0.12,BK0690,concept,氟化工
2014-07-10,1035.4,1032.57,1040.9,1029.59,613260.0,752367568.0,1.09,-0.59,-6.1,0.1,BK0690,concept,氟化工
2014-07-11,1031.94,1049.65,1050.97,1031.09,813069.0,1090297424.0,1.93,1.65,17.08,0.14,BK0690,concept,氟化工
2014-07-14,1050.93,1064.13,1066.51,1045.86,896177.0,1090244176.0,1.97,1.38,14.48,0.15,BK0690,concept,氟化工
2014-07-15,1061.98,1062.71,1069.46,1053.65,882740.0,991664528.0,1.49,-0.13,-1.42,0.15,BK0690,concept,氟化工
2014-07-16,1062.97,1069.41,1072.02,1058.87,815647.0,822787888.0,1.24,0.63,6.7,0.14,BK0690,concept,氟化工
2014-07-17,1066.5,1075.81,1076.28,1056.53,883622.0,893900160.0,1.85,0.6,6.4,0.15,BK0690,concept,氟化工
2014-07-18,1071.42,1074.0,1083.09,1064.01,788009.0,932780544.0,1.77,-0.17,-1.81,0.13,BK0690,concept,氟化工
2014-07-21,1072.11,1068.46,1078.45,1064.48,549552.0,648211200.0,1.3,-0.52,-5.54,0.09,BK0690,concept,氟化工
2014-07-22,1072.28,1109.46,1112.62,1072.28,1081766.0,1183069760.0,3.78,3.84,41.0,0.18,BK0690,concept,氟化工
2014-07-23,1106.15,1099.52,1116.25,1092.38,913152.0,1016480096.0,2.15,-0.9,-9.94,0.16,BK0690,concept,氟化工
2014-07-24,1096.73,1117.45,1119.65,1091.62,784119.0,828828928.0,2.55,1.63,17.93,0.13,BK0690,concept,氟化工
2014-07-25,1118.45,1137.45,1144.13,1113.46,966385.0,917233152.0,2.74,1.79,20.0,0.16,BK0690,concept,氟化工
2014-07-28,1135.23,1154.61,1161.02,1134.82,1344693.0,1367506896.0,2.3,1.51,17.16,0.23,BK0690,concept,氟化工
2014-07-29,1159.93,1168.45,1171.07,1152.93,1357537.0,1442065712.0,1.57,1.2,13.84,0.23,BK0690,concept,氟化工
2014-07-30,1163.45,1171.89,1178.65,1156.23,1184351.0,1202447216.0,1.92,0.29,3.44,0.2,BK0690,concept,氟化工
2014-07-31,1171.27,1180.24,1180.4,1163.31,958943.0,984860944.0,1.46,0.71,8.35,0.16,BK0690,concept,氟化工
2014-08-01,1177.15,1154.36,1184.5,1149.97,878507.0,896927632.0,2.93,-2.19,-25.88,0.15,BK0690,concept,氟化工
2014-08-04,1153.76,1176.55,1176.98,1149.95,919066.0,931075552.0,2.34,1.92,22.19,0.16,BK0690,concept,氟化工
2014-08-05,1180.51,1172.12,1180.51,1163.16,795954.0,796073360.0,1.47,-0.38,-4.43,0.14,BK0690,concept,氟化工
2014-08-06,1167.53,1174.38,1175.7,1157.56,890157.0,968976880.0,1.55,0.19,2.26,0.15,BK0690,concept,氟化工
2014-08-07,1170.92,1150.74,1175.86,1150.04,740232.0,761448864.0,2.2,-2.01,-23.64,0.13,BK0690,concept,氟化工
2014-08-08,1149.42,1168.51,1169.28,1149.42,816188.0,858911152.0,1.73,1.54,17.77,0.14,BK0690,concept,氟化工
2014-08-11,1167.36,1181.49,1182.29,1167.36,843348.0,892837040.0,1.28,1.11,12.98,0.14,BK0690,concept,氟化工
2014-08-12,1181.84,1181.72,1182.49,1173.47,823700.0,899431328.0,0.76,0.02,0.23,0.14,BK0690,concept,氟化工
2014-08-13,1181.87,1173.48,1185.87,1160.55,913239.0,954872400.0,2.14,-0.7,-8.24,0.16,BK0690,concept,氟化工
2014-08-14,1171.21,1184.45,1199.5,1163.98,1111368.0,1041063264.0,3.03,0.93,10.97,0.19,BK0690,concept,氟化工
2014-08-15,1187.83,1210.33,1213.47,1186.47,1083528.0,1055829360.0,2.28,2.18,25.88,0.18,BK0690,concept,氟化工
2014-08-18,1209.97,1226.84,1228.12,1205.9,1102874.0,1100924400.0,1.84,1.36,16.51,0.19,BK0690,concept,氟化工
2014-08-19,1227.45,1229.58,1230.67,1216.42,939750.0,1052993024.0,1.16,0.22,2.74,0.16,BK0690,concept,氟化工
2014-08-20,1232.49,1242.65,1252.54,1223.95,1173251.0,1168646640.0,2.33,1.06,13.07,0.2,BK0690,concept,氟化工
2014-08-21,1243.7,1235.22,1247.53,1217.03,1052960.0,1173803856.0,2.45,-0.6,-7.43,0.18,BK0690,concept,氟化工
2014-08-22,1235.21,1237.72,1237.72,1224.41,822055.0,935571584.0,1.08,0.2,2.5,0.14,BK0690,concept,氟化工
2014-08-25,1232.37,1225.73,1236.8,1214.48,1127511.0,1209979696.0,1.8,-0.97,-11.99,0.19,BK0690,concept,氟化工
2014-08-26,1219.23,1207.31,1234.15,1202.67,1023229.0,1161480400.0,2.57,-1.5,-18.42,0.17,BK0690,concept,氟化工
2014-08-27,1206.82,1226.6,1227.14,1202.85,924991.0,1028882208.0,2.01,1.6,19.29,0.16,BK0690,concept,氟化工
2014-08-28,1227.67,1205.76,1232.63,1199.28,775677.0,874733632.0,2.72,-1.7,-20.84,0.13,BK0690,concept,氟化工
2014-08-29,1203.33,1208.85,1210.06,1193.01,759540.0,752408240.0,1.41,0.26,3.09,0.13,BK0690,concept,氟化工
2014-09-01,1213.05,1222.0,1222.0,1210.56,831319.0,871812304.0,0.95,1.09,13.15,0.14,BK0690,concept,氟化工
2014-09-02,1217.19,1233.62,1234.01,1214.29,1167729.0,1215257168.0,1.61,0.95,11.62,0.2,BK0690,concept,氟化工
2014-09-03,1229.01,1236.25,1238.12,1228.38,1054423.0,1126797104.0,0.79,0.21,2.63,0.18,BK0690,concept,氟化工
2014-09-04,1234.85,1240.37,1243.84,1233.4,1249176.0,1322182656.0,0.84,0.33,4.12,0.21,BK0690,concept,氟化工
2014-09-05,1242.52,1238.13,1244.44,1226.62,1247023.0,1326722720.0,1.44,-0.18,-2.24,0.21,BK0690,concept,氟化工
2014-09-09,1239.16,1244.57,1246.37,1228.83,1044632.0,1087420240.0,1.42,0.52,6.44,0.18,BK0690,concept,氟化工
2014-09-10,1243.3,1265.96,1266.79,1236.73,1239165.0,1266304272.0,2.42,1.72,21.39,0.21,BK0690,concept,氟化工
2014-09-11,1263.84,1252.52,1271.94,1246.56,1315009.0,1452096032.0,2.0,-1.06,-13.44,0.22,BK0690,concept,氟化工
2014-09-12,1249.92,1258.95,1259.22,1241.6,821745.0,867514496.0,1.41,0.51,6.43,0.14,BK0690,concept,氟化工
2014-09-15,1257.33,1267.34,1268.7,1251.94,957571.0,1079571888.0,1.33,0.67,8.39,0.16,BK0690,concept,氟化工
2014-09-16,1269.47,1213.1,1274.82,1210.41,1824196.0,1806007856.0,5.08,-4.28,-54.24,0.31,BK0690,concept,氟化工
2014-09-17,1212.82,1213.69,1221.62,1193.35,937603.0,999290512.0,2.33,0.05,0.59,0.16,BK0690,concept,氟化工
2014-09-18,1211.5,1216.5,1219.84,1205.89,756525.0,884416240.0,1.15,0.23,2.81,0.13,BK0690,concept,氟化工
2014-09-19,1214.93,1261.82,1262.96,1213.18,1610222.0,1432979040.0,4.09,3.73,45.32,0.27,BK0690,concept,氟化工
2014-09-22,1255.38,1250.35,1265.22,1242.33,1588685.0,1336470208.0,1.81,-0.91,-11.47,0.27,BK0690,concept,氟化工
2014-09-23,1248.88,1259.53,1259.83,1238.04,1148918.0,1024461376.0,1.74,0.73,9.18,0.2,BK0690,concept,氟化工
2014-09-24,1255.4,1267.46,1268.51,1250.78,1245306.0,1186315376.0,1.41,0.63,7.93,0.21,BK0690,concept,氟化工
2014-09-25,1267.88,1260.08,1289.39,1256.42,1467445.0,1352328272.0,2.6,-0.58,-7.38,0.25,BK0690,concept,氟化工
2014-09-26,1259.04,1261.52,1262.72,1245.92,867661.0,839597408.0,1.33,0.11,1.44,0.15,BK0690,concept,氟化工
2014-09-29,1270.91,1278.78,1283.9,1269.03,1100372.0,1067658512.0,1.18,1.37,17.26,0.19,BK0690,concept,氟化工
2014-09-30,1287.58,1285.9,1288.58,1274.34,1187264.0,1166376128.0,1.11,0.56,7.12,0.2,BK0690,concept,氟化工
2014-10-08,1296.95,1304.18,1304.79,1280.6,1304739.0,1283548864.0,1.88,1.42,18.28,0.22,BK0690,concept,氟化工
2014-10-09,1301.99,1316.01,1316.44,1291.07,1518080.0,1626347584.0,1.95,0.91,11.83,0.26,BK0690,concept,氟化工
2014-10-10,1311.32,1317.95,1323.83,1301.05,1274315.0,1428851440.0,1.73,0.15,1.94,0.22,BK0690,concept,氟化工
2014-10-13,1312.07,1342.84,1345.73,1305.48,1600877.0,1586663072.0,3.05,1.89,24.89,0.27,BK0690,concept,氟化工
2014-10-14,1338.25,1329.54,1346.83,1316.96,1500082.0,1545304144.0,2.22,-0.99,-13.3,0.26,BK0690,concept,氟化工
2014-10-15,1353.83,1360.6,1367.95,1334.25,1803194.0,1683955296.0,2.53,2.34,31.06,0.31,BK0690,concept,氟化工
2014-10-16,1366.28,1342.26,1393.48,1342.21,2144795.0,1883021232.0,3.77,-1.35,-18.34,0.37,BK0690,concept,氟化工
2014-10-17,1327.35,1306.29,1331.34,1285.4,1413724.0,1244863936.0,3.42,-2.68,-35.97,0.24,BK0690,concept,氟化工
2014-10-20,1307.35,1329.86,1333.37,1307.35,1078114.0,974910592.0,1.99,1.8,23.57,0.18,BK0690,concept,氟化工
2014-10-21,1326.46,1309.58,1326.95,1304.2,929498.0,867219920.0,1.71,-1.52,-20.28,0.16,BK0690,concept,氟化工
2014-10-22,1306.02,1284.96,1312.25,1280.28,973705.0,880163120.0,2.44,-1.88,-24.62,0.17,BK0690,concept,氟化工
2014-10-23,1280.13,1253.36,1289.77,1248.89,866122.0,783232048.0,3.18,-2.46,-31.6,0.15,BK0690,concept,氟化工
2014-10-24,1252.41,1259.49,1265.47,1250.81,535782.0,501651712.0,1.17,0.49,6.13,0.09,BK0690,concept,氟化工
2014-10-27,1257.31,1266.6,1266.75,1249.22,496852.0,457426208.0,1.39,0.56,7.11,0.08,BK0690,concept,氟化工
2014-10-28,1264.65,1304.4,1309.58,1262.89,1032696.0,1007517280.0,3.69,2.98,37.8,0.18,BK0690,concept,氟化工
2014-10-29,1309.0,1326.3,1334.58,1292.65,1536629.0,1405814960.0,3.21,1.68,21.9,0.26,BK0690,concept,氟化工
2014-10-30,1321.53,1323.64,1345.12,1317.81,1389840.0,1290241776.0,2.06,-0.2,-2.66,0.24,BK0690,concept,氟化工
2014-10-31,1324.24,1335.71,1336.75,1315.25,1711891.0,1494741184.0,1.62,0.91,12.07,0.29,BK0690,concept,氟化工
2014-11-03,1337.45,1332.88,1345.74,1316.57,1595802.0,1390448560.0,2.18,-0.21,-2.83,0.27,BK0690,concept,氟化工
2014-11-04,1327.98,1329.53,1336.5,1315.52,2061031.0,1821443088.0,1.57,-0.25,-3.35,0.35,BK0690,concept,氟化工
2014-11-05,1331.54,1346.48,1357.5,1327.6,2200446.0,1905066976.0,2.25,1.27,16.95,0.37,BK0690,concept,氟化工
2014-11-06,1344.67,1356.07,1359.29,1332.35,1473277.0,1297138352.0,2.0,0.71,9.59,0.25,BK0690,concept,氟化工
2014-11-07,1375.2,1345.53,1388.53,1337.85,1954423.0,1711689056.0,3.74,-0.78,-10.54,0.33,BK0690,concept,氟化工
2014-11-10,1343.79,1349.53,1353.14,1327.33,1459073.0,1251324944.0,1.92,0.3,4.0,0.25,BK0690,concept,氟化工
2014-11-11,1348.66,1318.08,1353.57,1297.36,1629267.0,1522837856.0,4.17,-2.33,-31.45,0.28,BK0690,concept,氟化工
2014-11-12,1315.94,1368.1,1369.24,1308.22,2030518.0,1720958880.0,4.63,3.79,50.02,0.35,BK0690,concept,氟化工
