日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-02-24,982.82,1033.45,1038.35,981.1,18089887.0,31167102720.0,5.73,3.35,33.45,4.55,BK0916,concept,氮化镓
2020-02-25,996.15,1033.69,1044.59,967.11,20476349.0,37006586112.0,7.5,0.02,0.24,5.15,BK0916,concept,氮化镓
2020-02-26,1013.46,977.32,1028.9,969.04,17073738.0,31421446656.0,5.79,-5.45,-56.37,4.29,BK0916,concept,氮化镓
2020-02-27,968.08,940.36,976.43,929.99,15958303.0,25550926336.0,4.75,-3.78,-36.96,4.01,BK0916,concept,氮化镓
2020-02-28,883.06,865.12,897.41,857.3,16630622.0,26224055808.0,4.27,-8.0,-75.24,4.18,BK0916,concept,氮化镓
2020-03-02,885.45,890.66,900.9,864.82,13977911.0,21713575936.0,4.17,2.95,25.54,3.52,BK0916,concept,氮化镓
2020-03-03,905.59,906.1,933.33,890.59,15330120.0,24371708928.0,4.8,1.73,15.44,3.86,BK0916,concept,氮化镓
2020-03-04,896.6,893.9,908.63,865.16,12079210.0,18752455424.0,4.8,-1.35,-12.2,3.04,BK0916,concept,氮化镓
2020-03-05,909.97,925.64,926.95,892.83,14926346.0,21607064064.0,3.82,3.55,31.74,3.75,BK0916,concept,氮化镓
2020-03-06,903.1,917.08,934.42,899.93,12937796.0,17404388864.0,3.73,-0.92,-8.56,3.25,BK0916,concept,氮化镓
2020-03-09,881.81,843.05,886.62,842.19,12783105.0,19467464960.0,4.84,-8.07,-74.03,3.21,BK0916,concept,氮化镓
2020-03-10,837.07,897.83,897.83,837.07,14300302.0,21910571264.0,7.21,6.5,54.78,3.6,BK0916,concept,氮化镓
2020-03-11,900.86,870.72,909.98,870.72,14002215.0,21394260992.0,4.37,-3.02,-27.11,3.52,BK0916,concept,氮化镓
2020-03-12,848.07,857.21,877.65,842.83,10361486.0,13662765824.0,4.0,-1.55,-13.51,2.61,BK0916,concept,氮化镓
2020-03-13,812.98,864.51,881.93,812.98,13545388.0,17842771712.0,8.04,0.85,7.3,3.41,BK0916,concept,氮化镓
2020-03-16,869.17,801.11,869.17,797.3,11448341.0,15565738240.0,8.31,-7.33,-63.4,2.88,BK0916,concept,氮化镓
2020-03-17,814.48,813.24,828.57,781.26,10348661.0,13474650368.0,5.91,1.51,12.13,2.6,BK0916,concept,氮化镓
2020-03-18,818.76,804.27,848.13,804.27,10871158.0,14180459008.0,5.39,-1.1,-8.97,2.73,BK0916,concept,氮化镓
2020-03-19,801.55,835.39,835.67,801.16,10395900.0,13378297600.0,4.29,3.87,31.12,2.61,BK0916,concept,氮化镓
2020-03-20,846.18,821.92,847.55,807.47,8592231.0,11544470272.0,4.8,-1.61,-13.47,2.16,BK0916,concept,氮化镓
2020-03-23,791.73,756.83,798.83,751.78,8457767.0,11052703232.0,5.72,-7.92,-65.09,2.13,BK0916,concept,氮化镓
2020-03-24,775.7,761.86,776.95,729.63,8719067.0,11800243456.0,6.25,0.66,5.03,2.19,BK0916,concept,氮化镓
2020-03-25,778.53,776.51,784.18,768.07,7461507.0,9687754240.0,2.11,1.92,14.65,1.88,BK0916,concept,氮化镓
2020-03-26,762.56,756.87,779.18,755.05,6012854.0,11535520512.0,3.11,-2.53,-19.64,1.51,BK0916,concept,氮化镓
2020-03-27,769.48,739.17,770.86,738.55,5611439.0,8798408960.0,4.27,-2.34,-17.7,1.41,BK0916,concept,氮化镓
2020-03-30,719.78,702.53,719.78,689.68,7398412.0,11004842496.0,4.07,-4.96,-36.64,1.86,BK0916,concept,氮化镓
2020-03-31,714.82,701.76,725.07,701.33,6187311.0,9008311296.0,3.38,-0.11,-0.77,1.56,BK0916,concept,氮化镓
2020-04-01,699.95,710.22,728.72,698.97,7617011.0,10692487680.0,4.24,1.21,8.46,1.92,BK0916,concept,氮化镓
2020-04-02,708.87,752.59,752.59,708.65,8940753.0,14500634368.0,6.19,5.97,42.37,2.25,BK0916,concept,氮化镓
2020-04-03,749.51,740.29,751.43,734.83,7478517.0,11998717440.0,2.21,-1.63,-12.3,1.88,BK0916,concept,氮化镓
2020-04-07,760.69,760.45,764.66,754.69,7490255.0,12292656640.0,1.35,2.72,20.16,1.88,BK0916,concept,氮化镓
2020-04-08,753.34,777.1,781.89,752.22,7634244.0,11143569152.0,3.9,2.19,16.65,1.92,BK0916,concept,氮化镓
2020-04-09,780.13,771.1,781.66,766.66,6696616.0,10276909824.0,1.93,-0.77,-6.0,1.68,BK0916,concept,氮化镓
2020-04-10,762.32,727.85,762.32,724.33,7286626.0,10469617920.0,4.93,-5.61,-43.25,1.83,BK0916,concept,氮化镓
2020-04-13,718.33,708.34,718.52,703.51,5118699.0,8400947968.0,2.06,-2.68,-19.51,1.29,BK0916,concept,氮化镓
2020-04-14,715.12,729.25,729.25,714.81,4904601.0,7864874240.0,2.04,2.95,20.91,1.23,BK0916,concept,氮化镓
2020-04-15,725.81,722.53,739.76,721.93,6100073.0,9910586112.0,2.44,-0.92,-6.72,1.53,BK0916,concept,氮化镓
2020-04-16,718.1,728.63,732.13,711.17,4897963.0,7326342912.0,2.9,0.84,6.1,1.23,BK0916,concept,氮化镓
2020-04-17,738.07,735.98,755.01,732.77,7860738.0,12654162176.0,3.05,1.01,7.35,1.98,BK0916,concept,氮化镓
2020-04-20,734.59,741.28,741.28,729.17,6284276.0,9208724736.0,1.65,0.72,5.3,1.58,BK0916,concept,氮化镓
2020-04-21,737.07,728.84,737.07,718.67,5681832.0,8510700800.0,2.48,-1.68,-12.44,1.43,BK0916,concept,氮化镓
2020-04-22,720.02,737.54,737.86,718.56,4676430.0,7216117760.0,2.65,1.19,8.7,1.18,BK0916,concept,氮化镓
2020-04-23,740.88,721.54,742.38,720.44,5011745.0,8314020096.0,2.97,-2.17,-16.0,1.26,BK0916,concept,氮化镓
2020-04-24,719.41,699.17,725.6,696.4,4836684.0,6948880384.0,4.05,-3.1,-22.37,1.22,BK0916,concept,氮化镓
2020-04-27,698.8,690.43,699.95,685.95,3408142.0,5441441024.0,2.0,-1.25,-8.74,0.86,BK0916,concept,氮化镓
2020-04-28,690.82,687.26,697.63,654.8,5560326.0,9369095168.0,6.2,-0.46,-3.17,1.4,BK0916,concept,氮化镓
2020-04-29,681.03,687.26,692.41,680.66,3576700.0,6271403264.0,1.71,0.0,0.0,0.9,BK0916,concept,氮化镓
2020-04-30,695.08,727.14,730.46,695.08,7229011.0,13289016320.0,5.15,5.8,39.88,1.82,BK0916,concept,氮化镓
