日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-12-10,975.06,948.43,987.28,945.72,5113076.0,3078329856.0,4.16,-5.16,-51.57,2.64,BK0967,concept,水产养殖
2020-12-11,930.67,955.91,987.72,928.19,5002466.0,2867495104.0,6.28,0.79,7.48,2.58,BK0967,concept,水产养殖
2020-12-14,923.6,946.23,956.03,922.2,4310661.0,2448672064.0,3.54,-1.01,-9.68,2.23,BK0967,concept,水产养殖
2020-12-15,941.12,917.27,945.17,911.91,3795473.0,2087923712.0,3.52,-3.06,-28.96,1.96,BK0967,concept,水产养殖
2020-12-16,912.08,930.13,942.19,910.44,3801271.0,2207510976.0,3.46,1.4,12.86,1.96,BK0967,concept,水产养殖
2020-12-17,919.49,956.97,967.96,917.84,4735700.0,2714532624.0,5.39,2.89,26.84,2.45,BK0967,concept,水产养殖
2020-12-18,950.39,938.08,953.96,930.34,3772613.0,2288085776.0,2.47,-1.97,-18.89,1.95,BK0967,concept,水产养殖
2020-12-21,930.82,949.59,955.09,922.45,3462064.0,2005705632.0,3.48,1.23,11.51,1.79,BK0967,concept,水产养殖
2020-12-22,940.71,962.44,984.21,937.04,5191722.0,3116700704.0,4.97,1.35,12.85,2.68,BK0967,concept,水产养殖
2020-12-23,942.6,982.54,998.44,942.6,5155884.0,3160238496.0,5.8,2.09,20.1,2.66,BK0967,concept,水产养殖
2020-12-24,977.24,967.06,989.15,941.48,4599074.0,2918694400.0,4.85,-1.58,-15.48,2.38,BK0967,concept,水产养殖
2020-12-25,949.56,941.25,963.06,930.64,3819801.0,2448915232.0,3.35,-2.67,-25.81,1.97,BK0967,concept,水产养殖
2020-12-28,928.45,923.37,947.63,921.19,2830591.0,1829413280.0,2.81,-1.9,-17.88,1.46,BK0967,concept,水产养殖
2020-12-29,921.32,878.89,921.32,877.24,3149246.0,1738503008.0,4.77,-4.82,-44.48,1.63,BK0967,concept,水产养殖
2020-12-30,875.46,895.19,903.5,874.41,2770158.0,1648320176.0,3.31,1.85,16.3,1.43,BK0967,concept,水产养殖
2020-12-31,892.49,898.25,904.8,889.59,2757929.0,1643883072.0,1.7,0.34,3.06,1.42,BK0967,concept,水产养殖
2021-01-04,897.53,936.27,937.55,897.07,3131395.0,1819067616.0,4.51,4.23,38.02,1.62,BK0967,concept,水产养殖
2021-01-05,943.63,983.18,989.78,941.85,3759329.0,2105843184.0,5.12,5.01,46.91,1.94,BK0967,concept,水产养殖
2021-01-06,988.96,945.61,995.25,936.53,4066203.0,2731266960.0,5.97,-3.82,-37.57,2.1,BK0967,concept,水产养殖
2021-01-07,941.91,966.87,993.8,941.91,4258496.0,2562947456.0,5.49,2.25,21.26,2.2,BK0967,concept,水产养殖
2021-01-08,945.01,921.56,945.45,915.28,3910190.0,2257472448.0,3.12,-4.69,-45.31,2.02,BK0967,concept,水产养殖
2021-01-11,917.98,863.69,920.49,860.91,3131786.0,1690209360.0,6.47,-6.28,-57.87,1.62,BK0967,concept,水产养殖
2021-01-12,861.83,875.9,892.85,861.14,2174585.0,1263769856.0,3.67,1.41,12.21,1.12,BK0967,concept,水产养殖
2021-01-13,870.37,846.79,876.18,841.28,2252310.0,1231866880.0,3.98,-3.32,-29.11,1.16,BK0967,concept,水产养殖
2021-01-14,837.18,815.84,837.71,812.89,1974106.0,1041341968.0,2.93,-3.65,-30.95,1.02,BK0967,concept,水产养殖
2021-01-15,814.0,829.73,837.97,811.37,2254703.0,1167573488.0,3.26,1.7,13.89,1.16,BK0967,concept,水产养殖
2021-01-18,821.32,855.42,857.91,821.32,3108644.0,1551375520.0,4.41,3.1,25.69,1.61,BK0967,concept,水产养殖
2021-01-19,841.36,844.39,854.8,839.35,2021987.0,1210849664.0,1.81,-1.29,-11.03,1.04,BK0967,concept,水产养殖
2021-01-20,834.38,826.73,834.38,818.43,1496071.0,827212304.0,1.89,-2.09,-17.66,0.77,BK0967,concept,水产养殖
2021-01-21,819.69,823.84,830.28,807.5,6446083.0,2081069776.0,2.76,-0.35,-2.89,3.33,BK0967,concept,水产养殖
2021-01-22,811.09,794.82,814.97,794.0,5791349.0,1693221216.0,2.55,-3.52,-29.02,2.99,BK0967,concept,水产养殖
2021-01-25,788.52,774.82,790.62,772.32,4124843.0,1325971312.0,2.3,-2.52,-20.0,2.13,BK0967,concept,水产养殖
2021-01-26,768.33,763.96,773.5,760.97,2654768.0,950884672.0,1.62,-1.4,-10.86,1.37,BK0967,concept,水产养殖
