日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-08-06,986.8,1001.76,1017.08,974.73,6148033.0,3370616976.0,4.24,0.18,1.76,1.79,BK0943,concept,汽车拆解
2020-08-07,987.23,964.07,987.23,954.02,4686076.0,2526699568.0,3.32,-3.76,-37.69,1.37,BK0943,concept,汽车拆解
2020-08-10,955.1,961.97,969.9,954.99,2674676.0,1434733520.0,1.55,-0.22,-2.1,0.78,BK0943,concept,汽车拆解
2020-08-11,964.86,950.7,976.99,945.87,3674750.0,2047677856.0,3.24,-1.17,-11.27,1.07,BK0943,concept,汽车拆解
2020-08-12,942.21,989.0,989.0,931.46,3945346.0,2201497552.0,6.05,4.03,38.3,1.15,BK0943,concept,汽车拆解
2020-08-13,1002.65,1004.92,1015.43,998.96,3072591.0,1647684320.0,1.67,1.61,15.92,0.9,BK0943,concept,汽车拆解
2020-08-14,1010.91,1033.0,1049.04,1003.09,7363795.0,4483402496.0,4.57,2.79,28.08,2.15,BK0943,concept,汽车拆解
2020-08-17,1018.83,1043.08,1044.83,1014.49,6313448.0,3908578608.0,2.94,0.98,10.08,1.84,BK0943,concept,汽车拆解
2020-08-18,1035.83,1042.79,1049.7,1031.25,4692784.0,2910482992.0,1.77,-0.03,-0.29,1.37,BK0943,concept,汽车拆解
2020-08-19,1050.03,1030.82,1056.97,1030.67,4950328.0,3289977712.0,2.52,-1.15,-11.97,1.44,BK0943,concept,汽车拆解
2020-08-20,1020.58,1003.67,1027.84,999.84,3445086.0,2261958896.0,2.72,-2.63,-27.15,1.0,BK0943,concept,汽车拆解
2020-08-21,1008.3,1010.74,1019.11,1000.69,5939895.0,3675886624.0,1.84,0.7,7.07,1.73,BK0943,concept,汽车拆解
2020-08-24,1003.55,1007.68,1008.59,992.74,4285811.0,2693985984.0,1.57,-0.3,-3.06,1.25,BK0943,concept,汽车拆解
2020-08-25,1003.78,988.94,1005.01,982.79,4793189.0,2942028000.0,2.21,-1.86,-18.74,1.4,BK0943,concept,汽车拆解
2020-08-26,984.38,995.9,1013.34,984.38,5884573.0,3471199696.0,2.93,0.7,6.96,1.71,BK0943,concept,汽车拆解
2020-08-27,996.79,979.68,999.21,970.02,5160409.0,3343332032.0,2.93,-1.63,-16.22,1.5,BK0943,concept,汽车拆解
2020-08-28,976.45,979.48,979.69,959.9,4071341.0,2449621616.0,2.02,-0.02,-0.2,1.19,BK0943,concept,汽车拆解
2020-08-31,978.71,972.08,988.88,972.08,3966232.0,2259825600.0,1.72,-0.76,-7.4,1.16,BK0943,concept,汽车拆解
2020-09-01,970.87,963.38,970.87,957.51,3521471.0,1922841616.0,1.37,-0.89,-8.7,1.03,BK0943,concept,汽车拆解
2020-09-02,964.77,961.35,965.98,955.74,3793128.0,2082014064.0,1.06,-0.21,-2.03,1.11,BK0943,concept,汽车拆解
2020-09-03,962.07,948.01,962.07,945.23,3329078.0,1855107584.0,1.75,-1.39,-13.34,0.97,BK0943,concept,汽车拆解
2020-09-04,932.14,941.46,943.43,929.85,2909204.0,1513404864.0,1.43,-0.69,-6.55,0.85,BK0943,concept,汽车拆解
2020-09-07,940.34,932.83,950.49,929.11,3451625.0,1811570288.0,2.27,-0.92,-8.63,1.01,BK0943,concept,汽车拆解
2020-09-08,936.33,955.67,955.79,929.72,4148311.0,1969784832.0,2.79,2.45,22.84,1.21,BK0943,concept,汽车拆解
2020-09-09,950.34,953.41,970.42,948.42,6388387.0,2785312928.0,2.3,-0.24,-2.26,1.86,BK0943,concept,汽车拆解
2020-09-10,958.56,917.82,959.63,915.31,5204001.0,2382138688.0,4.65,-3.73,-35.59,1.52,BK0943,concept,汽车拆解
2020-09-11,912.29,936.98,938.06,908.22,4748282.0,1856252928.0,3.25,2.09,19.16,1.38,BK0943,concept,汽车拆解
