日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2014-09-04,1000.88,1007.47,1008.36,997.74,139109512.0,123627884544.0,1.06,0.75,7.47,0.31,BK0707,concept,沪股通
2014-09-05,1009.3,1015.7,1016.56,1007.89,152197061.0,130107330560.0,0.86,0.82,8.23,0.34,BK0707,concept,沪股通
2014-09-09,1016.7,1014.7,1018.51,1011.67,140102039.0,120500875264.0,0.67,-0.1,-1.0,0.32,BK0707,concept,沪股通
2014-09-10,1012.15,1010.15,1012.15,1005.7,133700780.0,112124256256.0,0.64,-0.45,-4.55,0.3,BK0707,concept,沪股通
2014-09-11,1008.8,1007.26,1021.04,1005.43,157673748.0,137540857856.0,1.55,-0.29,-2.89,0.36,BK0707,concept,沪股通
2014-09-12,1006.07,1016.82,1016.82,1002.95,137234985.0,111386787840.0,1.38,0.95,9.56,0.31,BK0707,concept,沪股通
2014-09-15,1015.44,1018.17,1019.14,1011.22,153774574.0,128221822976.0,0.78,0.13,1.35,0.35,BK0707,concept,沪股通
2014-09-16,1019.0,1010.44,1030.14,1008.98,220811418.0,168257073152.0,2.08,-0.76,-7.73,0.5,BK0707,concept,沪股通
2014-09-17,1010.42,1013.55,1015.05,1004.59,152188058.0,110287474688.0,1.04,0.31,3.11,0.34,BK0707,concept,沪股通
2014-09-18,1011.37,1016.4,1019.32,1008.65,138427717.0,103589019648.0,1.05,0.28,2.85,0.31,BK0707,concept,沪股通
2014-09-19,1016.46,1020.5,1021.48,1010.95,127367020.0,101783359488.0,1.04,0.4,4.1,0.29,BK0707,concept,沪股通
2014-09-22,1016.57,1000.17,1016.9,997.99,125484708.0,101596057600.0,1.85,-1.99,-20.33,0.28,BK0707,concept,沪股通
2014-09-23,999.71,1007.02,1008.23,999.41,111196918.0,92473421824.0,0.88,0.68,6.85,0.25,BK0707,concept,沪股通
2014-09-24,1004.26,1021.81,1024.05,1002.27,165671252.0,134176051200.0,2.16,1.47,14.79,0.37,BK0707,concept,沪股通
2014-09-25,1026.64,1023.56,1031.38,1019.84,164564168.0,133277958144.0,1.13,0.17,1.75,0.37,BK0707,concept,沪股通
2014-09-26,1020.54,1024.49,1026.1,1017.17,126743286.0,104211267584.0,0.87,0.09,0.93,0.29,BK0707,concept,沪股通
2014-09-29,1025.97,1026.4,1030.87,1022.29,145044488.0,120292077568.0,0.84,0.19,1.91,0.33,BK0707,concept,沪股通
2014-09-30,1028.37,1028.68,1029.5,1023.83,138920655.0,116761927680.0,0.55,0.22,2.28,0.31,BK0707,concept,沪股通
2014-10-08,1030.44,1034.36,1034.36,1024.11,146063465.0,126972731392.0,1.0,0.55,5.68,0.33,BK0707,concept,沪股通
2014-10-09,1034.3,1038.01,1038.37,1029.73,170038643.0,141353254912.0,0.84,0.35,3.65,0.38,BK0707,concept,沪股通
2014-10-10,1034.1,1032.61,1036.15,1028.2,160920435.0,133986156544.0,0.77,-0.52,-5.4,0.36,BK0707,concept,沪股通
2014-10-13,1029.07,1027.1,1030.09,1019.25,146633915.0,125964849152.0,1.05,-0.53,-5.51,0.33,BK0707,concept,沪股通
2014-10-14,1025.45,1025.62,1034.18,1022.36,140579461.0,118831673344.0,1.15,-0.14,-1.48,0.32,BK0707,concept,沪股通
2014-10-15,1025.29,1032.06,1033.33,1020.71,151480492.0,125615607808.0,1.23,0.63,6.44,0.34,BK0707,concept,沪股通
2014-10-16,1027.42,1030.05,1042.48,1024.77,188519537.0,149770391552.0,1.72,-0.19,-2.01,0.42,BK0707,concept,沪股通
2014-10-17,1028.17,1022.48,1030.85,1013.47,154058066.0,124700307456.0,1.69,-0.73,-7.57,0.35,BK0707,concept,沪股通
2014-10-20,1024.57,1027.87,1028.95,1021.18,112439424.0,97040379904.0,0.76,0.53,5.39,0.25,BK0707,concept,沪股通
2014-10-21,1027.1,1020.67,1029.18,1018.73,118992292.0,101350359040.0,1.02,-0.7,-7.2,0.27,BK0707,concept,沪股通
2014-10-22,1020.18,1016.52,1025.21,1015.04,107486093.0,95923724288.0,1.0,-0.41,-4.15,0.24,BK0707,concept,沪股通
2014-10-23,1014.99,1007.57,1017.92,1005.54,119003981.0,100757438464.0,1.22,-0.88,-8.95,0.27,BK0707,concept,沪股通
2014-10-24,1007.63,1007.02,1012.05,1004.88,93811917.0,78769258496.0,0.71,-0.05,-0.55,0.21,BK0707,concept,沪股通
2014-10-27,1003.4,998.97,1003.43,995.5,92678287.0,79614181376.0,0.79,-0.8,-8.05,0.21,BK0707,concept,沪股通
2014-10-28,1000.01,1018.12,1018.48,1000.01,131951186.0,113882091520.0,1.85,1.92,19.15,0.3,BK0707,concept,沪股通
2014-10-29,1019.99,1034.68,1038.34,1018.97,200993728.0,165110489088.0,1.9,1.63,16.56,0.45,BK0707,concept,沪股通
2014-10-30,1033.9,1049.32,1051.98,1030.91,230760794.0,167391907840.0,2.04,1.41,14.64,0.52,BK0707,concept,沪股通
2014-10-31,1050.21,1067.33,1071.11,1048.89,273265889.0,203711504384.0,2.12,1.72,18.01,0.62,BK0707,concept,沪股通
2014-11-03,1069.22,1070.87,1074.95,1065.92,245182267.0,181624893440.0,0.85,0.33,3.54,0.55,BK0707,concept,沪股通
2014-11-04,1070.35,1075.66,1077.22,1064.93,258929702.0,184261373952.0,1.15,0.45,4.79,0.58,BK0707,concept,沪股通
2014-11-05,1075.95,1065.61,1077.29,1064.66,214588672.0,159897726976.0,1.17,-0.93,-10.05,0.48,BK0707,concept,沪股通
2014-11-06,1065.44,1065.94,1068.92,1057.29,177242673.0,139065229312.0,1.09,0.03,0.33,0.4,BK0707,concept,沪股通
2014-11-07,1066.06,1062.26,1079.14,1057.59,240213742.0,195265912832.0,2.02,-0.35,-3.68,0.54,BK0707,concept,沪股通
2014-11-10,1070.36,1091.88,1092.17,1068.59,256906386.0,203847188480.0,2.22,2.79,29.62,0.58,BK0707,concept,沪股通
2014-11-11,1097.8,1110.91,1129.58,1097.8,356055496.0,281364455424.0,2.91,1.74,19.03,0.8,BK0707,concept,沪股通
2014-11-12,1100.5,1112.95,1113.4,1093.27,210468116.0,175447080960.0,1.81,0.18,2.04,0.47,BK0707,concept,沪股通
2014-11-13,1113.78,1111.65,1123.61,1103.68,245725350.0,211336298496.0,1.79,-0.12,-1.3,0.55,BK0707,concept,沪股通
2014-11-14,1110.06,1109.34,1112.37,1097.61,181013294.0,156373561344.0,1.33,-0.21,-2.31,0.41,BK0707,concept,沪股通
