日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-02-03,994.12,974.66,996.15,972.8,7223291.0,37637539072.0,2.34,-2.53,-25.34,10.97,BK0971,concept,注册制次新股
2021-02-04,967.5,955.19,975.55,940.93,7154563.0,37326956800.0,3.55,-2.0,-19.47,10.87,BK0971,concept,注册制次新股
2021-02-05,953.8,925.94,963.52,925.94,6352361.0,33564276992.0,3.93,-3.06,-29.25,9.65,BK0971,concept,注册制次新股
2021-02-08,923.82,908.05,925.91,907.97,5392715.0,28526894080.0,1.94,-1.93,-17.89,8.19,BK0971,concept,注册制次新股
2021-02-09,910.02,922.99,927.29,910.01,5347915.0,31785404160.0,1.9,1.65,14.94,8.13,BK0971,concept,注册制次新股
2021-02-10,924.47,929.44,933.52,924.26,5319252.0,32337003520.0,1.0,0.7,6.45,8.08,BK0971,concept,注册制次新股
2021-02-18,939.76,950.35,956.55,939.76,6043369.0,36532981248.0,1.81,2.25,20.91,9.18,BK0971,concept,注册制次新股
2021-02-19,948.7,970.17,970.34,945.8,5530632.0,32089905664.0,2.58,2.09,19.82,8.4,BK0971,concept,注册制次新股
2021-02-22,971.4,967.73,988.64,967.73,6573446.0,35290404096.0,2.16,-0.25,-2.44,9.99,BK0971,concept,注册制次新股
2021-02-23,962.8,964.23,970.81,951.27,5966887.0,32079250944.0,2.02,-0.36,-3.5,9.07,BK0971,concept,注册制次新股
2021-02-24,961.74,960.48,973.6,951.01,6194650.0,36546852352.0,2.34,-0.39,-3.75,9.41,BK0971,concept,注册制次新股
2021-02-25,964.9,950.43,968.34,949.24,5813467.0,30685390336.0,1.99,-1.05,-10.05,8.83,BK0971,concept,注册制次新股
2021-02-26,936.69,946.07,952.81,933.9,5654369.0,30637288960.0,1.99,-0.46,-4.36,8.59,BK0971,concept,注册制次新股
2021-03-01,947.98,970.07,970.07,947.98,5356467.0,28609669120.0,2.33,2.54,24.0,8.14,BK0971,concept,注册制次新股
2021-03-02,973.42,963.92,974.29,956.79,5662155.0,29417924864.0,1.8,-0.63,-6.15,8.6,BK0971,concept,注册制次新股
2021-03-03,960.62,977.92,978.01,959.66,5374715.0,27120947456.0,1.9,1.45,14.0,8.17,BK0971,concept,注册制次新股
2021-03-04,972.85,960.5,977.72,958.89,6679767.0,34034032384.0,1.93,-1.78,-17.42,10.15,BK0971,concept,注册制次新股
2021-03-05,953.53,969.47,973.38,952.8,5335643.0,27337005568.0,2.14,0.93,8.97,8.11,BK0971,concept,注册制次新股
2021-03-08,974.44,963.8,988.74,963.8,7141909.0,36319361280.0,2.57,-0.58,-5.67,10.85,BK0971,concept,注册制次新股
2021-03-09,961.59,921.95,962.45,916.46,7052347.0,33058849536.0,4.77,-4.34,-41.85,10.72,BK0971,concept,注册制次新股
2021-03-10,928.07,915.63,933.78,914.18,5357389.0,26470725120.0,2.13,-0.69,-6.32,8.14,BK0971,concept,注册制次新股
2021-03-11,914.96,926.54,927.22,907.02,5399816.0,29071072768.0,2.21,1.19,10.91,8.2,BK0971,concept,注册制次新股
2021-03-12,926.52,917.59,927.18,915.52,5448401.0,27588956928.0,1.26,-0.97,-8.95,8.28,BK0971,concept,注册制次新股
2021-03-15,913.65,899.05,914.15,893.41,4654484.0,23499039232.0,2.26,-2.02,-18.54,7.07,BK0971,concept,注册制次新股
2021-03-16,900.24,906.95,907.75,893.96,4602179.0,22081874688.0,1.53,0.88,7.9,6.99,BK0971,concept,注册制次新股
2021-03-17,905.39,922.57,924.0,902.44,5031514.0,23149790464.0,2.38,1.72,15.62,7.64,BK0971,concept,注册制次新股
2021-03-18,922.83,926.56,930.07,921.77,6137831.0,28321364480.0,0.9,0.43,3.99,9.33,BK0971,concept,注册制次新股
