日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2011-02-17,1001.56,1039.93,1040.19,1001.3,101715.0,799374479.0,3.89,3.99,39.93,0.01,BK0601,concept,海工装备
2011-02-24,1038.56,1050.39,1066.22,1027.12,1451670.0,2433330507.82,3.76,1.01,10.46,0.13,BK0601,concept,海工装备
2011-02-25,1050.13,1045.03,1057.27,1025.93,1202073.0,2000454567.14,2.98,-0.51,-5.36,0.1,BK0601,concept,海工装备
2011-02-28,1047.38,1092.27,1099.78,1040.07,1833202.0,3166739427.32,5.71,4.52,47.24,0.16,BK0601,concept,海工装备
2011-03-01,1091.56,1075.0,1103.38,1064.48,1667322.0,2884837412.56,3.56,-1.58,-17.27,0.14,BK0601,concept,海工装备
2011-03-02,1067.29,1063.69,1086.49,1044.41,1445513.0,2469322471.87,3.91,-1.05,-11.31,0.12,BK0601,concept,海工装备
2011-03-03,1067.48,1038.14,1082.16,1030.58,1692205.0,2805426546.51,4.85,-2.4,-25.55,0.15,BK0601,concept,海工装备
2011-03-04,1035.97,1044.04,1055.37,1016.05,1285398.0,2926748216.28,3.79,0.57,5.9,0.11,BK0601,concept,海工装备
2011-03-07,1047.9,1059.07,1069.2,1037.95,1523806.0,3196432060.0,2.99,1.44,15.03,0.13,BK0601,concept,海工装备
2011-03-08,1060.07,1052.04,1070.25,1038.05,1351967.0,2818021972.97,3.04,-0.66,-7.03,0.12,BK0601,concept,海工装备
2011-03-09,1055.21,1090.92,1100.02,1053.23,3148284.0,5367402192.03,4.45,3.7,38.88,0.27,BK0601,concept,海工装备
2011-03-10,1082.3,1069.65,1092.45,1059.11,1855127.0,3715094302.26,3.06,-1.95,-21.27,0.16,BK0601,concept,海工装备
2011-03-14,1060.08,1054.85,1088.01,1042.25,1983945.0,3418517645.68,4.28,-1.38,-14.8,0.17,BK0601,concept,海工装备
2011-03-15,1052.78,1046.24,1062.76,1015.21,1812442.0,3414762882.93,4.51,-0.82,-8.61,0.16,BK0601,concept,海工装备
2011-03-16,1042.34,1052.29,1064.8,1033.98,1291668.0,2534030512.45,2.95,0.58,6.05,0.11,BK0601,concept,海工装备
2011-03-17,1040.3,1028.91,1056.57,1013.34,1542054.0,2997488228.44,4.11,-2.22,-23.38,0.13,BK0601,concept,海工装备
2011-03-18,1039.66,1031.53,1050.28,1017.37,806426.0,1653509823.0,3.2,0.25,2.62,0.07,BK0601,concept,海工装备
2011-03-21,1031.16,1027.28,1045.25,1018.48,755835.0,1668485231.63,2.6,-0.41,-4.25,0.07,BK0601,concept,海工装备
2011-03-22,1032.35,1034.88,1047.7,1008.96,916740.0,1929902662.7,3.77,0.74,7.6,0.08,BK0601,concept,海工装备
2011-03-23,1037.44,1050.63,1063.06,1034.06,1182540.0,2215023912.68,2.8,1.52,15.75,0.1,BK0601,concept,海工装备
2011-03-24,1053.06,1048.94,1064.45,1042.22,844149.0,1756197314.49,2.12,-0.16,-1.69,0.07,BK0601,concept,海工装备
2011-03-25,1050.45,1053.2,1064.2,1041.2,1127417.0,2402161874.67,2.19,0.41,4.26,0.1,BK0601,concept,海工装备
2011-03-28,1053.86,1022.09,1059.58,1013.55,1518032.0,3060098292.65,4.37,-2.95,-31.11,0.13,BK0601,concept,海工装备
2011-03-29,1019.15,1000.7,1026.14,990.6,1172904.0,2374834310.96,3.48,-2.09,-21.39,0.1,BK0601,concept,海工装备
2011-03-30,997.08,984.71,1011.86,974.67,1109741.0,2155498141.18,3.72,-1.6,-15.99,0.1,BK0601,concept,海工装备
2011-03-31,983.53,983.3,998.39,971.43,816029.0,1680376292.43,2.74,-0.14,-1.41,0.07,BK0601,concept,海工装备
