日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2012-10-24,998.37,1035.63,1035.63,997.33,909631.0,579505760.0,3.83,3.56,35.63,0.08,BK0623,concept,海洋经济
2012-10-25,1034.58,1033.44,1056.85,1030.9,1312723.0,759428944.0,2.51,-0.21,-2.19,0.11,BK0623,concept,海洋经济
2012-10-26,1027.77,996.84,1030.62,995.89,1640868.0,875356032.0,3.36,-3.54,-36.6,0.14,BK0623,concept,海洋经济
2012-10-29,992.74,993.01,998.93,988.65,719276.0,421363872.0,1.03,-0.38,-3.83,0.06,BK0623,concept,海洋经济
2012-10-30,995.49,1003.86,1014.88,991.53,912517.0,486189728.0,2.35,1.09,10.85,0.08,BK0623,concept,海洋经济
2012-10-31,1002.6,998.69,1002.6,989.7,802833.0,451864784.0,1.29,-0.52,-5.17,0.07,BK0623,concept,海洋经济
2012-11-01,999.46,1020.13,1022.82,999.46,1204725.0,764339904.0,2.34,2.15,21.44,0.1,BK0623,concept,海洋经济
2012-11-02,1021.36,1027.15,1029.12,1014.79,916347.0,573344096.0,1.4,0.69,7.02,0.08,BK0623,concept,海洋经济
2012-11-05,1023.76,1028.0,1030.27,1021.15,820298.0,521660320.0,0.89,0.08,0.85,0.07,BK0623,concept,海洋经济
2012-11-06,1026.98,1019.37,1028.78,1005.75,927145.0,702864304.0,2.24,-0.84,-8.63,0.08,BK0623,concept,海洋经济
2012-11-07,1017.97,1016.9,1024.14,1013.38,862172.0,842913920.0,1.06,-0.24,-2.47,0.07,BK0623,concept,海洋经济
2012-11-08,1008.56,989.45,1008.56,987.2,904025.0,733793696.0,2.1,-2.7,-27.45,0.08,BK0623,concept,海洋经济
2012-11-09,986.77,984.93,992.21,982.22,714305.0,596842208.0,1.01,-0.46,-4.52,0.06,BK0623,concept,海洋经济
2012-11-12,986.12,996.88,997.07,984.45,884377.0,771003968.0,1.28,1.21,11.95,0.07,BK0623,concept,海洋经济
2012-11-13,994.76,975.72,994.76,973.18,797543.0,596816192.0,2.16,-2.12,-21.16,0.07,BK0623,concept,海洋经济
2012-11-14,974.56,983.43,988.85,972.92,715208.0,505626048.0,1.63,0.79,7.71,0.06,BK0623,concept,海洋经济
2012-11-15,978.78,966.02,981.31,966.02,584394.0,447393520.0,1.55,-1.77,-17.41,0.05,BK0623,concept,海洋经济
2012-11-16,966.49,962.63,969.94,957.68,574030.0,437774784.0,1.27,-0.35,-3.39,0.05,BK0623,concept,海洋经济
2012-11-19,964.03,966.77,968.72,955.83,504740.0,412924096.0,1.34,0.43,4.14,0.04,BK0623,concept,海洋经济
2012-11-20,969.76,961.84,972.11,959.23,558133.0,406073088.0,1.33,-0.51,-4.93,0.05,BK0623,concept,海洋经济
2012-11-21,961.64,997.68,1005.71,957.6,1147321.0,650462000.0,5.0,3.73,35.84,0.1,BK0623,concept,海洋经济
2012-11-22,988.23,980.75,989.3,977.52,706084.0,481883232.0,1.18,-1.7,-16.93,0.06,BK0623,concept,海洋经济
2012-11-23,983.69,990.51,998.28,981.29,799883.0,519564976.0,1.73,1.0,9.76,0.07,BK0623,concept,海洋经济
2012-11-26,987.21,982.15,990.33,979.5,672017.0,481211184.0,1.09,-0.84,-8.36,0.06,BK0623,concept,海洋经济
2012-11-27,979.66,956.39,979.93,953.87,976119.0,670506272.0,2.65,-2.62,-25.76,0.08,BK0623,concept,海洋经济
2012-11-28,953.12,949.97,955.19,942.78,750437.0,494838784.0,1.3,-0.67,-6.42,0.06,BK0623,concept,海洋经济
2012-11-29,949.27,942.12,955.09,940.51,630916.0,391288848.0,1.53,-0.83,-7.85,0.05,BK0623,concept,海洋经济
2012-11-30,941.38,950.03,953.23,937.5,790757.0,480049792.0,1.67,0.84,7.91,0.07,BK0623,concept,海洋经济
2012-12-03,947.63,942.86,958.85,941.27,835284.0,482486320.0,1.85,-0.75,-7.17,0.07,BK0623,concept,海洋经济
2012-12-04,940.58,951.04,952.73,934.74,906860.0,564162512.0,1.91,0.87,8.18,0.08,BK0623,concept,海洋经济
2012-12-05,949.98,973.9,988.43,945.39,1918887.0,1075026592.0,4.53,2.4,22.86,0.16,BK0623,concept,海洋经济
2012-12-06,974.99,973.18,979.82,967.2,1062389.0,675759200.0,1.3,-0.07,-0.72,0.09,BK0623,concept,海洋经济
2012-12-07,972.44,998.19,998.19,968.92,1912816.0,1196991168.0,3.01,2.57,25.01,0.16,BK0623,concept,海洋经济
2012-12-10,999.79,1005.52,1009.67,996.97,1765769.0,1162875600.0,1.27,0.73,7.33,0.15,BK0623,concept,海洋经济
2012-12-11,1000.23,998.05,1005.29,995.31,1366476.0,901753600.0,0.99,-0.74,-7.47,0.11,BK0623,concept,海洋经济
2012-12-12,997.87,997.8,1000.97,989.08,1119785.0,845823616.0,1.19,-0.03,-0.25,0.09,BK0623,concept,海洋经济
2012-12-13,990.96,983.97,995.24,982.72,1032626.0,708063376.0,1.25,-1.39,-13.83,0.09,BK0623,concept,海洋经济
2012-12-14,987.68,1024.48,1025.99,986.55,2450763.0,1561059568.0,4.01,4.12,40.51,0.21,BK0623,concept,海洋经济
2012-12-17,1025.67,1030.06,1044.43,1022.91,2258947.0,1363589520.0,2.1,0.54,5.58,0.19,BK0623,concept,海洋经济
2012-12-18,1025.57,1026.1,1040.39,1017.49,2242354.0,1659276832.0,2.22,-0.38,-3.96,0.19,BK0623,concept,海洋经济
2012-12-19,1024.78,1020.44,1026.6,1017.61,1479057.0,1049556672.0,0.88,-0.55,-5.66,0.12,BK0623,concept,海洋经济
2012-12-20,1017.6,1021.61,1025.04,1009.15,1389531.0,931217536.0,1.56,0.11,1.17,0.12,BK0623,concept,海洋经济
2012-12-21,1024.95,1025.25,1047.61,1020.13,2246497.0,1392955280.0,2.69,0.36,3.64,0.19,BK0623,concept,海洋经济
2012-12-24,1024.34,1018.52,1030.35,1013.38,1246893.0,876341472.0,1.66,-0.66,-6.73,0.1,BK0623,concept,海洋经济
2012-12-25,1016.92,1038.8,1042.13,1014.4,2281466.0,1597877248.0,2.72,1.99,20.28,0.19,BK0623,concept,海洋经济
2012-12-26,1038.45,1049.9,1050.37,1036.16,2106010.0,1706924368.0,1.37,1.07,11.1,0.18,BK0623,concept,海洋经济
2012-12-27,1051.77,1037.25,1054.86,1034.84,1868084.0,1358010656.0,1.91,-1.2,-12.65,0.16,BK0623,concept,海洋经济
2012-12-28,1034.69,1042.65,1043.22,1032.55,1543011.0,1101806224.0,1.03,0.52,5.4,0.13,BK0623,concept,海洋经济
2012-12-31,1041.77,1053.8,1057.06,1035.82,2112552.0,1354525392.0,2.04,1.07,11.15,0.18,BK0623,concept,海洋经济
2013-01-04,1071.03,1072.39,1085.49,1063.79,3288026.0,2038469872.0,2.06,1.76,18.59,0.28,BK0623,concept,海洋经济
2013-01-07,1070.33,1084.44,1085.7,1066.58,2113553.0,1475280144.0,1.78,1.12,12.05,0.18,BK0623,concept,海洋经济
2013-01-08,1083.86,1077.14,1085.81,1067.46,2185022.0,1730280000.0,1.69,-0.67,-7.3,0.18,BK0623,concept,海洋经济
2013-01-09,1076.89,1072.09,1081.56,1064.55,2004789.0,1643553760.0,1.58,-0.47,-5.05,0.17,BK0623,concept,海洋经济
2013-01-10,1071.71,1091.3,1103.92,1071.19,2359240.0,1621261504.0,3.05,1.79,19.21,0.2,BK0623,concept,海洋经济
2013-01-11,1091.8,1059.07,1094.29,1056.79,2317618.0,1736466384.0,3.44,-2.95,-32.23,0.19,BK0623,concept,海洋经济
2013-01-14,1056.35,1087.59,1091.31,1054.22,2366993.0,1753766640.0,3.5,2.69,28.52,0.2,BK0623,concept,海洋经济
2013-01-15,1087.92,1096.44,1099.0,1081.63,2740250.0,2271204656.0,1.6,0.81,8.85,0.23,BK0623,concept,海洋经济
2013-01-16,1095.8,1092.72,1097.35,1071.26,2436641.0,1925898928.0,2.38,-0.34,-3.72,0.2,BK0623,concept,海洋经济
2013-01-17,1089.56,1080.15,1102.68,1078.32,2253419.0,1656622336.0,2.23,-1.15,-12.57,0.19,BK0623,concept,海洋经济
2013-01-18,1086.49,1091.77,1094.14,1077.29,1727784.0,1350038160.0,1.56,1.08,11.62,0.14,BK0623,concept,海洋经济
2013-01-21,1099.65,1135.27,1137.99,1099.65,3436870.0,2023336768.0,3.51,3.98,43.5,0.29,BK0623,concept,海洋经济
2013-01-22,1137.18,1110.83,1137.18,1104.14,2833055.0,1862054800.0,2.91,-2.15,-24.44,0.24,BK0623,concept,海洋经济
2013-01-23,1111.74,1112.81,1120.5,1099.72,2231511.0,1945407584.0,1.87,0.18,1.98,0.19,BK0623,concept,海洋经济
2013-01-24,1112.36,1097.98,1131.71,1090.56,2905181.0,2161551632.0,3.7,-1.33,-14.83,0.24,BK0623,concept,海洋经济
2013-01-25,1096.12,1095.77,1105.41,1090.17,1611507.0,1064554112.0,1.39,-0.2,-2.21,0.14,BK0623,concept,海洋经济
2013-01-28,1089.51,1110.62,1111.06,1089.51,1746772.0,1287638432.0,1.97,1.36,14.85,0.15,BK0623,concept,海洋经济
2013-01-29,1110.03,1110.02,1110.54,1101.19,1817738.0,1257865040.0,0.84,-0.05,-0.6,0.15,BK0623,concept,海洋经济
