日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-02-07,1055.05,1060.6,1076.94,1022.73,9212630.0,7408071168.0,5.42,6.06,60.6,1.63,BK0913,concept,消毒剂
2020-02-10,1069.41,1013.4,1069.41,990.56,9005771.0,7787056640.0,7.43,-4.45,-47.2,1.6,BK0913,concept,消毒剂
2020-02-11,995.82,969.66,997.79,964.86,6281747.0,6464494336.0,3.25,-4.32,-43.74,1.11,BK0913,concept,消毒剂
2020-02-12,964.0,973.62,979.07,958.11,4413393.0,4767743744.0,2.16,0.41,3.96,0.78,BK0913,concept,消毒剂
2020-02-13,974.46,953.58,974.65,944.54,4474975.0,4943456000.0,3.09,-2.06,-20.04,0.79,BK0913,concept,消毒剂
2020-02-14,951.81,958.25,963.88,948.45,5335862.0,5602013952.0,1.62,0.49,4.67,0.95,BK0913,concept,消毒剂
2020-02-17,962.76,982.01,982.01,962.76,5517213.0,5744698112.0,2.01,2.48,23.76,0.98,BK0913,concept,消毒剂
2020-02-18,986.79,1008.15,1008.28,982.39,6606131.0,6704732160.0,2.64,2.66,26.14,1.17,BK0913,concept,消毒剂
2020-02-19,1007.9,997.79,1014.04,997.1,6715175.0,7326613504.0,1.68,-1.03,-10.36,1.19,BK0913,concept,消毒剂
2020-02-20,1000.38,1010.23,1010.23,990.23,6211906.0,6186037248.0,2.0,1.25,12.44,1.1,BK0913,concept,消毒剂
2020-02-21,1009.45,1015.06,1018.12,1002.02,6669319.0,7154269952.0,1.59,0.48,4.83,1.18,BK0913,concept,消毒剂
2020-02-24,1016.99,1044.2,1046.81,1013.36,6863103.0,8064152576.0,3.3,2.87,29.14,1.22,BK0913,concept,消毒剂
2020-02-25,1021.48,1054.13,1054.89,1007.1,7625772.0,9079413504.0,4.58,0.95,9.93,1.35,BK0913,concept,消毒剂
2020-02-26,1042.38,1026.1,1049.56,1021.62,6368608.0,7050315520.0,2.65,-2.66,-28.03,1.13,BK0913,concept,消毒剂
2020-02-27,1034.05,1015.14,1036.88,1003.06,4856748.0,6137796608.0,3.3,-1.07,-10.96,0.86,BK0913,concept,消毒剂
2020-02-28,984.04,976.82,1005.79,976.6,5330619.0,6821473792.0,2.88,-3.77,-38.32,0.94,BK0913,concept,消毒剂
2020-03-02,989.06,1016.39,1021.91,989.06,4389932.0,6024961280.0,3.36,4.05,39.57,0.78,BK0913,concept,消毒剂
2020-03-03,1023.24,1027.63,1039.17,1019.8,5056491.0,6779021568.0,1.91,1.11,11.24,0.9,BK0913,concept,消毒剂
2020-03-04,1021.21,1019.09,1027.25,1004.72,3762668.0,5098546432.0,2.19,-0.83,-8.54,0.67,BK0913,concept,消毒剂
2020-03-05,1029.77,1029.0,1033.44,1015.92,3910343.0,4752872960.0,1.72,0.97,9.91,0.69,BK0913,concept,消毒剂
2020-03-06,1016.87,1028.89,1037.59,1014.77,4168716.0,4607974656.0,2.22,-0.01,-0.11,0.74,BK0913,concept,消毒剂
2020-03-09,1023.7,1023.01,1035.88,1019.28,5367512.0,6323467264.0,1.61,-0.57,-5.88,0.95,BK0913,concept,消毒剂
2020-03-10,1010.06,1026.2,1030.06,985.02,5078775.0,6108642304.0,4.4,0.31,3.19,0.9,BK0913,concept,消毒剂
2020-03-11,1025.25,1020.14,1040.14,1019.28,4381223.0,5449655808.0,2.03,-0.59,-6.06,0.78,BK0913,concept,消毒剂
2020-03-12,1007.22,993.66,1017.75,987.75,3280128.0,4060331936.0,2.94,-2.6,-26.48,0.58,BK0913,concept,消毒剂
2020-03-13,934.89,963.91,974.91,932.09,3717950.0,4266016000.0,4.31,-2.99,-29.75,0.66,BK0913,concept,消毒剂
2020-03-16,969.13,928.78,976.01,926.2,3875853.0,4926078720.0,5.17,-3.64,-35.13,0.69,BK0913,concept,消毒剂
2020-03-17,928.91,912.13,936.31,877.21,3178858.0,3847141216.0,6.36,-1.79,-16.65,0.56,BK0913,concept,消毒剂
2020-03-18,917.83,893.79,928.74,893.79,2934165.0,3239949216.0,3.83,-2.01,-18.34,0.52,BK0913,concept,消毒剂
2020-03-19,890.24,904.05,908.54,874.59,3447156.0,3600472928.0,3.8,1.15,10.26,0.61,BK0913,concept,消毒剂
2020-03-20,909.58,912.16,916.4,899.89,2905245.0,3356837392.0,1.83,0.9,8.11,0.51,BK0913,concept,消毒剂
2020-03-23,893.7,870.89,898.86,868.09,2853565.0,3887998400.0,3.37,-4.52,-41.27,0.51,BK0913,concept,消毒剂
2020-03-24,885.25,886.59,889.77,865.05,2640877.0,3452360160.0,2.84,1.8,15.7,0.47,BK0913,concept,消毒剂
2020-03-25,906.01,913.83,915.3,899.47,3320854.0,4163652032.0,1.79,3.07,27.24,0.59,BK0913,concept,消毒剂
2020-03-26,911.0,917.72,925.0,907.57,3403768.0,5864332032.0,1.91,0.43,3.89,0.6,BK0913,concept,消毒剂
2020-03-27,927.55,917.29,928.73,912.49,3274390.0,6270294528.0,1.77,-0.05,-0.43,0.58,BK0913,concept,消毒剂
2020-03-30,915.48,915.28,920.36,901.83,4088089.0,7720304384.0,2.02,-0.22,-2.01,0.72,BK0913,concept,消毒剂
2020-03-31,919.03,914.69,920.92,910.65,3125580.0,5707964928.0,1.12,-0.06,-0.59,0.55,BK0913,concept,消毒剂
2020-04-01,908.28,897.95,919.21,896.86,3079775.0,5921229568.0,2.44,-1.83,-16.74,0.55,BK0913,concept,消毒剂
2020-04-02,895.48,927.35,927.35,895.15,3589378.0,7507776256.0,3.59,3.27,29.4,0.64,BK0913,concept,消毒剂
2020-04-03,930.9,932.12,944.21,927.31,3866442.0,8467335168.0,1.82,0.51,4.77,0.68,BK0913,concept,消毒剂
2020-04-07,948.86,971.91,974.21,944.77,4921801.0,9034211328.0,3.16,4.27,39.79,0.87,BK0913,concept,消毒剂
2020-04-08,964.35,961.77,969.3,957.29,4255769.0,7479300864.0,1.24,-1.04,-10.14,0.75,BK0913,concept,消毒剂
2020-04-09,967.93,977.4,980.75,966.7,4289924.0,7708180224.0,1.46,1.63,15.63,0.76,BK0913,concept,消毒剂
2020-04-10,972.14,950.38,980.72,948.52,4319157.0,6664414720.0,3.29,-2.76,-27.02,0.77,BK0913,concept,消毒剂
2020-04-13,940.05,943.79,950.18,930.8,2792163.0,4316795904.0,2.04,-0.69,-6.59,0.49,BK0913,concept,消毒剂
2020-04-14,945.68,949.48,949.48,934.24,3005702.0,4607367168.0,1.61,0.6,5.69,0.53,BK0913,concept,消毒剂
2020-04-15,942.84,941.66,955.62,939.66,4274199.0,6107755008.0,1.68,-0.82,-7.82,0.76,BK0913,concept,消毒剂
2020-04-16,931.85,940.31,943.97,926.06,3457305.0,5180888576.0,1.9,-0.14,-1.35,0.61,BK0913,concept,消毒剂
2020-04-17,942.41,928.77,945.06,928.67,3246325.0,4801400832.0,1.74,-1.23,-11.54,0.58,BK0913,concept,消毒剂
2020-04-20,932.27,950.23,950.68,932.27,3450032.0,6668210944.0,1.98,2.31,21.46,0.61,BK0913,concept,消毒剂
2020-04-21,947.26,945.02,947.26,931.98,3396360.0,5336644352.0,1.61,-0.55,-5.21,0.6,BK0913,concept,消毒剂
2020-04-22,938.93,944.49,947.91,933.87,2918577.0,4445548544.0,1.49,-0.06,-0.53,0.52,BK0913,concept,消毒剂
2020-04-23,949.54,954.11,963.56,945.31,4320569.0,5304920576.0,1.93,1.02,9.62,0.77,BK0913,concept,消毒剂
2020-04-24,945.59,920.24,948.99,917.82,4276613.0,4771028224.0,3.27,-3.55,-33.87,0.76,BK0913,concept,消毒剂
2020-04-27,913.48,894.24,915.26,892.69,3182087.0,3457095920.0,2.45,-2.83,-26.0,0.56,BK0913,concept,消毒剂
2020-04-28,893.57,864.4,894.13,842.84,2903295.0,3142496384.0,5.74,-3.34,-29.84,0.51,BK0913,concept,消毒剂
2020-04-29,859.8,862.44,868.73,858.86,2055314.0,2370249376.0,1.14,-0.23,-1.96,0.36,BK0913,concept,消毒剂
2020-04-30,868.21,885.22,887.52,868.21,2379484.0,2905325696.0,2.24,2.64,22.78,0.42,BK0913,concept,消毒剂
2020-05-06,878.22,907.05,907.6,876.89,2739680.0,3630429248.0,3.47,2.47,21.83,0.49,BK0913,concept,消毒剂
2020-05-07,907.11,901.44,908.09,897.77,2385110.0,3186241152.0,1.14,-0.62,-5.61,0.42,BK0913,concept,消毒剂
2020-05-08,904.97,911.33,911.67,901.18,2293513.0,3399530064.0,1.16,1.1,9.89,0.41,BK0913,concept,消毒剂
