日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-04-27,979.68,907.11,979.68,894.13,8910589.0,15259017580.0,8.56,-9.29,-92.89,1.65,BK1138,concept,液冷概念
2023-04-28,883.15,922.74,941.8,883.15,7887528.0,13156862643.0,6.47,1.72,15.63,1.46,BK1138,concept,液冷概念
2023-05-04,915.06,931.24,932.38,895.71,8146832.0,13029822852.0,3.97,0.92,8.5,1.51,BK1138,concept,液冷概念
2023-05-05,919.6,861.56,919.6,861.56,7016675.0,11816539274.0,6.23,-7.48,-69.68,1.3,BK1138,concept,液冷概念
2023-05-08,860.63,862.27,866.99,845.52,6159222.0,12506337293.0,2.49,0.08,0.71,1.14,BK1138,concept,液冷概念
2023-05-09,856.58,834.47,866.64,834.12,6606351.0,12589710885.0,3.77,-3.22,-27.8,1.22,BK1138,concept,液冷概念
2023-05-10,833.26,825.38,839.07,818.88,5309159.0,10890180331.0,2.42,-1.09,-9.09,0.98,BK1138,concept,液冷概念
2023-05-11,826.06,809.54,827.14,807.99,4521428.0,8519509097.0,2.32,-1.92,-15.84,0.84,BK1138,concept,液冷概念
2023-05-12,806.63,800.7,815.1,798.12,3665570.0,6825885846.0,2.1,-1.09,-8.84,0.68,BK1138,concept,液冷概念
2023-05-15,803.47,813.8,813.8,792.37,4046559.0,7753814584.0,2.68,1.64,13.1,0.75,BK1138,concept,液冷概念
2023-05-16,814.33,797.69,814.6,794.61,3521744.0,7493447667.0,2.46,-1.98,-16.11,0.65,BK1138,concept,液冷概念
2023-05-17,792.46,810.25,813.78,792.35,4726310.0,10337027287.0,2.69,1.57,12.56,0.88,BK1138,concept,液冷概念
2023-05-18,811.18,834.02,837.57,811.18,5621682.0,12419369489.0,3.26,2.93,23.77,1.04,BK1138,concept,液冷概念
2023-05-19,829.65,837.8,843.26,824.59,5230341.0,10942429799.0,2.24,0.45,3.78,0.97,BK1138,concept,液冷概念
2023-05-22,831.56,831.61,834.63,824.76,5339123.0,12928265684.0,1.18,-0.74,-6.19,0.99,BK1138,concept,液冷概念
2023-05-23,828.69,811.63,828.69,811.63,4636426.0,10055750382.0,2.05,-2.4,-19.98,0.86,BK1138,concept,液冷概念
2023-05-24,808.1,815.95,824.92,804.52,3990465.0,9836181199.0,2.51,0.53,4.32,0.74,BK1138,concept,液冷概念
2023-05-25,830.67,835.57,846.3,816.33,6318762.0,16951484811.0,3.67,2.4,19.62,1.17,BK1138,concept,液冷概念
2023-05-26,829.36,853.51,859.0,826.8,7129961.0,18479094949.0,3.85,2.15,17.94,1.32,BK1138,concept,液冷概念
2023-05-29,853.49,869.67,887.73,853.49,7255128.0,18967926113.0,4.01,1.89,16.16,1.34,BK1138,concept,液冷概念
2023-05-30,858.0,879.96,879.96,853.22,7208028.0,20851191288.0,3.07,1.18,10.29,1.34,BK1138,concept,液冷概念
2023-05-31,878.46,867.37,880.96,863.76,6619258.0,18489051744.0,1.95,-1.43,-12.59,1.23,BK1138,concept,液冷概念
2023-06-01,855.4,867.96,880.67,854.1,6772778.0,18652165462.0,3.06,0.07,0.59,1.25,BK1138,concept,液冷概念
2023-06-02,869.24,867.61,873.66,866.34,6392967.0,15511112987.0,0.84,-0.04,-0.35,1.18,BK1138,concept,液冷概念
2023-06-05,867.24,867.73,873.27,863.2,5063143.0,12221910215.0,1.16,0.01,0.12,0.94,BK1138,concept,液冷概念
2023-06-06,900.41,897.34,923.26,894.12,8801261.0,19812131612.0,3.36,3.41,29.61,1.63,BK1138,concept,液冷概念
2023-06-07,889.71,896.18,902.97,884.62,7134362.0,17167535530.0,2.04,-0.13,-1.16,1.32,BK1138,concept,液冷概念
2023-06-08,883.46,869.07,883.57,862.24,6370901.0,15480315965.0,2.38,-3.03,-27.11,1.18,BK1138,concept,液冷概念
2023-06-09,871.14,907.18,908.84,871.14,8783844.0,21732389364.0,4.34,4.39,38.11,1.63,BK1138,concept,液冷概念
2023-06-12,905.06,913.91,920.6,904.88,7870607.0,18084345121.0,1.73,0.74,6.73,1.46,BK1138,concept,液冷概念
2023-06-13,915.05,936.27,938.33,912.56,9322085.0,25675936236.0,2.82,2.45,22.36,1.73,BK1138,concept,液冷概念
2023-06-14,935.49,948.09,956.59,923.96,10415622.0,29675899954.0,3.49,1.26,11.82,1.93,BK1138,concept,液冷概念
2023-06-15,943.26,938.15,951.38,935.67,8660762.0,20486559040.0,1.66,-1.05,-9.94,1.6,BK1138,concept,液冷概念
2023-06-16,939.07,957.8,959.09,929.23,9294902.0,25421343657.0,3.18,2.09,19.65,1.72,BK1138,concept,液冷概念
2023-06-19,962.32,996.69,998.65,962.32,10789765.0,30663823329.0,3.79,4.06,38.89,2.0,BK1138,concept,液冷概念
2023-06-20,990.36,979.93,994.82,974.91,10356856.0,30119193667.0,2.0,-1.68,-16.76,1.92,BK1138,concept,液冷概念
2023-06-21,975.28,951.33,979.9,950.73,8243997.0,24493978921.0,2.98,-2.92,-28.6,1.53,BK1138,concept,液冷概念
2023-06-26,936.77,903.63,951.22,898.53,8211202.0,23371093450.0,5.54,-5.01,-47.7,1.52,BK1138,concept,液冷概念
2023-06-27,903.23,914.47,919.58,901.15,6177129.0,16190599637.0,2.04,1.2,10.84,1.14,BK1138,concept,液冷概念
2023-06-28,908.3,890.11,908.41,865.15,6228597.0,13367680755.0,4.73,-2.66,-24.36,1.15,BK1138,concept,液冷概念
2023-06-29,883.15,893.47,898.0,883.01,6770696.0,20586620430.0,1.68,0.38,3.36,1.25,BK1138,concept,液冷概念
2023-06-30,891.78,908.5,910.66,885.09,6468329.0,17932555844.0,2.86,1.68,15.03,1.2,BK1138,concept,液冷概念
2023-07-03,911.69,903.45,916.89,895.57,6269413.0,16528219443.0,2.35,-0.56,-5.05,1.16,BK1138,concept,液冷概念
2023-07-04,901.79,905.51,912.67,900.0,5379138.0,13843897953.0,1.4,0.23,2.06,1.0,BK1138,concept,液冷概念
2023-07-05,907.13,896.49,915.68,894.5,5436391.0,13869339457.0,2.34,-1.0,-9.02,1.01,BK1138,concept,液冷概念
2023-07-06,891.96,896.59,902.47,887.72,5521151.0,15242867722.0,1.65,0.01,0.1,1.02,BK1138,concept,液冷概念
2023-07-07,889.99,875.5,890.38,874.91,5337640.0,14183403580.0,1.73,-2.35,-21.09,0.99,BK1138,concept,液冷概念
2023-07-10,877.9,877.7,885.25,873.32,4559596.0,11035043943.0,1.36,0.25,2.2,0.84,BK1138,concept,液冷概念
2023-07-11,879.23,896.32,896.32,875.67,5083533.0,13658246304.0,2.35,2.12,18.62,0.94,BK1138,concept,液冷概念
2023-07-12,890.29,868.82,893.94,868.24,7649300.0,20681223144.0,2.87,-3.07,-27.5,1.42,BK1138,concept,液冷概念
2023-07-13,869.83,891.53,891.94,869.62,5833723.0,14523592863.0,2.57,2.61,22.71,1.08,BK1138,concept,液冷概念
2023-07-14,890.32,903.71,906.97,888.07,6938134.0,19031582146.0,2.12,1.37,12.18,1.29,BK1138,concept,液冷概念
2023-07-17,903.75,909.81,914.23,897.22,6970343.0,18355648305.0,1.88,0.67,6.1,1.29,BK1138,concept,液冷概念
2023-07-18,909.85,901.39,909.85,898.77,5881639.0,16678208698.0,1.22,-0.93,-8.42,1.09,BK1138,concept,液冷概念
