日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,8690.42,8585.2,8775.75,8529.57,11553281.0,17797128782.9,2.84,-1.01,-87.85,0.27,BK0549,concept,深圳特区
2010-01-05,8577.75,8582.06,8708.52,8385.2,15189063.0,23904753666.61,3.77,-0.04,-3.14,0.35,BK0549,concept,深圳特区
2010-01-06,8570.02,8527.5,8692.44,8443.07,13260281.0,20336063786.05,2.91,-0.64,-54.56,0.31,BK0549,concept,深圳特区
2010-01-07,8514.87,8377.31,8608.85,8293.07,13771248.0,20942386819.28,3.7,-1.76,-150.19,0.32,BK0549,concept,深圳特区
2010-01-08,8354.38,8432.03,8476.51,8259.84,11107528.0,17390235431.03,2.59,0.65,54.72,0.26,BK0549,concept,深圳特区
2010-01-11,8631.22,8428.41,8730.66,8306.13,14984556.0,23873638803.81,5.03,-0.04,-3.62,0.35,BK0549,concept,深圳特区
2010-01-12,8410.23,8580.91,8638.09,8278.24,16873140.0,25492779316.52,4.27,1.81,152.5,0.39,BK0549,concept,深圳特区
2010-01-13,8372.61,8348.38,8538.86,8216.26,18687667.0,29686573489.11,3.76,-2.71,-232.53,0.44,BK0549,concept,深圳特区
2010-01-14,8364.76,8451.54,8515.82,8266.57,15611746.0,23750754493.82,2.99,1.24,103.16,0.36,BK0549,concept,深圳特区
2010-01-15,8460.08,8503.53,8600.33,8358.97,13633275.0,20256727529.08,2.86,0.62,51.99,0.32,BK0549,concept,深圳特区
2010-01-18,8476.37,8555.9,8619.4,8384.13,14158184.0,20953597534.26,2.77,0.62,52.37,0.33,BK0549,concept,深圳特区
2010-01-19,8568.37,8550.91,8666.69,8474.78,13062137.0,19996019010.66,2.24,-0.06,-4.99,0.3,BK0549,concept,深圳特区
2010-01-20,8558.75,8289.49,8629.6,8234.1,16735081.0,24965051003.89,4.63,-3.06,-261.42,0.39,BK0549,concept,深圳特区
2010-01-21,8291.43,8378.69,8464.6,8193.05,11341731.0,16941320045.95,3.28,1.08,89.2,0.26,BK0549,concept,深圳特区
2010-01-22,8275.82,8274.72,8448.53,8072.27,13820300.0,21133798682.28,4.49,-1.24,-103.97,0.32,BK0549,concept,深圳特区
2010-01-25,8207.41,8157.96,8363.35,8096.16,8465709.0,12553072536.26,3.23,-1.41,-116.76,0.2,BK0549,concept,深圳特区
2010-01-26,8161.65,7919.92,8229.9,7837.96,10031449.0,14035689700.31,4.8,-2.92,-238.04,0.23,BK0549,concept,深圳特区
2010-01-27,7929.45,7856.83,8066.63,7757.13,9316288.0,13672200910.49,3.91,-0.8,-63.09,0.22,BK0549,concept,深圳特区
2010-01-28,7853.86,7873.38,7964.01,7724.43,8058258.0,11919832014.84,3.05,0.21,16.55,0.19,BK0549,concept,深圳特区
2010-01-29,7824.3,7896.16,8046.8,7763.19,9231506.0,13876388436.33,3.6,0.29,22.78,0.22,BK0549,concept,深圳特区
2010-02-01,7889.51,7880.54,8017.77,7667.01,9860856.0,15354845194.31,4.44,-0.2,-15.62,0.23,BK0549,concept,深圳特区
