日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-08-09,998.11,1006.33,1014.83,989.17,8180312.0,13316533905.14,2.57,0.63,6.33,0.07,BK0568,concept,深成500
2010-08-10,1007.6,973.55,1017.92,971.38,8762268.0,14055426553.15,4.62,-3.26,-32.78,0.08,BK0568,concept,深成500
2010-08-11,966.91,985.55,995.66,960.92,7923213.0,11444580951.52,3.57,1.23,12.0,0.07,BK0568,concept,深成500
2010-08-12,973.12,975.04,998.79,961.05,8484768.0,12637335682.0,3.83,-1.07,-10.51,0.07,BK0568,concept,深成500
2010-08-13,975.14,996.79,1000.14,965.19,7751372.0,11354926932.66,3.58,2.23,21.75,0.07,BK0568,concept,深成500
2010-08-16,994.54,1021.41,1028.31,985.9,10203519.0,16234233776.17,4.25,2.47,24.62,0.09,BK0568,concept,深成500
2010-08-17,1022.83,1033.68,1046.13,1015.52,9399873.0,14835644635.42,3.0,1.2,12.27,0.08,BK0568,concept,深成500
2010-08-18,1035.02,1031.38,1048.94,1019.43,8558100.0,13694919436.81,2.85,-0.22,-2.3,0.07,BK0568,concept,深成500
2010-08-19,1031.06,1035.22,1050.58,1018.57,10539178.0,17151859900.46,3.1,0.37,3.84,0.09,BK0568,concept,深成500
2010-08-20,1030.62,1012.45,1041.16,1005.82,8881068.0,14413519772.76,3.41,-2.2,-22.77,0.08,BK0568,concept,深成500
2010-08-23,1012.62,1008.58,1028.45,998.23,6599862.0,10618757297.62,2.98,-0.38,-3.87,0.06,BK0568,concept,深成500
2010-08-24,1007.1,1025.78,1039.81,996.45,8816694.0,12839113444.65,4.3,1.71,17.2,0.08,BK0568,concept,深成500
2010-08-25,1017.93,997.18,1032.27,991.51,8232360.0,12404883027.85,3.97,-2.79,-28.6,0.07,BK0568,concept,深成500
2010-08-26,1000.73,1001.98,1018.36,990.89,6317346.0,10309871437.46,2.75,0.48,4.8,0.05,BK0568,concept,深成500
2010-08-27,1000.51,1001.36,1010.64,988.65,6093844.0,8856019224.73,2.19,-0.06,-0.62,0.05,BK0568,concept,深成500
2010-08-30,1008.69,1024.65,1032.97,998.58,9250456.0,14547798297.88,3.43,2.33,23.29,0.08,BK0568,concept,深成500
2010-08-31,1021.65,1024.32,1037.1,1009.68,10774177.0,16400284537.0,2.68,-0.03,-0.33,0.09,BK0568,concept,深成500
2010-09-01,1026.59,1024.36,1050.92,1004.64,12867809.0,18329325097.76,4.52,0.0,0.04,0.11,BK0568,concept,深成500
2010-09-02,1039.45,1039.24,1054.72,1024.04,12035984.0,18493127537.08,3.0,1.45,14.88,0.1,BK0568,concept,深成500
2010-09-03,1042.49,1038.96,1057.82,1023.4,10200864.0,16085368932.99,3.31,-0.03,-0.28,0.09,BK0568,concept,深成500
2010-09-06,1046.06,1060.02,1075.78,1036.74,14807577.0,21552654559.18,3.76,2.03,21.06,0.13,BK0568,concept,深成500
2010-09-07,1062.02,1065.13,1080.66,1048.34,11184433.0,15750228375.11,3.05,0.48,5.11,0.1,BK0568,concept,深成500
2010-09-08,1060.33,1063.87,1075.84,1042.24,11300090.0,17904491395.11,3.15,-0.12,-1.26,0.1,BK0568,concept,深成500
2010-09-09,1066.12,1036.35,1072.84,1031.37,12024179.0,18642805325.35,3.9,-2.59,-27.52,0.1,BK0568,concept,深成500
2010-09-10,1036.51,1037.85,1052.2,1013.12,9869945.0,15883368739.95,3.77,0.14,1.5,0.09,BK0568,concept,深成500
2010-09-13,1038.8,1053.62,1066.19,1028.2,9925892.0,15994219044.63,3.66,1.52,15.77,0.09,BK0568,concept,深成500
2010-09-14,1056.12,1051.16,1069.31,1039.61,8946300.0,15058569210.75,2.82,-0.23,-2.46,0.08,BK0568,concept,深成500
2010-09-15,1050.19,1028.91,1057.82,1019.45,8754560.0,13993577421.2,3.65,-2.12,-22.25,0.08,BK0568,concept,深成500
2010-09-16,1026.72,1004.03,1036.59,991.1,8773310.0,13832690090.47,4.42,-2.42,-24.88,0.08,BK0568,concept,深成500
2010-09-17,1006.21,1006.39,1022.16,993.48,6075030.0,10139859844.52,2.86,0.24,2.36,0.05,BK0568,concept,深成500
2010-09-20,1007.62,1001.45,1020.5,990.16,5683219.0,9089437415.45,3.01,-0.49,-4.94,0.05,BK0568,concept,深成500
