日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2017-07-10,997.41,995.31,1001.79,994.83,47919526.0,61736023040.0,0.7,-0.47,-4.69,1.01,BK0743,concept,深证100R
2017-07-11,994.14,989.14,1000.22,989.14,41429436.0,62048214016.0,1.11,-0.62,-6.17,0.88,BK0743,concept,深证100R
2017-07-12,990.24,991.82,993.54,981.97,42323277.0,60198999552.0,1.17,0.27,2.68,0.89,BK0743,concept,深证100R
2017-07-13,991.19,995.12,997.65,991.19,36434519.0,52646285056.0,0.65,0.33,3.3,0.77,BK0743,concept,深证100R
2017-07-14,994.63,994.08,995.23,986.56,35735039.0,49340143104.0,0.87,-0.1,-1.04,0.76,BK0743,concept,深证100R
2017-07-17,992.08,961.15,992.08,954.18,53506230.0,71540916224.0,3.81,-3.31,-32.93,1.13,BK0743,concept,深证100R
2017-07-18,959.03,969.32,969.32,954.56,38770367.0,53571287552.0,1.54,0.85,8.17,0.82,BK0743,concept,深证100R
2017-07-19,966.49,994.41,994.6,965.29,59491715.0,75203604480.0,3.02,2.59,25.09,1.26,BK0743,concept,深证100R
2017-07-20,993.59,1000.41,1004.13,992.81,49879583.0,71924764672.0,1.14,0.6,6.0,1.05,BK0743,concept,深证100R
2017-07-21,998.36,999.38,1005.09,997.38,38610591.0,57137314560.0,0.77,-0.1,-1.03,0.82,BK0743,concept,深证100R
2017-07-24,998.72,1002.57,1005.96,998.24,44161196.0,62374276864.0,0.77,0.32,3.19,0.93,BK0743,concept,深证100R
2017-07-25,1001.64,996.71,1003.73,992.74,45286956.0,58133828608.0,1.1,-0.58,-5.86,0.96,BK0743,concept,深证100R
2017-07-26,1000.45,993.03,1000.45,987.84,51852984.0,60925771264.0,1.27,-0.37,-3.68,1.1,BK0743,concept,深证100R
2017-07-27,991.4,1003.74,1005.1,984.2,57441853.0,72550580224.0,2.1,1.08,10.71,1.21,BK0743,concept,深证100R
2017-07-28,1001.9,1008.62,1010.49,1000.91,47222902.0,60580360960.0,0.95,0.49,4.88,1.0,BK0743,concept,深证100R
2017-07-31,1009.51,1016.86,1017.23,1007.23,59180365.0,71214891008.0,0.99,0.82,8.24,1.25,BK0743,concept,深证100R
2017-08-01,1015.64,1018.92,1020.43,1013.64,55930081.0,68946178048.0,0.67,0.2,2.06,1.18,BK0743,concept,深证100R
2017-08-02,1018.51,1016.68,1025.53,1015.64,60117261.0,76768178176.0,0.97,-0.22,-2.24,1.27,BK0743,concept,深证100R
