日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-05-26,999.76,1028.07,1029.92,999.33,4066466.0,6645199660.0,3.06,2.81,28.07,0.57,BK1141,concept,混合现实
2023-05-29,1030.1,1042.87,1051.66,1029.91,6198003.0,10284880579.0,2.12,1.44,14.8,0.87,BK1141,concept,混合现实
2023-05-30,1035.33,1056.81,1056.94,1027.3,4669095.0,8565664350.0,2.84,1.34,13.94,0.66,BK1141,concept,混合现实
2023-05-31,1056.98,1089.49,1100.9,1056.51,5883275.0,11889774886.0,4.2,3.09,32.68,0.83,BK1141,concept,混合现实
2023-06-01,1086.99,1130.87,1131.86,1086.28,7020868.0,14919326067.0,4.18,3.8,41.38,0.99,BK1141,concept,混合现实
2023-06-02,1150.43,1124.05,1156.78,1123.86,6639390.0,14886083838.0,2.91,-0.6,-6.82,0.94,BK1141,concept,混合现实
2023-06-05,1118.91,1135.45,1140.44,1118.91,7551487.0,11759521622.0,1.92,1.01,11.4,1.06,BK1141,concept,混合现实
2023-06-06,1124.19,1073.89,1124.92,1072.92,8397634.0,15799766299.0,4.58,-5.42,-61.56,1.18,BK1141,concept,混合现实
2023-06-07,1076.87,1096.01,1101.19,1074.34,6964655.0,12457420375.0,2.5,2.06,22.12,0.98,BK1141,concept,混合现实
2023-06-08,1095.46,1064.47,1096.84,1060.32,5750680.0,10687662071.0,3.33,-2.88,-31.54,0.81,BK1141,concept,混合现实
2023-06-09,1065.39,1069.17,1070.03,1049.51,6803875.0,10830775486.0,1.93,0.44,4.7,0.96,BK1141,concept,混合现实
2023-06-12,1067.2,1073.75,1078.95,1067.2,6125477.0,11805318639.0,1.1,0.43,4.58,0.86,BK1141,concept,混合现实
2023-06-13,1069.9,1085.89,1087.98,1064.69,6872153.0,11846328117.0,2.17,1.13,12.14,0.97,BK1141,concept,混合现实
2023-06-14,1084.32,1084.33,1086.84,1073.18,6646210.0,10131361272.0,1.26,-0.14,-1.56,0.94,BK1141,concept,混合现实
2023-06-15,1081.52,1076.65,1089.06,1075.52,5013364.0,8815968095.0,1.25,-0.71,-7.68,0.71,BK1141,concept,混合现实
2023-06-16,1076.35,1092.66,1093.05,1068.77,6248332.0,12115128311.0,2.26,1.49,16.01,0.88,BK1141,concept,混合现实
2023-06-19,1091.12,1109.41,1110.44,1091.0,6186809.0,12728935344.0,1.78,1.53,16.75,0.87,BK1141,concept,混合现实
2023-06-20,1112.59,1124.1,1130.62,1110.35,7316024.0,16307975600.0,1.83,1.32,14.69,1.03,BK1141,concept,混合现实
2023-06-21,1127.21,1098.73,1130.45,1098.73,6494400.0,12298652460.0,2.82,-2.26,-25.37,0.91,BK1141,concept,混合现实
2023-06-26,1074.1,1053.87,1084.85,1052.56,7364837.0,11392454884.0,2.94,-4.08,-44.86,1.04,BK1141,concept,混合现实
2023-06-27,1051.68,1058.89,1062.4,1044.34,5900432.0,9130813419.0,1.71,0.48,5.02,0.83,BK1141,concept,混合现实
2023-06-28,1057.84,1036.97,1057.92,1012.12,5660406.0,9951519640.0,4.33,-2.07,-21.92,0.8,BK1141,concept,混合现实
2023-06-29,1034.01,1055.44,1063.45,1034.0,6298407.0,10997422886.0,2.84,1.78,18.47,0.89,BK1141,concept,混合现实
2023-06-30,1054.26,1078.92,1079.67,1054.26,8106133.0,11289357826.0,2.41,2.22,23.48,1.14,BK1141,concept,混合现实
2023-07-03,1081.46,1072.02,1093.55,1070.87,10291295.0,16191372587.0,2.1,-0.64,-6.9,1.45,BK1141,concept,混合现实
2023-07-04,1070.77,1098.69,1103.96,1069.67,6572437.0,13180303073.0,3.2,2.49,26.67,0.93,BK1141,concept,混合现实
2023-07-05,1097.74,1081.9,1104.26,1079.72,5572479.0,9817656234.0,2.23,-1.53,-16.79,0.78,BK1141,concept,混合现实
2023-07-06,1078.92,1093.23,1105.5,1075.8,8192148.0,10600895973.0,2.75,1.05,11.33,1.15,BK1141,concept,混合现实
2023-07-07,1093.46,1082.59,1093.98,1069.24,9158158.0,9995330989.0,2.26,-0.97,-10.64,1.29,BK1141,concept,混合现实
2023-07-10,1085.58,1071.59,1088.43,1069.64,7095698.0,8370661029.0,1.74,-1.02,-11.0,1.0,BK1141,concept,混合现实
2023-07-11,1070.06,1087.2,1087.32,1068.99,5130477.0,7691649784.0,1.71,1.46,15.61,0.72,BK1141,concept,混合现实
2023-07-12,1086.57,1059.45,1092.94,1057.44,6919271.0,9084272077.0,3.27,-2.55,-27.75,0.97,BK1141,concept,混合现实
2023-07-13,1062.9,1079.64,1081.93,1059.31,6027944.0,10303596625.0,2.14,1.91,20.19,0.85,BK1141,concept,混合现实
2023-07-14,1081.6,1093.98,1099.96,1078.78,7781604.0,8870689572.0,1.96,1.33,14.34,1.1,BK1141,concept,混合现实
2023-07-17,1093.71,1095.14,1099.98,1085.7,6513724.0,9389522593.0,1.31,0.11,1.16,0.92,BK1141,concept,混合现实
2023-07-18,1099.14,1095.46,1111.03,1092.71,5820146.0,9192640432.0,1.67,0.03,0.32,0.82,BK1141,concept,混合现实
2023-07-19,1094.87,1083.97,1100.04,1078.84,5444914.0,7688977745.0,1.94,-1.05,-11.49,0.77,BK1141,concept,混合现实
2023-07-20,1086.13,1049.85,1088.21,1048.38,5683285.0,9167403846.0,3.67,-3.15,-34.12,0.8,BK1141,concept,混合现实
2023-07-21,1049.34,1043.3,1053.22,1039.76,4972752.0,7272468771.0,1.28,-0.62,-6.55,0.7,BK1141,concept,混合现实
2023-07-24,1042.03,1043.0,1055.06,1039.55,3836910.0,5883466197.0,1.49,-0.03,-0.3,0.54,BK1141,concept,混合现实
2023-07-25,1054.44,1056.34,1059.5,1045.28,5189971.0,7501308970.0,1.36,1.28,13.34,0.73,BK1141,concept,混合现实
2023-07-26,1055.12,1031.39,1055.17,1029.3,5294231.0,6347643771.0,2.45,-2.36,-24.95,0.75,BK1141,concept,混合现实
2023-07-27,1034.9,1015.99,1039.24,1014.93,4806136.0,6767380689.0,2.36,-1.49,-15.4,0.68,BK1141,concept,混合现实
2023-07-28,1011.46,1019.12,1021.62,1003.93,5246194.0,6514252253.0,1.74,0.31,3.13,0.74,BK1141,concept,混合现实
2023-07-31,1020.12,1030.21,1037.18,1016.29,6281629.0,7920936405.0,2.05,1.09,11.09,0.88,BK1141,concept,混合现实
2023-08-01,1029.53,1024.13,1030.28,1017.06,4502807.0,7152420275.0,1.28,-0.59,-6.08,0.63,BK1141,concept,混合现实
2023-08-02,1021.59,1029.49,1030.18,1020.98,3572962.0,5014461766.0,0.9,0.52,5.36,0.5,BK1141,concept,混合现实
2023-08-03,1025.51,1025.64,1035.14,1021.76,4144165.0,6687692583.0,1.3,-0.37,-3.85,0.58,BK1141,concept,混合现实
2023-08-04,1024.28,1036.05,1041.61,1024.28,4758790.0,6884629472.0,1.69,1.01,10.41,0.67,BK1141,concept,混合现实
2023-08-07,1034.23,1039.85,1043.02,1033.44,4118285.0,5956664009.0,0.92,0.37,3.8,0.58,BK1141,concept,混合现实
2023-08-08,1038.29,1031.34,1041.74,1029.52,3369328.0,5887249166.0,1.18,-0.82,-8.51,0.47,BK1141,concept,混合现实
2023-08-09,1027.78,1012.74,1029.9,1011.18,4079837.0,5159810658.0,1.82,-1.8,-18.6,0.57,BK1141,concept,混合现实
2023-08-10,1011.07,1012.74,1018.66,1007.5,2892154.0,3907776862.0,1.1,0.0,0.0,0.41,BK1141,concept,混合现实
2023-08-11,1013.83,987.21,1013.96,987.21,5024174.0,5677339740.0,2.64,-2.52,-25.53,0.71,BK1141,concept,混合现实
2023-08-14,980.54,989.53,989.63,968.98,5213245.0,7197717629.0,2.09,0.24,2.32,0.73,BK1141,concept,混合现实
2023-08-15,990.16,978.06,996.11,969.04,4069768.0,5365205214.0,2.74,-1.16,-11.47,0.57,BK1141,concept,混合现实
2023-08-16,975.24,957.64,976.69,957.64,3552410.0,4663486563.0,1.95,-2.09,-20.42,0.5,BK1141,concept,混合现实
2023-08-17,955.15,974.59,976.8,948.08,3494713.0,4808163267.0,3.0,1.77,16.95,0.49,BK1141,concept,混合现实
2023-08-18,974.63,952.17,979.69,952.12,3972808.0,5130168440.0,2.83,-2.3,-22.42,0.56,BK1141,concept,混合现实
2023-08-21,954.94,948.6,966.54,948.51,3924109.0,4796529725.0,1.89,-0.37,-3.57,0.55,BK1141,concept,混合现实
2023-08-22,955.47,965.91,966.68,938.12,5338024.0,6581024860.0,3.01,1.82,17.31,0.75,BK1141,concept,混合现实
2023-08-23,963.57,938.96,963.57,938.83,4473600.0,5168281914.0,2.56,-2.79,-26.95,0.63,BK1141,concept,混合现实
2023-08-24,942.99,940.77,955.33,938.3,4039503.0,5529147164.0,1.81,0.19,1.81,0.57,BK1141,concept,混合现实
2023-08-25,934.68,908.54,934.68,903.56,5189195.0,5766661949.0,3.31,-3.43,-32.23,0.73,BK1141,concept,混合现实
2023-08-28,963.4,908.23,963.4,906.65,6256647.0,7993513373.0,6.25,-0.03,-0.31,0.88,BK1141,concept,混合现实
2023-08-29,905.66,954.15,956.5,905.15,6040181.0,8210348022.0,5.65,5.06,45.92,0.85,BK1141,concept,混合现实
2023-08-30,961.78,980.73,988.32,961.78,7405638.0,8668794630.0,2.78,2.79,26.58,1.04,BK1141,concept,混合现实
2023-08-31,978.53,986.01,989.3,972.43,5187125.0,6186216903.0,1.72,0.54,5.28,0.73,BK1141,concept,混合现实
2023-09-01,987.7,981.82,992.04,977.06,2935665.0,4294333749.0,1.52,-0.42,-4.19,0.41,BK1141,concept,混合现实
2023-09-04,985.91,993.49,993.71,976.61,4484404.0,5625169080.0,1.74,1.19,11.67,0.63,BK1141,concept,混合现实
2023-09-05,995.41,995.77,1006.81,992.36,6029674.0,8359573380.0,1.45,0.23,2.28,0.85,BK1141,concept,混合现实
2023-09-06,989.59,1013.42,1014.38,986.53,4275153.0,6275989392.0,2.8,1.77,17.65,0.6,BK1141,concept,混合现实
2023-09-07,1007.73,984.2,1007.84,983.72,5743225.0,8347644689.0,2.38,-2.88,-29.22,0.81,BK1141,concept,混合现实
2023-09-08,983.06,997.37,1001.62,982.11,3766029.0,5710992937.0,1.98,1.34,13.17,0.53,BK1141,concept,混合现实
2023-09-11,1005.8,1010.57,1016.18,999.53,5915518.0,8279202756.0,1.67,1.32,13.2,0.83,BK1141,concept,混合现实
2023-09-12,1010.74,1010.52,1013.83,1001.12,4495607.0,6399076963.0,1.26,0.0,-0.05,0.63,BK1141,concept,混合现实
2023-09-13,1003.19,976.31,1003.19,966.5,4922397.0,7097268063.0,3.63,-3.39,-34.21,0.69,BK1141,concept,混合现实
2023-09-14,977.56,967.59,977.56,959.17,3972258.0,5232290596.0,1.88,-0.89,-8.72,0.56,BK1141,concept,混合现实
2023-09-15,967.75,957.08,975.09,953.81,4717751.0,5536326950.0,2.2,-1.09,-10.51,0.66,BK1141,concept,混合现实
2023-09-18,952.47,956.63,970.96,948.84,4261244.0,5729924102.0,2.31,-0.05,-0.45,0.6,BK1141,concept,混合现实
2023-09-19,955.0,937.25,955.73,933.62,3291405.0,4111395803.0,2.31,-2.03,-19.38,0.46,BK1141,concept,混合现实
2023-09-20,935.43,927.28,943.64,927.26,2923239.0,3241884871.0,1.75,-1.06,-9.97,0.41,BK1141,concept,混合现实
2023-09-21,926.29,923.98,933.05,921.74,3170242.0,3371618476.0,1.22,-0.36,-3.3,0.45,BK1141,concept,混合现实
2023-09-22,924.44,963.19,963.34,923.23,5511112.0,6605457493.0,4.34,4.24,39.21,0.78,BK1141,concept,混合现实
2023-09-25,964.65,958.77,968.56,954.18,3650462.0,4644900927.0,1.49,-0.46,-4.42,0.51,BK1141,concept,混合现实
2023-09-26,958.25,958.93,968.45,953.11,2961944.0,4240712877.0,1.6,0.02,0.16,0.42,BK1141,concept,混合现实
2023-09-27,956.7,955.14,963.42,951.96,3809842.0,4260158056.0,1.2,-0.4,-3.79,0.54,BK1141,concept,混合现实
2023-09-28,958.79,993.07,995.52,958.79,5683913.0,7433055002.0,3.85,3.97,37.93,0.8,BK1141,concept,混合现实
2023-10-09,991.72,1009.52,1011.88,991.18,8066469.0,11237273855.0,2.08,1.66,16.45,1.14,BK1141,concept,混合现实
2023-10-10,1010.55,1011.68,1019.2,1009.34,6862518.0,9064356663.0,0.98,0.21,2.16,0.97,BK1141,concept,混合现实
2023-10-11,1014.76,1034.38,1040.32,1008.28,8067986.0,12814538547.0,3.17,2.24,22.7,1.14,BK1141,concept,混合现实
2023-10-12,1035.13,1030.36,1036.68,1022.08,5702929.0,8866911734.0,1.41,-0.39,-4.02,0.8,BK1141,concept,混合现实
2023-10-13,1027.3,1036.9,1042.9,1025.09,7571719.0,10443283689.0,1.73,0.63,6.54,1.07,BK1141,concept,混合现实
2023-10-16,1037.65,1022.85,1037.65,1016.43,7029584.0,9195324182.0,2.05,-1.36,-14.05,0.99,BK1141,concept,混合现实
2023-10-17,1021.62,1012.57,1022.03,1006.06,4877629.0,6453532204.0,1.56,-1.01,-10.28,0.69,BK1141,concept,混合现实
2023-10-18,1007.14,990.41,1007.57,984.03,4727390.0,6635744307.0,2.32,-2.19,-22.16,0.67,BK1141,concept,混合现实
2023-10-19,984.58,977.9,999.9,977.02,5356216.0,6919910291.0,2.31,-1.26,-12.51,0.75,BK1141,concept,混合现实
2023-10-20,974.55,954.75,983.79,952.63,5518531.0,6222144946.0,3.19,-2.37,-23.15,0.78,BK1141,concept,混合现实
2023-10-23,956.48,938.15,958.93,932.65,7046277.0,10025112158.0,2.75,-1.74,-16.6,0.99,BK1141,concept,混合现实
2023-10-24,943.75,957.84,968.54,935.42,8022695.0,11204359015.0,3.53,2.1,19.69,1.13,BK1141,concept,混合现实
2023-10-25,957.79,962.27,964.89,950.11,6891082.0,10237472901.0,1.54,0.46,4.43,0.97,BK1141,concept,混合现实
2023-10-26,957.77,972.29,972.7,951.04,7596552.0,11117352721.0,2.25,1.04,10.02,1.07,BK1141,concept,混合现实
2023-10-27,970.77,984.32,988.71,960.13,7210726.0,11008395026.0,2.94,1.24,12.03,1.02,BK1141,concept,混合现实
2023-10-30,981.23,1026.15,1028.11,981.03,12589845.0,16623920891.0,4.78,4.25,41.83,1.77,BK1141,concept,混合现实
2023-10-31,1027.18,1022.12,1030.25,1014.46,9151088.0,13668426856.0,1.54,-0.39,-4.03,1.29,BK1141,concept,混合现实
2023-11-01,1019.9,1020.27,1036.48,1016.18,11396098.0,13512394015.0,1.99,-0.18,-1.85,1.6,BK1141,concept,混合现实
2023-11-02,1023.79,1002.46,1028.85,1001.77,7182838.0,11667989596.0,2.65,-1.75,-17.81,1.01,BK1141,concept,混合现实
2023-11-03,1007.7,1031.79,1035.87,1007.7,9901467.0,12915169296.0,2.81,2.93,29.33,1.39,BK1141,concept,混合现实
2023-11-06,1039.86,1067.56,1069.55,1039.86,14625228.0,17833515596.0,2.88,3.47,35.77,2.06,BK1141,concept,混合现实
2023-11-07,1066.08,1088.62,1090.22,1065.1,11514743.0,15728266455.0,2.35,1.97,21.06,1.62,BK1141,concept,混合现实
2023-11-08,1084.28,1091.83,1097.29,1078.85,9388951.0,12996621422.0,1.69,0.29,3.21,1.32,BK1141,concept,混合现实
2023-11-09,1095.83,1077.13,1098.02,1072.88,7221705.0,10550155694.0,2.3,-1.35,-14.7,1.02,BK1141,concept,混合现实
2023-11-10,1072.15,1086.78,1094.5,1068.81,8299274.0,12566347348.0,2.39,0.9,9.65,1.17,BK1141,concept,混合现实
2023-11-13,1090.02,1092.08,1096.8,1078.96,6727170.0,10984036831.0,1.64,0.49,5.3,0.95,BK1141,concept,混合现实
2023-11-14,1090.85,1105.28,1106.81,1085.82,7153961.0,10510952361.0,1.92,1.21,13.2,1.01,BK1141,concept,混合现实
2023-11-15,1113.42,1108.01,1113.92,1098.14,6444675.0,10309940940.0,1.43,0.25,2.73,0.91,BK1141,concept,混合现实
2023-11-16,1104.13,1098.2,1113.46,1098.2,5404871.0,8082818462.0,1.38,-0.89,-9.81,0.76,BK1141,concept,混合现实
2023-11-17,1093.57,1105.19,1106.51,1093.57,5592370.0,8291225079.0,1.18,0.64,6.99,0.79,BK1141,concept,混合现实
2023-11-20,1109.27,1111.35,1116.03,1105.31,6836049.0,10385767323.0,0.97,0.56,6.16,0.96,BK1141,concept,混合现实
2023-11-21,1111.41,1086.98,1111.41,1084.05,6626355.0,9799175711.0,2.46,-2.19,-24.37,0.93,BK1141,concept,混合现实
2023-11-22,1082.49,1066.4,1090.91,1066.2,5945068.0,7953650943.0,2.27,-1.89,-20.58,0.84,BK1141,concept,混合现实
2023-11-23,1065.49,1082.63,1085.21,1061.3,5369781.0,7294200385.0,2.24,1.52,16.23,0.76,BK1141,concept,混合现实
2023-11-24,1075.57,1051.97,1075.66,1048.94,5301495.0,7022448692.0,2.47,-2.83,-30.66,0.75,BK1141,concept,混合现实
2023-11-27,1049.25,1062.59,1065.98,1049.06,6188043.0,7789223231.0,1.61,1.01,10.62,0.87,BK1141,concept,混合现实
2023-11-28,1068.58,1087.65,1094.89,1067.19,6342113.0,8029993861.0,2.61,2.36,25.06,0.89,BK1141,concept,混合现实
2023-11-29,1087.97,1078.05,1093.49,1077.02,7095863.0,8616234406.0,1.51,-0.88,-9.6,1.0,BK1141,concept,混合现实
2023-11-30,1072.97,1064.88,1072.97,1052.97,6410327.0,7239246896.0,1.86,-1.22,-13.17,0.9,BK1141,concept,混合现实
2023-12-01,1064.05,1080.31,1083.72,1056.57,5929943.0,7529852669.0,2.55,1.45,15.43,0.84,BK1141,concept,混合现实
2023-12-04,1084.24,1080.83,1089.97,1079.37,5312079.0,7072936693.0,0.98,0.05,0.52,0.75,BK1141,concept,混合现实
2023-12-05,1084.01,1061.54,1085.36,1061.43,7038266.0,7683282064.0,2.21,-1.78,-19.29,0.99,BK1141,concept,混合现实
2023-12-06,1057.34,1060.66,1072.27,1054.91,6536999.0,7601429219.0,1.64,-0.08,-0.88,0.92,BK1141,concept,混合现实
2023-12-07,1062.22,1077.18,1080.6,1061.65,5041527.0,7268923293.0,1.79,1.56,16.52,0.71,BK1141,concept,混合现实
2023-12-08,1078.82,1093.79,1106.66,1078.23,7748695.0,10445567517.0,2.64,1.54,16.61,1.09,BK1141,concept,混合现实
2023-12-11,1090.65,1130.8,1130.97,1082.43,10299735.0,11261255003.0,4.44,3.38,37.01,1.45,BK1141,concept,混合现实
2023-12-12,1128.65,1132.18,1138.33,1127.11,6129999.0,9234711783.0,0.99,0.12,1.38,0.86,BK1141,concept,混合现实
2023-12-13,1129.52,1121.62,1135.22,1120.93,5246043.0,7003358687.0,1.26,-0.93,-10.56,0.74,BK1141,concept,混合现实
2023-12-14,1124.67,1104.19,1129.88,1102.49,5078832.0,6634913399.0,2.44,-1.55,-17.43,0.72,BK1141,concept,混合现实
2023-12-15,1105.65,1106.37,1120.01,1095.42,4994072.0,6688740667.0,2.23,0.2,2.18,0.7,BK1141,concept,混合现实
2023-12-18,1103.81,1089.91,1104.64,1086.47,4542421.0,6269524702.0,1.64,-1.49,-16.46,0.64,BK1141,concept,混合现实
2023-12-19,1088.26,1115.7,1116.82,1085.79,4943053.0,7000647329.0,2.85,2.37,25.79,0.7,BK1141,concept,混合现实
2023-12-20,1128.35,1135.63,1155.89,1122.63,7328554.0,10261157698.0,2.98,1.79,19.93,1.03,BK1141,concept,混合现实
2023-12-21,1125.75,1132.15,1137.02,1109.97,7537607.0,10139858705.0,2.38,-0.31,-3.48,1.06,BK1141,concept,混合现实
2023-12-22,1131.81,1110.47,1144.84,1104.1,7796789.0,10089051957.0,3.6,-1.91,-21.68,1.1,BK1141,concept,混合现实
2023-12-25,1110.79,1140.17,1143.0,1110.79,6327998.0,9959882404.0,2.9,2.67,29.7,0.89,BK1141,concept,混合现实
2023-12-26,1137.36,1121.21,1137.81,1103.89,7038525.0,11488977822.0,2.97,-1.66,-18.96,0.99,BK1141,concept,混合现实
2023-12-27,1117.84,1129.88,1137.53,1111.41,7760268.0,10589522154.0,2.33,0.77,8.67,1.09,BK1141,concept,混合现实
2023-12-28,1129.98,1149.52,1156.54,1124.12,8084921.0,12200373191.0,2.87,1.74,19.64,1.14,BK1141,concept,混合现实
2023-12-29,1153.64,1203.26,1213.37,1151.29,13334819.0,19963736648.0,5.4,4.67,53.74,1.88,BK1141,concept,混合现实
2024-01-02,1209.86,1185.8,1210.07,1185.54,10908511.0,16578252647.0,2.04,-1.45,-17.46,1.54,BK1141,concept,混合现实
2024-01-03,1171.4,1148.14,1171.69,1142.42,10679027.0,15822100190.0,2.47,-3.18,-37.66,1.5,BK1141,concept,混合现实
2024-01-04,1134.99,1136.88,1141.86,1128.81,9040678.0,12561998276.0,1.14,-0.98,-11.26,1.27,BK1141,concept,混合现实
2024-01-05,1135.55,1121.79,1148.98,1114.69,12310185.0,15959140820.0,3.02,-1.33,-15.09,1.73,BK1141,concept,混合现实
2024-01-08,1119.8,1096.8,1128.27,1096.47,14201499.0,15141669657.0,2.83,-2.23,-24.99,2.0,BK1141,concept,混合现实
2024-01-09,1095.9,1081.83,1115.36,1070.37,11843064.0,14018687006.0,4.1,-1.36,-14.97,1.67,BK1141,concept,混合现实
2024-01-10,1070.32,1049.75,1073.07,1046.5,9898374.0,12002292147.0,2.46,-2.97,-32.08,1.39,BK1141,concept,混合现实
2024-01-11,1042.24,1070.7,1076.06,1041.59,8951979.0,12096815782.0,3.28,2.0,20.95,1.26,BK1141,concept,混合现实
2024-01-12,1067.47,1050.46,1067.74,1045.62,8790313.0,11359120036.0,2.07,-1.89,-20.24,1.24,BK1141,concept,混合现实
2024-01-15,1043.15,1047.66,1062.69,1038.94,7628382.0,9789957103.0,2.26,-0.27,-2.8,1.07,BK1141,concept,混合现实
2024-01-16,1045.39,1040.24,1045.52,1021.35,9075337.0,10769167552.0,2.31,-0.71,-7.42,1.28,BK1141,concept,混合现实
2024-01-17,1036.97,999.06,1037.01,998.87,8220169.0,10699832140.0,3.67,-3.96,-41.18,1.16,BK1141,concept,混合现实
2024-01-18,992.31,1008.33,1008.78,971.78,11070832.0,11655787082.0,3.7,0.93,9.27,1.56,BK1141,concept,混合现实
2024-01-19,1006.0,989.13,1014.04,989.11,8103787.0,9540350017.0,2.47,-1.9,-19.2,1.14,BK1141,concept,混合现实
