日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2014-03-07,997.23,1005.89,1013.31,989.92,3960023.0,3827010592.0,2.34,0.59,5.89,0.22,BK0682,concept,燃料电池
2014-03-10,1015.91,1013.13,1035.96,1006.35,5530745.0,4780870656.0,2.94,0.72,7.24,0.31,BK0682,concept,燃料电池
2014-03-11,1014.25,1002.83,1029.08,984.75,4841376.0,4135270656.0,4.38,-1.02,-10.3,0.27,BK0682,concept,燃料电池
2014-03-12,983.39,985.41,993.5,965.0,3916135.0,3333080752.0,2.84,-1.74,-17.42,0.22,BK0682,concept,燃料电池
2014-03-13,981.28,982.93,987.34,973.5,2642991.0,2290595904.0,1.4,-0.25,-2.48,0.15,BK0682,concept,燃料电池
2014-03-14,976.29,983.17,986.51,971.29,2815578.0,2388508304.0,1.55,0.02,0.24,0.16,BK0682,concept,燃料电池
2014-03-17,981.01,1004.19,1004.82,977.03,2813840.0,2720986496.0,2.83,2.14,21.02,0.16,BK0682,concept,燃料电池
2014-03-18,1003.72,1013.84,1022.42,997.78,3393021.0,3232591600.0,2.45,0.96,9.65,0.19,BK0682,concept,燃料电池
2014-03-19,1005.92,1002.79,1005.94,993.86,2555432.0,2439132176.0,1.19,-1.09,-11.05,0.14,BK0682,concept,燃料电池
2014-03-20,1003.61,973.11,1006.1,971.69,2438005.0,2436061792.0,3.43,-2.96,-29.68,0.14,BK0682,concept,燃料电池
2014-03-21,971.04,1000.18,1000.18,964.56,2950383.0,3008174864.0,3.66,2.78,27.07,0.17,BK0682,concept,燃料电池
2014-03-24,1003.56,1005.92,1013.1,997.5,2431318.0,2324809184.0,1.56,0.57,5.74,0.14,BK0682,concept,燃料电池
2014-03-25,1002.14,1011.76,1021.85,1000.77,2205226.0,2250157408.0,2.1,0.58,5.84,0.12,BK0682,concept,燃料电池
2014-03-26,1020.01,1029.92,1041.51,1019.92,4541709.0,3886760992.0,2.13,1.79,18.16,0.25,BK0682,concept,燃料电池
2014-03-27,1018.89,1012.65,1025.58,1009.58,4434040.0,3370246896.0,1.55,-1.68,-17.27,0.25,BK0682,concept,燃料电池
2014-03-28,1042.6,1063.96,1077.79,1040.43,5451018.0,4736121600.0,3.69,5.07,51.31,0.31,BK0682,concept,燃料电池
2014-03-31,1061.01,1045.31,1069.03,1035.56,3408119.0,2709908976.0,3.15,-1.75,-18.65,0.19,BK0682,concept,燃料电池
2014-04-01,1045.27,1056.52,1060.64,1036.48,2780149.0,2174181056.0,2.31,1.07,11.21,0.16,BK0682,concept,燃料电池
2014-04-02,1055.7,1053.62,1068.46,1048.34,2779521.0,2385328720.0,1.9,-0.27,-2.9,0.16,BK0682,concept,燃料电池
2014-04-03,1052.72,1041.26,1054.53,1035.38,2168906.0,1864229648.0,1.82,-1.17,-12.36,0.12,BK0682,concept,燃料电池
2014-04-04,1039.73,1052.43,1056.91,1036.5,1978294.0,1690974224.0,1.96,1.07,11.17,0.11,BK0682,concept,燃料电池
2014-04-08,1043.64,1075.39,1080.11,1039.74,2627495.0,2579502864.0,3.84,2.18,22.96,0.15,BK0682,concept,燃料电池
2014-04-09,1076.61,1082.22,1082.63,1070.54,2017755.0,2057155088.0,1.12,0.64,6.83,0.11,BK0682,concept,燃料电池
2014-04-10,1081.35,1099.35,1102.71,1075.24,2645524.0,2540132768.0,2.54,1.58,17.13,0.15,BK0682,concept,燃料电池
2014-04-11,1092.6,1088.64,1097.99,1084.16,2027621.0,1979272704.0,1.26,-0.97,-10.71,0.11,BK0682,concept,燃料电池
2014-04-14,1086.05,1089.11,1096.12,1082.26,1399452.0,1350336928.0,1.27,0.04,0.47,0.08,BK0682,concept,燃料电池
2014-04-15,1084.68,1067.49,1085.9,1064.74,1801465.0,1666007376.0,1.94,-1.99,-21.62,0.1,BK0682,concept,燃料电池
2014-04-16,1064.37,1066.09,1072.22,1057.43,1375444.0,1257735744.0,1.39,-0.13,-1.4,0.08,BK0682,concept,燃料电池
2014-04-17,1069.68,1073.41,1074.42,1061.18,1792194.0,1577733504.0,1.24,0.69,7.32,0.1,BK0682,concept,燃料电池
2014-04-18,1070.97,1081.8,1089.14,1063.47,2331797.0,1864993152.0,2.39,0.78,8.39,0.13,BK0682,concept,燃料电池
2014-04-21,1071.25,1054.79,1081.14,1054.55,1751679.0,1517212304.0,2.46,-2.5,-27.01,0.1,BK0682,concept,燃料电池
2014-04-22,1053.13,1057.01,1058.47,1039.77,1738256.0,1397312144.0,1.77,0.21,2.22,0.1,BK0682,concept,燃料电池
2014-04-23,1052.9,1054.45,1064.83,1047.97,1351143.0,1364153808.0,1.6,-0.24,-2.56,0.08,BK0682,concept,燃料电池
2014-04-24,1052.73,1045.07,1058.69,1041.82,1115792.0,1004937392.0,1.6,-0.89,-9.38,0.06,BK0682,concept,燃料电池
2014-04-25,1042.56,1029.11,1051.73,1027.43,1242437.0,1151504464.0,2.33,-1.53,-15.96,0.07,BK0682,concept,燃料电池
2014-04-28,1018.69,1002.16,1022.61,1000.19,1195162.0,1079805888.0,2.18,-2.62,-26.95,0.07,BK0682,concept,燃料电池
2014-04-29,1002.43,1031.47,1031.78,1002.43,1030290.0,1017990768.0,2.93,2.92,29.31,0.06,BK0682,concept,燃料电池
2014-04-30,1027.57,1034.71,1036.09,1023.68,822251.0,779163392.0,1.2,0.31,3.24,0.05,BK0682,concept,燃料电池
2014-05-05,1031.41,1038.66,1039.46,1027.07,766214.0,729233008.0,1.2,0.38,3.95,0.04,BK0682,concept,燃料电池
2014-05-06,1038.45,1036.69,1044.0,1032.76,806997.0,764414576.0,1.08,-0.19,-1.97,0.05,BK0682,concept,燃料电池
2014-05-07,1034.91,1017.92,1034.91,1017.92,880155.0,788750784.0,1.64,-1.81,-18.77,0.05,BK0682,concept,燃料电池
2014-05-08,1015.78,1032.27,1042.42,1013.1,1121456.0,1025075072.0,2.88,1.41,14.35,0.06,BK0682,concept,燃料电池
2014-05-09,1031.57,1015.94,1032.76,1015.22,980882.0,893627104.0,1.7,-1.58,-16.33,0.06,BK0682,concept,燃料电池
2014-05-12,1025.51,1046.8,1047.79,1021.08,1458434.0,1422578656.0,2.63,3.04,30.86,0.08,BK0682,concept,燃料电池
2014-05-13,1046.02,1039.22,1047.83,1031.7,925551.0,872782400.0,1.54,-0.72,-7.58,0.05,BK0682,concept,燃料电池
2014-05-14,1038.39,1040.96,1043.28,1031.46,841410.0,829656176.0,1.14,0.17,1.74,0.05,BK0682,concept,燃料电池
2014-05-15,1037.12,1026.55,1040.18,1025.93,959364.0,908523504.0,1.37,-1.38,-14.41,0.05,BK0682,concept,燃料电池
2014-05-16,1026.41,1027.37,1030.17,1017.59,755344.0,722323360.0,1.23,0.08,0.82,0.04,BK0682,concept,燃料电池
2014-05-19,1021.66,1010.47,1024.46,1006.83,675346.0,718287328.0,1.72,-1.64,-16.9,0.04,BK0682,concept,燃料电池
2014-05-20,1016.09,1012.41,1024.5,1010.7,641069.0,608058640.0,1.37,0.19,1.94,0.04,BK0682,concept,燃料电池
2014-05-21,1009.43,1023.38,1024.27,1001.36,759824.0,716775200.0,2.26,1.08,10.97,0.04,BK0682,concept,燃料电池
2014-05-22,1022.47,1022.68,1034.34,1019.89,889212.0,888237616.0,1.41,-0.07,-0.7,0.05,BK0682,concept,燃料电池
2014-05-23,1024.14,1034.11,1034.85,1020.19,680089.0,686297616.0,1.43,1.12,11.43,0.04,BK0682,concept,燃料电池
2014-05-26,1051.94,1046.65,1059.41,1039.8,1223155.0,1345306144.0,1.9,1.21,12.54,0.07,BK0682,concept,燃料电池
2014-05-27,1043.6,1035.82,1043.66,1033.19,706664.0,755735328.0,1.0,-1.03,-10.83,0.04,BK0682,concept,燃料电池
2014-05-28,1035.54,1045.75,1047.33,1029.14,999390.0,991257632.0,1.76,0.96,9.93,0.06,BK0682,concept,燃料电池
2014-05-29,1046.28,1040.61,1058.3,1040.57,1144277.0,1254659200.0,1.7,-0.49,-5.14,0.06,BK0682,concept,燃料电池
2014-05-30,1034.45,1031.54,1037.95,1026.54,732131.0,758639232.0,1.1,-0.87,-9.07,0.04,BK0682,concept,燃料电池
2014-06-03,1039.57,1038.43,1044.41,1036.86,817904.0,852468256.0,0.73,0.67,6.89,0.05,BK0682,concept,燃料电池
2014-06-04,1038.7,1028.66,1039.04,1017.4,814444.0,830700448.0,2.08,-0.94,-9.77,0.05,BK0682,concept,燃料电池
2014-06-05,1026.52,1041.13,1042.17,1024.41,822379.0,774592848.0,1.73,1.21,12.47,0.05,BK0682,concept,燃料电池
2014-06-06,1040.42,1041.13,1048.42,1034.3,796929.0,768450784.0,1.36,0.0,0.0,0.04,BK0682,concept,燃料电池
2014-06-09,1037.63,1045.63,1053.23,1036.29,1012055.0,906788896.0,1.63,0.43,4.5,0.06,BK0682,concept,燃料电池
2014-06-10,1048.14,1060.95,1062.22,1041.94,1041057.0,1094793648.0,1.94,1.47,15.32,0.06,BK0682,concept,燃料电池
2014-06-11,1059.23,1069.71,1070.8,1055.95,1223978.0,1435898112.0,1.4,0.83,8.76,0.07,BK0682,concept,燃料电池
2014-06-12,1066.88,1070.36,1075.39,1061.75,1279762.0,1357017040.0,1.28,0.06,0.65,0.07,BK0682,concept,燃料电池
2014-06-13,1067.93,1089.51,1094.07,1067.93,1836545.0,1864778688.0,2.44,1.79,19.15,0.1,BK0682,concept,燃料电池
2014-06-16,1088.12,1102.72,1105.3,1088.12,1368399.0,1395593120.0,1.58,1.21,13.21,0.08,BK0682,concept,燃料电池
2014-06-17,1098.01,1085.14,1098.15,1083.72,1503795.0,1443356544.0,1.31,-1.59,-17.58,0.08,BK0682,concept,燃料电池
2014-06-18,1083.71,1089.11,1090.47,1079.62,1427426.0,1394890096.0,1.0,0.37,3.97,0.08,BK0682,concept,燃料电池
2014-06-19,1090.99,1066.86,1105.37,1060.78,1887951.0,1700871936.0,4.09,-2.04,-22.25,0.11,BK0682,concept,燃料电池
2014-06-20,1063.71,1078.83,1079.2,1062.94,1166130.0,1104043136.0,1.52,1.12,11.97,0.07,BK0682,concept,燃料电池
2014-06-23,1077.67,1076.49,1091.82,1074.36,1122198.0,1064188640.0,1.62,-0.22,-2.34,0.06,BK0682,concept,燃料电池
2014-06-24,1076.39,1086.23,1086.64,1073.93,1040355.0,1075440896.0,1.18,0.9,9.74,0.06,BK0682,concept,燃料电池
2014-06-25,1084.18,1071.98,1084.95,1067.47,1056158.0,963306384.0,1.61,-1.31,-14.25,0.06,BK0682,concept,燃料电池
2014-06-26,1071.99,1076.59,1080.94,1071.99,1013204.0,949808512.0,0.83,0.43,4.61,0.06,BK0682,concept,燃料电池
2014-06-27,1077.87,1089.38,1097.96,1073.64,2174680.0,2008645088.0,2.26,1.19,12.79,0.12,BK0682,concept,燃料电池
2014-06-30,1089.13,1093.18,1098.72,1087.67,1702401.0,1588027392.0,1.01,0.35,3.8,0.1,BK0682,concept,燃料电池
2014-07-01,1093.47,1099.62,1099.67,1089.26,1854564.0,1736919664.0,0.95,0.59,6.44,0.1,BK0682,concept,燃料电池
