日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2013-12-24,999.04,998.75,1004.76,991.81,929254.0,2334170416.0,1.3,-0.13,-1.25,0.22,BK0676,concept,独家药品
2013-12-25,1046.41,1053.26,1054.83,1040.44,932854.0,2156699264.0,1.44,5.46,54.51,0.22,BK0676,concept,独家药品
2013-12-26,1047.99,1046.0,1060.22,1044.13,823515.0,1925581760.0,1.53,-0.69,-7.26,0.2,BK0676,concept,独家药品
2013-12-27,1045.43,1052.32,1056.69,1041.33,736263.0,1690639472.0,1.47,0.6,6.32,0.18,BK0676,concept,独家药品
2013-12-30,1052.27,1052.0,1056.08,1044.27,631450.0,1645839440.0,1.12,-0.03,-0.32,0.15,BK0676,concept,独家药品
2013-12-31,1047.53,1062.15,1065.35,1046.5,666871.0,1646611936.0,1.79,0.96,10.15,0.16,BK0676,concept,独家药品
2014-01-02,1062.53,1087.23,1089.57,1056.77,852801.0,2070278304.0,3.09,2.36,25.08,0.21,BK0676,concept,独家药品
2014-01-03,1085.2,1072.91,1088.15,1066.82,641229.0,1481610512.0,1.96,-1.32,-14.32,0.15,BK0676,concept,独家药品
2014-01-06,1074.07,1064.53,1075.6,1059.88,737628.0,1661348064.0,1.47,-0.78,-8.38,0.18,BK0676,concept,独家药品
2014-01-07,1056.23,1063.04,1066.27,1050.96,534350.0,1164470656.0,1.44,-0.14,-1.49,0.13,BK0676,concept,独家药品
2014-01-08,1062.74,1086.26,1087.92,1060.35,856851.0,1921013264.0,2.59,2.18,23.22,0.21,BK0676,concept,独家药品
2014-01-09,1083.93,1077.9,1098.9,1076.92,709637.0,1686792256.0,2.02,-0.77,-8.36,0.17,BK0676,concept,独家药品
2014-01-10,1078.56,1058.89,1082.16,1056.63,632464.0,1489531824.0,2.37,-1.76,-19.01,0.15,BK0676,concept,独家药品
2014-01-13,1058.73,1064.77,1066.32,1055.48,602726.0,1364090752.0,1.02,0.56,5.88,0.15,BK0676,concept,独家药品
2014-01-14,1062.88,1081.27,1082.13,1058.75,671783.0,1521454928.0,2.2,1.55,16.5,0.16,BK0676,concept,独家药品
2014-01-15,1078.58,1096.04,1096.76,1075.65,646305.0,1523734640.0,1.95,1.37,14.77,0.16,BK0676,concept,独家药品
2014-01-16,1095.58,1088.2,1100.92,1087.98,664851.0,1649630208.0,1.18,-0.72,-7.84,0.16,BK0676,concept,独家药品
2014-01-17,1085.04,1081.68,1095.18,1079.27,425453.0,1074210096.0,1.46,-0.6,-6.52,0.1,BK0676,concept,独家药品
2014-01-20,1077.82,1067.94,1084.39,1052.02,650827.0,1858144736.0,2.99,-1.27,-13.74,0.16,BK0676,concept,独家药品
2014-01-21,1067.24,1072.25,1078.77,1067.24,581624.0,1589841968.0,1.08,0.4,4.31,0.14,BK0676,concept,独家药品
2014-01-22,1072.39,1083.4,1083.48,1071.95,752027.0,1957175904.0,1.08,1.04,11.15,0.18,BK0676,concept,独家药品
2014-01-23,1082.63,1076.58,1089.16,1075.46,717792.0,1844006992.0,1.26,-0.63,-6.82,0.17,BK0676,concept,独家药品
2014-01-24,1075.22,1078.66,1085.39,1069.6,905394.0,2415294784.0,1.47,0.19,2.08,0.22,BK0676,concept,独家药品
2014-01-27,1078.51,1079.58,1085.12,1076.09,737545.0,2110420976.0,0.84,0.09,0.92,0.18,BK0676,concept,独家药品
2014-01-28,1084.53,1066.12,1084.53,1054.02,883044.0,2068063456.0,2.83,-1.25,-13.46,0.21,BK0676,concept,独家药品
2014-01-29,1065.27,1067.67,1068.67,1057.58,919838.0,2408489088.0,1.04,0.15,1.55,0.22,BK0676,concept,独家药品
