日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2016-06-06,1000.16,1003.96,1004.71,998.24,2434443.0,4666509056.0,0.65,0.4,3.96,0.48,BK0882,concept,猪肉概念
2016-06-07,1002.24,1007.68,1009.68,1001.4,2326423.0,4466349312.0,0.82,0.37,3.72,0.46,BK0882,concept,猪肉概念
2016-06-08,1007.22,992.89,1007.31,986.63,2274966.0,4135842400.0,2.05,-1.47,-14.79,0.45,BK0882,concept,猪肉概念
2016-06-13,993.65,969.91,1002.57,969.91,2238246.0,3969047920.0,3.29,-2.31,-22.98,0.44,BK0882,concept,猪肉概念
2016-06-14,966.32,971.27,972.39,956.76,2545475.0,3181211584.0,1.61,0.14,1.36,0.5,BK0882,concept,猪肉概念
2016-06-15,959.23,993.12,996.37,956.62,3335087.0,4555588096.0,4.09,2.25,21.85,0.66,BK0882,concept,猪肉概念
2016-06-16,993.12,1005.56,1008.68,990.62,4668794.0,5796851456.0,1.82,1.25,12.44,0.92,BK0882,concept,猪肉概念
2016-06-17,1006.22,1012.54,1017.41,1004.22,3672783.0,5080243456.0,1.31,0.69,6.98,0.73,BK0882,concept,猪肉概念
2016-06-20,1015.34,1018.27,1019.63,1007.51,3563012.0,4339582976.0,1.2,0.57,5.73,0.7,BK0882,concept,猪肉概念
2016-06-21,1024.66,1017.8,1026.14,1013.24,4570967.0,5219689728.0,1.27,-0.05,-0.47,0.9,BK0882,concept,猪肉概念
2016-06-22,1015.22,1022.63,1022.88,1009.17,3478065.0,4020129024.0,1.35,0.47,4.83,0.69,BK0882,concept,猪肉概念
2016-06-23,1020.3,1005.58,1026.32,1005.26,3834234.0,4522118912.0,2.06,-1.67,-17.05,0.76,BK0882,concept,猪肉概念
2016-06-24,1003.38,984.85,1007.02,959.4,5086062.0,4992333056.0,4.74,-2.06,-20.73,1.01,BK0882,concept,猪肉概念
2016-06-27,977.99,996.37,996.39,976.58,3720822.0,4070562272.0,2.01,1.17,11.52,0.74,BK0882,concept,猪肉概念
2016-06-28,990.17,990.07,991.01,974.67,4964880.0,5056324096.0,1.64,-0.63,-6.3,0.98,BK0882,concept,猪肉概念
2016-06-29,991.59,987.15,993.06,983.6,3852771.0,4152023248.0,0.96,-0.29,-2.92,0.76,BK0882,concept,猪肉概念
2016-06-30,987.87,996.0,998.54,986.97,3939864.0,4648005120.0,1.17,0.9,8.85,0.78,BK0882,concept,猪肉概念
2016-07-01,997.36,992.58,999.27,990.32,3359422.0,4096192848.0,0.9,-0.34,-3.42,0.66,BK0882,concept,猪肉概念
2016-07-04,986.19,1007.6,1007.67,984.85,4157951.0,4995414784.0,2.3,1.51,15.02,0.82,BK0882,concept,猪肉概念
2016-07-05,1009.95,1011.12,1011.12,1001.78,4507105.0,5532965888.0,0.93,0.35,3.52,0.89,BK0882,concept,猪肉概念
2016-07-06,1009.11,1040.94,1040.94,1004.74,5336157.0,6974915840.0,3.58,2.95,29.82,1.06,BK0882,concept,猪肉概念
2016-07-07,1040.25,1042.37,1049.72,1035.56,5533799.0,7821160448.0,1.36,0.14,1.43,1.09,BK0882,concept,猪肉概念
2016-07-08,1040.75,1030.15,1040.77,1028.61,3586523.0,4792747520.0,1.17,-1.17,-12.22,0.71,BK0882,concept,猪肉概念
2016-07-11,1032.51,1027.6,1039.81,1024.84,3843096.0,5476037888.0,1.45,-0.25,-2.55,0.76,BK0882,concept,猪肉概念
2016-07-12,1027.72,1037.94,1038.15,1018.05,3789434.0,5237510144.0,1.96,1.01,10.34,0.75,BK0882,concept,猪肉概念
2016-07-13,1039.58,1039.59,1042.82,1034.14,3317088.0,4495744512.0,0.84,0.16,1.65,0.66,BK0882,concept,猪肉概念
2016-07-14,1037.09,1035.9,1039.16,1029.61,2830629.0,3846017632.0,0.92,-0.35,-3.69,0.56,BK0882,concept,猪肉概念
2016-07-15,1041.2,1040.3,1045.63,1036.64,3751595.0,5087412736.0,0.87,0.42,4.4,0.74,BK0882,concept,猪肉概念
2016-07-18,1041.03,1036.78,1045.69,1032.03,4097170.0,6166730752.0,1.31,-0.34,-3.52,0.81,BK0882,concept,猪肉概念
2016-07-19,1035.74,1029.18,1036.69,1019.69,3310602.0,5067607808.0,1.64,-0.73,-7.6,0.65,BK0882,concept,猪肉概念
2016-07-20,1031.12,1029.02,1034.15,1026.18,2466951.0,3634740832.0,0.77,-0.02,-0.16,0.49,BK0882,concept,猪肉概念
2016-07-21,1029.39,1030.49,1038.73,1027.53,2855132.0,4509559808.0,1.09,0.14,1.47,0.56,BK0882,concept,猪肉概念
2016-07-22,1030.34,1013.36,1031.38,1013.36,2635409.0,3652647504.0,1.75,-1.66,-17.13,0.52,BK0882,concept,猪肉概念
2016-07-25,1010.79,1013.85,1017.58,1008.02,2962287.0,3812837136.0,0.94,0.05,0.49,0.59,BK0882,concept,猪肉概念
2016-07-26,1014.2,1027.32,1027.36,1012.78,3075254.0,3989202064.0,1.44,1.33,13.47,0.61,BK0882,concept,猪肉概念
2016-07-27,1025.91,986.97,1028.06,974.6,4370075.0,5664684032.0,5.2,-3.93,-40.35,0.86,BK0882,concept,猪肉概念
2016-07-28,987.09,998.58,1000.94,984.84,2839452.0,3729752384.0,1.63,1.18,11.61,0.56,BK0882,concept,猪肉概念
2016-07-29,998.81,1002.15,1006.84,995.09,3390191.0,4838508288.0,1.18,0.36,3.57,0.67,BK0882,concept,猪肉概念
2016-08-01,998.5,982.33,998.5,973.87,2578197.0,3516316976.0,2.46,-1.98,-19.82,0.51,BK0882,concept,猪肉概念
2016-08-02,981.13,988.41,988.93,979.44,1867008.0,2554882656.0,0.97,0.62,6.08,0.37,BK0882,concept,猪肉概念
2016-08-03,986.52,992.92,993.09,982.07,2127033.0,2855465248.0,1.11,0.46,4.51,0.42,BK0882,concept,猪肉概念
2016-08-04,991.19,993.3,994.12,988.2,2222800.0,2910578576.0,0.6,0.04,0.38,0.44,BK0882,concept,猪肉概念
2016-08-05,994.31,998.64,1002.29,990.85,2403078.0,2999226672.0,1.15,0.54,5.34,0.48,BK0882,concept,猪肉概念
2016-08-08,996.22,1006.59,1006.59,991.24,2145005.0,2835140576.0,1.54,0.8,7.95,0.42,BK0882,concept,猪肉概念
2016-08-09,1005.26,1008.49,1010.76,1002.01,2342189.0,3190407760.0,0.87,0.19,1.9,0.46,BK0882,concept,猪肉概念
2016-08-10,1008.55,1002.03,1010.24,1000.99,2478536.0,3153812032.0,0.92,-0.64,-6.46,0.49,BK0882,concept,猪肉概念
2016-08-11,1002.03,1000.08,1008.4,998.28,2751082.0,3296430736.0,1.01,-0.19,-1.95,0.54,BK0882,concept,猪肉概念
2016-08-12,999.7,1006.93,1006.93,994.66,3124752.0,3637488784.0,1.23,0.68,6.85,0.62,BK0882,concept,猪肉概念
2016-08-15,1008.88,1023.66,1029.45,1004.1,4280646.0,5822421504.0,2.52,1.66,16.73,0.85,BK0882,concept,猪肉概念
2016-08-16,1024.01,1026.26,1030.98,1022.36,3569540.0,5069192448.0,0.84,0.25,2.6,0.71,BK0882,concept,猪肉概念
2016-08-17,1029.67,1024.05,1029.88,1020.04,2924509.0,4587192320.0,0.96,-0.22,-2.21,0.58,BK0882,concept,猪肉概念
2016-08-18,1022.62,1022.34,1026.25,1018.55,2561516.0,3613889728.0,0.75,-0.17,-1.71,0.51,BK0882,concept,猪肉概念
2016-08-19,1021.37,1030.24,1031.06,1020.41,3175941.0,4019336000.0,1.04,0.77,7.9,0.63,BK0882,concept,猪肉概念
2016-08-22,1031.59,1018.71,1032.05,1017.85,3044916.0,4150943808.0,1.38,-1.12,-11.53,0.6,BK0882,concept,猪肉概念
2016-08-23,1016.13,1021.44,1024.51,1015.64,2353745.0,3019798368.0,0.87,0.27,2.73,0.47,BK0882,concept,猪肉概念
2016-08-24,1021.89,1019.57,1025.14,1017.43,2294278.0,3189501632.0,0.75,-0.18,-1.87,0.45,BK0882,concept,猪肉概念
2016-08-25,1015.9,1014.38,1016.96,1006.84,2409230.0,3351701632.0,0.99,-0.51,-5.19,0.48,BK0882,concept,猪肉概念
2016-08-26,1016.24,1013.22,1020.34,1010.58,1835360.0,2701819872.0,0.96,-0.11,-1.16,0.36,BK0882,concept,猪肉概念
2016-08-29,1014.26,1019.96,1020.94,1012.34,2413491.0,2902143696.0,0.85,0.67,6.74,0.48,BK0882,concept,猪肉概念
2016-08-30,1021.35,1022.0,1024.42,1018.66,1754348.0,2332086192.0,0.56,0.2,2.04,0.35,BK0882,concept,猪肉概念
2016-08-31,1021.54,1020.31,1022.57,1014.32,2166281.0,2929498128.0,0.81,-0.17,-1.69,0.43,BK0882,concept,猪肉概念
2016-09-01,1020.79,1011.74,1022.15,1011.74,2087818.0,2874413152.0,1.02,-0.84,-8.57,0.41,BK0882,concept,猪肉概念
