日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,8739.52,8721.68,8879.74,8629.76,1176098.0,2479878166.26,2.87,0.1,8.33,0.18,BK0548,concept,生物疫苗
2010-01-05,8706.14,8758.06,8856.04,8548.44,1321838.0,2464781060.73,3.53,0.42,36.38,0.2,BK0548,concept,生物疫苗
2010-01-06,8763.88,8759.27,8961.79,8683.15,1300740.0,2601306996.48,3.18,0.01,1.21,0.19,BK0548,concept,生物疫苗
2010-01-07,8741.22,8476.35,8816.66,8440.28,1176911.0,2184458317.23,4.3,-3.23,-282.92,0.18,BK0548,concept,生物疫苗
2010-01-08,8447.59,8507.76,8557.76,8344.79,685967.0,1261101084.72,2.51,0.37,31.41,0.1,BK0548,concept,生物疫苗
2010-01-11,8555.02,8487.06,8693.51,8384.2,971506.0,1785372451.82,3.64,-0.24,-20.7,0.14,BK0548,concept,生物疫苗
2010-01-12,8503.98,8756.7,8828.22,8455.07,1551256.0,2877658679.9,4.4,3.18,269.64,0.23,BK0548,concept,生物疫苗
2010-01-13,8585.55,8714.68,8930.32,8500.76,1672221.0,3261719252.82,4.91,-0.48,-42.02,0.25,BK0548,concept,生物疫苗
2010-01-14,8739.75,8996.52,9048.77,8690.31,1826240.0,3682656009.43,4.11,3.23,281.84,0.27,BK0548,concept,生物疫苗
2010-01-15,9048.42,9047.35,9197.92,8953.84,1394892.0,2941876004.07,2.71,0.56,50.83,0.21,BK0548,concept,生物疫苗
2010-01-18,9048.8,9191.89,9262.62,8967.07,1572993.0,3083864510.05,3.27,1.6,144.54,0.23,BK0548,concept,生物疫苗
2010-01-19,9197.52,9105.65,9272.03,9040.1,1244119.0,2460881842.4,2.52,-0.94,-86.24,0.19,BK0548,concept,生物疫苗
2010-01-20,9098.26,8706.62,9156.96,8644.5,1354541.0,2579721385.54,5.63,-4.38,-399.03,0.2,BK0548,concept,生物疫苗
2010-01-21,8702.18,8698.68,8854.39,8600.65,775443.0,1460605956.1,2.91,-0.09,-7.94,0.12,BK0548,concept,生物疫苗
2010-01-22,8639.07,8552.24,8764.37,8365.66,1196559.0,2145658886.96,4.58,-1.68,-146.44,0.18,BK0548,concept,生物疫苗
2010-01-25,8485.72,8379.45,8588.28,8305.39,776224.0,1455363582.16,3.31,-2.02,-172.79,0.12,BK0548,concept,生物疫苗
2010-01-26,8374.29,8148.98,8492.17,8036.6,1017042.0,1880924596.47,5.44,-2.75,-230.47,0.15,BK0548,concept,生物疫苗
2010-01-27,8139.53,8104.43,8257.6,7971.51,740801.0,1382006154.95,3.51,-0.55,-44.55,0.11,BK0548,concept,生物疫苗
2010-01-28,8100.05,8231.15,8296.97,8030.26,669760.0,1282743923.87,3.29,1.56,126.72,0.1,BK0548,concept,生物疫苗
2010-01-29,8220.25,8428.31,8568.83,8147.6,1081056.0,1824829388.31,5.12,2.4,197.16,0.16,BK0548,concept,生物疫苗
2010-02-01,8386.16,8447.58,8598.67,8275.43,1004454.0,1950955586.02,3.84,0.23,19.27,0.15,BK0548,concept,生物疫苗
2010-02-02,8446.61,8397.97,8565.73,8328.38,835522.0,1550788348.35,2.81,-0.59,-49.61,0.12,BK0548,concept,生物疫苗
