日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-07-26,995.23,1004.73,1004.79,981.14,4121363.0,3726662749.06,2.37,0.47,4.73,1.82,BK1098,concept,生物质能发电
2022-07-27,1002.08,1008.39,1014.0,1001.17,4509917.0,3762944666.27,1.28,0.36,3.66,1.99,BK1098,concept,生物质能发电
2022-07-28,1013.32,1007.07,1017.81,1003.99,5745095.0,4500850120.81,1.37,-0.13,-1.32,2.54,BK1098,concept,生物质能发电
2022-07-29,1005.57,1005.77,1016.97,1003.22,5170752.0,4235520236.28,1.37,-0.13,-1.3,2.28,BK1098,concept,生物质能发电
2022-08-01,1005.01,1004.25,1005.01,987.8,3667264.0,3245422648.63,1.71,-0.15,-1.52,1.62,BK1098,concept,生物质能发电
2022-08-02,993.97,946.36,993.97,941.18,4627882.0,3879176810.17,5.26,-5.76,-57.89,2.05,BK1098,concept,生物质能发电
2022-08-03,947.67,938.24,970.2,935.47,3491235.0,2872216091.66,3.67,-0.86,-8.12,1.54,BK1098,concept,生物质能发电
2022-08-04,943.36,950.22,950.7,933.49,2463654.0,2062215247.84,1.83,1.28,11.98,1.09,BK1098,concept,生物质能发电
2022-08-05,954.93,954.95,955.36,939.42,3299755.0,3044851904.66,1.68,0.5,4.73,1.46,BK1098,concept,生物质能发电
2022-08-08,952.01,960.97,960.99,944.81,2971189.0,2648976888.03,1.69,0.63,6.02,1.31,BK1098,concept,生物质能发电
2022-08-09,959.59,960.32,963.69,957.12,2601672.0,2292866124.39,0.68,-0.07,-0.65,1.15,BK1098,concept,生物质能发电
2022-08-10,958.46,955.73,958.57,950.47,2189623.0,1879894151.23,0.84,-0.48,-4.59,0.97,BK1098,concept,生物质能发电
2022-08-11,959.38,968.57,969.08,958.64,2766760.0,2458512423.61,1.09,1.34,12.84,1.22,BK1098,concept,生物质能发电
2022-08-12,968.87,970.57,977.9,965.96,2948184.0,2459194299.75,1.23,0.21,2.0,1.3,BK1098,concept,生物质能发电
2022-08-15,970.55,971.11,972.58,962.99,2436430.0,2075315128.1,0.99,0.06,0.54,1.08,BK1098,concept,生物质能发电
2022-08-16,972.55,980.52,980.69,971.52,2472241.0,2066821383.0,0.94,0.97,9.41,1.09,BK1098,concept,生物质能发电
2022-08-17,983.72,987.86,990.75,982.56,3195197.0,2532687469.78,0.84,0.75,7.34,1.41,BK1098,concept,生物质能发电
2022-08-18,985.28,972.55,985.37,971.07,2668353.0,2264938702.73,1.45,-1.55,-15.31,1.18,BK1098,concept,生物质能发电
2022-08-19,973.14,977.97,983.59,969.58,3024130.0,2473177305.55,1.44,0.56,5.42,1.34,BK1098,concept,生物质能发电
2022-08-22,976.52,980.37,980.37,974.04,2779705.0,2285023462.19,0.65,0.25,2.4,1.23,BK1098,concept,生物质能发电
2022-08-23,977.35,982.79,985.46,975.61,2293993.0,2000384324.31,1.0,0.25,2.42,1.01,BK1098,concept,生物质能发电
2022-08-24,988.17,962.01,991.46,958.96,3235430.0,2811482812.22,3.31,-2.11,-20.78,1.43,BK1098,concept,生物质能发电
2022-08-25,966.53,967.69,971.19,954.39,2697250.0,2254326507.72,1.75,0.59,5.68,1.19,BK1098,concept,生物质能发电
2022-08-26,966.7,970.61,980.95,963.6,2675607.0,2374279050.88,1.79,0.3,2.92,1.18,BK1098,concept,生物质能发电
2022-08-29,959.68,974.26,974.37,954.34,2506435.0,2044937506.72,2.06,0.38,3.65,1.11,BK1098,concept,生物质能发电
2022-08-30,974.23,970.84,979.23,965.05,2152253.0,1785437600.04,1.46,-0.35,-3.42,0.95,BK1098,concept,生物质能发电
2022-08-31,967.98,943.49,967.98,942.54,2925996.0,2373460679.01,2.62,-2.82,-27.35,1.29,BK1098,concept,生物质能发电
