日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2013-11-15,998.39,1024.8,1043.61,998.22,4549242.0,5974433536.0,4.54,2.48,24.8,0.13,BK0665,concept,电商概念
2013-11-18,1060.71,1079.7,1080.42,1054.13,4549399.0,5944033280.0,2.57,5.36,54.9,0.13,BK0665,concept,电商概念
2013-11-19,1078.1,1082.54,1093.81,1070.01,3864068.0,5126651648.0,2.2,0.26,2.84,0.11,BK0665,concept,电商概念
2013-11-20,1085.65,1084.7,1088.57,1070.34,3065986.0,4336080896.0,1.68,0.2,2.16,0.09,BK0665,concept,电商概念
2013-11-21,1083.44,1116.17,1121.0,1077.75,5487668.0,7169398016.0,3.99,2.9,31.47,0.15,BK0665,concept,电商概念
2013-11-22,1111.9,1095.35,1112.45,1089.28,3690492.0,5043066624.0,2.08,-1.87,-20.82,0.1,BK0665,concept,电商概念
2013-11-25,1088.99,1079.56,1102.64,1077.37,3051877.0,4229597616.0,2.31,-1.44,-15.79,0.09,BK0665,concept,电商概念
2013-11-26,1077.12,1080.71,1084.29,1068.62,2623995.0,3803481696.0,1.45,0.11,1.15,0.07,BK0665,concept,电商概念
2013-11-27,1081.09,1097.16,1102.58,1077.82,3069836.0,4373453056.0,2.29,1.52,16.45,0.09,BK0665,concept,电商概念
2013-11-28,1099.03,1094.55,1105.12,1092.53,3165936.0,4451168256.0,1.15,-0.24,-2.61,0.09,BK0665,concept,电商概念
2013-11-29,1095.9,1104.52,1108.97,1091.33,3248816.0,5003879168.0,1.61,0.91,9.97,0.09,BK0665,concept,电商概念
2013-12-02,1073.74,1031.31,1080.08,1026.24,4873269.0,6519081472.0,4.87,-6.63,-73.21,0.14,BK0665,concept,电商概念
2013-12-03,1016.25,1043.93,1047.4,1013.24,3128128.0,4349495552.0,3.31,1.22,12.62,0.09,BK0665,concept,电商概念
2013-12-04,1044.68,1064.36,1073.6,1040.63,3259045.0,4631951872.0,3.16,1.96,20.43,0.09,BK0665,concept,电商概念
2013-12-05,1064.15,1053.34,1066.95,1052.1,2474245.0,3694387952.0,1.4,-1.04,-11.02,0.07,BK0665,concept,电商概念
2013-12-06,1051.22,1051.67,1060.69,1046.89,2018713.0,2761896272.0,1.31,-0.16,-1.67,0.06,BK0665,concept,电商概念
2013-12-09,1054.72,1051.49,1057.6,1046.2,2493760.0,3131377776.0,1.08,-0.02,-0.18,0.07,BK0665,concept,电商概念
2013-12-10,1053.5,1070.97,1081.13,1053.5,3954676.0,4822511104.0,2.63,1.85,19.48,0.11,BK0665,concept,电商概念
2013-12-11,1065.44,1057.17,1065.65,1045.97,2465495.0,3158088384.0,1.84,-1.29,-13.8,0.07,BK0665,concept,电商概念
2013-12-12,1056.84,1064.37,1070.24,1055.64,2758913.0,3774738672.0,1.38,0.68,7.2,0.08,BK0665,concept,电商概念
2013-12-13,1059.18,1056.43,1065.2,1051.44,1694885.0,2437286032.0,1.29,-0.75,-7.94,0.05,BK0665,concept,电商概念
2013-12-16,1051.54,1016.69,1054.82,1016.21,3596059.0,4381213696.0,3.65,-3.76,-39.74,0.1,BK0665,concept,电商概念
2013-12-17,1014.92,1006.47,1021.05,1005.09,1938879.0,2648093568.0,1.57,-1.01,-10.22,0.05,BK0665,concept,电商概念
2013-12-18,1008.5,1013.58,1016.42,1000.81,1928057.0,2686806352.0,1.55,0.71,7.11,0.05,BK0665,concept,电商概念
2013-12-19,1015.98,996.67,1020.78,996.59,1735411.0,2771590880.0,2.39,-1.67,-16.91,0.05,BK0665,concept,电商概念
2013-12-20,999.97,1002.91,1003.35,990.83,2952170.0,3679695568.0,1.26,0.63,6.24,0.08,BK0665,concept,电商概念
2013-12-23,1001.1,996.19,1004.53,980.33,1646482.0,2411778000.0,2.41,-0.67,-6.72,0.05,BK0665,concept,电商概念
2013-12-24,997.79,995.37,1012.28,987.43,1973656.0,2744993824.0,2.49,-0.08,-0.82,0.06,BK0665,concept,电商概念
2013-12-25,995.9,1007.41,1010.77,990.71,1789683.0,2843637392.0,2.02,1.21,12.04,0.05,BK0665,concept,电商概念
2013-12-26,1004.27,980.89,1005.83,979.87,1911085.0,2930084288.0,2.58,-2.63,-26.52,0.05,BK0665,concept,电商概念
2013-12-27,978.9,998.31,1004.04,976.93,2088893.0,3040891584.0,2.76,1.78,17.42,0.06,BK0665,concept,电商概念
2013-12-30,1005.95,1004.91,1010.65,1000.75,1983960.0,2937705392.0,0.99,0.66,6.6,0.06,BK0665,concept,电商概念
2013-12-31,999.3,1008.04,1010.37,996.09,2047621.0,2856158384.0,1.42,0.31,3.13,0.06,BK0665,concept,电商概念
2014-01-02,1006.94,1008.56,1012.59,1002.7,1650454.0,2281910368.0,0.98,0.05,0.52,0.05,BK0665,concept,电商概念
2014-01-03,1005.04,1007.0,1011.24,996.7,3561164.0,4740004096.0,1.44,-0.15,-1.56,0.1,BK0665,concept,电商概念
2014-01-06,1001.4,973.33,1001.4,971.18,2956469.0,4204374432.0,3.0,-3.34,-33.67,0.08,BK0665,concept,电商概念
2014-01-07,974.96,978.42,988.51,969.61,2268324.0,3121019264.0,1.94,0.52,5.09,0.06,BK0665,concept,电商概念
2014-01-08,980.0,983.49,988.1,968.28,3345973.0,4533273088.0,2.03,0.52,5.07,0.09,BK0665,concept,电商概念
2014-01-09,979.52,976.92,996.82,976.44,3756560.0,5085183232.0,2.07,-0.67,-6.57,0.1,BK0665,concept,电商概念
2014-01-10,974.65,962.38,978.67,961.99,2376163.0,3432806096.0,1.71,-1.49,-14.54,0.07,BK0665,concept,电商概念
2014-01-13,961.09,953.74,965.76,945.8,2177386.0,3116678000.0,2.07,-0.9,-8.64,0.06,BK0665,concept,电商概念
2014-01-14,953.96,974.81,974.81,949.18,2370615.0,3358371504.0,2.69,2.21,21.07,0.07,BK0665,concept,电商概念
2014-01-15,973.86,988.87,991.31,968.94,2941660.0,4006337616.0,2.29,1.44,14.06,0.08,BK0665,concept,电商概念
2014-01-16,988.89,987.75,998.91,987.01,3267768.0,4404367616.0,1.2,-0.11,-1.12,0.09,BK0665,concept,电商概念
2014-01-17,984.4,974.34,986.7,973.14,2272223.0,3123724848.0,1.37,-1.36,-13.41,0.06,BK0665,concept,电商概念
2014-01-20,970.44,976.08,985.23,966.59,2614476.0,3597512032.0,1.91,0.18,1.74,0.07,BK0665,concept,电商概念
2014-01-21,978.16,993.8,995.03,978.16,3417043.0,4950196992.0,1.73,1.82,17.72,0.1,BK0665,concept,电商概念
2014-01-22,994.98,1028.0,1029.3,993.51,4929837.0,6835906304.0,3.6,3.44,34.2,0.14,BK0665,concept,电商概念
2014-01-23,1030.09,1036.49,1047.17,1026.86,4619774.0,6831610368.0,1.98,0.83,8.49,0.13,BK0665,concept,电商概念
2014-01-24,1036.3,1055.14,1060.44,1035.86,4530288.0,7121745408.0,2.37,1.8,18.65,0.13,BK0665,concept,电商概念
2014-01-27,1049.94,1069.12,1086.79,1046.64,4947264.0,7283533056.0,3.81,1.32,13.98,0.14,BK0665,concept,电商概念
2014-01-28,1067.12,1067.07,1082.25,1061.8,3645532.0,5943224320.0,1.91,-0.19,-2.05,0.1,BK0665,concept,电商概念
2014-01-29,1076.96,1086.18,1091.54,1072.32,3388747.0,5688719360.0,1.8,1.79,19.11,0.09,BK0665,concept,电商概念
2014-01-30,1091.26,1072.72,1095.54,1068.59,4009545.0,6639272192.0,2.48,-1.24,-13.46,0.11,BK0665,concept,电商概念
2014-02-07,1062.46,1077.68,1079.4,1052.89,3683885.0,6135579648.0,2.47,0.46,4.96,0.1,BK0665,concept,电商概念
2014-02-10,1088.54,1097.21,1106.62,1087.78,4711998.0,8331590144.0,1.75,1.81,19.53,0.13,BK0665,concept,电商概念
2014-02-11,1098.2,1099.12,1107.64,1086.35,4823080.0,8211751680.0,1.94,0.17,1.91,0.13,BK0665,concept,电商概念
2014-02-12,1104.3,1120.42,1120.54,1098.76,4635650.0,7633974528.0,1.98,1.94,21.3,0.13,BK0665,concept,电商概念
2014-02-13,1116.13,1095.86,1121.13,1095.39,4487577.0,7663413760.0,2.3,-2.19,-24.56,0.13,BK0665,concept,电商概念
2014-02-14,1092.71,1123.37,1124.09,1091.17,3324534.0,5400082688.0,3.0,2.51,27.51,0.09,BK0665,concept,电商概念
2014-02-17,1128.61,1144.29,1146.07,1120.47,4560009.0,7147612672.0,2.28,1.86,20.92,0.13,BK0665,concept,电商概念
2014-02-18,1148.8,1140.3,1148.81,1132.2,3846897.0,5860819200.0,1.45,-0.35,-3.99,0.11,BK0665,concept,电商概念
2014-02-19,1140.21,1172.78,1173.02,1132.24,5837903.0,8233809664.0,3.58,2.85,32.48,0.16,BK0665,concept,电商概念
2014-02-20,1171.96,1141.25,1174.58,1140.33,4917617.0,7128917760.0,2.92,-2.69,-31.53,0.14,BK0665,concept,电商概念
2014-02-21,1141.12,1126.42,1146.08,1113.89,3415909.0,5206322688.0,2.82,-1.3,-14.83,0.1,BK0665,concept,电商概念
