日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-05-06,974.8,934.27,983.67,927.52,2124114.0,3438527120.0,5.62,-6.57,-65.73,0.53,BK0865,concept,电子烟
2019-05-07,942.71,956.38,967.12,935.0,1966062.0,3092020592.0,3.44,2.37,22.11,0.49,BK0865,concept,电子烟
2019-05-08,937.19,955.92,980.92,933.82,1913259.0,2920757824.0,4.92,-0.05,-0.46,0.48,BK0865,concept,电子烟
2019-05-09,941.71,919.07,951.09,918.46,1594238.0,2374785152.0,3.41,-3.85,-36.85,0.4,BK0865,concept,电子烟
2019-05-10,936.31,974.75,976.54,922.32,2197444.0,3335545888.0,5.9,6.06,55.68,0.55,BK0865,concept,电子烟
2019-05-13,963.1,951.35,968.51,946.77,1339981.0,1982234864.0,2.23,-2.4,-23.4,0.33,BK0865,concept,电子烟
2019-05-14,941.31,943.89,960.12,941.31,1502175.0,2228953584.0,1.98,-0.78,-7.46,0.38,BK0865,concept,电子烟
2019-05-15,955.79,984.5,984.5,955.79,2322426.0,3530455616.0,3.04,4.3,40.61,0.58,BK0865,concept,电子烟
2019-05-16,986.32,979.72,992.05,976.03,2027266.0,3081718912.0,1.63,-0.49,-4.78,0.51,BK0865,concept,电子烟
2019-05-17,980.04,928.5,981.9,923.36,1935897.0,2843527584.0,5.98,-5.23,-51.22,0.48,BK0865,concept,电子烟
2019-05-20,926.78,908.47,930.86,889.79,1578013.0,2165587664.0,4.42,-2.16,-20.03,0.39,BK0865,concept,电子烟
2019-05-21,909.78,927.58,935.55,908.16,1689322.0,2404599824.0,3.01,2.1,19.11,0.42,BK0865,concept,电子烟
2019-05-22,926.72,922.71,933.24,913.24,1294896.0,1832611376.0,2.16,-0.53,-4.87,0.32,BK0865,concept,电子烟
2019-05-23,918.98,896.51,920.72,891.23,1258286.0,1874925472.0,3.2,-2.84,-26.2,0.31,BK0865,concept,电子烟
2019-05-24,900.52,886.72,908.83,883.94,1189958.0,1793675776.0,2.78,-1.09,-9.79,0.3,BK0865,concept,电子烟
2019-05-27,885.39,921.12,922.61,883.7,1604409.0,2439023600.0,4.39,3.88,34.4,0.4,BK0865,concept,电子烟
2019-05-28,922.93,918.33,935.03,915.18,1997721.0,2967815440.0,2.15,-0.3,-2.79,0.5,BK0865,concept,电子烟
2019-05-29,911.95,912.98,921.77,909.57,1372032.0,1974149392.0,1.33,-0.58,-5.35,0.34,BK0865,concept,电子烟
2019-05-30,907.83,897.54,908.03,882.39,1351191.0,1911910368.0,2.81,-1.69,-15.44,0.34,BK0865,concept,电子烟
2019-05-31,900.08,897.28,909.88,896.28,1139613.0,1613433632.0,1.52,-0.03,-0.26,0.28,BK0865,concept,电子烟
2019-06-03,897.64,883.02,900.44,865.78,1981955.0,2285098720.0,3.86,-1.59,-14.26,0.49,BK0865,concept,电子烟
2019-06-04,877.92,863.76,882.12,858.17,1327680.0,1445027216.0,2.71,-2.18,-19.26,0.33,BK0865,concept,电子烟
2019-06-05,873.5,852.52,877.82,849.65,1449316.0,1528763264.0,3.26,-1.3,-11.24,0.36,BK0865,concept,电子烟
2019-06-06,852.24,836.57,854.45,835.71,1324055.0,1410728784.0,2.2,-1.87,-15.95,0.33,BK0865,concept,电子烟
2019-06-10,839.61,844.2,852.44,833.73,1159468.0,1313823952.0,2.24,0.91,7.63,0.29,BK0865,concept,电子烟
2019-06-11,849.14,887.66,888.05,849.14,2055402.0,2269156256.0,4.61,5.15,43.46,0.51,BK0865,concept,电子烟
2019-06-12,882.84,875.93,886.45,874.8,1601150.0,1769863856.0,1.31,-1.32,-11.73,0.4,BK0865,concept,电子烟
2019-06-13,875.29,894.83,900.96,868.47,1943962.0,2138558736.0,3.71,2.16,18.9,0.49,BK0865,concept,电子烟
2019-06-14,892.52,861.42,893.87,860.35,1624626.0,1845833088.0,3.75,-3.73,-33.41,0.41,BK0865,concept,电子烟
2019-06-17,856.64,856.55,867.15,851.25,1050860.0,1224350480.0,1.85,-0.57,-4.87,0.26,BK0865,concept,电子烟
2019-06-18,856.29,858.84,864.27,852.66,774065.0,806461600.0,1.36,0.27,2.29,0.19,BK0865,concept,电子烟
2019-06-19,885.93,877.22,891.79,877.11,1696371.0,1937493232.0,1.71,2.14,18.38,0.42,BK0865,concept,电子烟
2019-06-20,880.39,906.36,908.43,876.66,2006051.0,2296058032.0,3.62,3.32,29.14,0.5,BK0865,concept,电子烟
2019-06-21,913.84,914.62,924.72,910.97,2508206.0,2874900080.0,1.52,0.91,8.26,0.63,BK0865,concept,电子烟
2019-06-24,905.79,901.59,909.84,897.02,1719464.0,1893359888.0,1.4,-1.42,-13.03,0.43,BK0865,concept,电子烟
2019-06-25,898.55,891.85,898.78,881.13,1307037.0,1642392464.0,1.96,-1.08,-9.74,0.33,BK0865,concept,电子烟
2019-06-26,889.51,907.96,911.69,884.3,1212252.0,1959320512.0,3.07,1.81,16.11,0.3,BK0865,concept,电子烟
2019-06-27,910.21,928.1,931.83,910.21,1774221.0,2601940304.0,2.38,2.22,20.14,0.44,BK0865,concept,电子烟
2019-06-28,929.31,911.06,929.31,900.78,1529140.0,1877769600.0,3.07,-1.84,-17.04,0.38,BK0865,concept,电子烟
2019-07-01,932.07,951.96,952.78,929.73,1893359.0,2705358320.0,2.53,4.49,40.9,0.47,BK0865,concept,电子烟
2019-07-02,951.31,964.26,972.58,944.75,2049657.0,2705840176.0,2.92,1.29,12.3,0.51,BK0865,concept,电子烟
2019-07-03,960.65,950.74,966.73,944.78,1486456.0,1975698624.0,2.28,-1.4,-13.52,0.37,BK0865,concept,电子烟
2019-07-04,954.63,935.59,955.0,931.78,1160219.0,1684206896.0,2.44,-1.59,-15.15,0.29,BK0865,concept,电子烟
2019-07-05,935.37,940.29,943.98,935.37,940998.0,1457364336.0,0.92,0.5,4.7,0.23,BK0865,concept,电子烟
2019-07-08,942.92,902.97,943.09,896.97,1400306.0,1834279216.0,4.9,-3.97,-37.32,0.35,BK0865,concept,电子烟
2019-07-09,906.13,910.5,912.75,897.62,962658.0,1311294016.0,1.68,0.83,7.53,0.24,BK0865,concept,电子烟
2019-07-10,911.8,907.28,913.01,898.52,1109591.0,1395975248.0,1.59,-0.35,-3.22,0.28,BK0865,concept,电子烟
2019-07-11,909.82,901.12,918.04,895.49,939511.0,1143604656.0,2.49,-0.68,-6.16,0.23,BK0865,concept,电子烟
2019-07-12,902.41,908.6,913.58,894.29,885563.0,1261975536.0,2.14,0.83,7.48,0.22,BK0865,concept,电子烟
2019-07-15,906.95,921.71,925.03,891.59,1089465.0,1411368144.0,3.68,1.44,13.11,0.27,BK0865,concept,电子烟
2019-07-16,920.58,913.43,922.17,908.74,819122.0,1122090256.0,1.46,-0.9,-8.28,0.2,BK0865,concept,电子烟
2019-07-17,911.78,908.78,911.85,905.92,812312.0,1000750432.0,0.65,-0.51,-4.65,0.2,BK0865,concept,电子烟
2019-07-18,903.87,886.06,903.87,885.72,795447.0,878269920.0,2.0,-2.5,-22.72,0.2,BK0865,concept,电子烟
2019-07-19,886.02,886.07,898.55,884.87,709515.0,984838928.0,1.54,0.0,0.01,0.18,BK0865,concept,电子烟
2019-07-22,887.25,862.04,889.79,861.71,851004.0,1090268944.0,3.17,-2.71,-24.03,0.21,BK0865,concept,电子烟
2019-07-23,862.26,876.07,879.22,861.64,815180.0,1231527232.0,2.04,1.63,14.03,0.2,BK0865,concept,电子烟
2019-07-24,880.72,893.58,901.37,880.47,1107216.0,1420176992.0,2.39,2.0,17.51,0.28,BK0865,concept,电子烟
2019-07-25,895.88,902.57,902.71,888.46,1122122.0,1632629952.0,1.59,1.01,8.99,0.28,BK0865,concept,电子烟
2019-07-26,901.97,907.27,913.76,897.94,1240439.0,1351377552.0,1.75,0.52,4.7,0.31,BK0865,concept,电子烟
2019-07-29,906.55,903.74,911.79,900.23,982350.0,1182670112.0,1.27,-0.39,-3.53,0.25,BK0865,concept,电子烟
2019-07-30,905.59,911.8,920.01,904.72,1202575.0,1884793264.0,1.69,0.89,8.06,0.3,BK0865,concept,电子烟
2019-07-31,909.38,902.33,910.29,902.33,888404.0,1363279280.0,0.87,-1.04,-9.47,0.22,BK0865,concept,电子烟
2019-08-01,902.0,902.56,907.23,896.63,846187.0,1157485648.0,1.17,0.03,0.23,0.21,BK0865,concept,电子烟
2019-08-02,876.28,876.78,885.25,870.33,1082091.0,1503763856.0,1.65,-2.86,-25.78,0.27,BK0865,concept,电子烟
2019-08-05,876.19,862.21,884.35,861.94,799696.0,1067089568.0,2.56,-1.66,-14.57,0.2,BK0865,concept,电子烟
2019-08-06,844.39,828.1,844.39,807.82,1361570.0,1697132752.0,4.24,-3.96,-34.11,0.34,BK0865,concept,电子烟
2019-08-07,832.09,821.74,835.78,821.68,861661.0,992638624.0,1.7,-0.77,-6.36,0.22,BK0865,concept,电子烟
2019-08-08,824.04,826.33,831.26,822.21,1159270.0,1166202432.0,1.1,0.56,4.59,0.29,BK0865,concept,电子烟
2019-08-09,830.72,816.37,835.56,814.57,979290.0,1116962240.0,2.54,-1.21,-9.96,0.24,BK0865,concept,电子烟
