日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2018-11-13,990.37,1045.66,1055.13,989.84,15307096.0,8333997312.0,6.53,4.57,45.66,1.49,BK0853,concept,电子竞技
2018-11-14,1052.68,1055.05,1073.49,1048.69,15465714.0,8230557184.0,2.37,0.9,9.39,1.5,BK0853,concept,电子竞技
2018-11-15,1054.36,1073.38,1074.09,1053.13,11634654.0,6453724160.0,1.99,1.74,18.33,1.13,BK0853,concept,电子竞技
2018-11-16,1073.91,1083.51,1087.07,1066.44,12385772.0,7132939264.0,1.92,0.94,10.13,1.2,BK0853,concept,电子竞技
2018-11-19,1079.82,1071.33,1084.38,1059.16,10937795.0,6135113984.0,2.33,-1.12,-12.18,1.06,BK0853,concept,电子竞技
2018-11-20,1060.08,1040.52,1065.71,1038.18,9167592.0,5227624448.0,2.57,-2.88,-30.81,0.89,BK0853,concept,电子竞技
2018-11-21,1027.04,1054.72,1054.72,1026.66,7002162.0,4030441456.0,2.7,1.36,14.2,0.68,BK0853,concept,电子竞技
2018-11-22,1058.8,1059.2,1065.62,1052.76,8264086.0,4560408576.0,1.22,0.42,4.48,0.8,BK0853,concept,电子竞技
2018-11-23,1052.86,996.34,1053.14,995.94,9844328.0,5414797312.0,5.4,-5.93,-62.86,0.96,BK0853,concept,电子竞技
2018-11-26,996.09,1002.3,1012.02,996.09,5993413.0,3265998752.0,1.6,0.6,5.96,0.58,BK0853,concept,电子竞技
2018-11-27,1013.43,1011.34,1018.99,1002.5,5863771.0,3307037808.0,1.65,0.9,9.04,0.57,BK0853,concept,电子竞技
2018-11-28,1014.84,1030.36,1032.49,1002.74,7993880.0,4557086720.0,2.94,1.88,19.02,0.78,BK0853,concept,电子竞技
2018-11-29,1035.25,996.85,1036.21,996.85,6955280.0,4136334032.0,3.82,-3.25,-33.51,0.68,BK0853,concept,电子竞技
2018-11-30,991.86,998.18,1001.46,972.99,5987786.0,3357798176.0,2.86,0.13,1.33,0.58,BK0853,concept,电子竞技
2018-12-03,1020.79,1029.18,1035.33,1015.78,9077997.0,5434007808.0,1.96,3.11,31.0,0.88,BK0853,concept,电子竞技
2018-12-04,1027.25,1034.23,1035.95,1024.64,6594712.0,3777177808.0,1.1,0.49,5.05,0.64,BK0853,concept,电子竞技
2018-12-05,1011.84,1022.18,1028.61,1007.28,5843754.0,3479539568.0,2.06,-1.17,-12.05,0.57,BK0853,concept,电子竞技
2018-12-06,1018.48,1000.76,1019.29,997.95,5222714.0,2997753904.0,2.09,-2.1,-21.42,0.51,BK0853,concept,电子竞技
2018-12-07,1001.53,1000.32,1006.71,996.34,4527274.0,2279112160.0,1.04,-0.04,-0.44,0.44,BK0853,concept,电子竞技
2018-12-10,990.29,992.33,998.66,987.86,4696639.0,3050405040.0,1.08,-0.8,-7.99,0.46,BK0853,concept,电子竞技
2018-12-11,995.85,1007.34,1007.59,995.51,6774336.0,3803859776.0,1.22,1.51,15.01,0.66,BK0853,concept,电子竞技
2018-12-12,1010.8,1000.04,1011.17,996.87,5867258.0,3047995984.0,1.42,-0.72,-7.3,0.57,BK0853,concept,电子竞技
2018-12-13,1002.54,1007.86,1012.44,993.7,6022573.0,3249828512.0,1.87,0.78,7.82,0.59,BK0853,concept,电子竞技
2018-12-14,1004.5,978.68,1006.1,978.68,6292434.0,3550784864.0,2.72,-2.9,-29.18,0.61,BK0853,concept,电子竞技
2018-12-17,972.98,980.49,982.63,966.83,4773664.0,2839146480.0,1.61,0.18,1.81,0.46,BK0853,concept,电子竞技
2018-12-18,975.15,977.59,984.7,965.2,4602376.0,2672865056.0,1.99,-0.3,-2.9,0.45,BK0853,concept,电子竞技
2018-12-19,978.79,966.17,978.79,965.67,3904311.0,2228827056.0,1.34,-1.17,-11.42,0.38,BK0853,concept,电子竞技
2018-12-20,963.85,971.07,978.72,963.83,3865397.0,2267477936.0,1.54,0.51,4.9,0.38,BK0853,concept,电子竞技
2018-12-21,971.19,989.37,997.4,970.6,7198484.0,4551309568.0,2.76,1.88,18.3,0.7,BK0853,concept,电子竞技
2018-12-24,987.68,986.78,990.81,978.73,4987163.0,3017484720.0,1.22,-0.26,-2.59,0.48,BK0853,concept,电子竞技
2018-12-25,972.31,964.6,972.31,938.09,5731245.0,3258471680.0,3.47,-2.25,-22.18,0.56,BK0853,concept,电子竞技
2018-12-26,961.45,971.66,980.67,959.92,4365047.0,2677569728.0,2.15,0.73,7.06,0.42,BK0853,concept,电子竞技
2018-12-27,983.07,949.99,986.93,949.13,6146374.0,3446251920.0,3.89,-2.23,-21.67,0.6,BK0853,concept,电子竞技
2018-12-28,950.8,958.18,966.24,947.62,5635176.0,3342421328.0,1.96,0.86,8.19,0.55,BK0853,concept,电子竞技
2019-01-02,965.3,957.61,968.52,955.24,6162329.0,3673264384.0,1.39,-0.06,-0.57,0.6,BK0853,concept,电子竞技
2019-01-03,958.66,949.0,963.49,946.54,8798421.0,4161009168.0,1.77,-0.9,-8.61,0.85,BK0853,concept,电子竞技
2019-01-04,936.58,971.24,971.51,933.22,8577815.0,4257779824.0,4.03,2.34,22.24,0.83,BK0853,concept,电子竞技
2019-01-07,972.68,985.04,987.45,971.31,7283058.0,3821117440.0,1.66,1.42,13.8,0.71,BK0853,concept,电子竞技
2019-01-08,981.55,985.26,986.12,978.07,7083571.0,3664849600.0,0.82,0.02,0.22,0.69,BK0853,concept,电子竞技
2019-01-09,986.81,985.12,1003.6,984.06,7729432.0,4710659328.0,1.98,-0.01,-0.14,0.75,BK0853,concept,电子竞技
2019-01-10,986.06,986.66,995.72,982.79,6160836.0,3295067408.0,1.31,0.16,1.54,0.6,BK0853,concept,电子竞技
2019-01-11,986.09,995.78,995.91,984.3,4978562.0,2577163952.0,1.18,0.92,9.12,0.48,BK0853,concept,电子竞技
2019-01-14,996.69,982.05,996.87,980.87,7477364.0,3703124608.0,1.61,-1.38,-13.73,0.73,BK0853,concept,电子竞技
2019-01-15,979.43,993.73,993.97,976.55,5665987.0,3024390656.0,1.77,1.19,11.68,0.55,BK0853,concept,电子竞技
2019-01-16,992.14,997.89,1001.2,991.91,7180738.0,4102861120.0,0.93,0.42,4.16,0.7,BK0853,concept,电子竞技
2019-01-17,998.35,993.09,1002.34,991.41,5830524.0,3320922944.0,1.1,-0.48,-4.8,0.57,BK0853,concept,电子竞技
2019-01-18,996.16,994.59,1000.05,984.03,5599912.0,3134326480.0,1.61,0.15,1.5,0.54,BK0853,concept,电子竞技
2019-01-21,994.04,999.33,1001.13,991.01,5940775.0,3287490480.0,1.02,0.48,4.74,0.58,BK0853,concept,电子竞技
2019-01-22,996.65,986.55,1000.69,984.11,5244210.0,2856643440.0,1.66,-1.28,-12.78,0.51,BK0853,concept,电子竞技
2019-01-23,983.28,982.31,986.43,976.54,4411944.0,2493974288.0,1.0,-0.43,-4.24,0.43,BK0853,concept,电子竞技
2019-01-24,983.57,991.48,995.03,976.8,5009625.0,2811357504.0,1.86,0.93,9.17,0.49,BK0853,concept,电子竞技
2019-01-25,992.63,982.06,995.81,981.06,5260122.0,2973686496.0,1.49,-0.95,-9.42,0.51,BK0853,concept,电子竞技
2019-01-28,987.4,971.4,990.43,969.66,4854488.0,2664300704.0,2.11,-1.09,-10.66,0.47,BK0853,concept,电子竞技
2019-01-29,963.12,939.28,964.1,925.37,5401716.0,2940820432.0,3.99,-3.31,-32.12,0.52,BK0853,concept,电子竞技
2019-01-30,928.21,924.0,937.48,923.53,4674417.0,2538398784.0,1.49,-1.63,-15.28,0.45,BK0853,concept,电子竞技
2019-01-31,908.99,894.58,912.87,886.54,7290955.0,3682197712.0,2.85,-3.18,-29.42,0.71,BK0853,concept,电子竞技
2019-02-01,889.59,914.84,915.42,889.59,6267415.0,3230296672.0,2.89,2.26,20.26,0.61,BK0853,concept,电子竞技
2019-02-11,914.67,936.08,936.08,912.68,7653465.0,3895697712.0,2.56,2.32,21.24,0.74,BK0853,concept,电子竞技
2019-02-12,934.11,950.28,954.13,932.11,7975486.0,4569260288.0,2.35,1.52,14.2,0.77,BK0853,concept,电子竞技
2019-02-13,950.56,967.37,969.58,947.37,8201539.0,4787264000.0,2.34,1.8,17.09,0.8,BK0853,concept,电子竞技
2019-02-14,965.53,972.26,976.87,962.4,7127098.0,4211213632.0,1.5,0.51,4.89,0.69,BK0853,concept,电子竞技
2019-02-15,969.66,964.79,975.47,963.96,7677318.0,4492961024.0,1.18,-0.77,-7.47,0.75,BK0853,concept,电子竞技
2019-02-18,970.97,999.65,999.65,970.82,9561705.0,5485581568.0,2.99,3.61,34.86,0.93,BK0853,concept,电子竞技
2019-02-19,1001.87,1013.6,1019.26,997.91,10305428.0,5785968896.0,2.14,1.4,13.95,1.0,BK0853,concept,电子竞技
2019-02-20,1010.95,1009.57,1010.95,994.04,9041817.0,4661398784.0,1.67,-0.4,-4.03,0.88,BK0853,concept,电子竞技
2019-02-21,1005.72,1003.89,1026.25,999.04,10689319.0,6297602304.0,2.7,-0.56,-5.68,1.04,BK0853,concept,电子竞技
2019-02-22,1000.13,1034.96,1035.97,1000.09,10970870.0,6505963776.0,3.57,3.09,31.07,1.07,BK0853,concept,电子竞技
2019-02-25,1042.92,1094.47,1094.47,1042.41,17767671.0,11293009664.0,5.03,5.75,59.51,1.73,BK0853,concept,电子竞技
2019-02-26,1095.34,1093.94,1124.18,1080.18,16962169.0,10320355328.0,4.02,-0.05,-0.53,1.65,BK0853,concept,电子竞技
2019-02-27,1092.01,1106.33,1119.59,1086.92,14916479.0,9661830400.0,2.99,1.13,12.39,1.45,BK0853,concept,电子竞技
2019-02-28,1105.38,1104.94,1113.25,1094.96,12316277.0,7782303744.0,1.65,-0.13,-1.39,1.2,BK0853,concept,电子竞技
2019-03-01,1106.72,1101.34,1111.25,1084.71,9739904.0,6011503104.0,2.4,-0.33,-3.6,0.95,BK0853,concept,电子竞技
2019-03-04,1112.11,1119.13,1139.6,1108.52,16529609.0,10932991232.0,2.82,1.62,17.79,1.61,BK0853,concept,电子竞技
2019-03-05,1116.1,1161.02,1161.02,1111.19,18622368.0,10824065024.0,4.45,3.74,41.89,1.81,BK0853,concept,电子竞技
2019-03-06,1164.37,1187.91,1188.69,1142.26,20203628.0,12446172928.0,4.0,2.32,26.89,1.96,BK0853,concept,电子竞技
2019-03-07,1190.68,1226.24,1239.88,1180.45,20252552.0,13189143040.0,5.0,3.23,38.33,1.97,BK0853,concept,电子竞技
2019-03-08,1197.68,1174.78,1241.61,1174.78,20912080.0,13854450176.0,5.45,-4.2,-51.46,2.03,BK0853,concept,电子竞技
2019-03-11,1189.11,1235.24,1235.24,1183.39,16311731.0,10892651264.0,4.41,5.15,60.46,1.58,BK0853,concept,电子竞技
2019-03-12,1253.88,1282.87,1299.21,1253.21,24045925.0,17316413952.0,3.72,3.86,47.63,2.34,BK0853,concept,电子竞技
2019-03-13,1285.06,1231.8,1285.06,1220.0,19237607.0,13600978944.0,5.07,-3.98,-51.07,1.87,BK0853,concept,电子竞技
2019-03-14,1223.71,1189.74,1229.46,1171.25,13792068.0,9137184000.0,4.73,-3.41,-42.06,1.34,BK0853,concept,电子竞技
2019-03-15,1200.69,1202.69,1218.59,1186.41,11389815.0,8918044672.0,2.7,1.09,12.95,1.11,BK0853,concept,电子竞技
2019-03-18,1204.33,1223.85,1223.85,1190.32,12067767.0,9221456896.0,2.79,1.76,21.16,1.17,BK0853,concept,电子竞技
2019-03-19,1226.29,1232.61,1249.46,1222.34,12807486.0,9946174720.0,2.22,0.72,8.76,1.24,BK0853,concept,电子竞技
2019-03-20,1234.5,1238.13,1244.4,1211.08,13424899.0,10041539840.0,2.7,0.45,5.52,1.3,BK0853,concept,电子竞技
2019-03-21,1240.65,1260.11,1279.32,1234.62,16654265.0,12815042560.0,3.61,1.78,21.98,1.62,BK0853,concept,电子竞技
2019-03-22,1257.29,1257.57,1260.37,1234.11,13349368.0,10572878848.0,2.08,-0.2,-2.54,1.3,BK0853,concept,电子竞技
2019-03-25,1230.11,1219.09,1243.4,1217.6,13531516.0,9402876672.0,2.05,-3.06,-38.48,1.31,BK0853,concept,电子竞技
2019-03-26,1219.29,1187.95,1227.69,1186.25,13130853.0,8304424192.0,3.4,-2.55,-31.14,1.28,BK0853,concept,电子竞技
2019-03-27,1190.16,1188.5,1196.4,1159.07,12175078.0,7825962752.0,3.14,0.05,0.55,1.18,BK0853,concept,电子竞技
2019-03-28,1183.71,1176.18,1201.67,1173.73,11697486.0,7521317888.0,2.35,-1.04,-12.32,1.14,BK0853,concept,电子竞技
2019-03-29,1170.32,1207.38,1208.46,1157.0,15071679.0,10175590144.0,4.38,2.65,31.2,1.46,BK0853,concept,电子竞技
2019-04-01,1215.0,1249.44,1251.68,1215.0,16287807.0,12236185856.0,3.04,3.48,42.06,1.58,BK0853,concept,电子竞技
2019-04-02,1252.93,1248.15,1263.87,1241.99,17337560.0,11562481152.0,1.75,-0.1,-1.29,1.68,BK0853,concept,电子竞技
2019-04-03,1242.24,1266.07,1266.44,1241.18,17926401.0,13053833216.0,2.02,1.44,17.92,1.74,BK0853,concept,电子竞技
2019-04-04,1265.66,1250.08,1266.32,1244.23,18426123.0,12969528832.0,1.74,-1.26,-15.99,1.79,BK0853,concept,电子竞技
2019-04-08,1241.85,1221.74,1247.74,1207.03,16454482.0,12406808576.0,3.26,-2.27,-28.34,1.6,BK0853,concept,电子竞技
2019-04-09,1214.42,1230.16,1240.83,1207.85,14033109.0,10455306240.0,2.7,0.69,8.42,1.36,BK0853,concept,电子竞技
2019-04-10,1220.15,1218.44,1228.02,1204.6,13007520.0,9213346560.0,1.9,-0.95,-11.72,1.26,BK0853,concept,电子竞技
2019-04-11,1217.05,1193.37,1221.04,1192.31,11614930.0,8672832256.0,2.36,-2.06,-25.07,1.13,BK0853,concept,电子竞技
2019-04-12,1190.05,1195.54,1197.71,1184.61,8824986.0,7086089984.0,1.1,0.18,2.17,0.86,BK0853,concept,电子竞技
2019-04-15,1206.44,1177.26,1212.09,1176.64,10277087.0,7908692736.0,2.97,-1.53,-18.28,1.0,BK0853,concept,电子竞技
2019-04-16,1166.03,1195.07,1195.07,1147.37,10623539.0,7326660864.0,4.05,1.51,17.81,1.03,BK0853,concept,电子竞技
2019-04-17,1190.87,1207.46,1213.13,1187.67,9918238.0,7646877184.0,2.13,1.04,12.39,0.96,BK0853,concept,电子竞技
2019-04-18,1205.6,1200.12,1209.75,1196.67,9318646.0,6891720960.0,1.08,-0.61,-7.34,0.91,BK0853,concept,电子竞技
2019-04-19,1197.3,1206.6,1206.6,1183.43,8495635.0,6018142464.0,1.93,0.54,6.48,0.83,BK0853,concept,电子竞技
