日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-03-15,1005.9,1022.02,1068.26,1005.9,7629632.0,10698026240.0,6.24,2.2,22.02,3.9,BK1075,concept,电子身份证
2022-03-16,1036.05,1068.63,1072.71,1010.83,8206895.0,11435605504.0,6.05,4.56,46.61,4.19,BK1075,concept,电子身份证
2022-03-17,1082.04,1097.67,1111.6,1068.79,8376251.0,12060763136.0,4.01,2.72,29.04,4.28,BK1075,concept,电子身份证
2022-03-18,1074.82,1074.45,1088.65,1070.26,9452117.0,11265347840.0,1.68,-2.12,-23.22,4.83,BK1075,concept,电子身份证
2022-03-21,1061.95,1080.9,1087.24,1057.37,9125388.0,11069076992.0,2.78,0.6,6.45,4.66,BK1075,concept,电子身份证
2022-03-22,1068.0,1084.2,1104.32,1062.85,8515650.0,12023636224.0,3.84,0.31,3.3,4.35,BK1075,concept,电子身份证
2022-03-23,1069.63,1051.32,1074.42,1047.57,7129269.0,9457440000.0,2.48,-3.03,-32.88,3.64,BK1075,concept,电子身份证
2022-03-24,1041.48,1017.45,1042.0,1011.42,6077555.0,7865811200.0,2.91,-3.22,-33.87,3.11,BK1075,concept,电子身份证
2022-03-25,1032.4,1005.37,1046.19,1005.37,6331249.0,7703064320.0,4.01,-1.19,-12.08,3.24,BK1075,concept,电子身份证
2022-03-28,988.11,1000.82,1016.06,983.13,4947605.0,6030555136.0,3.28,-0.45,-4.55,2.53,BK1075,concept,电子身份证
2022-03-29,1000.53,983.68,1002.62,977.52,5359568.0,5967629568.0,2.51,-1.71,-17.14,2.74,BK1075,concept,电子身份证
2022-03-30,987.1,1003.57,1003.57,979.72,4713038.0,5881425920.0,2.42,2.02,19.89,2.41,BK1075,concept,电子身份证
2022-03-31,994.73,1040.17,1044.62,992.37,7134675.0,10523652608.0,5.21,3.65,36.6,3.65,BK1075,concept,电子身份证
2022-04-01,1026.0,1005.21,1029.83,1004.63,5795678.0,7834931712.0,2.42,-3.36,-34.96,2.96,BK1075,concept,电子身份证
2022-04-06,1010.23,1026.83,1031.93,1009.29,5593775.0,7523918080.0,2.25,2.15,21.62,2.86,BK1075,concept,电子身份证
2022-04-07,1015.34,979.22,1018.8,979.22,4901209.0,6453052160.0,3.85,-4.64,-47.61,2.5,BK1075,concept,电子身份证
2022-04-08,977.89,965.69,979.38,950.7,4250824.0,5490897408.0,2.93,-1.38,-13.53,2.17,BK1075,concept,电子身份证
2022-04-11,959.04,927.72,960.42,919.73,4365663.0,4884412928.0,4.21,-3.93,-37.97,2.23,BK1075,concept,电子身份证
2022-04-12,931.78,948.26,948.26,915.86,4119319.0,4546224128.0,3.49,2.21,20.54,2.1,BK1075,concept,电子身份证
2022-04-13,937.83,906.12,937.83,905.44,4166517.0,4591678720.0,3.42,-4.44,-42.14,2.13,BK1075,concept,电子身份证
2022-04-14,914.23,912.8,921.08,909.79,3579519.0,3906883520.0,1.25,0.74,6.68,1.83,BK1075,concept,电子身份证
2022-04-15,904.98,879.43,904.98,877.84,4437106.0,4850616576.0,2.97,-3.66,-33.37,2.27,BK1075,concept,电子身份证
2022-04-18,868.61,885.67,892.3,854.8,3491365.0,3855970544.0,4.26,0.71,6.24,1.78,BK1075,concept,电子身份证
2022-04-19,884.68,888.91,895.62,879.95,3726439.0,3520778560.0,1.77,0.37,3.24,1.9,BK1075,concept,电子身份证
2022-04-20,911.29,879.58,913.53,878.19,4718763.0,4738353152.0,3.98,-1.05,-9.33,2.41,BK1075,concept,电子身份证
2022-04-21,866.67,833.88,874.53,829.37,5338440.0,4445805056.0,5.13,-5.2,-45.7,2.73,BK1075,concept,电子身份证
2022-04-22,826.4,807.11,830.31,807.11,3822358.0,3312245200.0,2.78,-3.21,-26.77,1.95,BK1075,concept,电子身份证
2022-04-25,794.41,732.89,794.41,732.49,5269449.0,4497399552.0,7.67,-9.2,-74.22,2.69,BK1075,concept,电子身份证
2022-04-26,735.44,703.79,743.29,701.36,4495853.0,3644698064.0,5.72,-3.97,-29.1,2.3,BK1075,concept,电子身份证
2022-04-27,691.34,730.5,730.5,683.07,4980079.0,4103704720.0,6.74,3.8,26.71,2.54,BK1075,concept,电子身份证
2022-04-28,718.93,704.85,722.95,695.62,3609871.0,3095608944.0,3.74,-3.51,-25.65,1.84,BK1075,concept,电子身份证
2022-04-29,715.49,740.51,743.03,714.24,3972586.0,3357322752.0,4.08,5.06,35.66,2.03,BK1075,concept,电子身份证
2022-05-05,736.88,748.67,757.74,731.13,3518277.0,3237484960.0,3.59,1.1,8.16,1.8,BK1075,concept,电子身份证
2022-05-06,730.86,752.5,769.59,725.3,5285056.0,4894415360.0,5.92,0.51,3.83,2.7,BK1075,concept,电子身份证
2022-05-09,748.36,763.96,771.7,748.36,4335544.0,4021022160.0,3.1,1.52,11.46,2.22,BK1075,concept,电子身份证
2022-05-10,751.35,782.22,785.22,749.28,4848126.0,4574981376.0,4.7,2.39,18.26,2.48,BK1075,concept,电子身份证
2022-05-11,782.72,773.16,797.29,772.77,5907899.0,5715328000.0,3.13,-1.16,-9.06,3.02,BK1075,concept,电子身份证
2022-05-12,768.75,784.66,791.17,768.75,4298299.0,4232607392.0,2.9,1.49,11.5,2.2,BK1075,concept,电子身份证
2022-05-13,789.72,785.08,791.95,777.59,3554801.0,3592312016.0,1.83,0.05,0.42,1.82,BK1075,concept,电子身份证
2022-05-16,789.01,785.4,793.5,777.2,4089857.0,3675168816.0,2.08,0.04,0.32,2.09,BK1075,concept,电子身份证
2022-05-17,785.34,781.69,785.34,765.73,3476244.0,3192620384.0,2.5,-0.47,-3.71,1.78,BK1075,concept,电子身份证
2022-05-18,800.88,791.21,814.01,790.46,5112367.0,5092459520.0,3.01,1.22,9.52,2.61,BK1075,concept,电子身份证
2022-05-19,775.98,790.64,791.0,774.1,4279919.0,3544724864.0,2.14,-0.07,-0.57,2.19,BK1075,concept,电子身份证
2022-05-20,792.05,797.49,798.94,788.55,3820040.0,3381490032.0,1.31,0.87,6.85,1.95,BK1075,concept,电子身份证
2022-05-23,800.54,810.15,810.38,798.42,3830714.0,3537985568.0,1.5,1.59,12.66,1.96,BK1075,concept,电子身份证
2022-05-24,810.54,757.72,810.54,757.72,4619451.0,4267075872.0,6.52,-6.47,-52.43,2.36,BK1075,concept,电子身份证
2022-05-25,758.71,778.2,778.76,758.71,3167033.0,2951684768.0,2.65,2.7,20.48,1.62,BK1075,concept,电子身份证
2022-05-26,779.94,780.6,784.57,761.59,3223539.0,3003338208.0,2.95,0.31,2.4,1.65,BK1075,concept,电子身份证
2022-05-27,785.25,776.51,787.75,767.75,3351456.0,3147380352.0,2.56,-0.52,-4.09,1.71,BK1075,concept,电子身份证
2022-05-30,779.67,781.51,784.19,770.64,3190433.0,2806484080.0,1.74,0.64,5.0,1.63,BK1075,concept,电子身份证
2022-05-31,781.34,789.4,790.34,769.33,3841558.0,3413692240.0,2.69,1.01,7.89,1.96,BK1075,concept,电子身份证
2022-06-01,787.82,796.82,802.81,786.59,4265007.0,3846510800.0,2.05,0.94,7.42,2.18,BK1075,concept,电子身份证
2022-06-02,795.68,802.39,802.82,783.1,3559990.0,3282406976.0,2.47,0.7,5.57,1.82,BK1075,concept,电子身份证
2022-06-06,805.0,826.62,829.41,802.7,5105808.0,5249096704.0,3.33,3.02,24.23,2.61,BK1075,concept,电子身份证
2022-06-07,830.81,819.65,830.81,809.67,4655816.0,4663951104.0,2.56,-0.84,-6.97,2.38,BK1075,concept,电子身份证
2022-06-08,816.07,815.55,827.2,800.97,4272512.0,4353699840.0,3.2,-0.5,-4.1,2.18,BK1075,concept,电子身份证
2022-06-09,814.05,795.6,814.05,793.19,3644573.0,3533682032.0,2.56,-2.45,-19.95,1.86,BK1075,concept,电子身份证
2022-06-10,790.29,803.86,804.98,789.7,3713510.0,3580402176.0,1.92,1.04,8.26,1.9,BK1075,concept,电子身份证
2022-06-13,799.8,813.64,813.76,797.87,3846986.0,3921916224.0,1.98,1.22,9.78,1.97,BK1075,concept,电子身份证
2022-06-14,804.88,808.59,809.1,778.47,4242155.0,3854830928.0,3.76,-0.62,-5.05,2.17,BK1075,concept,电子身份证
2022-06-15,809.64,818.29,830.79,809.4,5497629.0,5573006080.0,2.65,1.2,9.7,2.81,BK1075,concept,电子身份证
2022-06-16,817.31,829.75,834.55,817.31,4497471.0,4523162112.0,2.11,1.4,11.46,2.3,BK1075,concept,电子身份证
2022-06-17,824.53,829.9,830.65,814.24,4142919.0,4172446176.0,1.98,0.02,0.15,2.12,BK1075,concept,电子身份证
2022-06-20,835.72,838.93,842.37,830.88,4355244.0,5387921920.0,1.38,1.09,9.03,2.23,BK1075,concept,电子身份证
2022-06-21,842.77,852.63,862.36,836.49,5767325.0,6787459840.0,3.08,1.63,13.7,2.95,BK1075,concept,电子身份证
2022-06-22,850.44,842.17,851.35,837.18,4922067.0,6091657728.0,1.66,-1.23,-10.46,2.52,BK1075,concept,电子身份证
2022-06-23,842.41,856.95,857.62,840.67,5975710.0,5886443264.0,2.01,1.75,14.78,3.05,BK1075,concept,电子身份证
2022-06-24,868.16,859.52,875.96,859.09,6877326.0,6517731328.0,1.97,0.3,2.57,3.51,BK1075,concept,电子身份证
2022-06-27,856.98,861.38,863.63,856.0,5344468.0,5095455488.0,0.89,0.22,1.86,2.73,BK1075,concept,电子身份证
2022-06-28,862.37,874.3,874.78,851.55,6877856.0,6309661440.0,2.7,1.5,12.92,3.51,BK1075,concept,电子身份证
2022-06-29,869.8,855.11,877.16,854.16,6379641.0,5950480384.0,2.63,-2.19,-19.19,3.26,BK1075,concept,电子身份证
2022-06-30,857.22,863.78,869.82,857.22,4634868.0,4297771264.0,1.47,1.01,8.67,2.37,BK1075,concept,电子身份证
2022-07-01,867.71,870.64,878.09,864.5,5917858.0,5123626240.0,1.57,0.79,6.86,3.02,BK1075,concept,电子身份证
2022-07-04,879.01,884.87,885.37,875.85,5021805.0,5075914496.0,1.09,1.63,14.23,2.57,BK1075,concept,电子身份证
2022-07-05,879.94,862.84,882.35,854.44,6209876.0,5563014400.0,3.15,-2.49,-22.03,3.17,BK1075,concept,电子身份证
2022-07-06,857.92,862.91,864.0,849.76,5359174.0,4357809664.0,1.65,0.01,0.07,2.74,BK1075,concept,电子身份证
2022-07-07,884.88,873.74,888.55,873.15,10499725.0,7152185600.0,1.78,1.26,10.83,5.37,BK1075,concept,电子身份证
2022-07-08,865.06,870.15,880.23,864.71,10230967.0,6791656192.0,1.78,-0.41,-3.59,5.23,BK1075,concept,电子身份证
2022-07-11,862.31,853.68,862.81,846.25,6678732.0,5042012416.0,1.9,-1.89,-16.47,3.41,BK1075,concept,电子身份证
2022-07-12,851.72,839.99,852.58,835.52,5108701.0,3793094284.47,2.0,-1.6,-13.69,2.61,BK1075,concept,电子身份证
2022-07-13,839.62,850.17,853.05,839.62,4456869.0,3326499481.28,1.6,1.21,10.18,2.28,BK1075,concept,电子身份证
2022-07-14,848.71,845.43,851.84,841.16,4555807.0,3666457365.59,1.26,-0.56,-4.74,2.33,BK1075,concept,电子身份证
2022-07-15,840.34,819.51,840.34,819.05,5002417.0,3681435291.22,2.52,-3.07,-25.92,2.56,BK1075,concept,电子身份证
2022-07-18,820.13,842.73,842.73,820.06,4602520.0,3478902759.1,2.77,2.83,23.22,2.35,BK1075,concept,电子身份证
2022-07-19,843.27,880.77,881.04,840.93,6500790.0,6396302712.53,4.76,4.51,38.04,3.32,BK1075,concept,电子身份证
2022-07-20,880.92,890.43,894.36,874.76,6333620.0,6881243428.53,2.23,1.1,9.66,3.24,BK1075,concept,电子身份证
2022-07-21,886.46,887.91,896.35,883.89,5166063.0,5034429269.17,1.4,-0.28,-2.52,2.64,BK1075,concept,电子身份证
2022-07-22,888.99,878.79,896.22,872.9,5089457.0,4432741621.83,2.63,-1.03,-9.12,2.6,BK1075,concept,电子身份证
2022-07-25,887.95,882.33,893.21,877.51,5032862.0,5011252918.88,1.79,0.4,3.54,2.57,BK1075,concept,电子身份证
2022-07-26,886.15,904.99,907.17,881.37,6387324.0,7108598429.26,2.92,2.57,22.66,3.26,BK1075,concept,电子身份证
2022-07-27,900.43,910.4,912.45,896.19,5625249.0,5560168047.68,1.8,0.6,5.41,2.87,BK1075,concept,电子身份证
2022-07-28,914.09,919.88,927.57,914.09,5355889.0,5887510313.73,1.48,1.04,9.48,2.74,BK1075,concept,电子身份证
2022-07-29,921.99,928.5,937.03,919.83,5338055.0,5912754918.72,1.87,0.94,8.62,2.73,BK1075,concept,电子身份证
2022-08-01,930.51,926.19,935.06,917.82,6337436.0,5865670344.58,1.86,-0.25,-2.31,3.24,BK1075,concept,电子身份证
2022-08-02,912.51,868.11,912.51,862.09,6727438.0,6121468108.49,5.44,-6.27,-58.08,3.44,BK1075,concept,电子身份证
2022-08-03,871.06,875.9,899.03,871.06,6093870.0,6744847912.4,3.22,0.9,7.79,3.11,BK1075,concept,电子身份证
2022-08-04,883.72,901.81,901.81,881.55,6269436.0,5522010519.05,2.31,2.96,25.91,3.2,BK1075,concept,电子身份证
2022-08-05,910.81,928.33,929.42,907.88,8238210.0,8162308676.01,2.39,2.94,26.52,4.21,BK1075,concept,电子身份证
2022-08-08,926.34,934.2,935.0,914.86,6114532.0,6212706288.49,2.17,0.63,5.87,3.12,BK1075,concept,电子身份证
2022-08-09,933.1,928.67,938.65,923.47,5598283.0,5358353050.87,1.62,-0.59,-5.53,2.86,BK1075,concept,电子身份证
2022-08-10,921.82,929.68,932.2,918.35,5576272.0,5039834598.94,1.49,0.11,1.01,2.85,BK1075,concept,电子身份证
2022-08-11,932.79,937.52,942.73,931.13,6031761.0,5490416252.95,1.25,0.84,7.84,3.08,BK1075,concept,电子身份证
2022-08-12,937.88,953.45,965.06,937.88,7087217.0,7910256736.49,2.9,1.7,15.93,3.62,BK1075,concept,电子身份证
2022-08-15,950.14,939.6,951.01,936.89,6267698.0,6399743636.23,1.48,-1.45,-13.85,3.2,BK1075,concept,电子身份证
2022-08-16,938.71,936.27,941.01,929.41,5181225.0,5148083617.47,1.23,-0.35,-3.33,2.65,BK1075,concept,电子身份证
2022-08-17,933.31,929.71,934.69,922.85,4821089.0,4587401059.25,1.26,-0.7,-6.56,2.46,BK1075,concept,电子身份证
2022-08-18,928.33,928.37,929.9,917.19,3947029.0,3848877076.31,1.37,-0.14,-1.34,2.02,BK1075,concept,电子身份证
2022-08-19,929.32,913.39,937.3,913.39,5023943.0,5167761432.57,2.58,-1.61,-14.98,2.57,BK1075,concept,电子身份证
2022-08-22,908.32,911.01,915.63,894.92,3589363.0,3531439711.15,2.27,-0.26,-2.38,1.83,BK1075,concept,电子身份证
2022-08-23,908.01,909.63,914.22,903.03,3073568.0,3189832218.35,1.23,-0.15,-1.38,1.57,BK1075,concept,电子身份证
2022-08-24,909.99,871.92,909.99,871.69,4968939.0,4567168214.12,4.21,-4.15,-37.71,2.54,BK1075,concept,电子身份证
2022-08-25,873.98,867.14,876.84,852.38,3672860.0,3394042670.16,2.81,-0.55,-4.78,1.88,BK1075,concept,电子身份证
2022-08-26,867.68,852.75,870.45,851.77,2877132.0,2704464004.98,2.15,-1.66,-14.39,1.47,BK1075,concept,电子身份证
2022-08-29,840.83,853.66,854.8,833.71,2376541.0,2100639493.36,2.47,0.11,0.91,1.21,BK1075,concept,电子身份证
2022-08-30,851.46,854.59,861.45,846.95,2347727.0,2031108506.99,1.7,0.11,0.93,1.2,BK1075,concept,电子身份证
2022-08-31,852.25,836.41,855.88,834.77,2725389.0,2381944403.27,2.47,-2.13,-18.18,1.39,BK1075,concept,电子身份证
2022-09-01,838.03,833.98,850.65,832.98,2517570.0,2267850036.6,2.11,-0.29,-2.43,1.29,BK1075,concept,电子身份证
2022-09-02,835.95,854.43,857.33,835.92,2740386.0,2407887423.59,2.57,2.45,20.45,1.4,BK1075,concept,电子身份证
2022-09-05,849.61,850.48,854.26,842.62,2701678.0,2345841104.1,1.36,-0.46,-3.95,1.38,BK1075,concept,电子身份证
2022-09-06,849.77,851.35,851.39,843.19,3070128.0,2508290795.28,0.96,0.1,0.87,1.57,BK1075,concept,电子身份证
2022-09-07,848.27,855.4,856.39,843.63,2874042.0,2700702058.14,1.5,0.48,4.05,1.47,BK1075,concept,电子身份证
2022-09-08,853.99,839.43,853.99,839.43,2309757.0,2106783977.5,1.7,-1.87,-15.97,1.18,BK1075,concept,电子身份证
2022-09-09,840.56,844.49,849.22,837.44,2042682.0,1935679763.71,1.4,0.6,5.06,1.04,BK1075,concept,电子身份证
2022-09-13,849.43,849.27,859.89,848.43,2291846.0,2135925730.13,1.36,0.57,4.78,1.17,BK1075,concept,电子身份证
2022-09-14,834.25,840.94,842.77,831.97,2242885.0,2201334839.12,1.27,-0.98,-8.33,1.15,BK1075,concept,电子身份证
2022-09-15,843.23,826.87,844.83,819.1,2926367.0,2872206727.64,3.06,-1.67,-14.07,1.5,BK1075,concept,电子身份证
