日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-11-08,995.28,1082.31,1095.05,995.28,12418203.0,16277867640.0,9.98,8.23,82.31,2.88,BK1151,concept,短剧互动游戏
2023-11-09,1072.09,1044.6,1072.09,1041.26,12518309.0,17012272826.0,2.85,-3.48,-37.71,2.91,BK1151,concept,短剧互动游戏
2023-11-10,1042.22,1035.11,1053.17,1031.06,10492816.0,14263564270.0,2.12,-0.91,-9.49,2.44,BK1151,concept,短剧互动游戏
2023-11-13,1054.07,1045.54,1080.3,1043.91,12223039.0,17941988919.0,3.52,1.01,10.43,2.84,BK1151,concept,短剧互动游戏
2023-11-14,1026.05,1044.92,1046.4,1026.05,10664735.0,14398411789.0,1.95,-0.06,-0.62,2.48,BK1151,concept,短剧互动游戏
2023-11-15,1043.43,1029.23,1044.45,1023.52,10411049.0,14287393231.0,2.0,-1.5,-15.69,2.42,BK1151,concept,短剧互动游戏
2023-11-16,1015.37,1045.71,1053.28,1010.15,13427578.0,15201423359.0,4.19,1.6,16.48,3.12,BK1151,concept,短剧互动游戏
2023-11-17,1055.71,1054.85,1072.7,1042.45,13561460.0,15770922787.0,2.89,0.87,9.14,3.15,BK1151,concept,短剧互动游戏
2023-11-20,1041.92,1073.71,1080.31,1041.92,11027521.0,14454086877.0,3.64,1.79,18.86,2.56,BK1151,concept,短剧互动游戏
2023-11-21,1081.58,1104.93,1130.06,1080.0,16826760.0,20709878931.0,4.66,2.91,31.22,3.91,BK1151,concept,短剧互动游戏
2023-11-22,1106.62,1161.18,1171.35,1106.62,19870529.0,24523930070.0,5.86,5.09,56.25,4.61,BK1151,concept,短剧互动游戏
2023-11-23,1158.23,1126.72,1158.23,1123.09,17049034.0,21967624920.0,3.03,-2.97,-34.46,3.96,BK1151,concept,短剧互动游戏
2023-11-24,1120.94,1120.6,1149.79,1115.53,14990452.0,19147859343.0,3.04,-0.54,-6.12,3.48,BK1151,concept,短剧互动游戏
2023-11-27,1085.18,1070.95,1085.84,1057.75,13469984.0,16553438046.0,2.51,-4.43,-49.65,3.13,BK1151,concept,短剧互动游戏
2023-11-28,1063.34,1072.95,1077.62,1061.73,8200697.0,9996475015.0,1.48,0.19,2.0,1.9,BK1151,concept,短剧互动游戏
2023-11-29,1067.3,1052.86,1075.83,1051.92,8891278.0,10790507287.0,2.23,-1.87,-20.09,2.06,BK1151,concept,短剧互动游戏
2023-11-30,1047.47,1058.05,1068.24,1044.82,9301735.0,11735759910.0,2.22,0.49,5.19,2.16,BK1151,concept,短剧互动游戏
2023-12-01,1061.76,1127.8,1132.07,1061.76,18889649.0,19352527755.0,6.65,6.59,69.75,4.39,BK1151,concept,短剧互动游戏
2023-12-04,1140.91,1152.66,1170.59,1140.91,17833778.0,20738579029.0,2.63,2.2,24.86,4.14,BK1151,concept,短剧互动游戏
2023-12-05,1151.5,1129.42,1152.58,1123.82,14632234.0,19376247013.0,2.5,-2.02,-23.24,3.4,BK1151,concept,短剧互动游戏
2023-12-06,1113.92,1152.23,1175.91,1103.81,18404406.0,22923875347.0,6.38,2.02,22.81,4.27,BK1151,concept,短剧互动游戏
2023-12-07,1150.07,1183.31,1189.02,1150.07,19555607.0,23769328466.0,3.38,2.7,31.08,4.54,BK1151,concept,短剧互动游戏
2023-12-08,1159.09,1164.36,1175.51,1149.69,17744405.0,20337454345.0,2.18,-1.6,-18.95,4.12,BK1151,concept,短剧互动游戏
2023-12-11,1152.91,1199.46,1202.35,1152.91,18049806.0,23063765690.0,4.25,3.01,35.1,4.19,BK1151,concept,短剧互动游戏
2023-12-12,1197.92,1207.55,1223.17,1197.47,15747895.0,20959183933.0,2.14,0.67,8.09,3.66,BK1151,concept,短剧互动游戏
2023-12-13,1199.8,1194.75,1222.12,1194.04,13279763.0,17658287595.0,2.33,-1.06,-12.8,3.08,BK1151,concept,短剧互动游戏
2023-12-14,1197.44,1183.05,1218.32,1180.39,13350646.0,17694732545.0,3.17,-0.98,-11.7,3.1,BK1151,concept,短剧互动游戏
2023-12-15,1185.12,1218.28,1233.65,1176.23,17410044.0,21827026509.0,4.85,2.98,35.23,4.04,BK1151,concept,短剧互动游戏
2023-12-18,1222.75,1199.61,1225.73,1187.12,13469353.0,17941465086.0,3.17,-1.53,-18.67,3.13,BK1151,concept,短剧互动游戏
2023-12-19,1195.56,1225.77,1237.98,1195.56,14559302.0,19638947589.0,3.54,2.18,26.16,3.38,BK1151,concept,短剧互动游戏
2023-12-20,1230.21,1196.82,1237.89,1196.09,16916630.0,20930622104.0,3.41,-2.36,-28.95,3.93,BK1151,concept,短剧互动游戏
