日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2024-03-25,994.08,979.87,1007.15,978.53,12719495.0,12123136038.0,2.86,-2.01,-20.13,3.53,BK1171,concept,碳纤维
2024-03-26,971.55,968.42,979.11,958.91,11173605.0,12132302561.0,2.06,-1.17,-11.45,3.1,BK1171,concept,碳纤维
2024-03-27,959.83,920.02,959.83,920.02,9384477.0,9875763585.0,4.11,-5.0,-48.4,2.61,BK1171,concept,碳纤维
2024-03-28,925.99,979.45,986.65,925.99,9083786.0,10205391585.0,6.59,6.46,59.43,2.52,BK1171,concept,碳纤维
2024-03-29,979.85,991.31,997.53,977.32,12018340.0,13646436560.0,2.06,1.21,11.86,3.34,BK1171,concept,碳纤维
2024-04-01,992.74,1012.65,1015.34,991.42,10450671.0,11600204580.0,2.41,2.15,21.34,2.9,BK1171,concept,碳纤维
2024-04-02,1008.92,1013.88,1029.52,1005.96,12972162.0,14933790616.0,2.33,0.12,1.23,3.6,BK1171,concept,碳纤维
2024-04-03,1002.97,986.23,1002.97,979.44,9854840.0,10623048452.0,2.32,-2.73,-27.65,2.74,BK1171,concept,碳纤维
2024-04-08,984.99,959.54,988.99,958.47,7768101.0,7829483049.0,3.09,-2.71,-26.69,2.16,BK1171,concept,碳纤维
2024-04-09,960.0,980.12,980.29,960.0,7278509.0,8093794600.0,2.11,2.14,20.58,2.02,BK1171,concept,碳纤维
2024-04-10,975.24,980.1,984.44,958.33,10062755.0,10895830100.0,2.66,0.0,-0.02,2.8,BK1171,concept,碳纤维
2024-04-11,966.99,961.82,974.75,956.94,8552426.0,8794976228.0,1.82,-1.87,-18.28,2.38,BK1171,concept,碳纤维
2024-04-12,960.75,948.12,968.61,945.92,6912510.0,7281363277.0,2.36,-1.42,-13.7,1.92,BK1171,concept,碳纤维
2024-04-15,941.83,918.11,951.71,905.42,8545036.0,8406436125.0,4.88,-3.17,-30.01,2.37,BK1171,concept,碳纤维
2024-04-16,908.58,851.58,909.2,851.35,8652814.0,8357373555.0,6.3,-7.25,-66.53,2.4,BK1171,concept,碳纤维
2024-04-17,862.96,917.88,918.12,862.96,8813637.0,9530476818.0,6.48,7.79,66.3,2.45,BK1171,concept,碳纤维
