日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-09-16,1013.97,992.2,1025.06,979.76,36626425.0,49589708288.0,4.53,-0.78,-7.8,4.82,BK1010,concept,磷化工
2021-09-17,981.21,987.49,1030.03,957.7,33688144.0,47045747968.0,7.29,-0.47,-4.71,4.44,BK1010,concept,磷化工
2021-09-22,989.13,1005.2,1005.53,973.65,25346776.0,37225609984.0,3.23,1.79,17.71,3.34,BK1010,concept,磷化工
2021-09-23,1007.16,946.76,1007.16,944.48,26201624.0,39188913152.0,6.24,-5.81,-58.44,3.45,BK1010,concept,磷化工
2021-09-24,935.33,899.44,936.54,898.86,24858312.0,34235912960.0,3.98,-5.0,-47.32,3.27,BK1010,concept,磷化工
2021-09-27,896.56,842.53,900.47,833.28,24404551.0,29749677312.0,7.47,-6.33,-56.91,3.21,BK1010,concept,磷化工
2021-09-28,837.29,840.87,850.55,831.5,16207437.0,21277277440.0,2.26,-0.2,-1.66,2.13,BK1010,concept,磷化工
2021-09-29,829.77,787.34,834.2,787.02,19058529.0,23202701312.0,5.61,-6.37,-53.53,2.51,BK1010,concept,磷化工
2021-09-30,795.2,824.64,829.89,793.6,16514584.0,20500382976.0,4.61,4.74,37.3,2.17,BK1010,concept,磷化工
2021-10-08,836.48,812.51,839.9,796.33,17080911.0,21434099200.0,5.28,-1.47,-12.13,2.25,BK1010,concept,磷化工
2021-10-11,814.62,808.84,820.11,797.38,16546230.0,18542482432.0,2.8,-0.45,-3.67,2.18,BK1010,concept,磷化工
2021-10-12,809.55,791.19,814.79,774.46,17673834.0,23623653376.0,4.99,-2.18,-17.65,2.33,BK1010,concept,磷化工
2021-10-13,789.24,774.38,789.24,759.03,16989304.0,20204812544.0,3.82,-2.12,-16.81,2.24,BK1010,concept,磷化工
2021-10-14,768.5,787.63,792.41,759.06,16638913.0,19397881088.0,4.31,1.71,13.25,2.19,BK1010,concept,磷化工
2021-10-15,781.93,783.35,791.68,769.28,16645663.0,20723081984.0,2.84,-0.54,-4.28,2.19,BK1010,concept,磷化工
2021-10-18,783.71,817.92,817.92,778.31,19466084.0,24631104512.0,5.06,4.41,34.57,2.56,BK1010,concept,磷化工
2021-10-19,815.34,828.49,837.73,809.59,18912546.0,24336402688.0,3.44,1.29,10.57,2.49,BK1010,concept,磷化工
2021-10-20,805.53,826.39,833.07,798.6,18088225.0,25113933056.0,4.16,-0.25,-2.1,2.38,BK1010,concept,磷化工
2021-10-21,829.99,855.83,866.45,829.99,21330175.0,30965437952.0,4.41,3.56,29.44,2.81,BK1010,concept,磷化工
2021-10-22,852.58,854.83,890.81,847.62,23433192.0,35917469184.0,5.05,-0.12,-1.0,3.09,BK1010,concept,磷化工
2021-10-25,846.04,870.23,872.38,841.31,18284128.0,28540334592.0,3.63,1.8,15.4,2.41,BK1010,concept,磷化工
2021-10-26,875.3,854.97,875.56,851.02,17634198.0,27192555264.0,2.82,-1.75,-15.26,2.32,BK1010,concept,磷化工
2021-10-27,851.57,862.82,868.17,848.64,18027185.0,30622923008.0,2.28,0.92,7.85,2.37,BK1010,concept,磷化工
2021-10-28,856.1,816.35,859.62,812.5,20672369.0,31746400512.0,5.46,-5.39,-46.47,2.72,BK1010,concept,磷化工
2021-10-29,819.22,833.57,841.28,812.65,17308977.0,29993414144.0,3.51,2.11,17.22,2.28,BK1010,concept,磷化工
2021-11-01,833.53,844.33,852.02,822.21,16900341.0,30025392640.0,3.58,1.29,10.76,2.23,BK1010,concept,磷化工
2021-11-02,844.32,803.7,845.39,794.85,19184712.0,29865615872.0,5.99,-4.81,-40.63,2.53,BK1010,concept,磷化工
