日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,5179.48,5115.4,5225.89,5100.02,18732896.0,24702142846.82,2.44,-0.88,-45.37,13.08,BK0520,concept,社保重仓
2010-01-05,5128.81,5149.83,5193.93,5046.77,23028632.0,30028513003.15,2.88,0.67,34.43,16.08,BK0520,concept,社保重仓
2010-01-06,5145.05,5096.21,5179.49,5069.09,22144611.0,31045640949.17,2.14,-1.04,-53.62,15.46,BK0520,concept,社保重仓
2010-01-07,5087.94,4993.67,5114.86,4960.91,21855743.0,30181051007.09,3.02,-2.01,-102.54,15.26,BK0520,concept,社保重仓
2010-01-08,4970.02,5006.19,5037.34,4908.54,18955977.0,25256937756.96,2.58,0.25,12.52,13.24,BK0520,concept,社保重仓
2010-01-11,5175.13,5021.53,5227.41,4952.27,24089938.0,31962121064.65,5.5,0.31,15.34,16.82,BK0520,concept,社保重仓
2010-01-12,5009.55,5098.32,5121.92,4962.09,25804486.0,34449737696.62,3.18,1.53,76.79,18.02,BK0520,concept,社保重仓
2010-01-13,5003.85,4944.99,5076.33,4886.91,30113677.0,37773643628.26,3.72,-3.01,-153.33,21.03,BK0520,concept,社保重仓
2010-01-14,4950.88,4990.91,5015.97,4914.8,23668198.0,31787818663.62,2.05,0.93,45.92,16.53,BK0520,concept,社保重仓
2010-01-15,4997.27,5006.62,5045.16,4941.17,20814035.0,29100995606.87,2.08,0.31,15.71,14.54,BK0520,concept,社保重仓
2010-01-18,4992.8,5023.61,5045.66,4957.98,23342640.0,31111829817.15,1.75,0.34,16.99,16.3,BK0520,concept,社保重仓
2010-01-19,5029.01,5035.32,5082.39,4996.14,23126028.0,31114423778.0,1.72,0.23,11.71,16.15,BK0520,concept,社保重仓
2010-01-20,5042.81,4905.3,5064.73,4882.8,29360155.0,36650795809.15,3.61,-2.58,-130.02,20.5,BK0520,concept,社保重仓
2010-01-21,4905.02,4914.05,4963.64,4843.22,20055945.0,25682407469.96,2.45,0.18,8.75,14.01,BK0520,concept,社保重仓
2010-01-22,4862.58,4887.04,4960.25,4782.43,25093944.0,31150269018.87,3.62,-0.55,-27.01,17.52,BK0520,concept,社保重仓
2010-01-25,4861.91,4853.33,4963.13,4818.26,13840019.0,17041465022.43,2.96,-0.69,-33.71,9.67,BK0520,concept,社保重仓
2010-01-26,4847.99,4780.35,4894.14,4724.94,16100474.0,20062101873.43,3.49,-1.5,-72.98,11.24,BK0520,concept,社保重仓
2010-01-27,4776.68,4731.01,4809.3,4697.69,13175478.0,16264813899.93,2.33,-1.03,-49.34,9.2,BK0520,concept,社保重仓
2010-01-28,4734.0,4750.73,4771.81,4668.05,12086820.0,15265437017.36,2.19,0.42,19.72,8.44,BK0520,concept,社保重仓
2010-01-29,4727.28,4739.7,4795.73,4692.59,13646008.0,16857400322.66,2.17,-0.23,-11.03,9.53,BK0520,concept,社保重仓
2010-02-01,4724.01,4660.22,4741.64,4620.13,14894203.0,17992732447.69,2.56,-1.68,-79.48,10.4,BK0520,concept,社保重仓
2010-02-02,4675.75,4678.76,4772.78,4645.48,14132595.0,16759289062.87,2.73,0.4,18.54,9.87,BK0520,concept,社保重仓
2010-02-03,4687.3,4774.5,4796.11,4597.83,18779080.0,21416175017.04,4.24,2.05,95.74,13.11,BK0520,concept,社保重仓
2010-02-04,4743.12,4759.57,4791.52,4701.14,18299196.0,20903835428.78,1.89,-0.31,-14.93,12.78,BK0520,concept,社保重仓
2010-02-05,4681.7,4703.6,4741.91,4645.69,18153952.0,19842077341.64,2.02,-1.18,-55.97,12.68,BK0520,concept,社保重仓
2010-02-08,4684.93,4696.55,4735.46,4650.86,12105763.0,13226553591.56,1.8,-0.15,-7.05,8.45,BK0520,concept,社保重仓
2010-02-09,4690.26,4689.84,4734.2,4635.11,13237142.0,13358381042.36,2.11,-0.14,-6.71,9.24,BK0520,concept,社保重仓
2010-02-10,4709.25,4731.63,4750.37,4681.38,11409954.0,13498484891.92,1.47,0.89,41.79,7.97,BK0520,concept,社保重仓
2010-02-11,4734.5,4732.26,4770.93,4699.83,10491169.0,12920898785.01,1.5,0.01,0.63,7.33,BK0520,concept,社保重仓
2010-02-12,4742.21,4771.9,4784.19,4721.26,9480445.0,11739027875.58,1.33,0.84,39.64,6.62,BK0520,concept,社保重仓
2010-02-22,4772.39,4748.41,4800.04,4729.49,11122728.0,13562037864.69,1.48,-0.49,-23.49,7.77,BK0520,concept,社保重仓
2010-02-23,4742.51,4732.09,4763.72,4661.0,13480678.0,16078554979.01,2.16,-0.34,-16.32,9.41,BK0520,concept,社保重仓
2010-02-24,4708.63,4781.1,4794.22,4684.73,16270747.0,20017437111.11,2.31,1.04,49.01,11.36,BK0520,concept,社保重仓
2010-02-25,4789.98,4843.87,4862.55,4774.52,21583622.0,26455078890.94,1.84,1.31,62.77,15.07,BK0520,concept,社保重仓
2010-02-26,4825.11,4831.72,4874.58,4793.65,16995548.0,21947744168.74,1.67,-0.25,-12.15,11.87,BK0520,concept,社保重仓
2010-03-01,4836.73,4869.32,4899.69,4812.5,19010660.0,23771874357.04,1.8,0.78,37.6,13.28,BK0520,concept,社保重仓
2010-03-02,4871.77,4852.86,4901.38,4823.9,17815321.0,22178269433.51,1.59,-0.34,-16.46,12.44,BK0520,concept,社保重仓
2010-03-03,4857.93,4884.03,4900.67,4821.85,21250619.0,24830035803.5,1.62,0.64,31.17,14.84,BK0520,concept,社保重仓
2010-03-04,4883.77,4815.89,4911.0,4774.11,23374276.0,27485679097.37,2.8,-1.4,-68.14,16.32,BK0520,concept,社保重仓
2010-03-05,4807.24,4806.72,4842.58,4775.66,15391237.0,18294532177.86,1.39,-0.19,-9.17,10.75,BK0520,concept,社保重仓
2010-03-08,4817.93,4822.94,4851.68,4786.59,13508505.0,16661397562.44,1.35,0.34,16.22,9.43,BK0520,concept,社保重仓
2010-03-09,4823.82,4841.76,4883.02,4781.33,16607973.0,19628040459.04,2.11,0.39,18.82,11.6,BK0520,concept,社保重仓
2010-03-10,4836.25,4815.94,4877.85,4791.13,14262600.0,17156085158.3,1.79,-0.53,-25.82,9.96,BK0520,concept,社保重仓
2010-03-11,4821.53,4840.2,4884.7,4786.97,13244998.0,16189662123.29,2.03,0.5,24.26,9.25,BK0520,concept,社保重仓
2010-03-12,4834.53,4795.92,4858.45,4776.87,12903120.0,15607149669.4,1.69,-0.91,-44.28,9.01,BK0520,concept,社保重仓
2010-03-15,4793.2,4748.76,4812.85,4721.21,10576636.0,12943633048.88,1.91,-0.98,-47.16,7.39,BK0520,concept,社保重仓
2010-03-16,4748.47,4783.38,4804.82,4727.85,9138094.0,11330059524.16,1.62,0.73,34.62,6.38,BK0520,concept,社保重仓
2010-03-17,4793.44,4845.69,4856.44,4771.67,14994576.0,18372245144.46,1.77,1.3,62.31,10.47,BK0520,concept,社保重仓
2010-03-18,4855.97,4837.97,4880.98,4811.8,19546264.0,22208932736.99,1.43,-0.16,-7.72,13.65,BK0520,concept,社保重仓
2010-03-19,4839.96,4879.23,4906.29,4798.69,17216386.0,20466361316.64,2.22,0.85,41.26,12.02,BK0520,concept,社保重仓
2010-03-22,4883.51,4889.01,4926.22,4853.42,16879495.0,20128446513.48,1.49,0.2,9.78,11.79,BK0520,concept,社保重仓
2010-03-23,4894.09,4870.72,4930.64,4852.07,17332423.0,21123069027.27,1.61,-0.37,-18.29,12.1,BK0520,concept,社保重仓
2010-03-24,4888.33,4909.89,4957.74,4865.89,17191757.0,20467580126.16,1.89,0.8,39.17,12.01,BK0520,concept,社保重仓
