日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-11-01,1001.88,1029.06,1029.2,1001.81,6688462.0,6620467594.96,2.74,2.91,29.06,0.56,BK1107,concept,科创板做市商
2022-11-02,1023.67,1028.52,1034.18,1020.44,4708654.0,4827956485.17,1.34,-0.05,-0.54,0.39,BK1107,concept,科创板做市商
2022-11-03,1022.15,1023.99,1026.48,1018.52,3133812.0,3199042600.44,0.77,-0.44,-4.53,0.26,BK1107,concept,科创板做市商
2022-11-04,1022.42,1044.94,1052.2,1022.42,6713879.0,6903495940.2,2.91,2.05,20.95,0.56,BK1107,concept,科创板做市商
2022-11-07,1037.98,1043.16,1048.28,1037.53,4281503.0,4381615344.73,1.03,-0.17,-1.78,0.36,BK1107,concept,科创板做市商
2022-11-08,1043.62,1039.08,1046.09,1034.26,2985628.0,2993266205.6,1.13,-0.39,-4.08,0.25,BK1107,concept,科创板做市商
2022-11-09,1038.95,1031.28,1041.28,1031.25,2599584.0,2628354456.89,0.97,-0.75,-7.8,0.22,BK1107,concept,科创板做市商
2022-11-10,1027.45,1041.45,1048.51,1025.55,4297559.0,4446693767.69,2.23,0.99,10.17,0.36,BK1107,concept,科创板做市商
2022-11-11,1068.13,1067.38,1081.34,1054.47,12148422.0,12174012011.7,2.58,2.49,25.93,1.01,BK1107,concept,科创板做市商
2022-11-14,1071.18,1072.06,1093.09,1070.15,10029392.0,10827957485.51,2.15,0.44,4.68,0.84,BK1107,concept,科创板做市商
2022-11-15,1068.03,1106.81,1120.67,1068.03,13091140.0,13935886518.52,4.91,3.24,34.75,1.09,BK1107,concept,科创板做市商
2022-11-16,1100.82,1088.24,1105.23,1086.69,6613200.0,6958576133.77,1.68,-1.68,-18.57,0.55,BK1107,concept,科创板做市商
2022-11-17,1086.03,1093.16,1093.52,1081.6,4746354.0,4903437975.1,1.1,0.45,4.92,0.4,BK1107,concept,科创板做市商
2022-11-18,1092.91,1077.92,1093.53,1077.9,4519933.0,4802588622.39,1.43,-1.39,-15.24,0.38,BK1107,concept,科创板做市商
2022-11-21,1071.35,1059.9,1071.64,1055.88,3895939.0,4266968837.23,1.46,-1.67,-18.02,0.33,BK1107,concept,科创板做市商
2022-11-22,1059.21,1064.34,1072.39,1054.7,4027373.0,4336348299.94,1.67,0.42,4.44,0.34,BK1107,concept,科创板做市商
2022-11-23,1062.4,1064.23,1072.37,1059.23,3435145.0,3624961018.67,1.23,-0.01,-0.11,0.29,BK1107,concept,科创板做市商
2022-11-24,1072.84,1058.17,1075.74,1056.9,3143188.0,3250521159.03,1.77,-0.57,-6.06,0.26,BK1107,concept,科创板做市商
2022-11-25,1056.72,1071.8,1078.44,1056.37,4708224.0,4899087103.42,2.09,1.29,13.63,0.39,BK1107,concept,科创板做市商
2022-11-28,1050.87,1055.6,1057.34,1040.99,4931473.0,5126343789.74,1.53,-1.51,-16.2,0.41,BK1107,concept,科创板做市商
2022-11-29,1057.64,1090.84,1094.97,1057.64,8918063.0,9584040968.93,3.54,3.34,35.24,0.74,BK1107,concept,科创板做市商
2022-11-30,1089.25,1087.31,1103.4,1086.62,6724732.0,7390053336.66,1.54,-0.32,-3.53,0.56,BK1107,concept,科创板做市商
2022-12-01,1105.11,1093.62,1126.52,1093.06,9605248.0,11501763070.97,3.08,0.58,6.31,0.8,BK1107,concept,科创板做市商
2022-12-02,1091.98,1087.06,1101.18,1084.58,4423263.0,4750430290.33,1.52,-0.6,-6.56,0.37,BK1107,concept,科创板做市商
2022-12-05,1098.72,1120.04,1124.05,1098.27,9776697.0,11414194635.52,2.37,3.03,32.98,0.82,BK1107,concept,科创板做市商
2022-12-06,1113.57,1114.98,1128.04,1111.21,6328644.0,7631275987.04,1.5,-0.45,-5.06,0.53,BK1107,concept,科创板做市商
2022-12-07,1110.93,1103.48,1118.06,1098.55,5463859.0,6149070942.06,1.75,-1.03,-11.5,0.46,BK1107,concept,科创板做市商
2022-12-08,1102.72,1101.51,1107.77,1097.24,3784885.0,4364013615.56,0.95,-0.18,-1.97,0.32,BK1107,concept,科创板做市商
2022-12-09,1101.34,1105.17,1109.8,1091.27,6775580.0,7700306099.21,1.68,0.33,3.66,0.57,BK1107,concept,科创板做市商
2022-12-12,1097.64,1081.42,1097.64,1080.16,5216609.0,5592737724.89,1.58,-2.15,-23.75,0.44,BK1107,concept,科创板做市商
2022-12-13,1084.03,1083.07,1089.26,1079.81,3160202.0,3652267188.6,0.87,0.15,1.65,0.26,BK1107,concept,科创板做市商
2022-12-14,1083.09,1090.99,1097.11,1080.34,3923427.0,4226523688.24,1.55,0.73,7.92,0.33,BK1107,concept,科创板做市商
2022-12-15,1088.55,1083.29,1094.58,1081.39,2994709.0,3255770385.21,1.21,-0.71,-7.7,0.25,BK1107,concept,科创板做市商
2022-12-16,1078.78,1085.04,1089.59,1077.39,3091916.0,3499994944.83,1.13,0.16,1.75,0.26,BK1107,concept,科创板做市商
2022-12-19,1084.51,1053.32,1089.4,1048.38,4568849.0,4868412955.11,3.78,-2.92,-31.72,0.38,BK1107,concept,科创板做市商
2022-12-20,1051.09,1049.4,1057.62,1044.65,2877798.0,3119121558.24,1.23,-0.37,-3.92,0.24,BK1107,concept,科创板做市商
2022-12-21,1050.86,1046.0,1054.49,1041.84,2136452.0,2248985914.55,1.21,-0.32,-3.4,0.18,BK1107,concept,科创板做市商
2022-12-22,1053.71,1044.06,1059.6,1040.08,2870311.0,3128625520.27,1.87,-0.19,-1.94,0.24,BK1107,concept,科创板做市商
2022-12-23,1038.72,1044.59,1052.2,1038.55,2122982.0,2308488470.62,1.31,0.05,0.53,0.18,BK1107,concept,科创板做市商
2022-12-26,1046.12,1041.23,1048.39,1039.1,2544055.0,2633638263.24,0.89,-0.32,-3.36,0.21,BK1107,concept,科创板做市商
2022-12-27,1048.56,1054.49,1058.42,1045.64,3369903.0,3746470580.11,1.23,1.27,13.26,0.28,BK1107,concept,科创板做市商
2022-12-28,1050.86,1050.44,1056.62,1045.37,2520694.0,2655936499.18,1.07,-0.38,-4.05,0.21,BK1107,concept,科创板做市商
2022-12-29,1045.94,1045.59,1048.75,1038.68,2653345.0,2897157090.43,0.96,-0.46,-4.85,0.22,BK1107,concept,科创板做市商
2022-12-30,1048.7,1050.76,1055.85,1048.48,2732801.0,2933472539.75,0.7,0.49,5.17,0.23,BK1107,concept,科创板做市商
