日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-09-10,998.53,993.42,1030.21,971.65,4918924.0,12872250148.14,5.86,-0.66,-6.58,0.51,BK0578,concept,稀土永磁
2010-09-13,995.28,1025.28,1039.54,981.37,4540955.0,11909037393.12,5.86,3.21,31.86,0.47,BK0578,concept,稀土永磁
2010-09-14,1019.88,1011.04,1038.88,998.44,3952319.0,10006345121.98,3.94,-1.39,-14.24,0.41,BK0578,concept,稀土永磁
2010-09-15,1011.41,978.29,1027.66,968.27,3873997.0,8889422495.43,5.87,-3.24,-32.75,0.4,BK0578,concept,稀土永磁
2010-09-16,973.67,976.02,1005.08,941.23,3563942.0,9030592654.0,6.53,-0.23,-2.27,0.37,BK0578,concept,稀土永磁
2010-09-17,976.02,953.22,985.45,937.01,2588360.0,6715675025.53,4.96,-2.34,-22.8,0.27,BK0578,concept,稀土永磁
2010-09-20,950.01,939.07,968.29,918.73,2303334.0,6167880071.88,5.2,-1.48,-14.15,0.24,BK0578,concept,稀土永磁
2010-09-21,941.52,943.04,963.6,924.08,2289138.0,5626842393.51,4.21,0.42,3.97,0.24,BK0578,concept,稀土永磁
2010-09-27,954.27,997.61,1007.72,945.25,3160995.0,8403868247.3,6.62,5.79,54.57,0.33,BK0578,concept,稀土永磁
2010-09-28,983.63,996.44,1039.49,974.37,6125624.0,16562049746.63,6.53,-0.12,-1.17,0.64,BK0578,concept,稀土永磁
2010-09-29,1003.26,1019.03,1051.49,984.41,6198391.0,14036793069.52,6.73,2.27,22.59,0.64,BK0578,concept,稀土永磁
2010-09-30,1011.97,1069.85,1075.99,1003.42,4675896.0,13510241148.41,7.12,4.99,50.82,0.49,BK0578,concept,稀土永磁
2010-10-08,1094.76,1129.74,1158.85,1082.18,6284726.0,17695700714.5,7.17,5.6,59.89,0.65,BK0578,concept,稀土永磁
2010-10-11,1139.63,1142.81,1186.97,1121.92,6971079.0,20682676236.55,5.76,1.16,13.07,0.72,BK0578,concept,稀土永磁
2010-10-12,1130.87,1183.07,1203.88,1121.37,5155203.0,16522304045.97,7.22,3.52,40.26,0.54,BK0578,concept,稀土永磁
2010-10-13,1196.05,1192.15,1227.57,1148.18,5751712.0,17445808017.17,6.71,0.77,9.08,0.6,BK0578,concept,稀土永磁
2010-10-14,1195.95,1194.52,1240.67,1160.42,5555021.0,17694289223.12,6.73,0.2,2.37,0.58,BK0578,concept,稀土永磁
2010-10-15,1177.0,1223.87,1256.81,1147.52,6037501.0,21360828322.55,9.15,2.46,29.35,0.63,BK0578,concept,稀土永磁
2010-10-18,1235.05,1163.84,1267.11,1143.37,6519534.0,22754051393.92,10.11,-4.9,-60.03,0.68,BK0578,concept,稀土永磁
2010-10-19,1163.32,1221.69,1238.83,1155.31,4304068.0,11633092043.26,7.18,4.97,57.85,0.45,BK0578,concept,稀土永磁
2010-10-20,1178.51,1205.49,1239.27,1160.34,5117198.0,15245379269.7,6.46,-1.33,-16.2,0.53,BK0578,concept,稀土永磁
2010-10-21,1214.52,1271.91,1289.59,1198.67,6351171.0,18231926973.47,7.54,5.51,66.42,0.66,BK0578,concept,稀土永磁
2010-10-22,1260.96,1331.67,1359.29,1240.11,6999910.0,19814531566.3,9.37,4.7,59.76,0.73,BK0578,concept,稀土永磁
2010-10-25,1354.47,1392.8,1419.1,1329.78,6395442.0,19236213370.65,6.71,4.59,61.13,0.66,BK0578,concept,稀土永磁
2010-10-26,1396.8,1394.04,1443.92,1345.82,6745950.0,22049191652.12,7.04,0.09,1.24,0.7,BK0578,concept,稀土永磁
2010-10-27,1374.6,1400.45,1457.25,1342.98,6772330.0,23295902353.45,8.2,0.46,6.41,0.7,BK0578,concept,稀土永磁
2010-10-28,1390.09,1446.85,1491.22,1370.71,6957366.0,22380586603.2,8.61,3.31,46.4,0.72,BK0578,concept,稀土永磁
2010-10-29,1473.26,1522.05,1538.89,1440.43,9127109.0,22998704046.64,6.81,5.2,75.2,0.95,BK0578,concept,稀土永磁
2010-11-01,1546.04,1619.88,1650.85,1508.01,9517623.0,27253486039.86,9.38,6.43,97.83,0.99,BK0578,concept,稀土永磁
2010-11-02,1624.97,1572.68,1700.34,1554.83,10452312.0,33238912447.94,8.98,-2.91,-47.2,1.08,BK0578,concept,稀土永磁
2010-11-03,1570.9,1459.43,1609.0,1443.56,7301921.0,23468890498.2,10.52,-7.2,-113.25,0.76,BK0578,concept,稀土永磁
2010-11-04,1455.6,1536.2,1565.34,1419.35,8446235.0,25960093474.85,10.0,5.26,76.77,0.88,BK0578,concept,稀土永磁
2010-11-05,1584.9,1529.08,1603.4,1506.54,6865131.0,21716021126.02,6.31,-0.46,-7.12,0.71,BK0578,concept,稀土永磁
2010-11-08,1522.91,1515.14,1544.02,1468.22,4707689.0,14702167082.03,4.96,-0.91,-13.94,0.49,BK0578,concept,稀土永磁
2010-11-09,1506.04,1529.48,1571.36,1489.05,4744477.0,13781755076.01,5.43,0.95,14.34,0.49,BK0578,concept,稀土永磁
2010-11-10,1524.65,1597.04,1617.44,1501.83,6980692.0,21407841063.04,7.56,4.42,67.56,0.72,BK0578,concept,稀土永磁
2010-11-11,1585.64,1563.35,1664.23,1544.33,8057676.0,25861745647.74,7.51,-2.11,-33.69,0.84,BK0578,concept,稀土永磁
2010-11-12,1537.94,1466.99,1589.18,1437.3,7004134.0,21366528925.95,9.72,-6.16,-96.36,0.73,BK0578,concept,稀土永磁
2010-11-15,1466.05,1470.41,1509.4,1404.03,4504103.0,15652291485.82,7.18,0.23,3.42,0.47,BK0578,concept,稀土永磁
2010-11-16,1458.65,1338.38,1464.44,1330.22,4814582.0,14919957124.14,9.13,-8.98,-132.03,0.5,BK0578,concept,稀土永磁
2010-11-17,1288.63,1274.17,1352.91,1255.43,3790302.0,11466907410.1,7.28,-4.8,-64.21,0.39,BK0578,concept,稀土永磁
2010-11-18,1298.27,1335.47,1351.84,1258.99,4250308.0,12288127416.89,7.29,4.81,61.3,0.44,BK0578,concept,稀土永磁
2010-11-19,1346.27,1361.25,1385.61,1296.34,5284811.0,15006317095.17,6.68,1.93,25.78,0.55,BK0578,concept,稀土永磁
2010-11-22,1338.58,1371.37,1400.74,1314.11,4850605.0,15528901762.58,6.36,0.74,10.12,0.5,BK0578,concept,稀土永磁
