日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-06-21,997.45,1034.82,1034.82,996.49,5116312.0,4650991104.0,3.83,3.48,34.82,3.61,BK0994,concept,空间站概念
2021-06-22,1032.23,1017.96,1032.23,1013.75,3629068.0,3611207536.0,1.79,-1.63,-16.86,2.56,BK0994,concept,空间站概念
2021-06-23,1018.94,1006.32,1018.94,1004.52,3475735.0,2984997424.0,1.42,-1.14,-11.64,2.45,BK0994,concept,空间站概念
2021-06-24,1006.89,1004.35,1013.66,1003.13,4312137.0,3371755824.0,1.05,-0.2,-1.97,3.04,BK0994,concept,空间站概念
2021-06-25,1001.15,1001.25,1002.95,991.25,3312418.0,2707817952.0,1.16,-0.31,-3.1,2.34,BK0994,concept,空间站概念
2021-06-28,1001.6,1011.28,1019.1,999.21,2639157.0,2597430560.0,1.99,1.0,10.03,1.86,BK0994,concept,空间站概念
2021-06-29,1008.72,992.18,1013.71,989.11,2697447.0,2507958432.0,2.43,-1.89,-19.1,1.9,BK0994,concept,空间站概念
2021-06-30,990.1,1002.04,1002.04,990.1,2049489.0,1873058816.0,1.2,0.99,9.86,1.45,BK0994,concept,空间站概念
2021-07-01,1003.62,969.67,1004.36,968.9,2603903.0,2503125472.0,3.54,-3.23,-32.37,1.84,BK0994,concept,空间站概念
2021-07-02,966.82,956.53,972.4,953.68,2191599.0,2295839056.0,1.93,-1.36,-13.14,1.55,BK0994,concept,空间站概念
2021-07-05,958.78,988.13,988.39,958.78,2318484.0,2067613808.0,3.1,3.3,31.6,1.63,BK0994,concept,空间站概念
2021-07-06,985.41,998.48,1004.38,981.63,3130307.0,3066954512.0,2.3,1.05,10.35,2.21,BK0994,concept,空间站概念
2021-07-07,986.16,996.72,997.46,984.93,2576927.0,2402678048.0,1.25,-0.18,-1.76,1.82,BK0994,concept,空间站概念
2021-07-08,997.08,1015.55,1017.6,996.61,3393159.0,3541196880.0,2.11,1.89,18.83,2.39,BK0994,concept,空间站概念
