日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-09-11,965.58,1012.15,1020.37,965.58,11461675.0,17838682112.0,5.48,1.22,12.15,1.36,BK0952,concept,第三代半导体
2020-09-14,1031.41,1106.29,1106.29,1030.71,13426174.0,23605135616.0,7.47,9.3,94.14,1.6,BK0952,concept,第三代半导体
2020-09-15,1108.63,1072.88,1108.63,1068.74,11817957.0,21058855936.0,3.61,-3.02,-33.41,1.41,BK0952,concept,第三代半导体
2020-09-16,1071.55,1089.22,1118.7,1071.55,10922267.0,19032681984.0,4.39,1.52,16.34,1.3,BK0952,concept,第三代半导体
2020-09-17,1076.95,1124.76,1144.89,1067.08,15001341.0,24372133120.0,7.14,3.26,35.54,1.78,BK0952,concept,第三代半导体
2020-09-18,1118.12,1124.29,1137.38,1110.1,13455606.0,21209113600.0,2.43,-0.04,-0.47,1.6,BK0952,concept,第三代半导体
2020-09-21,1122.76,1127.5,1145.55,1122.62,10328840.0,17432384768.0,2.04,0.29,3.21,1.23,BK0952,concept,第三代半导体
2020-09-22,1103.11,1106.26,1113.89,1091.23,13888550.0,18569830912.0,2.01,-1.88,-21.24,1.65,BK0952,concept,第三代半导体
2020-09-23,1110.08,1125.96,1135.65,1110.08,12150176.0,20673251840.0,2.31,1.78,19.7,1.45,BK0952,concept,第三代半导体
2020-09-24,1105.18,1074.59,1112.48,1073.98,13185919.0,19205918464.0,3.42,-4.56,-51.37,1.57,BK0952,concept,第三代半导体
2020-09-25,1080.29,1052.21,1083.29,1049.44,9360129.0,14390025984.0,3.15,-2.08,-22.38,1.11,BK0952,concept,第三代半导体
2020-09-28,1052.88,1044.94,1059.73,1043.95,9642768.0,14852249088.0,1.5,-0.69,-7.27,1.15,BK0952,concept,第三代半导体
2020-09-29,1051.39,1058.02,1068.4,1047.59,9461848.0,14994573568.0,1.99,1.25,13.08,1.13,BK0952,concept,第三代半导体
2020-09-30,1061.7,1053.67,1062.65,1045.44,9628445.0,13882263040.0,1.63,-0.41,-4.35,1.15,BK0952,concept,第三代半导体
2020-10-09,1080.92,1103.86,1104.34,1077.4,11778573.0,18494883584.0,2.56,4.76,50.19,1.4,BK0952,concept,第三代半导体
2020-10-12,1109.5,1174.73,1175.27,1102.98,16909162.0,27920036864.0,6.55,6.42,70.87,2.01,BK0952,concept,第三代半导体
2020-10-13,1160.2,1175.66,1195.45,1153.94,15768945.0,27305282816.0,3.53,0.08,0.93,1.88,BK0952,concept,第三代半导体
2020-10-14,1167.3,1157.09,1169.59,1145.55,13844042.0,23520824320.0,2.04,-1.58,-18.57,1.65,BK0952,concept,第三代半导体
2020-10-15,1149.03,1128.99,1161.74,1128.99,11686052.0,20305985536.0,2.83,-2.43,-28.1,1.39,BK0952,concept,第三代半导体
2020-10-16,1123.92,1116.6,1137.0,1108.75,9384740.0,18809760256.0,2.5,-1.1,-12.39,1.12,BK0952,concept,第三代半导体
2020-10-19,1117.54,1114.58,1129.06,1108.83,10004735.0,17413449472.0,1.81,-0.18,-2.02,1.19,BK0952,concept,第三代半导体
2020-10-20,1107.24,1123.38,1123.38,1091.99,10870401.0,18334387712.0,2.82,0.79,8.8,1.29,BK0952,concept,第三代半导体
2020-10-21,1121.22,1080.62,1121.22,1077.76,10133994.0,18119045120.0,3.87,-3.81,-42.76,1.21,BK0952,concept,第三代半导体
2020-10-22,1070.4,1088.83,1108.85,1059.84,9709420.0,16399303936.0,4.54,0.76,8.21,1.15,BK0952,concept,第三代半导体
2020-10-23,1091.49,1060.6,1099.95,1057.6,11716272.0,17333688064.0,3.89,-2.59,-28.23,1.39,BK0952,concept,第三代半导体
2020-10-26,1056.77,1074.69,1077.99,1048.83,9240686.0,14793226496.0,2.75,1.33,14.09,1.1,BK0952,concept,第三代半导体
2020-10-27,1072.17,1076.08,1084.63,1066.14,9649883.0,16128983040.0,1.72,0.13,1.39,1.15,BK0952,concept,第三代半导体
2020-10-28,1068.96,1067.79,1073.64,1049.67,10717770.0,20192183040.0,2.23,-0.77,-8.29,1.27,BK0952,concept,第三代半导体
2020-10-29,1042.29,1052.03,1063.26,1041.81,9670800.0,17191874304.0,2.01,-1.48,-15.76,1.15,BK0952,concept,第三代半导体
2020-10-30,1057.15,1035.95,1070.39,1035.64,12555154.0,24086230528.0,3.3,-1.53,-16.08,1.49,BK0952,concept,第三代半导体
2020-11-02,1033.96,1041.1,1045.23,1026.51,9447395.0,19987972864.0,1.81,0.5,5.15,1.12,BK0952,concept,第三代半导体
2020-11-03,1049.17,1094.26,1095.6,1046.89,12470964.0,25948133120.0,4.68,5.11,53.16,1.48,BK0952,concept,第三代半导体
2020-11-04,1087.57,1082.6,1097.07,1077.06,11514189.0,22250193664.0,1.83,-1.07,-11.66,1.37,BK0952,concept,第三代半导体
2020-11-05,1095.26,1098.9,1102.15,1088.24,11079600.0,20885641728.0,1.28,1.51,16.3,1.32,BK0952,concept,第三代半导体
2020-11-06,1099.04,1093.1,1102.25,1084.34,11034260.0,22442521344.0,1.63,-0.53,-5.8,1.31,BK0952,concept,第三代半导体
2020-11-09,1108.67,1168.88,1176.72,1108.67,16094148.0,36619800320.0,6.23,6.93,75.78,1.91,BK0952,concept,第三代半导体
2020-11-10,1166.52,1157.35,1180.04,1148.64,14294883.0,34515055360.0,2.69,-0.99,-11.53,1.7,BK0952,concept,第三代半导体
2020-11-11,1148.78,1119.29,1156.07,1118.03,9877914.0,26327325696.0,3.29,-3.29,-38.06,1.17,BK0952,concept,第三代半导体
2020-11-12,1128.94,1118.82,1132.54,1109.87,7905881.0,19410227200.0,2.03,-0.04,-0.47,0.94,BK0952,concept,第三代半导体
2020-11-13,1113.73,1120.17,1132.42,1102.73,7999555.0,20215362816.0,2.65,0.12,1.35,0.95,BK0952,concept,第三代半导体
2020-11-16,1118.67,1119.17,1121.64,1106.42,7777824.0,17782930688.0,1.36,-0.09,-1.0,0.93,BK0952,concept,第三代半导体
2020-11-17,1117.59,1107.88,1118.76,1081.96,11303704.0,23965750016.0,3.29,-1.01,-11.29,1.34,BK0952,concept,第三代半导体
2020-11-18,1102.66,1108.76,1113.98,1095.75,10180624.0,21446058496.0,1.65,0.08,0.88,1.21,BK0952,concept,第三代半导体
2020-11-19,1098.73,1114.59,1122.34,1094.56,9856320.0,20436060416.0,2.51,0.53,5.83,1.17,BK0952,concept,第三代半导体
2020-11-20,1109.21,1107.66,1115.18,1100.86,7742173.0,15986125824.0,1.28,-0.62,-6.93,0.92,BK0952,concept,第三代半导体
2020-11-23,1104.71,1110.07,1116.91,1094.4,8816914.0,18247260928.0,2.03,0.22,2.41,1.05,BK0952,concept,第三代半导体
2020-11-24,1109.12,1120.17,1132.84,1107.64,8998865.0,20352403712.0,2.27,0.91,10.1,1.07,BK0952,concept,第三代半导体
2020-11-25,1118.64,1109.0,1131.35,1109.0,9146921.0,20210142208.0,2.0,-1.0,-11.17,1.09,BK0952,concept,第三代半导体
2020-11-26,1106.98,1103.09,1116.51,1099.26,8008199.0,18672596992.0,1.56,-0.53,-5.91,0.95,BK0952,concept,第三代半导体
2020-11-27,1100.81,1112.29,1116.2,1093.06,7519765.0,18428703488.0,2.1,0.83,9.2,0.89,BK0952,concept,第三代半导体
2020-11-30,1115.3,1109.17,1127.29,1100.31,8526427.0,21417649152.0,2.43,-0.28,-3.12,1.01,BK0952,concept,第三代半导体
2020-12-01,1107.12,1127.1,1128.18,1105.83,8988723.0,21381863936.0,2.02,1.62,17.93,1.07,BK0952,concept,第三代半导体
2020-12-02,1126.98,1153.42,1157.98,1126.98,12247166.0,28907313408.0,2.75,2.34,26.32,1.46,BK0952,concept,第三代半导体
2020-12-03,1153.73,1141.39,1164.12,1141.17,11489736.0,25831049472.0,1.99,-1.04,-12.03,1.37,BK0952,concept,第三代半导体
2020-12-04,1133.27,1147.54,1153.06,1132.77,10353151.0,22810388480.0,1.78,0.54,6.15,1.23,BK0952,concept,第三代半导体
2020-12-07,1171.89,1148.13,1176.98,1147.67,13663675.0,29622026496.0,2.55,0.05,0.59,1.63,BK0952,concept,第三代半导体
2020-12-08,1145.42,1144.58,1152.3,1138.44,10831123.0,22194123520.0,1.21,-0.31,-3.55,1.29,BK0952,concept,第三代半导体
2020-12-09,1141.49,1102.49,1142.27,1102.49,11741287.0,23970695680.0,3.48,-3.68,-42.09,1.4,BK0952,concept,第三代半导体
2020-12-10,1098.11,1106.45,1114.87,1094.88,8526632.0,18263811072.0,1.81,0.36,3.96,1.01,BK0952,concept,第三代半导体
2020-12-11,1106.45,1080.71,1106.45,1066.53,9455429.0,21711636224.0,3.61,-2.33,-25.74,1.12,BK0952,concept,第三代半导体
2020-12-14,1081.53,1098.93,1099.07,1075.82,8906976.0,18893182208.0,2.15,1.69,18.22,1.06,BK0952,concept,第三代半导体
2020-12-15,1094.53,1086.55,1099.78,1075.47,8443499.0,19183705088.0,2.21,-1.13,-12.38,1.0,BK0952,concept,第三代半导体
2020-12-16,1085.58,1063.97,1085.58,1063.75,6804666.0,16008079616.0,2.01,-2.08,-22.58,0.81,BK0952,concept,第三代半导体
2020-12-17,1063.23,1075.39,1076.88,1044.32,7489574.0,15873703680.0,3.06,1.07,11.42,0.89,BK0952,concept,第三代半导体
