日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-06-01,996.76,988.88,1007.37,984.13,15682325.0,15142434048.0,2.32,-1.11,-11.12,5.16,BK1086,concept,粮食概念
2022-06-02,985.03,1008.73,1023.19,976.4,15426836.0,14175699712.0,4.73,2.01,19.85,5.07,BK1086,concept,粮食概念
2022-06-06,994.73,1008.85,1013.48,984.71,13720556.0,12652654592.0,2.85,0.01,0.12,4.51,BK1086,concept,粮食概念
2022-06-07,1000.64,962.93,1001.22,960.24,14660944.0,13190624768.0,4.06,-4.55,-45.92,4.82,BK1086,concept,粮食概念
2022-06-08,957.8,965.43,965.43,947.39,11608710.0,9790915584.0,1.87,0.26,2.5,3.82,BK1086,concept,粮食概念
2022-06-09,971.53,967.63,989.9,957.01,12548696.0,11793698560.0,3.41,0.23,2.2,4.13,BK1086,concept,粮食概念
2022-06-10,952.02,969.19,974.57,941.73,11190416.0,9562405888.0,3.39,0.16,1.56,3.68,BK1086,concept,粮食概念
2022-06-13,961.0,978.59,980.04,959.83,11183576.0,10209336064.0,2.09,0.97,9.4,3.68,BK1086,concept,粮食概念
2022-06-14,967.96,970.15,974.69,943.78,10209012.0,8931256064.0,3.16,-0.86,-8.44,3.36,BK1086,concept,粮食概念
2022-06-15,963.46,958.63,972.42,957.5,9338825.0,8210575360.0,1.54,-1.19,-11.52,3.07,BK1086,concept,粮食概念
2022-06-16,957.62,964.58,976.46,956.52,9120916.0,7727392256.0,2.08,0.62,5.95,3.0,BK1086,concept,粮食概念
2022-06-17,955.94,954.3,960.25,933.24,8058440.0,7226055168.0,2.8,-1.07,-10.28,2.65,BK1086,concept,粮食概念
2022-06-20,952.84,952.8,959.97,947.19,5794068.0,5132975616.0,1.34,-0.16,-1.5,1.91,BK1086,concept,粮食概念
2022-06-21,950.78,932.13,951.5,922.31,6983246.0,6170821376.0,3.06,-2.17,-20.67,2.3,BK1086,concept,粮食概念
2022-06-22,931.12,926.18,940.87,919.62,6158927.0,5544683008.0,2.28,-0.64,-5.95,2.03,BK1086,concept,粮食概念
2022-06-23,924.45,930.95,931.22,913.29,7114992.0,5379240704.0,1.94,0.52,4.77,2.34,BK1086,concept,粮食概念
2022-06-24,927.96,935.8,936.58,922.64,6642987.0,4988592128.0,1.5,0.52,4.85,2.18,BK1086,concept,粮食概念
2022-06-27,935.47,938.35,942.1,932.65,6512767.0,5556485888.0,1.01,0.27,2.55,2.14,BK1086,concept,粮食概念
2022-06-28,936.27,936.3,938.74,928.21,6523499.0,5314321920.0,1.12,-0.22,-2.05,2.15,BK1086,concept,粮食概念
2022-06-29,936.52,914.89,942.65,914.89,8861883.0,7173342720.0,2.96,-2.29,-21.41,2.91,BK1086,concept,粮食概念
2022-06-30,912.11,911.63,916.55,903.75,7251604.0,5430063872.0,1.4,-0.36,-3.26,2.39,BK1086,concept,粮食概念
2022-07-01,916.42,910.66,920.47,908.65,5345993.0,4094392880.0,1.3,-0.11,-0.97,1.76,BK1086,concept,粮食概念
2022-07-04,910.86,928.43,928.61,910.86,7674193.0,6606026240.0,1.95,1.95,17.77,2.52,BK1086,concept,粮食概念
