日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-02-22,984.85,1024.37,1025.36,982.42,4599997.0,4918888960.0,4.29,2.44,24.37,6.29,BK0855,concept,纳米银
2019-02-25,1027.83,1063.31,1078.31,1025.36,5520345.0,6534150912.0,5.17,3.8,38.94,7.55,BK0855,concept,纳米银
2019-02-26,1051.96,1026.34,1055.52,1022.34,4284691.0,4971976448.0,3.12,-3.48,-36.97,5.86,BK0855,concept,纳米银
2019-02-27,1010.42,996.06,1020.87,981.86,3790801.0,4434335488.0,3.8,-2.95,-30.28,5.19,BK0855,concept,纳米银
2019-02-28,996.34,1006.27,1014.0,994.59,2350399.0,2711871536.0,1.95,1.03,10.21,3.22,BK0855,concept,纳米银
2019-03-01,1010.38,1008.48,1011.1,990.56,2225109.0,2545619184.0,2.04,0.22,2.21,3.04,BK0855,concept,纳米银
2019-03-04,1012.06,1032.3,1049.15,1009.66,4286729.0,4728946688.0,3.92,2.36,23.82,5.87,BK0855,concept,纳米银
2019-03-05,1024.93,1063.33,1063.33,1020.88,4288429.0,4802557952.0,4.11,3.01,31.03,5.87,BK0855,concept,纳米银
2019-03-06,1068.9,1075.65,1075.65,1045.45,4288037.0,4791248128.0,2.84,1.16,12.32,5.87,BK0855,concept,纳米银
2019-03-07,1075.11,1095.98,1105.18,1068.17,4566481.0,5255939840.0,3.44,1.89,20.33,6.25,BK0855,concept,纳米银
2019-03-08,1073.06,1058.37,1109.21,1052.98,4770811.0,5377525504.0,5.13,-3.43,-37.61,6.53,BK0855,concept,纳米银
2019-03-11,1067.03,1104.38,1104.38,1054.86,3599389.0,4210873728.0,4.68,4.35,46.01,4.93,BK0855,concept,纳米银
2019-03-12,1108.59,1136.41,1141.2,1104.89,5197500.0,6475394560.0,3.29,2.9,32.03,7.11,BK0855,concept,纳米银
2019-03-13,1130.65,1103.86,1138.26,1099.2,4362116.0,5145326848.0,3.44,-2.86,-32.55,5.97,BK0855,concept,纳米银
