日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-11-07,999.52,1009.3,1010.7,996.58,1993311.0,2157668080.0,1.41,0.93,9.3,0.7,BK0895,concept,维生素
2019-11-08,1012.82,1001.79,1016.69,1000.56,1787766.0,1923777568.0,1.6,-0.74,-7.51,0.62,BK0895,concept,维生素
2019-11-11,995.69,978.83,995.69,976.64,1842475.0,1831019824.0,1.9,-2.29,-22.96,0.64,BK0895,concept,维生素
2019-11-12,978.63,987.13,987.13,967.27,1629841.0,1826179904.0,2.03,0.85,8.3,0.57,BK0895,concept,维生素
2019-11-13,993.51,972.14,996.34,967.22,2139638.0,2435059632.0,2.95,-1.52,-14.99,0.75,BK0895,concept,维生素
2019-11-14,967.09,982.91,982.91,960.69,2287320.0,2658940240.0,2.29,1.11,10.77,0.8,BK0895,concept,维生素
2019-11-15,982.4,978.49,996.96,975.74,2620783.0,3460560624.0,2.16,-0.45,-4.42,0.92,BK0895,concept,维生素
2019-11-18,977.62,997.19,998.71,975.76,2325390.0,3168115760.0,2.35,1.91,18.7,0.81,BK0895,concept,维生素
2019-11-19,994.21,996.33,996.76,988.22,1842478.0,2347775696.0,0.86,-0.09,-0.86,0.64,BK0895,concept,维生素
2019-11-20,995.46,990.43,998.0,986.93,2236456.0,2604028480.0,1.11,-0.59,-5.9,0.78,BK0895,concept,维生素
2019-11-21,984.88,979.03,987.86,973.87,1665037.0,2003738736.0,1.41,-1.15,-11.4,0.58,BK0895,concept,维生素
2019-11-22,979.24,958.52,983.37,950.59,1798598.0,2141744496.0,3.35,-2.09,-20.51,0.63,BK0895,concept,维生素
2019-11-25,958.57,955.92,960.07,943.4,1398333.0,1513382288.0,1.74,-0.27,-2.6,0.49,BK0895,concept,维生素
2019-11-26,958.38,955.17,960.4,950.96,1329509.0,1678414272.0,0.99,-0.08,-0.75,0.46,BK0895,concept,维生素
2019-11-27,953.17,954.53,956.67,946.14,1296930.0,1642807008.0,1.1,-0.07,-0.64,0.45,BK0895,concept,维生素
2019-11-28,953.65,953.21,957.96,950.2,877924.0,1031412416.0,0.81,-0.14,-1.32,0.31,BK0895,concept,维生素
2019-11-29,955.11,952.31,958.53,946.45,1230995.0,1272598480.0,1.27,-0.09,-0.9,0.43,BK0895,concept,维生素
2019-12-02,952.0,954.65,958.42,951.45,971637.0,1171522464.0,0.73,0.25,2.34,0.34,BK0895,concept,维生素
2019-12-03,951.1,957.22,958.73,944.23,1355700.0,1207144752.0,1.52,0.27,2.57,0.47,BK0895,concept,维生素
2019-12-04,952.74,965.82,967.78,950.73,1395942.0,1439964304.0,1.78,0.9,8.6,0.49,BK0895,concept,维生素
2019-12-05,966.98,972.73,973.51,965.04,1255093.0,1352186336.0,0.88,0.72,6.91,0.44,BK0895,concept,维生素
2019-12-06,972.85,985.26,986.02,971.58,1551090.0,1886715472.0,1.48,1.29,12.53,0.54,BK0895,concept,维生素
2019-12-09,987.29,983.17,988.67,978.71,1501650.0,1847506048.0,1.01,-0.21,-2.09,0.52,BK0895,concept,维生素
2019-12-10,981.7,985.06,988.31,979.74,1454533.0,1839633152.0,0.87,0.19,1.89,0.51,BK0895,concept,维生素
2019-12-11,986.72,983.18,989.0,977.78,1666113.0,1809966496.0,1.14,-0.19,-1.88,0.58,BK0895,concept,维生素
2019-12-12,981.52,991.91,999.47,980.63,2613492.0,3059971888.0,1.92,0.89,8.73,0.91,BK0895,concept,维生素
2019-12-13,996.31,1002.47,1003.29,992.51,2424495.0,2818894240.0,1.09,1.06,10.56,0.85,BK0895,concept,维生素
2019-12-16,1005.12,1018.93,1018.93,999.22,2705161.0,3267730720.0,1.97,1.64,16.46,0.94,BK0895,concept,维生素
2019-12-17,1016.37,1034.21,1034.22,1014.63,3421209.0,3983557248.0,1.92,1.5,15.28,1.19,BK0895,concept,维生素
2019-12-18,1032.13,1037.1,1042.07,1030.09,2568151.0,3030785136.0,1.16,0.28,2.89,0.9,BK0895,concept,维生素
2019-12-19,1036.06,1046.24,1048.44,1031.57,2685503.0,2801157440.0,1.63,0.88,9.14,0.94,BK0895,concept,维生素
2019-12-20,1045.74,1034.24,1050.0,1033.85,2312520.0,2537375152.0,1.54,-1.15,-12.0,0.81,BK0895,concept,维生素
2019-12-23,1030.2,1021.55,1038.57,1019.87,1999144.0,2077186464.0,1.81,-1.23,-12.69,0.7,BK0895,concept,维生素
2019-12-24,1023.33,1026.27,1026.27,1018.48,1603778.0,1774484640.0,0.76,0.46,4.72,0.56,BK0895,concept,维生素
2019-12-25,1025.6,1027.02,1031.8,1022.01,1846825.0,2029591152.0,0.95,0.07,0.75,0.64,BK0895,concept,维生素
