日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-10-18,1001.53,1037.67,1041.82,1001.53,52669555.0,43012845568.0,4.03,3.77,37.67,1.18,BK1024,concept,绿色电力
2021-10-19,1037.41,1049.49,1058.73,1030.25,51704589.0,44011518208.0,2.74,1.14,11.82,1.16,BK1024,concept,绿色电力
2021-10-20,1044.2,1081.38,1086.17,1041.45,64672458.0,52522140160.0,4.26,3.04,31.89,1.45,BK1024,concept,绿色电力
2021-10-21,1079.1,1065.11,1079.1,1056.61,53713395.0,44071706624.0,2.08,-1.5,-16.27,1.21,BK1024,concept,绿色电力
2021-10-22,1063.18,1027.28,1065.64,1027.1,48856940.0,38901596672.0,3.62,-3.55,-37.83,1.1,BK1024,concept,绿色电力
2021-10-25,1035.0,1061.17,1069.02,1030.08,46553300.0,40508467968.0,3.79,3.3,33.89,1.05,BK1024,concept,绿色电力
2021-10-26,1062.27,1068.4,1087.94,1060.41,58554765.0,50645462272.0,2.59,0.68,7.23,1.32,BK1024,concept,绿色电力
2021-10-27,1069.03,1109.97,1112.23,1065.4,73082632.0,64272872192.0,4.38,3.89,41.57,1.64,BK1024,concept,绿色电力
2021-10-28,1106.83,1092.85,1122.21,1083.24,71017060.0,65306320896.0,3.51,-1.54,-17.12,1.6,BK1024,concept,绿色电力
2021-10-29,1088.38,1089.55,1092.8,1048.04,62778516.0,56170339584.0,4.1,-0.3,-3.3,1.41,BK1024,concept,绿色电力
2021-11-01,1083.17,1099.18,1110.91,1068.39,66945672.0,61131243008.0,3.9,0.88,9.63,1.51,BK1024,concept,绿色电力
2021-11-02,1094.99,1059.39,1094.99,1051.9,64616983.0,58385608448.0,3.92,-3.62,-39.79,1.45,BK1024,concept,绿色电力
2021-11-03,1057.05,1059.38,1066.82,1040.05,48161485.0,43955995136.0,2.53,0.0,-0.01,1.08,BK1024,concept,绿色电力
2021-11-04,1062.72,1087.84,1093.07,1058.13,55499712.0,50034943744.0,3.3,2.69,28.46,1.25,BK1024,concept,绿色电力
2021-11-05,1084.18,1041.97,1084.32,1041.97,63366528.0,56949922048.0,3.89,-4.22,-45.87,1.43,BK1024,concept,绿色电力
2021-11-08,1036.75,1039.25,1043.28,1023.54,43308311.0,38709361664.0,1.89,-0.26,-2.72,0.97,BK1024,concept,绿色电力
2021-11-09,1059.19,1052.17,1076.93,1045.36,49159242.0,44382315008.0,3.04,1.24,12.92,1.11,BK1024,concept,绿色电力
2021-11-10,1040.86,1039.97,1040.86,1018.93,44679852.0,38818996736.0,2.08,-1.16,-12.2,1.0,BK1024,concept,绿色电力
2021-11-11,1035.51,1029.64,1039.41,1025.77,35722961.0,31449511936.0,1.31,-0.99,-10.33,0.8,BK1024,concept,绿色电力
2021-11-12,1029.12,1039.94,1043.28,1024.32,35050296.0,32296068096.0,1.84,1.0,10.3,0.79,BK1024,concept,绿色电力
2021-11-15,1038.08,1045.36,1045.4,1027.2,37904622.0,34338960384.0,1.75,0.52,5.42,0.85,BK1024,concept,绿色电力
2021-11-16,1043.01,1031.34,1043.53,1030.44,33479384.0,30145037568.0,1.25,-1.34,-14.02,0.75,BK1024,concept,绿色电力
2021-11-17,1030.84,1045.72,1047.35,1028.63,33579727.0,31131399936.0,1.82,1.39,14.38,0.76,BK1024,concept,绿色电力
2021-11-18,1043.94,1057.86,1065.8,1040.03,43760637.0,40740120320.0,2.46,1.16,12.14,0.98,BK1024,concept,绿色电力
2021-11-19,1055.55,1062.45,1063.37,1041.44,36953610.0,33890397184.0,2.07,0.43,4.59,0.83,BK1024,concept,绿色电力
2021-11-22,1061.84,1070.82,1070.98,1055.66,40218834.0,35056307712.0,1.44,0.79,8.37,0.9,BK1024,concept,绿色电力
2021-11-23,1068.1,1064.45,1071.94,1062.49,39002650.0,33885881344.0,0.88,-0.59,-6.37,0.88,BK1024,concept,绿色电力
2021-11-24,1064.48,1071.94,1075.25,1045.71,47112330.0,39159820288.0,2.78,0.7,7.49,1.06,BK1024,concept,绿色电力
2021-11-25,1075.21,1073.61,1093.34,1073.03,43273802.0,35844023296.0,1.89,0.16,1.67,0.97,BK1024,concept,绿色电力
2021-11-26,1067.21,1065.19,1069.01,1058.03,36525337.0,32927337984.0,1.02,-0.78,-8.42,0.82,BK1024,concept,绿色电力
2021-11-29,1043.14,1075.97,1079.78,1037.06,41340475.0,34991123712.0,4.01,1.01,10.78,0.93,BK1024,concept,绿色电力
