日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2016-08-15,1000.25,1038.38,1041.47,997.17,6173957.0,14519699712.0,4.43,3.84,38.38,0.39,BK0940,concept,网红经济
2016-08-16,1041.57,1041.11,1049.57,1040.01,4475015.0,12039908352.0,0.92,0.26,2.73,0.28,BK0940,concept,网红经济
2016-08-17,1041.85,1043.51,1048.01,1036.9,4216206.0,10975208960.0,1.07,0.23,2.4,0.27,BK0940,concept,网红经济
2016-08-18,1047.17,1047.25,1052.2,1040.96,4767717.0,10431609088.0,1.08,0.36,3.74,0.3,BK0940,concept,网红经济
2016-08-19,1043.71,1046.4,1051.2,1039.45,3330362.0,6776492288.0,1.12,-0.08,-0.85,0.21,BK0940,concept,网红经济
2016-08-22,1044.88,1026.08,1049.06,1025.79,3424758.0,7337703168.0,2.22,-1.94,-20.32,0.22,BK0940,concept,网红经济
2016-08-23,1025.97,1030.0,1035.03,1023.12,2409638.0,5317260032.0,1.16,0.38,3.92,0.15,BK0940,concept,网红经济
2016-08-24,1033.54,1033.61,1040.38,1030.01,2628031.0,6084518912.0,1.01,0.35,3.61,0.17,BK0940,concept,网红经济
2016-08-25,1024.75,1018.84,1024.9,1008.61,2992298.0,6761268224.0,1.58,-1.43,-14.77,0.19,BK0940,concept,网红经济
2016-08-26,1020.56,1018.92,1029.89,1017.8,2382366.0,5900113152.0,1.19,0.01,0.08,0.15,BK0940,concept,网红经济
2016-08-29,1018.43,1019.44,1024.17,1015.25,1664892.0,4141985296.0,0.88,0.05,0.52,0.11,BK0940,concept,网红经济
2016-08-30,1020.48,1017.91,1024.72,1016.72,1815917.0,4741274112.0,0.78,-0.15,-1.53,0.12,BK0940,concept,网红经济
2016-08-31,1018.32,1018.42,1020.08,1010.51,2064547.0,5542373376.0,0.94,0.05,0.51,0.13,BK0940,concept,网红经济
2016-09-01,1019.37,1008.31,1020.36,1008.15,1861948.0,4522355968.0,1.2,-0.99,-10.11,0.12,BK0940,concept,网红经济
2016-09-02,1005.95,1007.26,1014.02,1001.17,1810847.0,4785612800.0,1.27,-0.1,-1.05,0.11,BK0940,concept,网红经济
2016-09-05,1011.84,1009.56,1016.11,1007.81,1650176.0,4372114944.0,0.82,0.23,2.3,0.1,BK0940,concept,网红经济
2016-09-06,1010.49,1022.28,1022.32,997.2,2684054.0,6774325248.0,2.49,1.26,12.72,0.17,BK0940,concept,网红经济
2016-09-07,1029.36,1021.35,1029.96,1020.31,2164779.0,4993669376.0,0.94,-0.09,-0.93,0.14,BK0940,concept,网红经济
2016-09-08,1026.26,1026.55,1028.8,1021.57,2321280.0,4801389312.0,0.71,0.51,5.2,0.15,BK0940,concept,网红经济
2016-09-09,1030.78,1029.13,1040.93,1028.49,3514485.0,6672812288.0,1.21,0.25,2.58,0.22,BK0940,concept,网红经济
2016-09-12,1008.42,1000.22,1014.5,1000.17,3769353.0,7894484992.0,1.39,-2.81,-28.91,0.24,BK0940,concept,网红经济
2016-09-13,1001.47,998.53,1005.76,995.16,2597242.0,5144636160.0,1.06,-0.17,-1.69,0.16,BK0940,concept,网红经济
2016-09-14,992.12,994.28,1001.64,987.67,2769016.0,5812098560.0,1.4,-0.43,-4.25,0.18,BK0940,concept,网红经济
2016-09-19,995.1,1005.99,1010.56,995.1,2569839.0,6653280256.0,1.55,1.18,11.71,0.16,BK0940,concept,网红经济
2016-09-20,1004.35,1002.02,1006.87,1000.52,1834619.0,4177621824.0,0.63,-0.39,-3.97,0.12,BK0940,concept,网红经济
2016-09-21,1001.7,1009.73,1012.3,1001.19,2207561.0,4562210048.0,1.11,0.77,7.71,0.14,BK0940,concept,网红经济
2016-09-22,1017.97,1010.83,1019.48,1009.6,2516360.0,4947891968.0,0.98,0.11,1.1,0.16,BK0940,concept,网红经济
2016-09-23,1011.81,1008.9,1013.25,1007.72,2567797.0,5194017792.0,0.55,-0.19,-1.93,0.16,BK0940,concept,网红经济
2016-09-26,1007.07,989.7,1010.88,988.97,3008405.0,6021888000.0,2.17,-1.9,-19.2,0.19,BK0940,concept,网红经济
2016-09-27,988.16,999.31,999.35,985.25,2224215.0,4910302464.0,1.42,0.97,9.61,0.14,BK0940,concept,网红经济
2016-09-28,1000.58,994.41,1000.58,991.65,1723032.0,3486026752.0,0.89,-0.49,-4.9,0.11,BK0940,concept,网红经济
2016-09-29,993.35,994.39,1001.47,993.24,1820378.0,4117172048.0,0.83,0.0,-0.02,0.12,BK0940,concept,网红经济
2016-09-30,993.49,996.44,998.25,993.22,1428484.0,3167472496.0,0.51,0.21,2.05,0.09,BK0940,concept,网红经济
2016-10-10,1004.52,1020.52,1020.54,999.28,2804429.0,6068759808.0,2.13,2.42,24.08,0.18,BK0940,concept,网红经济
2016-10-11,1020.05,1021.41,1022.56,1017.29,2415677.0,5038818560.0,0.52,0.09,0.89,0.15,BK0940,concept,网红经济
2016-10-12,1018.3,1016.84,1019.27,1013.19,1897483.0,4039701280.0,0.6,-0.45,-4.57,0.12,BK0940,concept,网红经济
2016-10-13,1019.36,1018.47,1022.8,1014.72,2067240.0,4821181440.0,0.79,0.16,1.63,0.13,BK0940,concept,网红经济
2016-10-14,1015.62,1009.23,1015.62,1002.73,2154190.0,6218243072.0,1.27,-0.91,-9.24,0.14,BK0940,concept,网红经济
2016-10-17,1009.07,997.41,1010.56,996.18,2284810.0,5631969280.0,1.42,-1.17,-11.82,0.14,BK0940,concept,网红经济
2016-10-18,997.25,1011.5,1011.5,995.62,2494229.0,5428926976.0,1.59,1.41,14.09,0.16,BK0940,concept,网红经济
