日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,4717.68,4761.1,4831.42,4645.39,1218405.0,1144874164.06,3.96,1.37,64.28,0.14,BK0509,concept,网络游戏
2010-01-05,4771.36,4897.23,4945.9,4725.64,1485045.0,1419739111.87,4.63,2.86,136.13,0.17,BK0509,concept,网络游戏
2010-01-06,4879.39,4844.92,4943.77,4814.74,1000544.0,989709817.04,2.63,-1.07,-52.31,0.11,BK0509,concept,网络游戏
2010-01-07,4821.31,4725.62,4913.25,4665.71,1371917.0,1407114777.7,5.11,-2.46,-119.3,0.15,BK0509,concept,网络游戏
2010-01-08,4709.92,4835.48,4861.49,4649.52,1157523.0,1121736160.92,4.49,2.32,109.86,0.13,BK0509,concept,网络游戏
2010-01-11,4857.11,4972.85,5017.89,4780.32,1420477.0,1296450808.79,4.91,2.84,137.37,0.16,BK0509,concept,网络游戏
2010-01-12,4957.0,5036.56,5087.96,4916.63,1546310.0,1583175751.68,3.45,1.28,63.71,0.17,BK0509,concept,网络游戏
2010-01-13,4936.61,5089.49,5207.75,4895.01,1993779.0,2126616786.48,6.21,1.05,52.93,0.22,BK0509,concept,网络游戏
2010-01-14,5181.21,5265.29,5426.65,5115.61,2611649.0,2643339567.43,6.11,3.45,175.8,0.29,BK0509,concept,网络游戏
2010-01-15,5258.79,5218.04,5318.18,5139.96,1621252.0,1509236098.25,3.38,-0.9,-47.25,0.18,BK0509,concept,网络游戏
2010-01-18,5204.38,5271.42,5303.86,5135.95,1159980.0,1090822314.03,3.22,1.02,53.38,0.13,BK0509,concept,网络游戏
2010-01-19,5272.31,5182.34,5291.54,5132.5,1111694.0,1092746490.32,3.02,-1.69,-89.08,0.12,BK0509,concept,网络游戏
2010-01-20,5175.05,4969.4,5215.9,4921.96,1274049.0,1189879504.54,5.67,-4.11,-212.94,0.14,BK0509,concept,网络游戏
2010-01-21,4962.56,4962.94,5051.8,4885.27,712530.0,644358234.14,3.35,-0.13,-6.46,0.08,BK0509,concept,网络游戏
2010-01-22,4896.36,4770.01,4922.08,4692.95,1144227.0,1131683460.72,4.62,-3.89,-192.93,0.13,BK0509,concept,网络游戏
2010-01-25,4742.43,4698.03,4814.07,4660.4,659910.0,688720923.06,3.22,-1.51,-71.98,0.07,BK0509,concept,网络游戏
2010-01-26,4718.2,4598.63,4792.25,4526.26,1106446.0,1055265723.56,5.66,-2.12,-99.4,0.12,BK0509,concept,网络游戏
2010-01-27,4593.57,4533.35,4655.57,4469.85,728412.0,732238789.28,4.04,-1.42,-65.28,0.08,BK0509,concept,网络游戏
2010-01-28,4524.21,4615.33,4647.41,4485.92,635195.0,617806861.23,3.56,1.81,81.98,0.07,BK0509,concept,网络游戏
2010-01-29,4593.0,4652.66,4741.4,4546.66,803773.0,810954457.68,4.22,0.81,37.33,0.09,BK0509,concept,网络游戏
2010-02-01,4641.75,4516.95,4655.95,4442.6,897561.0,913889443.15,4.59,-2.92,-135.71,0.1,BK0509,concept,网络游戏
2010-02-02,4532.12,4546.64,4622.51,4486.56,644022.0,669681702.03,3.01,0.66,29.69,0.07,BK0509,concept,网络游戏
2010-02-03,4566.56,4629.5,4670.77,4363.48,950643.0,973259342.05,6.76,1.82,82.86,0.11,BK0509,concept,网络游戏
2010-02-04,4613.33,4744.8,4803.27,4563.46,1330365.0,1465064605.18,5.18,2.49,115.3,0.15,BK0509,concept,网络游戏
2010-02-05,4654.91,4657.86,4819.84,4575.94,1237591.0,1454159212.71,5.14,-1.83,-86.94,0.14,BK0509,concept,网络游戏
2010-02-08,4657.87,4680.95,4743.34,4584.02,852846.0,1064982491.4,3.42,0.5,23.09,0.1,BK0509,concept,网络游戏
2010-02-09,4656.95,4686.15,4755.96,4622.15,611830.0,711129487.47,2.86,0.11,5.2,0.07,BK0509,concept,网络游戏
2010-02-10,4713.97,4739.09,4781.69,4651.41,599753.0,703334447.45,2.78,1.13,52.94,0.07,BK0509,concept,网络游戏
2010-02-11,4737.12,4697.48,4845.65,4650.77,927574.0,1281327055.34,4.11,-0.88,-41.61,0.1,BK0509,concept,网络游戏
2010-02-12,4697.61,4748.79,4782.33,4646.3,694773.0,837286087.73,2.9,1.09,51.31,0.08,BK0509,concept,网络游戏
2010-02-22,4732.1,4744.73,4815.06,4682.85,633015.0,795734699.57,2.78,-0.09,-4.06,0.07,BK0509,concept,网络游戏
2010-02-23,4730.33,4856.95,4870.69,4662.37,816492.0,1016274472.75,4.39,2.37,112.22,0.09,BK0509,concept,网络游戏
2010-02-24,4842.57,4938.6,4970.41,4804.84,922844.0,1080227918.89,3.41,1.68,81.65,0.1,BK0509,concept,网络游戏
2010-02-25,4954.48,5005.55,5060.6,4930.44,1096317.0,1345362809.21,2.64,1.36,66.95,0.12,BK0509,concept,网络游戏
