日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-04-27,985.87,1015.4,1015.62,962.55,3304699.0,6664475904.0,5.31,1.54,15.4,0.95,BK1078,concept,肝炎概念
2022-04-28,995.26,1003.35,1021.73,985.88,3614423.0,7466912768.0,3.53,-1.19,-12.05,1.04,BK1078,concept,肝炎概念
2022-04-29,1015.91,1067.06,1078.94,1011.0,4691677.0,8734277376.0,6.77,6.35,63.71,1.34,BK1078,concept,肝炎概念
2022-05-05,1064.98,1097.77,1114.13,1058.53,5984815.0,10675750144.0,5.21,2.88,30.71,1.71,BK1078,concept,肝炎概念
2022-05-06,1062.43,1111.71,1125.99,1056.12,6764130.0,12350427904.0,6.36,1.27,13.94,1.94,BK1078,concept,肝炎概念
2022-05-09,1118.25,1124.56,1140.78,1095.26,8005243.0,12570891520.0,4.09,1.16,12.85,2.29,BK1078,concept,肝炎概念
2022-05-10,1099.35,1119.49,1122.72,1098.16,7377610.0,12641421824.0,2.18,-0.45,-5.07,2.11,BK1078,concept,肝炎概念
2022-05-11,1125.25,1119.5,1160.77,1118.92,9224671.0,16458648832.0,3.74,0.0,0.01,2.64,BK1078,concept,肝炎概念
2022-05-12,1114.18,1150.21,1150.6,1112.17,8751390.0,15130746880.0,3.43,2.74,30.71,2.51,BK1078,concept,肝炎概念
2022-05-13,1152.79,1143.71,1166.69,1133.95,7903955.0,13244896512.0,2.85,-0.57,-6.5,2.26,BK1078,concept,肝炎概念
2022-05-16,1153.5,1125.34,1165.95,1121.37,8119240.0,12924344320.0,3.9,-1.61,-18.37,2.33,BK1078,concept,肝炎概念
2022-05-17,1121.31,1086.31,1121.31,1072.84,6775237.0,10159474176.0,4.31,-3.47,-39.03,1.94,BK1078,concept,肝炎概念
2022-05-18,1077.74,1076.71,1091.7,1071.41,5121344.0,7546804480.0,1.87,-0.88,-9.6,1.47,BK1078,concept,肝炎概念
2022-05-19,1057.11,1084.29,1084.48,1054.58,5627466.0,8790461952.0,2.78,0.7,7.58,1.61,BK1078,concept,肝炎概念
2022-05-20,1086.77,1087.2,1098.82,1073.45,5563476.0,9481948416.0,2.34,0.27,2.91,1.59,BK1078,concept,肝炎概念
2022-05-23,1098.66,1104.64,1109.26,1090.98,5691751.0,10273055232.0,1.68,1.6,17.44,1.63,BK1078,concept,肝炎概念
2022-05-24,1106.43,1041.69,1107.1,1041.69,7087117.0,12698273792.0,5.92,-5.7,-62.95,2.03,BK1078,concept,肝炎概念
2022-05-25,1037.1,1051.35,1054.56,1033.69,4324436.0,7420103680.0,2.0,0.93,9.66,1.24,BK1078,concept,肝炎概念
2022-05-26,1055.48,1039.82,1055.48,1025.96,3742544.0,6514584576.0,2.81,-1.1,-11.53,1.07,BK1078,concept,肝炎概念
2022-05-27,1043.11,1035.84,1050.5,1023.74,3557152.0,6041015296.0,2.57,-0.38,-3.98,1.02,BK1078,concept,肝炎概念
2022-05-30,1035.68,1029.38,1036.39,1016.28,3486614.0,5570324224.0,1.94,-0.62,-6.46,1.0,BK1078,concept,肝炎概念
2022-05-31,1028.78,1030.91,1032.27,1006.54,3651623.0,6467815936.0,2.5,0.15,1.53,1.05,BK1078,concept,肝炎概念
2022-06-01,1030.06,1030.53,1044.52,1024.27,3572336.0,5692243456.0,1.96,-0.04,-0.38,1.02,BK1078,concept,肝炎概念
2022-06-02,1031.57,1027.75,1031.64,1013.15,3258572.0,5167471360.0,1.79,-0.27,-2.78,0.93,BK1078,concept,肝炎概念
2022-06-06,1029.84,1049.4,1052.85,1029.22,3746994.0,6460005376.0,2.3,2.11,21.65,1.07,BK1078,concept,肝炎概念
2022-06-07,1050.48,1081.82,1082.78,1042.91,6249724.0,10165394176.0,3.8,3.09,32.42,1.79,BK1078,concept,肝炎概念
2022-06-08,1076.1,1063.69,1077.68,1054.81,5178702.0,8631106304.0,2.11,-1.68,-18.13,1.48,BK1078,concept,肝炎概念
2022-06-09,1061.17,1036.35,1068.28,1034.13,3911214.0,6395570944.0,3.21,-2.57,-27.34,1.12,BK1078,concept,肝炎概念
2022-06-10,1033.96,1054.37,1055.07,1032.69,3296208.0,6549911808.0,2.16,1.74,18.02,0.94,BK1078,concept,肝炎概念
2022-06-13,1047.92,1057.06,1059.32,1045.03,3453847.0,5901037056.0,1.36,0.26,2.69,0.99,BK1078,concept,肝炎概念
2022-06-14,1047.31,1049.32,1051.82,1022.44,3144177.0,5241819136.0,2.78,-0.73,-7.74,0.9,BK1078,concept,肝炎概念
2022-06-15,1050.57,1048.46,1063.89,1048.46,3268620.0,5807829248.0,1.47,-0.08,-0.86,0.94,BK1078,concept,肝炎概念
2022-06-16,1048.97,1063.66,1073.39,1048.87,3765719.0,6302003200.0,2.34,1.45,15.2,1.08,BK1078,concept,肝炎概念
2022-06-17,1055.91,1063.35,1064.88,1039.62,3379253.0,6082394368.0,2.37,-0.03,-0.31,0.97,BK1078,concept,肝炎概念
2022-06-20,1064.86,1087.1,1087.76,1064.2,4654346.0,7519174656.0,2.22,2.23,23.75,1.33,BK1078,concept,肝炎概念
2022-06-21,1087.5,1071.27,1092.75,1063.81,4036482.0,6550735104.0,2.66,-1.46,-15.83,1.16,BK1078,concept,肝炎概念
2022-06-22,1072.91,1078.78,1097.1,1072.63,4921352.0,8120098048.0,2.28,0.7,7.51,1.41,BK1078,concept,肝炎概念
2022-06-23,1073.62,1074.01,1075.7,1054.68,3780048.0,6306161152.0,1.95,-0.44,-4.77,1.08,BK1078,concept,肝炎概念
2022-06-24,1073.36,1080.37,1092.38,1073.17,3669949.0,6044612096.0,1.79,0.59,6.36,1.05,BK1078,concept,肝炎概念
2022-06-27,1086.6,1081.01,1102.55,1077.52,3992315.0,6356905728.0,2.32,0.06,0.64,1.14,BK1078,concept,肝炎概念
2022-06-28,1080.83,1076.3,1080.83,1060.67,3567972.0,6692166144.0,1.86,-0.44,-4.71,1.02,BK1078,concept,肝炎概念
2022-06-29,1073.7,1061.13,1085.84,1061.13,3735364.0,6586613760.0,2.3,-1.41,-15.17,1.07,BK1078,concept,肝炎概念
2022-06-30,1061.08,1069.41,1077.56,1061.04,3147664.0,5487188224.0,1.56,0.78,8.28,0.9,BK1078,concept,肝炎概念
2022-07-01,1071.54,1059.72,1074.67,1056.6,2609840.0,4428356608.0,1.69,-0.91,-9.69,0.75,BK1078,concept,肝炎概念
2022-07-04,1065.14,1097.95,1098.12,1064.46,4674624.0,9174543104.0,3.18,3.61,38.23,1.34,BK1078,concept,肝炎概念
2022-07-05,1098.03,1081.86,1098.03,1068.35,3708773.0,7097194240.0,2.7,-1.47,-16.09,1.06,BK1078,concept,肝炎概念
2022-07-06,1081.75,1068.68,1086.76,1059.48,3139804.0,5963262720.0,2.52,-1.22,-13.18,0.9,BK1078,concept,肝炎概念
2022-07-07,1072.05,1053.4,1073.42,1048.26,2794945.0,5624957440.0,2.35,-1.43,-15.28,0.8,BK1078,concept,肝炎概念
2022-07-08,1054.19,1066.24,1073.98,1054.19,3357919.0,5916294912.0,1.88,1.22,12.84,0.96,BK1078,concept,肝炎概念
2022-07-11,1069.61,1087.89,1095.01,1069.03,5634360.0,9273177600.0,2.44,2.03,21.65,1.61,BK1078,concept,肝炎概念
2022-07-12,1087.72,1057.39,1087.97,1057.16,4078694.0,6837944560.42,2.83,-2.8,-30.5,1.17,BK1078,concept,肝炎概念
2022-07-13,1059.08,1054.18,1062.41,1047.2,3192609.0,5122710367.45,1.44,-0.3,-3.21,0.91,BK1078,concept,肝炎概念
2022-07-14,1055.52,1065.41,1074.9,1054.98,3237777.0,5609231902.07,1.89,1.07,11.23,0.93,BK1078,concept,肝炎概念
2022-07-15,1062.7,1044.57,1064.81,1039.8,3872901.0,6584074732.91,2.35,-1.96,-20.84,1.11,BK1078,concept,肝炎概念
2022-07-18,1045.31,1057.18,1057.18,1032.6,2994097.0,4993202134.84,2.35,1.21,12.61,0.86,BK1078,concept,肝炎概念
2022-07-19,1058.58,1057.19,1064.09,1048.93,2663417.0,4599678754.94,1.43,0.0,0.01,0.76,BK1078,concept,肝炎概念
2022-07-20,1060.53,1069.63,1071.97,1060.32,2914570.0,5029733660.03,1.1,1.18,12.44,0.83,BK1078,concept,肝炎概念
2022-07-21,1068.09,1064.88,1075.03,1062.64,2864354.0,4729569518.08,1.16,-0.44,-4.75,0.82,BK1078,concept,肝炎概念
2022-07-22,1066.74,1047.43,1073.22,1040.84,2831593.0,4890887479.52,3.04,-1.64,-17.45,0.81,BK1078,concept,肝炎概念
2022-07-25,1058.11,1070.91,1077.79,1058.11,4534290.0,7124864360.94,1.88,2.24,23.48,1.3,BK1078,concept,肝炎概念
2022-07-26,1072.64,1058.3,1072.74,1044.82,3746778.0,5546247625.48,2.61,-1.18,-12.61,1.07,BK1078,concept,肝炎概念
2022-07-27,1056.99,1063.29,1071.33,1052.61,3962641.0,6195455766.14,1.77,0.47,4.99,1.13,BK1078,concept,肝炎概念
2022-07-28,1063.54,1058.1,1066.75,1057.38,3189750.0,4884035738.49,0.88,-0.49,-5.19,0.91,BK1078,concept,肝炎概念
2022-07-29,1061.03,1037.72,1061.03,1036.1,3004901.0,5069647702.35,2.36,-1.93,-20.38,0.86,BK1078,concept,肝炎概念
2022-08-01,1035.48,1033.37,1035.54,1022.59,2531251.0,4113077353.43,1.25,-0.42,-4.35,0.72,BK1078,concept,肝炎概念
2022-08-02,1025.64,981.5,1025.64,972.3,4151298.0,6079084912.74,5.16,-5.02,-51.87,1.19,BK1078,concept,肝炎概念
2022-08-03,979.41,984.97,1004.86,979.41,2998315.0,4654976803.72,2.59,0.35,3.47,0.86,BK1078,concept,肝炎概念
2022-08-04,990.31,1002.33,1002.99,988.78,2587839.0,3820345835.93,1.44,1.76,17.36,0.74,BK1078,concept,肝炎概念
2022-08-05,1008.93,1026.27,1026.69,1006.39,3104856.0,4783318915.38,2.03,2.39,23.94,0.89,BK1078,concept,肝炎概念
2022-08-08,1033.1,1044.78,1050.42,1033.1,3567005.0,5256001337.65,1.69,1.8,18.51,1.02,BK1078,concept,肝炎概念
2022-08-09,1039.93,1032.41,1039.93,1027.65,2856659.0,4112367487.96,1.18,-1.18,-12.37,0.82,BK1078,concept,肝炎概念
2022-08-10,1032.1,1023.44,1032.36,1019.88,2193195.0,3144799149.95,1.21,-0.87,-8.97,0.63,BK1078,concept,肝炎概念
2022-08-11,1027.43,1041.27,1043.69,1027.13,2324423.0,3635263168.43,1.62,1.74,17.83,0.67,BK1078,concept,肝炎概念
2022-08-12,1042.03,1045.96,1048.44,1037.66,2206560.0,3256802982.96,1.04,0.45,4.69,0.63,BK1078,concept,肝炎概念
2022-08-15,1045.55,1038.4,1045.55,1033.51,2037813.0,3223778546.34,1.15,-0.72,-7.56,0.58,BK1078,concept,肝炎概念
2022-08-16,1039.46,1035.45,1042.0,1032.84,1764110.0,2802331477.66,0.88,-0.28,-2.95,0.51,BK1078,concept,肝炎概念
2022-08-17,1039.57,1034.24,1044.1,1029.51,2206144.0,3424247999.22,1.41,-0.12,-1.21,0.63,BK1078,concept,肝炎概念
2022-08-18,1033.3,1025.85,1033.3,1018.78,2299120.0,3661334843.83,1.4,-0.81,-8.39,0.66,BK1078,concept,肝炎概念
2022-08-19,1027.22,1018.25,1032.52,1018.25,2113662.0,3365118426.89,1.39,-0.74,-7.6,0.61,BK1078,concept,肝炎概念
2022-08-22,1016.05,1022.5,1023.29,1003.32,2089936.0,3117221365.46,1.96,0.42,4.25,0.6,BK1078,concept,肝炎概念
2022-08-23,1019.29,1021.48,1022.0,1014.33,2155754.0,3178203978.43,0.75,-0.1,-1.02,0.62,BK1078,concept,肝炎概念
2022-08-24,1021.47,1000.95,1025.78,1000.19,2675944.0,3648296203.68,2.51,-2.01,-20.53,0.77,BK1078,concept,肝炎概念
2022-08-25,1003.77,1003.41,1008.36,991.56,2367214.0,3434207560.79,1.68,0.25,2.46,0.68,BK1078,concept,肝炎概念
2022-08-26,1002.99,998.12,1014.15,996.6,2167782.0,3639147490.69,1.75,-0.53,-5.29,0.62,BK1078,concept,肝炎概念
