日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-08-07,1050.3,1003.95,1055.17,986.59,7115660.0,9163759872.0,6.86,0.4,3.95,4.71,BK0944,concept,肝素概念
2020-08-10,983.58,961.73,985.4,953.17,6741759.0,16028393216.0,3.21,-4.21,-42.22,4.46,BK0944,concept,肝素概念
2020-08-11,957.17,922.36,967.33,920.93,5327837.0,13484585984.0,4.82,-4.09,-39.37,3.52,BK0944,concept,肝素概念
2020-08-12,920.38,915.55,927.6,891.41,4837533.0,12703482624.0,3.92,-0.74,-6.81,3.2,BK0944,concept,肝素概念
2020-08-13,918.09,907.86,921.02,902.6,3726909.0,10794633984.0,2.01,-0.84,-7.69,2.47,BK0944,concept,肝素概念
2020-08-14,901.02,901.41,908.01,883.6,3188483.0,8534625280.0,2.69,-0.71,-6.45,2.11,BK0944,concept,肝素概念
2020-08-17,901.19,908.47,914.06,895.54,3300416.0,8478090752.0,2.05,0.78,7.06,2.18,BK0944,concept,肝素概念
2020-08-18,909.54,914.66,925.0,906.4,3530721.0,8319017472.0,2.05,0.68,6.19,2.34,BK0944,concept,肝素概念
2020-08-19,911.33,874.89,911.36,874.34,4274005.0,9860107008.0,4.05,-4.35,-39.77,2.83,BK0944,concept,肝素概念
2020-08-20,869.89,864.0,876.47,858.75,3811248.0,6972490496.0,2.03,-1.24,-10.89,2.52,BK0944,concept,肝素概念
2020-08-21,867.38,859.04,872.35,853.16,2649413.0,5704923648.0,2.22,-0.57,-4.96,1.75,BK0944,concept,肝素概念
2020-08-24,861.74,864.15,866.97,840.73,2430235.0,4853541888.0,3.05,0.59,5.11,1.61,BK0944,concept,肝素概念
2020-08-25,863.65,855.83,868.08,853.17,3004370.0,5036595200.0,1.73,-0.96,-8.32,1.99,BK0944,concept,肝素概念
2020-08-26,855.43,839.51,864.24,835.99,3257822.0,6778400512.0,3.3,-1.91,-16.32,2.15,BK0944,concept,肝素概念
2020-08-27,840.64,848.03,850.94,829.72,3504274.0,6059621120.0,2.53,1.01,8.52,2.32,BK0944,concept,肝素概念
2020-08-28,847.6,873.28,873.94,846.15,4539320.0,9619210496.0,3.28,2.98,25.25,3.0,BK0944,concept,肝素概念
2020-08-31,876.0,860.87,876.97,860.79,3677682.0,6797283840.0,1.85,-1.42,-12.41,2.43,BK0944,concept,肝素概念
2020-09-01,859.24,855.72,862.5,850.07,2181445.0,4449971712.0,1.44,-0.6,-5.15,1.44,BK0944,concept,肝素概念
2020-09-02,857.78,862.87,866.89,851.31,3820180.0,4743160320.0,1.82,0.84,7.15,2.53,BK0944,concept,肝素概念
2020-09-03,862.5,863.1,884.51,857.35,5110996.0,6348158208.0,3.15,0.03,0.23,3.38,BK0944,concept,肝素概念
2020-09-04,845.42,855.42,856.61,841.08,3953808.0,5149070848.0,1.8,-0.89,-7.68,2.62,BK0944,concept,肝素概念
2020-09-07,854.15,842.22,861.83,837.12,4559421.0,6256092416.0,2.89,-1.54,-13.2,3.02,BK0944,concept,肝素概念
2020-09-08,844.85,852.81,853.79,832.33,3920594.0,4888144640.0,2.55,1.26,10.59,2.59,BK0944,concept,肝素概念
2020-09-09,846.08,818.61,848.67,818.2,4446722.0,5843752960.0,3.57,-4.01,-34.2,2.94,BK0944,concept,肝素概念
2020-09-10,822.83,795.12,829.65,793.86,3598648.0,4574822144.0,4.37,-2.87,-23.49,2.38,BK0944,concept,肝素概念
2020-09-11,791.48,813.73,815.01,790.99,2602768.0,3660850320.0,3.02,2.34,18.61,1.72,BK0944,concept,肝素概念
2020-09-14,815.61,814.07,823.69,806.5,2806768.0,4043454080.0,2.11,0.04,0.34,1.86,BK0944,concept,肝素概念
2020-09-15,812.83,818.03,818.32,805.64,2767612.0,4791617280.0,1.56,0.49,3.96,1.83,BK0944,concept,肝素概念
2020-09-16,817.35,806.34,818.3,800.53,2469733.0,4465545472.0,2.17,-1.43,-11.69,1.63,BK0944,concept,肝素概念
2020-09-17,802.32,804.28,811.39,794.04,2159812.0,3504683328.0,2.15,-0.26,-2.06,1.43,BK0944,concept,肝素概念
2020-09-18,803.48,818.05,819.05,801.19,2447370.0,3529782928.0,2.22,1.71,13.77,1.62,BK0944,concept,肝素概念
2020-09-21,818.51,816.7,824.89,813.52,2183648.0,3333664816.0,1.39,-0.17,-1.35,1.44,BK0944,concept,肝素概念
2020-09-22,812.25,813.64,828.76,808.57,3134430.0,4653981440.0,2.47,-0.37,-3.06,2.07,BK0944,concept,肝素概念
