日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-08-09,998.22,1007.34,1016.85,989.24,23298876.0,29475036719.2,2.76,0.73,7.34,1.25,BK0567,concept,股权激励
2010-08-10,1007.38,976.56,1019.8,972.74,23705801.0,28653720715.19,4.67,-3.06,-30.78,1.27,BK0567,concept,股权激励
2010-08-11,970.58,986.86,995.23,964.53,18274096.0,21830571306.24,3.14,1.05,10.3,0.98,BK0567,concept,股权激励
2010-08-12,975.51,974.02,996.87,962.28,20243800.0,24343904832.63,3.51,-1.3,-12.84,1.09,BK0567,concept,股权激励
2010-08-13,973.46,991.79,995.75,962.33,17259915.0,20701427911.69,3.43,1.82,17.77,0.93,BK0567,concept,股权激励
2010-08-16,988.93,1014.31,1021.15,981.97,21099285.0,26018936531.22,3.95,2.27,22.52,1.13,BK0567,concept,股权激励
2010-08-17,1017.87,1023.26,1034.47,1005.77,23092938.0,28486848320.57,2.83,0.88,8.95,1.24,BK0567,concept,股权激励
2010-08-18,1023.58,1017.4,1035.85,1005.86,21213958.0,26161612685.85,2.93,-0.57,-5.86,1.14,BK0567,concept,股权激励
2010-08-19,1017.82,1019.24,1033.85,1004.49,20519363.0,26021307899.15,2.89,0.18,1.84,1.1,BK0567,concept,股权激励
2010-08-20,1014.39,995.94,1023.7,989.44,19704604.0,24059675537.93,3.36,-2.29,-23.3,1.06,BK0567,concept,股权激励
2010-08-23,994.55,996.3,1012.51,985.37,15219743.0,18803298424.28,2.73,0.04,0.36,0.82,BK0567,concept,股权激励
2010-08-24,995.07,1007.63,1020.43,982.1,18644194.0,23240521864.25,3.85,1.14,11.33,1.0,BK0567,concept,股权激励
2010-08-25,1000.35,980.15,1010.12,974.91,17908056.0,21918752572.43,3.49,-2.73,-27.48,0.96,BK0567,concept,股权激励
2010-08-26,980.98,983.13,996.71,971.53,15325770.0,19478322981.37,2.57,0.3,2.98,0.82,BK0567,concept,股权激励
2010-08-27,982.3,984.82,993.28,972.1,12934198.0,17062300351.11,2.15,0.17,1.69,0.7,BK0567,concept,股权激励
2010-08-30,991.27,1006.68,1015.38,983.6,20703856.0,27580078568.89,3.23,2.22,21.86,1.11,BK0567,concept,股权激励
2010-08-31,1002.66,1003.8,1017.07,990.17,21644490.0,29526195204.05,2.67,-0.29,-2.88,1.16,BK0567,concept,股权激励
