日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2016-11-01,1009.08,1035.63,1038.18,1008.72,8159286.0,11466369024.0,2.95,3.56,35.63,2.75,BK0803,concept,股权转让
2016-11-02,1044.57,1067.42,1076.31,1042.31,13129376.0,19313916160.0,3.28,3.07,31.79,4.42,BK0803,concept,股权转让
2016-11-03,1079.05,1087.85,1109.28,1078.23,17528434.0,25514232832.0,2.91,1.91,20.43,5.9,BK0803,concept,股权转让
2016-11-04,1083.06,1069.67,1086.97,1064.2,15131643.0,20813266432.0,2.09,-1.67,-18.18,5.09,BK0803,concept,股权转让
2016-11-07,1064.8,1078.05,1082.61,1057.35,14867081.0,19818423040.0,2.36,0.78,8.38,5.0,BK0803,concept,股权转让
2016-11-08,1077.97,1081.64,1090.19,1076.48,14119713.0,20044674816.0,1.27,0.33,3.59,4.75,BK0803,concept,股权转让
2016-11-09,1079.72,1093.66,1098.36,1077.84,14385182.0,21199143168.0,1.9,1.11,12.02,4.84,BK0803,concept,股权转让
2016-11-10,1105.87,1106.69,1109.55,1095.26,17080589.0,26223167744.0,1.31,1.19,13.03,5.75,BK0803,concept,股权转让
2016-11-11,1103.48,1099.65,1110.13,1097.64,14443067.0,21786454272.0,1.13,-0.64,-7.04,4.86,BK0803,concept,股权转让
2016-11-14,1103.56,1096.37,1105.52,1082.5,13515629.0,19213998336.0,2.09,-0.3,-3.28,4.55,BK0803,concept,股权转让
2016-11-15,1101.71,1115.04,1116.07,1100.34,11913362.0,16910798336.0,1.43,1.7,18.67,4.01,BK0803,concept,股权转让
2016-11-16,1119.9,1107.0,1120.75,1106.58,10872285.0,16251384576.0,1.27,-0.72,-8.04,3.66,BK0803,concept,股权转让
2016-11-17,1113.34,1112.44,1118.74,1106.41,10087260.0,15286383360.0,1.11,0.49,5.44,3.4,BK0803,concept,股权转让
2016-11-18,1114.41,1106.52,1115.69,1103.41,12167029.0,16976385024.0,1.1,-0.53,-5.92,4.1,BK0803,concept,股权转让
2016-11-21,1104.99,1103.57,1106.32,1096.64,10345603.0,14475164416.0,0.87,-0.27,-2.95,3.48,BK0803,concept,股权转让
2016-11-22,1101.82,1113.29,1113.51,1100.27,10071586.0,14756091648.0,1.2,0.88,9.72,3.39,BK0803,concept,股权转让
2016-11-23,1115.07,1113.01,1124.82,1110.37,12519925.0,19042167040.0,1.3,-0.03,-0.28,4.21,BK0803,concept,股权转让
2016-11-24,1107.1,1096.83,1109.06,1092.07,10370680.0,14883336448.0,1.53,-1.45,-16.18,3.49,BK0803,concept,股权转让
2016-11-25,1095.34,1101.42,1101.53,1080.54,9897075.0,13580551680.0,1.91,0.42,4.59,3.33,BK0803,concept,股权转让
2016-11-28,1101.34,1101.51,1107.52,1099.28,8183285.0,10635483392.0,0.75,0.01,0.09,2.75,BK0803,concept,股权转让
2016-11-29,1100.72,1084.23,1101.44,1083.96,8935910.0,12868194560.0,1.59,-1.57,-17.28,3.01,BK0803,concept,股权转让
2016-11-30,1082.85,1082.52,1087.28,1079.81,8074470.0,11741827840.0,0.69,-0.16,-1.71,2.72,BK0803,concept,股权转让
2016-12-01,1085.49,1095.72,1095.84,1085.04,8686413.0,13518642176.0,1.0,1.22,13.2,2.92,BK0803,concept,股权转让
2016-12-02,1098.81,1086.96,1109.48,1085.43,11112798.0,16953442304.0,2.19,-0.8,-8.76,3.74,BK0803,concept,股权转让
