日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-05-26,1028.35,1056.56,1059.86,1004.57,25854714.0,64861145856.0,5.53,5.66,56.56,3.04,BK0715,concept,航母概念
2015-05-27,1079.84,1065.24,1092.5,1043.18,34344763.0,85220110336.0,4.67,0.82,8.68,4.04,BK0715,concept,航母概念
2015-05-28,1058.71,970.5,1081.55,967.94,29135314.0,69428129792.0,10.67,-8.89,-94.74,3.43,BK0715,concept,航母概念
2015-05-29,962.52,973.13,997.82,909.05,23781529.0,54631964416.0,9.15,0.27,2.63,2.8,BK0715,concept,航母概念
2015-06-01,979.04,1026.74,1027.5,968.09,19585387.0,46639702528.0,6.11,5.51,53.61,2.3,BK0715,concept,航母概念
2015-06-02,1030.36,1050.89,1054.15,1019.9,19937886.0,47297493504.0,3.34,2.35,24.15,2.34,BK0715,concept,航母概念
2015-06-03,1053.06,1022.68,1053.06,1004.35,17316008.0,41921309696.0,4.64,-2.68,-28.21,2.04,BK0715,concept,航母概念
2015-06-04,1023.71,1031.27,1031.61,955.5,17920815.0,38990440704.0,7.44,0.84,8.59,2.11,BK0715,concept,航母概念
2015-06-05,1046.94,1071.31,1082.46,1037.03,23010971.0,48831438080.0,4.41,3.88,40.04,2.71,BK0715,concept,航母概念
2015-06-08,1070.84,1076.73,1088.45,1056.44,22135344.0,46731369984.0,2.99,0.51,5.42,2.6,BK0715,concept,航母概念
2015-06-09,1083.56,1085.76,1102.66,1067.0,19823680.0,44047494400.0,3.31,0.84,9.03,2.33,BK0715,concept,航母概念
2015-06-10,1068.5,1064.53,1080.31,1052.45,18208951.0,41869935616.0,2.57,-1.96,-21.23,2.14,BK0715,concept,航母概念
2015-06-11,1060.48,1067.87,1068.13,1042.91,15820596.0,38671516416.0,2.37,0.31,3.34,1.86,BK0715,concept,航母概念
2015-06-12,1070.53,1078.63,1079.31,1055.26,15851960.0,39687160320.0,2.25,1.01,10.76,1.86,BK0715,concept,航母概念
2015-06-15,1073.74,1085.27,1113.31,1069.45,16199542.0,39774917632.0,4.07,0.62,6.64,1.9,BK0715,concept,航母概念
2015-06-16,1070.91,1032.29,1072.81,1026.65,11406309.0,28595774720.0,4.25,-4.88,-52.98,1.34,BK0715,concept,航母概念
2015-06-17,1028.13,1046.94,1051.0,996.94,10535732.0,26806282496.0,5.24,1.42,14.65,1.24,BK0715,concept,航母概念
2015-06-18,1041.63,1028.15,1065.56,1026.51,10271130.0,22520738560.0,3.73,-1.79,-18.79,1.21,BK0715,concept,航母概念
2015-06-19,1010.56,973.55,1026.48,973.02,9188211.0,22026366976.0,5.2,-5.31,-54.6,1.08,BK0715,concept,航母概念
2015-06-23,975.3,1004.72,1005.83,937.86,9822304.0,26005414912.0,6.98,3.2,31.17,1.15,BK0715,concept,航母概念
2015-06-24,1011.95,1038.88,1040.85,1010.41,13460871.0,33785648896.0,3.03,3.4,34.16,1.58,BK0715,concept,航母概念
2015-06-25,1026.95,1028.3,1065.31,1001.51,25266249.0,53460678912.0,6.14,-1.02,-10.58,2.97,BK0715,concept,航母概念
2015-06-26,979.8,929.33,1000.24,926.42,17739918.0,35624647168.0,7.18,-9.62,-98.97,2.09,BK0715,concept,航母概念
2015-06-29,945.38,881.03,949.09,842.01,22051178.0,42090660096.0,11.52,-5.2,-48.3,2.59,BK0715,concept,航母概念
2015-06-30,854.08,933.48,937.73,808.55,24430931.0,45124774912.0,14.66,5.95,52.45,2.87,BK0715,concept,航母概念
2015-07-01,915.64,873.09,961.28,872.65,24093357.0,44134431232.0,9.49,-6.47,-60.39,2.83,BK0715,concept,航母概念
2015-07-02,864.89,791.34,867.39,790.2,21239983.0,35493236736.0,8.84,-9.36,-81.75,2.5,BK0715,concept,航母概念
2015-07-03,740.77,713.62,784.88,713.24,18890804.0,28921374720.0,9.05,-9.82,-77.72,2.22,BK0715,concept,航母概念
2015-07-06,779.23,690.29,779.23,667.67,26455664.0,38881852160.0,15.63,-3.27,-23.33,3.11,BK0715,concept,航母概念
2015-07-07,660.09,648.13,670.15,624.22,23517583.0,27416427520.0,6.65,-6.11,-42.16,2.77,BK0715,concept,航母概念
2015-07-08,590.33,587.34,607.2,585.86,24475819.0,31617605632.0,3.29,-9.38,-60.79,2.88,BK0715,concept,航母概念
2015-07-09,579.98,642.72,642.72,565.45,21641883.0,28063372544.0,13.16,9.43,55.38,2.54,BK0715,concept,航母概念
2015-07-10,666.41,702.97,703.2,654.28,14626139.0,18663789568.0,7.61,9.37,60.25,1.72,BK0715,concept,航母概念
