日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,6011.35,5978.62,6071.27,5918.86,1465666.0,1797129881.7,2.54,-0.17,-10.19,0.04,BK0494,concept,节能环保
2010-01-05,5985.77,6066.92,6095.81,5888.36,1698040.0,2145145090.69,3.47,1.48,88.3,0.04,BK0494,concept,节能环保
2010-01-06,6055.22,6044.64,6160.08,5986.54,1667348.0,2117073461.13,2.86,-0.37,-22.28,0.04,BK0494,concept,节能环保
2010-01-07,6021.48,5918.83,6116.26,5856.89,1808911.0,2057733582.85,4.29,-2.08,-125.81,0.05,BK0494,concept,节能环保
2010-01-08,5862.26,5945.23,5979.91,5799.76,1254003.0,1518018777.19,3.04,0.45,26.4,0.03,BK0494,concept,节能环保
2010-01-11,6028.98,5972.52,6101.38,5877.94,1615310.0,1961059800.11,3.76,0.46,27.29,0.04,BK0494,concept,节能环保
2010-01-12,5970.62,6080.99,6109.45,5918.49,1679781.0,2008525054.02,3.2,1.82,108.47,0.04,BK0494,concept,节能环保
2010-01-13,5968.2,6009.27,6124.66,5911.25,1759707.0,2097260461.62,3.51,-1.18,-71.72,0.04,BK0494,concept,节能环保
2010-01-14,5995.81,6158.1,6199.6,5967.45,2079094.0,2588077416.35,3.86,2.48,148.83,0.05,BK0494,concept,节能环保
2010-01-15,6168.14,6214.55,6298.14,6103.42,1884539.0,2405190174.5,3.16,0.92,56.45,0.05,BK0494,concept,节能环保
2010-01-18,6202.93,6302.87,6345.42,6162.78,1904180.0,2486449477.95,2.94,1.42,88.32,0.05,BK0494,concept,节能环保
2010-01-19,6318.32,6282.42,6371.12,6212.59,1639447.0,2156122443.34,2.52,-0.32,-20.45,0.04,BK0494,concept,节能环保
2010-01-20,6314.38,6126.32,6365.63,6078.55,2317873.0,3065766928.88,4.57,-2.48,-156.1,0.06,BK0494,concept,节能环保
2010-01-21,6141.47,6163.44,6257.13,6059.55,1678633.0,2313669265.33,3.23,0.61,37.12,0.04,BK0494,concept,节能环保
2010-01-22,6095.96,6039.5,6192.54,5889.15,1716782.0,2172311690.3,4.92,-2.01,-123.94,0.04,BK0494,concept,节能环保
2010-01-25,6009.35,5979.39,6096.07,5917.03,1005859.0,1326288338.33,2.96,-1.0,-60.11,0.03,BK0494,concept,节能环保
2010-01-26,5985.71,5755.28,6037.34,5688.79,1228894.0,1604501420.6,5.83,-3.75,-224.11,0.03,BK0494,concept,节能环保
2010-01-27,5754.62,5698.24,5853.14,5636.54,931009.0,1217459017.62,3.76,-0.99,-57.04,0.02,BK0494,concept,节能环保
2010-01-28,5725.56,5790.22,5863.06,5683.64,1012820.0,1286653007.12,3.15,1.61,91.98,0.03,BK0494,concept,节能环保
2010-01-29,5755.38,5792.79,5887.21,5707.91,1086463.0,1369177284.07,3.1,0.04,2.57,0.03,BK0494,concept,节能环保
2010-02-01,5789.53,5716.29,5852.07,5582.92,1097126.0,1437578134.38,4.65,-1.32,-76.5,0.03,BK0494,concept,节能环保
2010-02-02,5739.41,5691.31,5814.65,5652.04,912975.0,1204156145.03,2.84,-0.44,-24.98,0.02,BK0494,concept,节能环保
2010-02-03,5710.21,5817.21,5840.26,5549.77,1171546.0,1489750644.64,5.1,2.21,125.9,0.03,BK0494,concept,节能环保
2010-02-04,5779.9,5830.19,5913.2,5723.07,1185345.0,1622495560.39,3.27,0.22,12.98,0.03,BK0494,concept,节能环保
2010-02-05,5722.03,5859.44,5994.68,5631.16,1632478.0,1865376753.41,6.24,0.5,29.25,0.04,BK0494,concept,节能环保
2010-02-08,5843.18,5833.1,5950.43,5728.09,1059515.0,1249757889.77,3.79,-0.45,-26.34,0.03,BK0494,concept,节能环保
2010-02-09,5795.8,5963.71,6061.38,5756.49,1558511.0,1601513712.3,5.23,2.24,130.61,0.04,BK0494,concept,节能环保
2010-02-10,5978.97,5979.03,6037.01,5892.02,1162907.0,1454957144.62,2.43,0.26,15.32,0.03,BK0494,concept,节能环保
2010-02-11,5980.79,5944.84,6051.36,5897.76,908882.0,1139165859.28,2.57,-0.57,-34.19,0.02,BK0494,concept,节能环保
2010-02-12,5965.9,5995.67,6046.51,5914.63,826089.0,1136369040.4,2.22,0.86,50.83,0.02,BK0494,concept,节能环保
2010-02-22,5992.68,6012.29,6107.77,5934.85,1036613.0,1349767519.06,2.88,0.28,16.62,0.03,BK0494,concept,节能环保
2010-02-23,6026.42,6129.22,6188.89,5946.02,1524947.0,1976179787.08,4.04,1.94,116.93,0.04,BK0494,concept,节能环保
2010-02-24,6097.08,6220.76,6299.72,6061.28,1896217.0,2417958434.27,3.89,1.49,91.54,0.05,BK0494,concept,节能环保
2010-02-25,6221.73,6331.38,6435.1,6181.8,2626526.0,3284242346.74,4.07,1.78,110.62,0.07,BK0494,concept,节能环保
2010-02-26,6306.62,6296.0,6422.22,6219.3,2568234.0,4427981805.9,3.2,-0.56,-35.38,0.06,BK0494,concept,节能环保
2010-03-01,6302.55,6478.53,6575.38,6266.09,3158329.0,4291080878.18,4.91,2.9,182.53,0.08,BK0494,concept,节能环保
2010-03-02,6470.52,6499.73,6612.8,6386.34,3648032.0,4938697867.06,3.5,0.33,21.2,0.09,BK0494,concept,节能环保
2010-03-03,6509.66,6571.68,6666.9,6449.42,3204910.0,4288765936.48,3.35,1.11,71.95,0.08,BK0494,concept,节能环保
2010-03-04,6581.67,6317.81,6672.86,6256.83,2898165.0,3886815604.99,6.33,-3.86,-253.87,0.07,BK0494,concept,节能环保
2010-03-05,6323.51,6307.79,6432.82,6209.21,1994631.0,2642061414.96,3.54,-0.16,-10.02,0.05,BK0494,concept,节能环保
2010-03-08,6326.58,6379.43,6429.2,6258.74,1560058.0,2099433179.12,2.7,1.14,71.64,0.04,BK0494,concept,节能环保
2010-03-09,6365.54,6361.5,6434.7,6252.64,1567071.0,2043148801.23,2.85,-0.28,-17.93,0.04,BK0494,concept,节能环保
2010-03-10,6361.53,6313.27,6410.75,6220.52,1643486.0,2146381720.15,2.99,-0.76,-48.23,0.04,BK0494,concept,节能环保
2010-03-11,6310.14,6257.47,6376.98,6183.96,1404713.0,1909604495.21,3.06,-0.88,-55.8,0.04,BK0494,concept,节能环保
2010-03-12,6254.64,6139.69,6309.29,6108.73,1389764.0,1947667177.37,3.21,-1.88,-117.78,0.03,BK0494,concept,节能环保
2010-03-15,6122.91,6129.57,6214.28,6034.99,1147811.0,1615504013.5,2.92,-0.16,-10.12,0.03,BK0494,concept,节能环保
2010-03-16,6133.36,6166.79,6205.21,6058.97,1039571.0,1437659490.93,2.39,0.61,37.22,0.03,BK0494,concept,节能环保
2010-03-17,6178.52,6313.9,6343.69,6154.37,1566705.0,1981500058.89,3.07,2.39,147.11,0.04,BK0494,concept,节能环保
2010-03-18,6327.64,6321.39,6412.41,6260.66,1557216.0,2083916396.37,2.4,0.12,7.49,0.04,BK0494,concept,节能环保
2010-03-19,6310.71,6393.61,6420.42,6273.82,1324804.0,1697205702.62,2.32,1.14,72.22,0.03,BK0494,concept,节能环保
2010-03-22,6399.22,6434.14,6488.29,6331.71,1329050.0,1777520131.05,2.45,0.63,40.53,0.03,BK0494,concept,节能环保
2010-03-23,6435.1,6379.62,6509.57,6330.17,1645416.0,2340377953.71,2.79,-0.85,-54.52,0.04,BK0494,concept,节能环保
2010-03-24,6372.52,6415.37,6495.46,6329.71,1634573.0,2489278479.7,2.6,0.56,35.75,0.04,BK0494,concept,节能环保
2010-03-25,6399.19,6330.34,6468.23,6268.4,2252765.0,3047689855.06,3.11,-1.33,-85.03,0.06,BK0494,concept,节能环保
2010-03-26,6336.25,6481.1,6527.1,6295.23,2293443.0,3316308487.23,3.66,2.38,150.76,0.06,BK0494,concept,节能环保
2010-03-29,6509.51,6562.46,6622.04,6427.75,2075046.0,2955450974.6,3.0,1.26,81.36,0.05,BK0494,concept,节能环保
2010-03-30,6556.41,6578.2,6633.67,6486.83,1693400.0,2399521692.85,2.24,0.24,15.74,0.04,BK0494,concept,节能环保
2010-03-31,6580.23,6565.3,6652.82,6501.14,1481122.0,2306139617.77,2.31,-0.2,-12.9,0.04,BK0494,concept,节能环保
2010-04-01,6620.06,6744.05,6869.54,6608.51,3633886.0,4901068137.02,3.98,2.72,178.75,0.09,BK0494,concept,节能环保
2010-04-02,6737.35,6744.21,6837.88,6651.87,2288883.0,3096590989.47,2.76,0.0,0.16,0.06,BK0494,concept,节能环保
2010-04-06,6748.39,6767.04,6859.57,6645.45,2359023.0,3244532533.89,3.17,0.34,22.83,0.06,BK0494,concept,节能环保
2010-04-07,6751.79,6782.15,6830.16,6692.82,1711615.0,2327276752.87,2.03,0.22,15.11,0.04,BK0494,concept,节能环保
2010-04-08,6782.22,6774.39,6898.54,6695.63,2042227.0,3092205443.39,2.99,-0.11,-7.76,0.05,BK0494,concept,节能环保
2010-04-09,6764.44,6830.93,6857.65,6700.09,1663443.0,2340458368.77,2.33,0.83,56.54,0.04,BK0494,concept,节能环保
2010-04-12,6846.7,6904.18,6986.63,6765.5,2303855.0,3293714137.65,3.24,1.07,73.25,0.06,BK0494,concept,节能环保
2010-04-13,6889.72,6871.18,7051.48,6636.17,2953305.0,4154544809.25,6.02,-0.48,-33.0,0.07,BK0494,concept,节能环保
2010-04-14,6845.3,6894.89,6973.45,6776.86,1678137.0,2324034021.98,2.86,0.35,23.71,0.04,BK0494,concept,节能环保
2010-04-15,6896.97,6812.4,6974.45,6745.97,1728737.0,2672564997.31,3.31,-1.2,-82.49,0.04,BK0494,concept,节能环保
2010-04-16,6805.35,6816.1,6919.07,6713.3,1620207.0,2406306039.87,3.02,0.05,3.7,0.04,BK0494,concept,节能环保
