日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2024-02-26,1011.6,1024.84,1037.47,1005.34,13076664.0,22549622052.0,3.21,2.48,24.84,2.44,BK1161,concept,英伟达概念
2024-02-27,1020.32,1065.81,1065.81,1014.51,17667304.0,29634183061.0,5.01,4.0,40.97,3.29,BK1161,concept,英伟达概念
2024-02-28,1067.24,992.87,1084.47,992.82,19437875.0,34463144360.0,8.6,-6.84,-72.94,3.62,BK1161,concept,英伟达概念
2024-02-29,979.64,1039.54,1039.57,979.64,16398377.0,27532277511.0,6.04,4.7,46.67,3.06,BK1161,concept,英伟达概念
2024-03-01,1042.65,1074.65,1077.93,1042.65,15299054.0,33511019125.0,3.39,3.38,35.11,2.85,BK1161,concept,英伟达概念
2024-03-04,1086.37,1100.18,1100.23,1064.26,23700807.0,46146314188.0,3.35,2.38,25.53,4.42,BK1161,concept,英伟达概念
2024-03-05,1085.33,1087.75,1105.45,1077.17,21359470.0,38873026177.0,2.57,-1.13,-12.43,3.98,BK1161,concept,英伟达概念
2024-03-06,1075.27,1087.64,1094.9,1065.25,19396668.0,32358630475.0,2.73,-0.01,-0.11,3.62,BK1161,concept,英伟达概念
2024-03-07,1091.23,1067.36,1106.72,1063.24,17758471.0,31203787530.0,4.0,-1.86,-20.28,3.31,BK1161,concept,英伟达概念
2024-03-08,1072.9,1102.24,1103.87,1061.68,16111964.0,29023588363.0,3.95,3.27,34.88,3.0,BK1161,concept,英伟达概念
2024-03-11,1081.15,1112.43,1112.43,1076.9,15007064.0,27467285774.0,3.22,0.92,10.19,2.8,BK1161,concept,英伟达概念
2024-03-12,1112.14,1115.04,1129.39,1104.84,17262491.0,28772479550.0,2.21,0.23,2.61,3.22,BK1161,concept,英伟达概念
2024-03-13,1129.08,1137.04,1155.3,1125.19,21327551.0,35396046190.0,2.7,1.97,22.0,3.98,BK1161,concept,英伟达概念
2024-03-14,1123.4,1115.51,1132.82,1097.85,18713590.0,32491129011.0,3.08,-1.89,-21.53,3.49,BK1161,concept,英伟达概念
2024-03-15,1106.12,1128.34,1128.59,1096.02,13589684.0,26034259788.0,2.92,1.15,12.83,2.53,BK1161,concept,英伟达概念
2024-03-18,1127.61,1159.35,1159.35,1125.26,18969593.0,35085062130.0,3.02,2.75,31.01,3.54,BK1161,concept,英伟达概念
2024-03-19,1152.05,1152.43,1165.15,1146.08,17918043.0,33247185025.0,1.64,-0.6,-6.92,3.34,BK1161,concept,英伟达概念
