日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-07-23,996.96,976.43,996.96,972.17,17882041.0,143687507968.0,2.48,-2.36,-23.57,0.99,BK0999,concept,茅指数
2021-07-26,967.62,934.06,967.62,915.27,20199669.0,180950102016.0,5.36,-4.34,-42.37,1.12,BK0999,concept,茅指数
2021-07-27,932.88,893.66,936.44,893.66,23134539.0,192434151424.0,4.58,-4.33,-40.4,1.28,BK0999,concept,茅指数
2021-07-28,885.3,908.19,909.62,874.62,19250051.0,162805325824.0,3.92,1.63,14.53,1.07,BK0999,concept,茅指数
2021-07-29,928.99,930.34,933.09,920.51,18031969.0,154430148608.0,1.39,2.44,22.15,1.0,BK0999,concept,茅指数
2021-07-30,924.54,914.63,924.54,902.45,16753004.0,154523578368.0,2.37,-1.69,-15.71,0.93,BK0999,concept,茅指数
2021-08-02,906.91,939.8,940.9,894.75,21663671.0,189346619392.0,5.05,2.75,25.17,1.2,BK0999,concept,茅指数
2021-08-03,935.84,953.88,955.6,930.11,21473736.0,165175660544.0,2.71,1.5,14.08,1.19,BK0999,concept,茅指数
2021-08-04,951.98,965.08,965.45,948.79,20145869.0,163405848576.0,1.75,1.17,11.2,1.12,BK0999,concept,茅指数
2021-08-05,956.15,958.28,966.95,949.06,16471131.0,144194260992.0,1.85,-0.7,-6.8,0.91,BK0999,concept,茅指数
2021-08-06,958.63,947.66,958.84,942.03,14766561.0,132799795200.0,1.75,-1.11,-10.62,0.82,BK0999,concept,茅指数
2021-08-09,938.26,960.01,964.85,936.01,18238546.0,146014650368.0,3.04,1.3,12.35,1.01,BK0999,concept,茅指数
2021-08-10,958.64,971.01,971.01,941.83,17574294.0,155760857088.0,3.04,1.15,11.0,0.97,BK0999,concept,茅指数
2021-08-11,967.45,957.53,971.07,956.12,13682623.0,112979709952.0,1.54,-1.39,-13.48,0.76,BK0999,concept,茅指数
2021-08-12,954.63,942.82,959.92,941.55,14941154.0,125651226624.0,1.92,-1.54,-14.71,0.83,BK0999,concept,茅指数
