日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2024-08-06,1016.41,1012.14,1022.48,999.59,8020382.0,7947024439.0,2.29,1.21,12.14,1.11,BK1177,concept,荣耀概念
2024-08-07,1011.03,1013.95,1023.04,1008.32,6576606.0,6725734725.0,1.45,0.18,1.81,0.91,BK1177,concept,荣耀概念
2024-08-08,1007.63,1009.06,1021.57,990.58,6888814.0,7120737231.0,3.06,-0.48,-4.89,0.96,BK1177,concept,荣耀概念
2024-08-09,1016.59,1013.53,1023.09,1011.09,7093118.0,7000260575.0,1.19,0.44,4.47,0.99,BK1177,concept,荣耀概念
2024-08-12,1010.53,1000.28,1015.68,996.03,8176658.0,6190445991.0,1.94,-1.31,-13.25,1.14,BK1177,concept,荣耀概念
2024-08-13,998.92,1012.81,1014.02,997.57,7221057.0,5716772131.0,1.64,1.25,12.53,1.0,BK1177,concept,荣耀概念
2024-08-14,1016.81,1022.74,1027.84,1010.3,7052246.0,7033601293.0,1.73,0.98,9.93,0.98,BK1177,concept,荣耀概念
2024-08-15,1019.01,1033.79,1047.08,1017.41,12406672.0,10734247271.0,2.9,1.08,11.05,1.72,BK1177,concept,荣耀概念
2024-08-16,1036.71,1057.47,1066.7,1036.71,12624238.0,11763791114.0,2.9,2.29,23.68,1.75,BK1177,concept,荣耀概念
2024-08-19,1055.93,1038.48,1059.0,1036.5,11777003.0,10244597733.0,2.13,-1.8,-18.99,1.64,BK1177,concept,荣耀概念
2024-08-20,1034.58,1026.7,1042.96,1024.24,10891526.0,9035882104.0,1.8,-1.13,-11.78,1.51,BK1177,concept,荣耀概念
2024-08-21,1019.47,1028.98,1044.71,1018.44,9951746.0,9309024723.0,2.56,0.22,2.28,1.38,BK1177,concept,荣耀概念
2024-08-22,1028.87,1012.72,1034.2,1010.81,9028244.0,8940544664.0,2.27,-1.58,-16.26,1.25,BK1177,concept,荣耀概念
2024-08-23,1005.94,1023.76,1030.95,998.75,10967438.0,9835380677.0,3.18,1.09,11.04,1.52,BK1177,concept,荣耀概念
2024-08-26,1021.09,1042.82,1046.69,1019.48,11658099.0,11185962075.0,2.66,1.86,19.06,1.62,BK1177,concept,荣耀概念
2024-08-27,1037.26,1007.05,1037.26,1005.67,10686237.0,9989745575.0,3.03,-3.43,-35.77,1.48,BK1177,concept,荣耀概念
2024-08-28,1003.15,1012.16,1017.23,1000.61,8586922.0,8462574677.0,1.65,0.51,5.11,1.19,BK1177,concept,荣耀概念
2024-08-29,1008.67,1044.66,1052.98,1008.07,14185162.0,13084390707.0,4.44,3.21,32.5,1.97,BK1177,concept,荣耀概念
2024-08-30,1052.1,1079.39,1098.26,1052.1,20480873.0,19557910742.0,4.42,3.32,34.73,2.84,BK1177,concept,荣耀概念
2024-09-02,1080.52,1056.44,1087.64,1056.04,15554478.0,14356009435.0,2.93,-2.13,-22.95,2.16,BK1177,concept,荣耀概念
2024-09-03,1055.2,1067.1,1072.46,1055.2,11757380.0,10947114279.0,1.63,1.01,10.66,1.63,BK1177,concept,荣耀概念
2024-09-04,1057.57,1054.75,1059.34,1037.36,10604530.0,10148536843.0,2.06,-1.16,-12.35,1.47,BK1177,concept,荣耀概念
2024-09-05,1054.99,1061.91,1069.59,1050.72,11171125.0,10056427378.0,1.79,0.68,7.16,1.55,BK1177,concept,荣耀概念
2024-09-06,1061.84,1036.75,1062.46,1030.87,11785199.0,10657983506.0,2.97,-2.37,-25.16,1.64,BK1177,concept,荣耀概念
2024-09-09,1037.04,1030.13,1040.77,1025.88,9670650.0,8137513388.0,1.44,-0.64,-6.62,1.34,BK1177,concept,荣耀概念
2024-09-10,1029.4,1041.86,1047.26,1011.17,10085649.0,9200309213.0,3.5,1.14,11.73,1.4,BK1177,concept,荣耀概念
2024-09-11,1035.97,1024.94,1036.3,1019.72,7486593.0,6783662869.0,1.59,-1.62,-16.92,1.04,BK1177,concept,荣耀概念
2024-09-12,1028.87,1015.35,1036.36,1015.08,8261007.0,7425244625.0,2.08,-0.94,-9.59,1.15,BK1177,concept,荣耀概念
2024-09-13,1016.1,999.2,1016.89,996.2,14475116.0,9347255166.0,2.04,-1.59,-16.15,2.01,BK1177,concept,荣耀概念
2024-09-18,996.67,983.71,998.54,969.72,7526794.0,6650355355.0,2.88,-1.55,-15.49,1.05,BK1177,concept,荣耀概念
2024-09-19,986.17,999.04,1006.17,979.83,13526381.0,9196019931.0,2.68,1.56,15.33,1.88,BK1177,concept,荣耀概念
2024-09-20,998.87,1001.87,1009.04,995.17,12010940.0,8551446051.0,1.39,0.28,2.83,1.67,BK1177,concept,荣耀概念
2024-09-23,1003.89,1005.91,1022.36,994.81,12082023.0,9962441077.0,2.75,0.4,4.04,1.68,BK1177,concept,荣耀概念
2024-09-24,1004.54,1035.55,1035.55,991.79,15609592.0,13277628118.0,4.35,2.95,29.64,2.17,BK1177,concept,荣耀概念
2024-09-25,1041.28,1044.65,1069.15,1039.26,17088511.0,15341020800.0,2.89,0.88,9.1,2.37,BK1177,concept,荣耀概念
2024-09-26,1042.77,1081.3,1081.35,1040.71,17090763.0,15658533144.0,3.89,3.51,36.65,2.37,BK1177,concept,荣耀概念
2024-09-27,1093.73,1141.17,1152.8,1091.78,22803931.0,20010859294.0,5.64,5.54,59.87,3.17,BK1177,concept,荣耀概念
2024-09-30,1194.51,1295.08,1299.32,1177.81,36447794.0,36373013191.0,10.65,13.49,153.91,5.06,BK1177,concept,荣耀概念
2024-10-08,1490.87,1465.99,1490.87,1354.5,43858166.0,51082947828.0,10.53,13.2,170.91,6.09,BK1177,concept,荣耀概念
2024-10-09,1422.49,1347.69,1454.2,1337.93,37691145.0,49226545034.0,7.93,-8.07,-118.3,5.23,BK1177,concept,荣耀概念
2024-10-10,1359.16,1323.15,1377.1,1300.34,24900568.0,31824151786.0,5.7,-1.82,-24.54,3.46,BK1177,concept,荣耀概念
2024-10-11,1309.1,1248.86,1312.95,1230.79,19506287.0,23290482312.0,6.21,-5.61,-74.29,2.71,BK1177,concept,荣耀概念
2024-10-14,1250.11,1329.21,1329.45,1231.48,20629004.0,27358751572.0,7.84,6.43,80.35,2.87,BK1177,concept,荣耀概念
2024-10-15,1324.69,1310.3,1371.33,1309.49,20895783.0,30751988941.0,4.65,-1.42,-18.91,2.9,BK1177,concept,荣耀概念
2024-10-16,1284.5,1306.82,1323.72,1283.85,18461354.0,23259247173.0,3.04,-0.27,-3.48,2.56,BK1177,concept,荣耀概念
2024-10-17,1314.04,1330.77,1363.66,1314.04,20920377.0,30448472331.0,3.8,1.83,23.95,2.91,BK1177,concept,荣耀概念
2024-10-18,1327.71,1402.83,1438.88,1327.71,29403993.0,42306107237.0,8.35,5.41,72.06,4.08,BK1177,concept,荣耀概念
2024-10-21,1420.4,1437.25,1481.85,1409.22,31844558.0,47692868999.0,5.18,2.45,34.42,4.42,BK1177,concept,荣耀概念
2024-10-22,1432.98,1424.3,1447.88,1402.73,25444548.0,36036084769.0,3.14,-0.9,-12.95,3.53,BK1177,concept,荣耀概念
