日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-12-27,999.29,957.53,999.57,953.22,11547073.0,11758916352.0,4.64,-4.25,-42.47,1.27,BK1055,concept,虚拟数字人
2021-12-28,959.11,962.24,975.84,956.69,9981422.0,10126337536.0,2.0,0.49,4.71,1.1,BK1055,concept,虚拟数字人
2021-12-29,963.26,966.99,974.31,950.91,8961854.0,9463870720.0,2.43,0.49,4.75,0.99,BK1055,concept,虚拟数字人
2021-12-30,973.01,1028.17,1028.17,970.97,12682918.0,14203533056.0,5.92,6.33,61.18,1.4,BK1055,concept,虚拟数字人
2021-12-31,1042.25,1030.52,1046.7,1024.43,12341218.0,14041249536.0,2.17,0.23,2.35,1.36,BK1055,concept,虚拟数字人
2022-01-04,1048.48,1095.03,1104.85,1037.62,25729524.0,25871537408.0,6.52,6.26,64.51,2.83,BK1055,concept,虚拟数字人
2022-01-05,1089.38,1112.14,1130.82,1079.2,25059153.0,26143929344.0,4.71,1.56,17.11,2.76,BK1055,concept,虚拟数字人
2022-01-06,1091.14,1078.64,1091.14,1059.97,20731563.0,21466821632.0,2.8,-3.01,-33.5,2.28,BK1055,concept,虚拟数字人
2022-01-07,1076.94,1029.56,1096.82,1028.72,19424868.0,21232183552.0,6.31,-4.55,-49.08,2.14,BK1055,concept,虚拟数字人
2022-01-10,1019.38,1040.05,1044.86,998.33,13976902.0,15319006464.0,4.52,1.02,10.49,1.54,BK1055,concept,虚拟数字人
2022-01-11,1036.75,1001.57,1040.88,997.92,14464952.0,15395210240.0,4.13,-3.7,-38.48,1.59,BK1055,concept,虚拟数字人
2022-01-12,1001.88,1021.79,1032.81,998.5,13079570.0,13979262976.0,3.43,2.02,20.22,1.44,BK1055,concept,虚拟数字人
2022-01-13,1025.91,1004.42,1033.94,1004.42,14922606.0,16505401856.0,2.89,-1.7,-17.37,1.64,BK1055,concept,虚拟数字人
2022-01-14,996.1,1025.42,1040.46,994.74,18842976.0,19402358784.0,4.55,2.09,21.0,2.07,BK1055,concept,虚拟数字人
2022-01-17,1044.32,1083.84,1085.61,1044.26,20788509.0,22045915136.0,4.03,5.7,58.42,2.29,BK1055,concept,虚拟数字人
2022-01-18,1093.68,1045.85,1094.79,1035.78,22948212.0,25380327936.0,5.44,-3.51,-37.99,2.53,BK1055,concept,虚拟数字人
2022-01-19,1038.61,1055.54,1063.83,1038.61,18168940.0,19591458816.0,2.41,0.93,9.69,2.0,BK1055,concept,虚拟数字人
2022-01-20,1046.44,1006.07,1047.84,999.73,17141304.0,18317980672.0,4.56,-4.69,-49.47,1.89,BK1055,concept,虚拟数字人
2022-01-21,999.55,970.81,1016.1,970.81,14678104.0,15656203776.0,4.5,-3.5,-35.26,1.62,BK1055,concept,虚拟数字人
2022-01-24,958.57,967.52,976.21,955.03,10613052.0,10545840384.0,2.18,-0.34,-3.29,1.17,BK1055,concept,虚拟数字人
2022-01-25,953.95,908.04,955.91,907.96,13201312.0,12116283136.0,4.96,-6.15,-59.48,1.45,BK1055,concept,虚拟数字人
2022-01-26,909.33,901.02,922.97,891.48,10070204.0,10058855680.0,3.47,-0.77,-7.02,1.11,BK1055,concept,虚拟数字人
2022-01-27,898.48,863.18,898.78,862.16,9961273.0,9741858304.0,4.06,-4.2,-37.84,1.1,BK1055,concept,虚拟数字人
2022-01-28,873.56,868.52,882.84,860.11,9832529.0,9482353920.0,2.63,0.62,5.34,1.08,BK1055,concept,虚拟数字人
2022-02-07,875.18,860.66,875.84,848.68,9679841.0,9096970496.0,3.13,-0.9,-7.86,1.07,BK1055,concept,虚拟数字人
2022-02-08,859.98,874.66,877.92,850.61,8823491.0,7998840832.0,3.17,1.63,14.0,0.97,BK1055,concept,虚拟数字人
2022-02-09,875.85,900.75,900.82,872.19,11244005.0,10507886848.0,3.27,2.98,26.09,1.24,BK1055,concept,虚拟数字人
2022-02-10,902.89,908.82,913.21,897.14,11140269.0,11048185856.0,1.78,0.9,8.07,1.23,BK1055,concept,虚拟数字人
2022-02-11,909.32,878.97,910.54,877.02,13547908.0,13571878912.0,3.69,-3.28,-29.85,1.49,BK1055,concept,虚拟数字人
2022-02-14,868.24,879.02,889.18,864.18,11177809.0,11370338048.0,2.84,0.01,0.05,1.23,BK1055,concept,虚拟数字人
2022-02-15,877.54,873.74,886.62,864.97,9459407.0,8903962112.0,2.46,-0.6,-5.28,1.04,BK1055,concept,虚拟数字人
2022-02-16,877.5,888.3,895.71,872.55,9992728.0,9746820608.0,2.65,1.67,14.56,1.1,BK1055,concept,虚拟数字人
2022-02-17,878.82,865.51,881.73,864.03,9866548.0,9099156992.0,1.99,-2.57,-22.79,1.09,BK1055,concept,虚拟数字人
2022-02-18,858.96,868.92,871.31,858.45,7422088.0,7857003264.0,1.49,0.39,3.41,0.82,BK1055,concept,虚拟数字人
2022-02-21,867.84,884.61,887.25,866.73,8409500.0,8379982336.0,2.36,1.81,15.69,0.93,BK1055,concept,虚拟数字人
2022-02-22,874.91,846.13,874.91,841.83,9634990.0,9574214400.0,3.74,-4.35,-38.48,1.06,BK1055,concept,虚拟数字人
2022-02-23,849.12,863.85,866.88,848.91,6785990.0,6857147136.0,2.12,2.09,17.72,0.75,BK1055,concept,虚拟数字人
2022-02-24,860.22,830.74,864.62,815.35,12537746.0,10922595072.0,5.7,-3.83,-33.11,1.38,BK1055,concept,虚拟数字人
2022-02-25,837.01,834.65,848.47,832.48,7566995.0,6777561088.0,1.92,0.47,3.91,0.83,BK1055,concept,虚拟数字人
