日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-11-20,1034.65,1035.06,1052.17,1014.6,10538296.0,27609860864.0,3.76,3.51,35.06,0.41,BK0722,concept,虚拟现实
2015-11-23,1032.49,1026.61,1038.22,1021.73,18737348.0,39826680320.0,1.59,-0.82,-8.45,0.74,BK0722,concept,虚拟现实
2015-11-24,1022.84,1029.6,1029.6,1012.69,13237189.0,29318766336.0,1.65,0.29,2.99,0.52,BK0722,concept,虚拟现实
2015-11-25,1029.57,1046.94,1048.68,1023.71,17107557.0,36542171136.0,2.43,1.68,17.34,0.67,BK0722,concept,虚拟现实
2015-11-26,1043.33,1023.56,1046.57,1022.15,16509497.0,35498534912.0,2.33,-2.23,-23.38,0.65,BK0722,concept,虚拟现实
2015-11-27,1021.07,971.02,1026.79,963.44,18481908.0,35608516608.0,6.19,-5.13,-52.54,0.73,BK0722,concept,虚拟现实
2015-11-30,975.05,982.0,985.7,942.03,15730418.0,31383093760.0,4.5,1.13,10.98,0.62,BK0722,concept,虚拟现实
2015-12-01,978.47,973.92,985.56,966.81,10373609.0,22347501824.0,1.91,-0.82,-8.08,0.41,BK0722,concept,虚拟现实
2015-12-02,973.2,980.87,981.99,953.55,12362266.0,21423305216.0,2.92,0.71,6.95,0.49,BK0722,concept,虚拟现实
2015-12-03,996.11,1006.74,1006.74,990.84,15253532.0,24215761152.0,1.62,2.64,25.87,0.6,BK0722,concept,虚拟现实
2015-12-04,997.92,993.73,1007.23,989.58,15069607.0,32742841600.0,1.75,-1.29,-13.01,0.59,BK0722,concept,虚拟现实
2015-12-07,995.45,1001.95,1006.29,987.0,11153907.0,22411495168.0,1.94,0.83,8.22,0.44,BK0722,concept,虚拟现实
2015-12-08,996.26,984.57,997.56,980.56,12939388.0,25365024256.0,1.7,-1.73,-17.38,0.51,BK0722,concept,虚拟现实
2015-12-09,978.0,976.77,984.4,969.64,10282014.0,21215799296.0,1.5,-0.79,-7.8,0.4,BK0722,concept,虚拟现实
2015-12-10,980.76,978.36,990.05,975.79,10127951.0,19046269696.0,1.46,0.16,1.59,0.4,BK0722,concept,虚拟现实
2015-12-11,974.08,970.9,978.94,966.41,8575692.0,15811038208.0,1.28,-0.76,-7.46,0.34,BK0722,concept,虚拟现实
2015-12-14,962.04,987.18,987.18,960.62,8381461.0,14692966400.0,2.74,1.68,16.28,0.33,BK0722,concept,虚拟现实
2015-12-15,988.99,988.84,995.27,982.94,8494480.0,16817663232.0,1.25,0.17,1.66,0.33,BK0722,concept,虚拟现实
2015-12-16,993.85,999.1,1006.43,993.56,10551769.0,24019182848.0,1.3,1.04,10.26,0.42,BK0722,concept,虚拟现实
2015-12-17,1004.94,1020.02,1020.02,1003.62,15064257.0,27630405888.0,1.64,2.09,20.92,0.59,BK0722,concept,虚拟现实
2015-12-18,1017.59,1006.92,1020.79,1003.3,14934077.0,27890865152.0,1.71,-1.28,-13.1,0.59,BK0722,concept,虚拟现实
2015-12-21,1002.82,1027.51,1030.08,1001.68,18694389.0,27570475264.0,2.82,2.04,20.59,0.74,BK0722,concept,虚拟现实
2015-12-22,1028.04,1030.54,1032.59,1020.57,13348651.0,23328611328.0,1.17,0.29,3.03,0.53,BK0722,concept,虚拟现实
2015-12-23,1029.81,1012.59,1031.65,1010.11,12427242.0,21542488320.0,2.09,-1.74,-17.95,0.49,BK0722,concept,虚拟现实
2015-12-24,1012.32,1009.09,1012.7,996.63,8989528.0,16693404928.0,1.59,-0.35,-3.5,0.35,BK0722,concept,虚拟现实
2015-12-25,1012.03,1015.94,1019.06,1007.59,8542215.0,18637928448.0,1.14,0.68,6.85,0.34,BK0722,concept,虚拟现实
2015-12-28,1017.89,997.14,1028.13,997.14,11306395.0,23821080832.0,3.05,-1.85,-18.8,0.44,BK0722,concept,虚拟现实
2015-12-29,997.43,1005.12,1007.02,992.08,8358310.0,17889340672.0,1.5,0.8,7.98,0.33,BK0722,concept,虚拟现实
2015-12-30,1006.97,1012.35,1014.23,1004.67,9727919.0,23102444800.0,0.95,0.72,7.23,0.38,BK0722,concept,虚拟现实
2015-12-31,1013.33,996.0,1015.02,995.62,9014829.0,20761399040.0,1.92,-1.62,-16.35,0.35,BK0722,concept,虚拟现实
2016-01-04,995.71,924.46,998.87,923.1,9447651.0,16209390080.0,7.61,-7.18,-71.54,0.37,BK0722,concept,虚拟现实
2016-01-05,890.8,923.63,938.4,890.75,14043672.0,23464291328.0,5.15,-0.09,-0.83,0.55,BK0722,concept,虚拟现实
2016-01-06,928.51,947.92,949.09,924.07,12153179.0,19198070272.0,2.71,2.63,24.29,0.48,BK0722,concept,虚拟现实
2016-01-07,933.2,872.79,933.2,869.08,3558185.0,4803369216.0,6.76,-7.93,-75.13,0.14,BK0722,concept,虚拟现实
2016-01-08,896.04,886.8,907.08,849.57,13328915.0,19726089984.0,6.59,1.61,14.01,0.52,BK0722,concept,虚拟现实
2016-01-11,868.88,839.05,886.11,837.59,11772440.0,16802501632.0,5.47,-5.38,-47.75,0.46,BK0722,concept,虚拟现实
2016-01-12,842.95,843.83,853.82,828.48,9991685.0,16789192704.0,3.02,0.57,4.78,0.39,BK0722,concept,虚拟现实
2016-01-13,847.48,819.08,855.88,819.08,9357203.0,14784273664.0,4.36,-2.93,-24.75,0.37,BK0722,concept,虚拟现实
2016-01-14,797.0,842.73,842.89,794.66,11094029.0,16830930176.0,5.89,2.89,23.65,0.44,BK0722,concept,虚拟现实
2016-01-15,834.79,807.74,841.03,801.66,11512268.0,17210978304.0,4.67,-4.15,-34.99,0.45,BK0722,concept,虚拟现实
2016-01-18,790.85,819.83,829.45,790.65,10171528.0,16425823232.0,4.8,1.5,12.09,0.4,BK0722,concept,虚拟现实
2016-01-19,816.66,842.74,845.07,811.1,11527260.0,19023752448.0,4.14,2.79,22.91,0.45,BK0722,concept,虚拟现实
2016-01-20,836.08,831.51,847.31,824.4,10085232.0,17814337280.0,2.72,-1.33,-11.23,0.4,BK0722,concept,虚拟现实
2016-01-21,819.9,800.01,838.45,798.99,9134657.0,15783136768.0,4.75,-3.79,-31.5,0.36,BK0722,concept,虚拟现实
2016-01-22,811.93,815.94,818.33,794.53,8600561.0,14269583104.0,2.97,1.99,15.93,0.34,BK0722,concept,虚拟现实
2016-01-25,825.7,825.53,834.39,820.0,7850908.0,15085236224.0,1.76,1.18,9.59,0.31,BK0722,concept,虚拟现实
2016-01-26,818.66,761.87,819.61,758.52,12748342.0,21315063808.0,7.4,-7.71,-63.66,0.5,BK0722,concept,虚拟现实
2016-01-27,766.96,758.29,768.78,719.61,13047576.0,18960747264.0,6.45,-0.47,-3.58,0.51,BK0722,concept,虚拟现实
2016-01-28,746.89,728.85,757.11,726.4,8894154.0,12990167040.0,4.05,-3.88,-29.44,0.35,BK0722,concept,虚拟现实
2016-01-29,724.68,754.27,763.34,724.68,9796836.0,14063239680.0,5.3,3.49,25.42,0.39,BK0722,concept,虚拟现实
2016-02-01,753.08,749.2,759.63,738.43,8363866.0,12709043200.0,2.81,-0.67,-5.07,0.33,BK0722,concept,虚拟现实
2016-02-02,749.83,772.08,775.86,749.83,9637184.0,15505047040.0,3.47,3.05,22.88,0.38,BK0722,concept,虚拟现实
2016-02-03,762.92,770.71,775.12,757.39,8310792.0,13707622656.0,2.3,-0.18,-1.37,0.33,BK0722,concept,虚拟现实
2016-02-04,771.25,777.72,782.31,771.25,9762643.0,15807410944.0,1.44,0.91,7.01,0.38,BK0722,concept,虚拟现实
2016-02-05,773.45,765.47,777.71,763.77,7841164.0,12931773696.0,1.79,-1.58,-12.25,0.31,BK0722,concept,虚拟现实
2016-02-15,742.55,768.73,773.13,740.73,8191488.0,13411544832.0,4.23,0.43,3.26,0.32,BK0722,concept,虚拟现实
2016-02-16,780.49,820.73,821.58,780.2,11982560.0,18775764736.0,5.38,6.76,52.0,0.47,BK0722,concept,虚拟现实
2016-02-17,835.49,850.64,853.71,825.28,22228354.0,25680204032.0,3.46,3.64,29.91,0.87,BK0722,concept,虚拟现实
2016-02-18,851.89,840.58,855.95,837.61,17002748.0,25766934784.0,2.16,-1.18,-10.06,0.67,BK0722,concept,虚拟现实
2016-02-19,833.78,841.78,850.12,833.78,13209156.0,23559576064.0,1.94,0.14,1.2,0.52,BK0722,concept,虚拟现实
2016-02-22,852.65,861.44,862.34,846.05,14319535.0,25835843072.0,1.94,2.34,19.66,0.56,BK0722,concept,虚拟现实
2016-02-23,861.84,854.17,863.22,845.26,14175628.0,28938152448.0,2.08,-0.84,-7.27,0.56,BK0722,concept,虚拟现实
2016-02-24,850.88,851.76,860.01,837.31,12791291.0,25611584768.0,2.66,-0.28,-2.41,0.5,BK0722,concept,虚拟现实
2016-02-25,849.14,785.55,850.51,779.03,15861615.0,25412128768.0,8.39,-7.77,-66.21,0.62,BK0722,concept,虚拟现实
2016-02-26,792.14,788.76,800.09,773.46,11861871.0,20445222144.0,3.39,0.41,3.21,0.47,BK0722,concept,虚拟现实
2016-02-29,782.37,748.05,782.72,737.09,10483156.0,14961548544.0,5.79,-5.16,-40.71,0.41,BK0722,concept,虚拟现实
