日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-11-02,999.13,1023.15,1028.82,999.13,1170656.0,1873645808.0,2.97,2.32,23.15,0.23,BK0958,concept,虚拟电厂
2020-11-03,1025.48,1032.01,1032.96,1015.48,1274629.0,2029694624.0,1.71,0.87,8.86,0.25,BK0958,concept,虚拟电厂
2020-11-04,1035.97,1025.3,1042.49,1020.52,1231006.0,2195526832.0,2.13,-0.65,-6.71,0.24,BK0958,concept,虚拟电厂
2020-11-05,1035.01,1050.54,1050.81,1031.31,1303775.0,2204212896.0,1.9,2.46,25.24,0.26,BK0958,concept,虚拟电厂
2020-11-06,1052.82,1033.78,1054.69,1024.72,1381982.0,2075379792.0,2.85,-1.6,-16.76,0.27,BK0958,concept,虚拟电厂
2020-11-09,1034.85,1057.79,1059.51,1034.66,1492921.0,2279102832.0,2.4,2.32,24.01,0.3,BK0958,concept,虚拟电厂
2020-11-10,1053.4,1039.7,1053.4,1031.71,1189706.0,1833258512.0,2.05,-1.71,-18.09,0.24,BK0958,concept,虚拟电厂
2020-11-11,1032.59,1010.51,1036.24,1009.99,886414.0,1589664640.0,2.52,-2.81,-29.19,0.18,BK0958,concept,虚拟电厂
2020-11-12,1012.42,1007.27,1015.45,1001.12,749907.0,1261499392.0,1.42,-0.32,-3.24,0.15,BK0958,concept,虚拟电厂
2020-11-13,1008.78,1013.82,1014.05,998.94,726937.0,1188700992.0,1.5,0.65,6.55,0.14,BK0958,concept,虚拟电厂
2020-11-16,1011.79,1013.85,1014.03,1002.64,610303.0,969455504.0,1.12,0.0,0.03,0.12,BK0958,concept,虚拟电厂
2020-11-17,1014.05,994.44,1014.05,989.13,829969.0,1236476080.0,2.46,-1.91,-19.41,0.16,BK0958,concept,虚拟电厂
2020-11-18,991.55,984.73,1000.74,979.67,649556.0,1031307664.0,2.12,-0.98,-9.71,0.13,BK0958,concept,虚拟电厂
2020-11-19,983.6,991.91,994.63,977.91,488135.0,749874992.0,1.7,0.73,7.18,0.1,BK0958,concept,虚拟电厂
2020-11-20,992.55,999.0,1002.29,989.5,730152.0,1041408560.0,1.29,0.71,7.09,0.15,BK0958,concept,虚拟电厂
2020-11-23,1006.56,1028.77,1030.51,1001.66,1285306.0,2283696112.0,2.89,2.98,29.77,0.26,BK0958,concept,虚拟电厂
2020-11-24,1027.39,1027.56,1034.08,1017.3,1217430.0,2378937424.0,1.63,-0.12,-1.21,0.24,BK0958,concept,虚拟电厂
2020-11-25,1026.04,1009.92,1028.97,1009.92,1012337.0,1650178880.0,1.85,-1.72,-17.64,0.2,BK0958,concept,虚拟电厂
2020-11-26,1007.28,1010.11,1011.65,998.92,976687.0,1490289616.0,1.26,0.02,0.19,0.19,BK0958,concept,虚拟电厂
2020-11-27,1011.57,1012.56,1013.16,997.02,808419.0,1282856032.0,1.6,0.24,2.45,0.16,BK0958,concept,虚拟电厂
2020-11-30,1012.27,999.21,1012.27,998.07,776578.0,1258739952.0,1.4,-1.32,-13.35,0.15,BK0958,concept,虚拟电厂
2020-12-01,999.62,1012.65,1016.61,995.06,906060.0,1561610096.0,2.16,1.35,13.44,0.18,BK0958,concept,虚拟电厂
2020-12-02,1012.05,1006.53,1015.69,1004.37,729769.0,1322797136.0,1.12,-0.6,-6.12,0.14,BK0958,concept,虚拟电厂
2020-12-03,1007.27,992.56,1007.27,991.89,767391.0,1221965232.0,1.53,-1.39,-13.97,0.15,BK0958,concept,虚拟电厂
2020-12-04,993.76,999.13,1001.8,988.75,624643.0,955768320.0,1.31,0.66,6.57,0.12,BK0958,concept,虚拟电厂
2020-12-07,1009.15,1003.46,1010.73,1001.46,667080.0,1049188208.0,0.93,0.43,4.33,0.13,BK0958,concept,虚拟电厂
2020-12-08,1014.39,1000.33,1016.32,1000.27,1202299.0,1678217152.0,1.6,-0.31,-3.13,0.24,BK0958,concept,虚拟电厂
2020-12-09,995.08,979.67,999.81,979.08,1070213.0,1537027664.0,2.07,-2.07,-20.66,0.21,BK0958,concept,虚拟电厂
