日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-07-21,1087.19,1043.28,1087.19,1037.97,3969943.0,17661274624.0,4.92,4.33,43.28,0.13,BK0937,concept,蚂蚁概念
2020-07-22,1034.25,1061.92,1071.43,1027.7,14070635.0,28864663808.0,4.19,1.79,18.64,0.47,BK0937,concept,蚂蚁概念
2020-07-23,1044.32,1047.98,1054.05,1020.96,17389825.0,27355626240.0,3.12,-1.31,-13.94,0.58,BK0937,concept,蚂蚁概念
2020-07-24,1038.21,995.16,1045.55,988.58,20257666.0,26231812864.0,5.44,-5.04,-52.82,0.68,BK0937,concept,蚂蚁概念
2020-07-27,997.33,996.51,1004.18,984.0,15847716.0,17847760896.0,2.03,0.14,1.35,0.53,BK0937,concept,蚂蚁概念
2020-07-28,1002.11,1010.84,1019.91,999.31,15274042.0,16750715904.0,2.07,1.44,14.33,0.51,BK0937,concept,蚂蚁概念
2020-07-29,1005.23,1037.42,1037.48,1001.59,17857711.0,22903288320.0,3.55,2.63,26.58,0.6,BK0937,concept,蚂蚁概念
2020-07-30,1040.63,1030.35,1043.63,1030.35,19387497.0,26124660480.0,1.28,-0.68,-7.07,0.65,BK0937,concept,蚂蚁概念
2020-07-31,1031.97,1055.72,1058.1,1031.25,17568499.0,24886345984.0,2.61,2.46,25.37,0.59,BK0937,concept,蚂蚁概念
2020-08-03,1070.98,1084.77,1084.77,1065.7,19150303.0,30463091712.0,1.81,2.75,29.05,0.64,BK0937,concept,蚂蚁概念
2020-08-04,1092.8,1087.04,1097.46,1077.44,26770417.0,38291466240.0,1.85,0.21,2.27,0.89,BK0937,concept,蚂蚁概念
2020-08-05,1086.32,1099.5,1103.29,1075.1,20988500.0,28594367744.0,2.59,1.15,12.46,0.7,BK0937,concept,蚂蚁概念
2020-08-06,1100.18,1104.11,1105.63,1080.48,22946715.0,31489200640.0,2.29,0.42,4.61,0.77,BK0937,concept,蚂蚁概念
2020-08-07,1095.05,1078.67,1095.05,1060.91,20011191.0,28285627392.0,3.09,-2.3,-25.44,0.67,BK0937,concept,蚂蚁概念
2020-08-10,1078.73,1088.47,1100.24,1077.58,21075347.0,30073172992.0,2.1,0.91,9.8,0.7,BK0937,concept,蚂蚁概念
2020-08-11,1088.1,1055.2,1090.51,1054.69,19173658.0,27389253888.0,3.29,-3.06,-33.27,0.64,BK0937,concept,蚂蚁概念
2020-08-12,1051.04,1046.32,1054.67,1028.23,20502136.0,28060198912.0,2.51,-0.84,-8.88,0.69,BK0937,concept,蚂蚁概念
2020-08-13,1049.03,1041.35,1051.94,1039.7,16335456.0,20174746880.0,1.17,-0.47,-4.97,0.55,BK0937,concept,蚂蚁概念
2020-08-14,1039.66,1063.3,1064.12,1036.43,17016465.0,23536784384.0,2.66,2.11,21.95,0.57,BK0937,concept,蚂蚁概念
2020-08-17,1072.47,1100.35,1103.98,1069.86,22346236.0,34706904832.0,3.21,3.48,37.05,0.75,BK0937,concept,蚂蚁概念
2020-08-18,1100.94,1107.0,1110.27,1099.11,17691632.0,26881284608.0,1.01,0.6,6.65,0.59,BK0937,concept,蚂蚁概念
2020-08-19,1105.02,1075.55,1105.02,1075.37,22744564.0,31906051328.0,2.68,-2.84,-31.45,0.76,BK0937,concept,蚂蚁概念
2020-08-20,1065.92,1059.71,1078.36,1055.39,13710743.0,19285122304.0,2.14,-1.47,-15.84,0.46,BK0937,concept,蚂蚁概念
2020-08-21,1062.93,1061.87,1071.75,1051.64,13670986.0,19161372160.0,1.9,0.2,2.16,0.46,BK0937,concept,蚂蚁概念
2020-08-24,1061.45,1067.33,1073.67,1044.64,13063600.0,18435136256.0,2.73,0.51,5.46,0.44,BK0937,concept,蚂蚁概念
2020-08-25,1067.46,1074.22,1079.23,1067.25,15517583.0,22666510592.0,1.12,0.65,6.89,0.52,BK0937,concept,蚂蚁概念
2020-08-26,1082.11,1072.34,1098.17,1069.27,20383622.0,31094365952.0,2.69,-0.18,-1.88,0.68,BK0937,concept,蚂蚁概念
2020-08-27,1066.22,1071.01,1077.36,1054.65,16779818.0,24368123904.0,2.12,-0.12,-1.33,0.56,BK0937,concept,蚂蚁概念
2020-08-28,1066.32,1082.0,1082.62,1059.24,14183808.0,22614718464.0,2.18,1.03,10.99,0.47,BK0937,concept,蚂蚁概念
2020-08-31,1090.79,1080.63,1101.46,1080.63,15573363.0,25316440320.0,1.93,-0.13,-1.37,0.52,BK0937,concept,蚂蚁概念
2020-09-01,1078.14,1082.61,1083.14,1069.72,11231725.0,16810380032.0,1.24,0.18,1.98,0.38,BK0937,concept,蚂蚁概念
2020-09-02,1085.41,1088.4,1093.38,1073.24,12381040.0,18486453504.0,1.86,0.53,5.79,0.41,BK0937,concept,蚂蚁概念
