日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-02-25,1003.56,1007.01,1012.85,998.77,2233279.0,7074531072.0,1.41,0.7,7.01,1.52,BK0976,concept,被动元件
2021-02-26,985.66,989.47,1001.79,984.82,2139278.0,6769521664.0,1.69,-1.74,-17.54,1.46,BK0976,concept,被动元件
2021-03-01,994.51,1013.0,1013.19,993.25,2901198.0,6978203392.0,2.02,2.38,23.53,1.98,BK0976,concept,被动元件
2021-03-02,1014.37,1019.71,1019.71,1003.9,2637999.0,6925917952.0,1.56,0.66,6.71,1.8,BK0976,concept,被动元件
2021-03-03,1016.89,1022.27,1022.88,1010.3,2310396.0,6458056704.0,1.23,0.25,2.56,1.58,BK0976,concept,被动元件
2021-03-04,1012.79,1002.74,1016.18,1000.26,2065457.0,6037308160.0,1.56,-1.91,-19.53,1.41,BK0976,concept,被动元件
2021-03-05,992.48,1012.02,1019.56,992.04,2248662.0,6515306752.0,2.74,0.93,9.28,1.53,BK0976,concept,被动元件
2021-03-08,1018.49,971.87,1023.61,971.86,2848077.0,8265528064.0,5.11,-3.97,-40.15,1.94,BK0976,concept,被动元件
2021-03-09,970.48,949.22,974.15,926.08,2760175.0,7036861184.0,4.95,-2.33,-22.65,1.88,BK0976,concept,被动元件
2021-03-10,961.94,949.93,965.36,943.48,2253703.0,5741495552.0,2.31,0.07,0.71,1.54,BK0976,concept,被动元件
2021-03-11,951.12,967.63,967.64,944.55,2463471.0,6720309248.0,2.43,1.86,17.7,1.68,BK0976,concept,被动元件
2021-03-12,966.72,966.15,968.19,953.29,2211823.0,6169656064.0,1.54,-0.15,-1.48,1.51,BK0976,concept,被动元件
2021-03-15,962.34,948.68,962.34,940.84,1875180.0,5113554944.0,2.23,-1.81,-17.47,1.28,BK0976,concept,被动元件
2021-03-16,949.36,946.55,956.22,935.9,1992047.0,4795784704.0,2.14,-0.22,-2.13,1.36,BK0976,concept,被动元件
2021-03-17,945.9,961.75,965.89,941.27,1717590.0,4164736592.0,2.6,1.61,15.2,1.17,BK0976,concept,被动元件
2021-03-18,964.66,962.56,966.98,959.67,1711484.0,4103159872.0,0.76,0.08,0.81,1.17,BK0976,concept,被动元件
2021-03-19,951.08,964.62,971.93,948.75,2216522.0,5407749888.0,2.41,0.21,2.06,1.51,BK0976,concept,被动元件
2021-03-22,961.83,988.8,989.04,961.83,2289996.0,5516176640.0,2.82,2.51,24.18,1.56,BK0976,concept,被动元件
2021-03-23,991.47,1000.3,1000.85,990.13,2446296.0,5995973120.0,1.08,1.16,11.5,1.67,BK0976,concept,被动元件
2021-03-24,999.72,984.64,1002.06,980.11,1952780.0,4832166912.0,2.19,-1.57,-15.66,1.33,BK0976,concept,被动元件
2021-03-25,988.91,1001.01,1008.38,984.35,2395345.0,5630342400.0,2.44,1.66,16.37,1.63,BK0976,concept,被动元件
2021-03-26,996.66,1013.73,1013.82,993.87,2736025.0,6405036032.0,1.99,1.27,12.72,1.87,BK0976,concept,被动元件
2021-03-29,1016.13,1023.13,1028.65,1016.07,2558966.0,7287150848.0,1.24,0.93,9.4,1.75,BK0976,concept,被动元件
2021-03-30,1021.23,1030.66,1036.49,1016.45,2386801.0,6863994368.0,1.96,0.74,7.53,1.63,BK0976,concept,被动元件
2021-03-31,1030.73,1020.08,1031.99,1009.92,2148772.0,5885320704.0,2.14,-1.03,-10.58,1.47,BK0976,concept,被动元件
2021-04-01,1021.91,1033.09,1035.16,1019.34,2606616.0,5423821568.0,1.55,1.28,13.01,1.78,BK0976,concept,被动元件
2021-04-02,1032.56,1037.04,1047.6,1032.56,2759765.0,6321003776.0,1.46,0.38,3.95,1.88,BK0976,concept,被动元件
2021-04-06,1045.17,1050.64,1054.13,1040.92,2763229.0,6202340608.0,1.27,1.31,13.6,1.89,BK0976,concept,被动元件
2021-04-07,1048.9,1045.83,1049.92,1037.16,2552450.0,6157005056.0,1.21,-0.46,-4.81,1.74,BK0976,concept,被动元件
2021-04-08,1044.23,1049.71,1057.89,1040.25,2487267.0,5485777408.0,1.69,0.37,3.88,1.7,BK0976,concept,被动元件
2021-04-09,1051.14,1059.84,1063.25,1051.14,2648855.0,7139256064.0,1.15,0.97,10.13,1.81,BK0976,concept,被动元件
2021-04-12,1063.02,1021.06,1063.22,1018.29,2908119.0,7493312256.0,4.24,-3.66,-38.78,1.98,BK0976,concept,被动元件
2021-04-13,1020.01,1017.25,1027.89,1014.0,2698807.0,5677486592.0,1.36,-0.37,-3.81,1.84,BK0976,concept,被动元件
2021-04-14,1013.78,1038.92,1039.53,1013.78,2334793.0,5227900672.0,2.53,2.13,21.67,1.59,BK0976,concept,被动元件
2021-04-15,1032.53,1033.59,1034.23,1023.48,1985131.0,4262608032.0,1.03,-0.51,-5.33,1.35,BK0976,concept,被动元件
2021-04-16,1035.97,1045.35,1047.69,1029.18,2792423.0,5841012480.0,1.79,1.14,11.76,1.91,BK0976,concept,被动元件
2021-04-19,1046.78,1066.55,1067.52,1041.56,3199470.0,7375524352.0,2.48,2.03,21.2,2.18,BK0976,concept,被动元件
2021-04-20,1064.79,1061.32,1071.87,1060.84,3071566.0,7010106624.0,1.03,-0.49,-5.23,2.1,BK0976,concept,被动元件
2021-04-21,1056.48,1056.55,1059.49,1047.51,2476568.0,5306182912.0,1.13,-0.45,-4.77,1.69,BK0976,concept,被动元件
2021-04-22,1059.15,1060.61,1062.99,1057.19,2558844.0,5829136640.0,0.55,0.38,4.06,1.75,BK0976,concept,被动元件
2021-04-23,1061.68,1051.01,1063.62,1048.0,2375164.0,5380768768.0,1.47,-0.91,-9.6,1.62,BK0976,concept,被动元件
2021-04-26,1053.17,1041.65,1061.33,1041.2,2246779.0,5893345536.0,1.92,-0.89,-9.36,1.53,BK0976,concept,被动元件
2021-04-27,1042.28,1032.12,1052.03,1022.3,2207104.0,5270031360.0,2.85,-0.91,-9.53,1.51,BK0976,concept,被动元件
2021-04-28,1031.72,1038.74,1040.97,1031.04,2184739.0,6129854464.0,0.96,0.64,6.62,1.49,BK0976,concept,被动元件
2021-04-29,1035.02,1035.77,1045.49,1034.81,2049193.0,5533109760.0,1.03,-0.29,-2.97,1.4,BK0976,concept,被动元件
2021-04-30,1034.33,1022.22,1034.42,1014.41,2193647.0,6550151936.0,1.93,-1.31,-13.55,1.5,BK0976,concept,被动元件
2021-05-06,1021.98,1021.96,1024.91,1014.03,1985690.0,5701476096.0,1.06,-0.03,-0.26,1.36,BK0976,concept,被动元件
2021-05-07,1024.24,994.91,1027.55,994.91,2099224.0,5715486464.0,3.19,-2.65,-27.05,1.43,BK0976,concept,被动元件
2021-05-10,994.14,977.59,994.14,972.77,2294267.0,5629701376.0,2.15,-1.74,-17.32,1.57,BK0976,concept,被动元件
2021-05-11,974.74,981.59,984.84,967.93,1846985.0,4848068096.0,1.73,0.41,4.0,1.26,BK0976,concept,被动元件
2021-05-12,979.8,990.86,990.99,967.18,2149679.0,5280741376.0,2.43,0.94,9.27,1.47,BK0976,concept,被动元件
2021-05-13,982.62,982.01,990.75,980.85,1705962.0,4177297200.0,1.0,-0.89,-8.85,1.16,BK0976,concept,被动元件
2021-05-14,986.74,1007.17,1008.1,982.94,2154482.0,5684219392.0,2.56,2.56,25.16,1.47,BK0976,concept,被动元件
2021-05-17,1009.44,1001.52,1016.14,1001.48,2244893.0,6188101888.0,1.46,-0.56,-5.65,1.53,BK0976,concept,被动元件
2021-05-18,999.96,1007.26,1007.57,993.71,1674529.0,4317514240.0,1.38,0.57,5.74,1.14,BK0976,concept,被动元件
2021-05-19,1004.19,1002.62,1010.06,997.82,1631178.0,4137378944.0,1.22,-0.46,-4.64,1.11,BK0976,concept,被动元件
2021-05-20,999.56,1004.81,1007.87,994.86,1692580.0,4283281600.0,1.3,0.22,2.19,1.16,BK0976,concept,被动元件
2021-05-21,1008.56,1001.66,1009.97,998.89,1617898.0,4345977856.0,1.1,-0.31,-3.15,1.1,BK0976,concept,被动元件
