日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-08-10,996.7,1022.73,1027.49,995.85,20204269.0,19619729664.0,3.16,2.27,22.73,0.99,BK0945,concept,装配建筑
2020-08-11,1022.88,1005.38,1026.07,1003.99,18663614.0,19133647104.0,2.16,-1.7,-17.35,0.91,BK0945,concept,装配建筑
2020-08-12,999.16,998.31,1004.25,972.66,19848936.0,19545854208.0,3.14,-0.7,-7.07,0.97,BK0945,concept,装配建筑
2020-08-13,1000.17,1005.37,1012.8,999.29,14736575.0,15022336256.0,1.35,0.71,7.06,0.72,BK0945,concept,装配建筑
2020-08-14,1004.41,1016.41,1016.83,999.37,13641075.0,14026919168.0,1.74,1.1,11.04,0.67,BK0945,concept,装配建筑
2020-08-17,1018.08,1042.07,1044.54,1015.5,16963827.0,17844922880.0,2.86,2.52,25.66,0.83,BK0945,concept,装配建筑
2020-08-18,1045.89,1055.45,1055.87,1038.37,15210712.0,16021065728.0,1.68,1.28,13.38,0.74,BK0945,concept,装配建筑
2020-08-19,1053.94,1041.83,1058.59,1040.78,13469570.0,14011203328.0,1.69,-1.29,-13.62,0.66,BK0945,concept,装配建筑
2020-08-20,1034.99,1027.45,1039.32,1024.12,11145633.0,11746243584.0,1.46,-1.38,-14.38,0.54,BK0945,concept,装配建筑
2020-08-21,1034.25,1036.71,1040.27,1029.54,10088278.0,10834236928.0,1.04,0.9,9.26,0.49,BK0945,concept,装配建筑
2020-08-24,1039.11,1039.26,1040.56,1025.68,10223730.0,10864710656.0,1.44,0.25,2.55,0.5,BK0945,concept,装配建筑
2020-08-25,1040.62,1036.35,1042.65,1032.01,10111975.0,10429760256.0,1.02,-0.28,-2.91,0.49,BK0945,concept,装配建筑
2020-08-26,1036.28,1004.98,1036.28,1002.1,11907123.0,12228569088.0,3.3,-3.03,-31.37,0.58,BK0945,concept,装配建筑
2020-08-27,1006.24,1019.2,1019.93,1002.06,11495933.0,10306141696.0,1.78,1.41,14.22,0.56,BK0945,concept,装配建筑
2020-08-28,1019.18,1028.68,1029.57,1015.15,12626020.0,12149223168.0,1.41,0.93,9.48,0.62,BK0945,concept,装配建筑
2020-08-31,1035.72,1025.47,1041.92,1025.39,13045128.0,14288666368.0,1.61,-0.31,-3.21,0.64,BK0945,concept,装配建筑
2020-09-01,1023.95,1025.48,1025.48,1014.84,9465931.0,10075560960.0,1.04,0.0,0.01,0.46,BK0945,concept,装配建筑
2020-09-02,1027.78,1027.8,1032.76,1016.81,11697858.0,11605490432.0,1.56,0.23,2.32,0.57,BK0945,concept,装配建筑
2020-09-03,1027.19,1015.48,1027.19,1011.98,11635879.0,11464384768.0,1.48,-1.2,-12.32,0.57,BK0945,concept,装配建筑
2020-09-04,999.84,1014.85,1016.49,996.66,9682024.0,9812214528.0,1.95,-0.06,-0.63,0.47,BK0945,concept,装配建筑
2020-09-07,1015.57,1006.02,1024.24,1001.74,14194092.0,14414782208.0,2.22,-0.87,-8.83,0.69,BK0945,concept,装配建筑
2020-09-08,1007.56,1020.38,1020.38,1000.59,12935909.0,12881518080.0,1.97,1.43,14.36,0.63,BK0945,concept,装配建筑
2020-09-09,1011.14,991.33,1015.63,991.29,13750835.0,12549868800.0,2.39,-2.85,-29.05,0.67,BK0945,concept,装配建筑
2020-09-10,997.16,957.06,999.21,953.82,13037318.0,12092157184.0,4.58,-3.46,-34.27,0.64,BK0945,concept,装配建筑
2020-09-11,954.36,966.57,968.57,950.04,8310088.0,7685840384.0,1.94,0.99,9.51,0.41,BK0945,concept,装配建筑
2020-09-14,971.77,979.42,981.99,969.21,8333621.0,8305955840.0,1.32,1.33,12.85,0.41,BK0945,concept,装配建筑
2020-09-15,981.44,984.23,985.19,974.16,8083664.0,8209360640.0,1.13,0.49,4.81,0.4,BK0945,concept,装配建筑
2020-09-16,984.27,977.05,984.27,971.21,7792919.0,7581580800.0,1.33,-0.73,-7.18,0.38,BK0945,concept,装配建筑
2020-09-17,977.38,980.44,986.71,973.86,7608932.0,7499324672.0,1.32,0.35,3.39,0.37,BK0945,concept,装配建筑
2020-09-18,981.8,1001.26,1001.26,979.14,14591461.0,14974799616.0,2.26,2.12,20.82,0.71,BK0945,concept,装配建筑
2020-09-21,1002.21,997.77,1005.7,995.78,10315471.0,10333579776.0,0.99,-0.35,-3.49,0.5,BK0945,concept,装配建筑
2020-09-22,990.34,979.96,994.28,976.35,8256612.0,8680643072.0,1.8,-1.78,-17.81,0.4,BK0945,concept,装配建筑
2020-09-23,982.5,985.46,988.79,977.11,7129857.0,6985748480.0,1.19,0.56,5.5,0.35,BK0945,concept,装配建筑
2020-09-24,980.25,956.39,980.25,956.29,9058481.0,8653506048.0,2.43,-2.95,-29.07,0.44,BK0945,concept,装配建筑
2020-09-25,957.48,942.67,959.43,937.89,8486955.0,9856467968.0,2.25,-1.43,-13.72,0.41,BK0945,concept,装配建筑
2020-09-28,946.18,936.37,947.82,935.65,7449194.0,8336753152.0,1.29,-0.67,-6.3,0.36,BK0945,concept,装配建筑
2020-09-29,940.39,942.96,948.39,936.4,6945043.0,7393893120.0,1.28,0.7,6.59,0.34,BK0945,concept,装配建筑
2020-09-30,946.32,938.55,948.64,933.35,7301542.0,7255778048.0,1.62,-0.47,-4.41,0.36,BK0945,concept,装配建筑
2020-10-09,952.61,966.63,969.0,952.61,8881479.0,9564457216.0,1.75,2.99,28.08,0.43,BK0945,concept,装配建筑
2020-10-12,976.01,1000.88,1001.14,976.01,12809567.0,12701294080.0,2.6,3.54,34.25,0.63,BK0945,concept,装配建筑
2020-10-13,1000.6,1006.98,1006.98,994.98,9260809.0,10177673728.0,1.2,0.61,6.1,0.45,BK0945,concept,装配建筑
2020-10-14,1007.43,1002.14,1007.62,999.73,9539420.0,10345262592.0,0.78,-0.48,-4.84,0.47,BK0945,concept,装配建筑
2020-10-15,1003.68,990.15,1003.68,989.36,9223234.0,9982346496.0,1.43,-1.2,-11.99,0.45,BK0945,concept,装配建筑
2020-10-16,993.48,996.26,998.15,989.15,8711419.0,9588182016.0,0.91,0.62,6.11,0.43,BK0945,concept,装配建筑
2020-10-19,1001.81,992.48,1005.81,990.41,10983081.0,11504573952.0,1.55,-0.38,-3.78,0.54,BK0945,concept,装配建筑
2020-10-20,991.72,997.0,997.0,984.79,9085299.0,10633843200.0,1.23,0.46,4.52,0.44,BK0945,concept,装配建筑
2020-10-21,998.62,986.43,998.64,982.16,9271255.0,10693750784.0,1.65,-1.06,-10.57,0.45,BK0945,concept,装配建筑
2020-10-22,983.0,983.93,987.28,975.79,8020922.0,10180733440.0,1.16,-0.25,-2.5,0.39,BK0945,concept,装配建筑
2020-10-23,984.77,966.56,987.72,965.15,9223630.0,9943227392.0,2.29,-1.77,-17.37,0.45,BK0945,concept,装配建筑
2020-10-26,965.64,962.07,967.25,956.17,13644393.0,12726095360.0,1.15,-0.46,-4.49,0.67,BK0945,concept,装配建筑
2020-10-27,960.2,965.23,966.28,958.15,11287132.0,12096361984.0,0.85,0.33,3.16,0.55,BK0945,concept,装配建筑
2020-10-28,967.03,967.46,968.38,953.79,11081124.0,12508240640.0,1.51,0.23,2.23,0.54,BK0945,concept,装配建筑
2020-10-29,953.97,967.18,969.85,950.62,10817299.0,12333781504.0,1.99,-0.03,-0.28,0.53,BK0945,concept,装配建筑
2020-10-30,968.52,941.05,970.37,941.05,12828603.0,13715217664.0,3.03,-2.7,-26.13,0.63,BK0945,concept,装配建筑
2020-11-02,942.09,950.15,950.36,939.53,10810574.0,12479594752.0,1.15,0.97,9.1,0.53,BK0945,concept,装配建筑
2020-11-03,953.19,965.25,965.25,951.82,11746991.0,12612824320.0,1.41,1.59,15.1,0.57,BK0945,concept,装配建筑
2020-11-04,966.4,970.1,970.64,959.29,11137307.0,13850508032.0,1.18,0.5,4.85,0.54,BK0945,concept,装配建筑
2020-11-05,976.71,984.68,984.68,972.19,12381006.0,16000440832.0,1.29,1.5,14.58,0.61,BK0945,concept,装配建筑
2020-11-06,985.72,978.64,985.72,973.41,13815931.0,15931807232.0,1.25,-0.61,-6.04,0.68,BK0945,concept,装配建筑
2020-11-09,982.18,993.54,996.62,979.54,16222038.0,18451128832.0,1.75,1.52,14.9,0.79,BK0945,concept,装配建筑
2020-11-10,995.18,983.77,995.87,979.37,12227400.0,15254411776.0,1.66,-0.98,-9.77,0.6,BK0945,concept,装配建筑
2020-11-11,982.8,982.31,993.04,979.15,14616186.0,18350371328.0,1.41,-0.15,-1.46,0.71,BK0945,concept,装配建筑
2020-11-12,981.04,984.51,984.51,977.51,9576314.0,12205153536.0,0.71,0.22,2.2,0.47,BK0945,concept,装配建筑
2020-11-13,981.6,975.9,981.6,971.4,9549834.0,12151776512.0,1.04,-0.87,-8.61,0.47,BK0945,concept,装配建筑
2020-11-16,976.36,984.66,984.66,975.23,10543842.0,13178928640.0,0.97,0.9,8.76,0.52,BK0945,concept,装配建筑
2020-11-17,983.92,978.33,983.92,973.85,11888459.0,16141624320.0,1.02,-0.64,-6.33,0.58,BK0945,concept,装配建筑
2020-11-18,977.06,990.04,993.16,975.21,12337659.0,16080192512.0,1.83,1.2,11.71,0.6,BK0945,concept,装配建筑
2020-11-19,988.25,993.15,993.6,985.2,10444136.0,13134605568.0,0.85,0.31,3.11,0.51,BK0945,concept,装配建筑
2020-11-20,993.58,995.61,996.79,986.32,10802555.0,12244896768.0,1.05,0.25,2.46,0.53,BK0945,concept,装配建筑
2020-11-23,998.57,998.47,1003.98,991.78,13477358.0,15323747328.0,1.23,0.29,2.86,0.66,BK0945,concept,装配建筑
2020-11-24,995.86,999.72,999.98,993.93,11837128.0,13633677312.0,0.61,0.13,1.25,0.58,BK0945,concept,装配建筑
2020-11-25,999.72,983.3,1000.86,983.11,13040175.0,14373271296.0,1.78,-1.64,-16.42,0.64,BK0945,concept,装配建筑
2020-11-26,982.28,977.69,982.95,970.11,9434438.0,11590081792.0,1.31,-0.57,-5.61,0.46,BK0945,concept,装配建筑
2020-11-27,977.94,974.31,980.33,964.56,9264560.0,10816895232.0,1.61,-0.35,-3.38,0.45,BK0945,concept,装配建筑
2020-11-30,974.62,971.97,983.12,971.79,14131888.0,17224616192.0,1.16,-0.24,-2.34,0.69,BK0945,concept,装配建筑
2020-12-01,970.17,981.34,982.66,967.11,10308094.0,12543770624.0,1.6,0.96,9.37,0.5,BK0945,concept,装配建筑
2020-12-02,981.47,979.84,982.32,975.6,10107080.0,12163911680.0,0.68,-0.15,-1.5,0.49,BK0945,concept,装配建筑
2020-12-03,979.38,973.7,979.38,972.55,9513716.0,10459043328.0,0.7,-0.63,-6.14,0.46,BK0945,concept,装配建筑
2020-12-04,973.9,976.18,978.22,970.43,9073484.0,10318782976.0,0.8,0.25,2.48,0.44,BK0945,concept,装配建筑
2020-12-07,976.59,970.68,977.52,970.44,10270480.0,11211870720.0,0.73,-0.56,-5.5,0.5,BK0945,concept,装配建筑
2020-12-08,969.65,967.61,972.27,965.69,8860491.0,9656701696.0,0.68,-0.32,-3.07,0.43,BK0945,concept,装配建筑
2020-12-09,969.54,952.1,971.18,951.96,9123243.0,10297190656.0,1.99,-1.6,-15.51,0.45,BK0945,concept,装配建筑
2020-12-10,949.42,952.03,955.56,945.92,8698683.0,9611190016.0,1.01,-0.01,-0.07,0.43,BK0945,concept,装配建筑
2020-12-11,951.66,932.89,952.23,925.75,10084390.0,10372248832.0,2.78,-2.01,-19.14,0.49,BK0945,concept,装配建筑
2020-12-14,932.93,939.36,939.75,926.4,8348644.0,9244557056.0,1.43,0.69,6.47,0.41,BK0945,concept,装配建筑
2020-12-15,939.07,940.62,941.18,934.86,8670626.0,9668970240.0,0.67,0.13,1.26,0.42,BK0945,concept,装配建筑
2020-12-16,940.89,930.6,940.89,929.27,7613753.0,8842142976.0,1.24,-1.07,-10.02,0.37,BK0945,concept,装配建筑
2020-12-17,928.35,937.27,938.18,916.62,8419350.0,9456957952.0,2.32,0.72,6.67,0.41,BK0945,concept,装配建筑
2020-12-18,936.94,933.18,942.54,930.56,7870607.0,9077458432.0,1.28,-0.44,-4.09,0.38,BK0945,concept,装配建筑
2020-12-21,931.77,931.0,935.48,927.29,8755798.0,9677571072.0,0.88,-0.23,-2.18,0.43,BK0945,concept,装配建筑
2020-12-22,928.48,908.4,928.48,907.66,10264022.0,11519182080.0,2.24,-2.43,-22.6,0.5,BK0945,concept,装配建筑
2020-12-23,909.25,908.66,914.35,904.11,9373540.0,10392372992.0,1.13,0.03,0.26,0.46,BK0945,concept,装配建筑
2020-12-24,908.14,890.15,908.15,887.5,8238620.0,8848608768.0,2.27,-2.04,-18.51,0.4,BK0945,concept,装配建筑
2020-12-25,888.68,896.26,899.06,884.17,8342592.0,8635841280.0,1.67,0.69,6.11,0.41,BK0945,concept,装配建筑
2020-12-28,896.02,885.49,897.3,884.34,8862330.0,10929439488.0,1.45,-1.2,-10.77,0.43,BK0945,concept,装配建筑
2020-12-29,885.7,886.44,891.93,884.49,7481830.0,9185878272.0,0.84,0.11,0.95,0.37,BK0945,concept,装配建筑
2020-12-30,885.26,885.45,888.84,882.33,7402250.0,8397779456.0,0.73,-0.11,-0.99,0.36,BK0945,concept,装配建筑
2020-12-31,887.48,898.19,898.19,887.14,8730199.0,10168822016.0,1.25,1.44,12.74,0.43,BK0945,concept,装配建筑
2021-01-04,898.01,903.98,904.63,894.68,12463864.0,14909418752.0,1.11,0.64,5.79,0.61,BK0945,concept,装配建筑
2021-01-05,902.72,903.13,903.25,895.12,12664595.0,15698739968.0,0.9,-0.09,-0.85,0.62,BK0945,concept,装配建筑
2021-01-06,902.96,901.72,906.66,897.99,13847695.0,19827595776.0,0.96,-0.16,-1.41,0.68,BK0945,concept,装配建筑
2021-01-07,900.65,880.03,900.67,873.99,13641855.0,18381198592.0,2.96,-2.41,-21.69,0.67,BK0945,concept,装配建筑
2021-01-08,877.58,881.93,887.03,862.3,12909813.0,16978656256.0,2.81,0.22,1.9,0.63,BK0945,concept,装配建筑
2021-01-11,881.75,863.7,882.26,861.57,16248997.0,20366212352.0,2.35,-2.07,-18.23,0.79,BK0945,concept,装配建筑
2021-01-12,863.85,869.49,872.08,860.84,11579484.0,15245993472.0,1.3,0.67,5.79,0.57,BK0945,concept,装配建筑
2021-01-13,869.07,865.32,869.72,857.22,17163214.0,19833126912.0,1.44,-0.48,-4.17,0.84,BK0945,concept,装配建筑
2021-01-14,861.17,875.78,881.58,859.55,16824049.0,19037421824.0,2.55,1.21,10.46,0.82,BK0945,concept,装配建筑
2021-01-15,874.83,883.03,887.71,874.53,12553868.0,14831877632.0,1.5,0.83,7.25,0.61,BK0945,concept,装配建筑
2021-01-18,882.97,893.24,893.28,882.21,12063430.0,15788520448.0,1.25,1.16,10.21,0.59,BK0945,concept,装配建筑
2021-01-19,889.99,900.22,906.69,889.94,13312365.0,18256511488.0,1.88,0.78,6.98,0.65,BK0945,concept,装配建筑
2021-01-20,899.32,901.17,901.64,891.71,10275114.0,13740873472.0,1.1,0.11,0.95,0.5,BK0945,concept,装配建筑
2021-01-21,899.46,900.94,905.18,896.71,15325739.0,16264966144.0,0.94,-0.03,-0.23,0.75,BK0945,concept,装配建筑
2021-01-22,898.39,888.67,898.39,887.39,15816143.0,17389296640.0,1.22,-1.36,-12.27,0.77,BK0945,concept,装配建筑
2021-01-25,885.45,871.41,885.48,868.38,14650634.0,18187375360.0,1.92,-1.94,-17.26,0.72,BK0945,concept,装配建筑
2021-01-26,869.31,864.67,875.28,862.49,10264991.0,13377890816.0,1.47,-0.77,-6.74,0.5,BK0945,concept,装配建筑
2021-01-27,863.36,865.28,867.77,861.97,9181966.0,11154301952.0,0.67,0.07,0.61,0.45,BK0945,concept,装配建筑
2021-01-28,860.86,856.13,868.23,855.62,9695628.0,12515746048.0,1.46,-1.06,-9.15,0.47,BK0945,concept,装配建筑
2021-01-29,859.64,840.28,862.22,833.31,10717737.0,13169105152.0,3.38,-1.85,-15.85,0.52,BK0945,concept,装配建筑
2021-02-01,838.94,848.64,848.99,837.43,9517403.0,12039496704.0,1.38,0.99,8.36,0.47,BK0945,concept,装配建筑
2021-02-02,849.78,853.75,855.54,845.09,10827505.0,13052249856.0,1.23,0.6,5.11,0.53,BK0945,concept,装配建筑
2021-02-03,852.92,837.8,852.92,837.2,10062380.0,10625918208.0,1.84,-1.87,-15.95,0.49,BK0945,concept,装配建筑
2021-02-04,833.6,818.6,833.6,812.11,13132060.0,12539597824.0,2.57,-2.29,-19.2,0.64,BK0945,concept,装配建筑
2021-02-05,820.82,820.66,831.74,820.53,11353780.0,12888877056.0,1.37,0.25,2.06,0.55,BK0945,concept,装配建筑
2021-02-08,822.33,825.71,826.16,815.85,9650847.0,12025382912.0,1.26,0.62,5.05,0.47,BK0945,concept,装配建筑
2021-02-09,825.4,838.63,840.48,824.19,9698168.0,11165629952.0,1.97,1.56,12.92,0.47,BK0945,concept,装配建筑
2021-02-10,839.0,841.23,843.37,835.89,8926538.0,10672019968.0,0.89,0.31,2.6,0.44,BK0945,concept,装配建筑
2021-02-18,849.61,861.67,861.73,849.61,12165438.0,14072552960.0,1.44,2.43,20.44,0.59,BK0945,concept,装配建筑
2021-02-19,860.2,888.98,888.98,859.13,14686815.0,16548883200.0,3.46,3.17,27.31,0.72,BK0945,concept,装配建筑
2021-02-22,890.86,896.19,914.44,890.86,18577469.0,20129097728.0,2.65,0.81,7.21,0.91,BK0945,concept,装配建筑
2021-02-23,893.77,887.41,897.91,884.5,12160233.0,14855254272.0,1.5,-0.98,-8.78,0.59,BK0945,concept,装配建筑
2021-02-24,888.24,886.14,895.93,879.43,11528758.0,15141905152.0,1.86,-0.14,-1.27,0.56,BK0945,concept,装配建筑
2021-02-25,890.65,893.5,899.52,884.35,20025899.0,23452783872.0,1.71,0.83,7.36,0.98,BK0945,concept,装配建筑
2021-02-26,879.91,885.73,890.92,879.06,14538902.0,20052242176.0,1.33,-0.87,-7.77,0.71,BK0945,concept,装配建筑
2021-03-01,887.86,900.82,900.82,887.86,12327470.0,15691492352.0,1.46,1.7,15.09,0.6,BK0945,concept,装配建筑
2021-03-02,902.82,895.65,906.0,890.63,12174342.0,15452171264.0,1.71,-0.57,-5.17,0.59,BK0945,concept,装配建筑
2021-03-03,893.16,907.81,907.99,893.16,11166747.0,14470424320.0,1.66,1.36,12.16,0.55,BK0945,concept,装配建筑
2021-03-04,905.32,904.69,911.44,902.15,14201147.0,16172337920.0,1.02,-0.34,-3.12,0.69,BK0945,concept,装配建筑
2021-03-05,900.76,912.27,913.27,900.43,12212207.0,15122621952.0,1.42,0.84,7.58,0.6,BK0945,concept,装配建筑
2021-03-08,917.95,911.27,926.31,909.76,19605381.0,17045643776.0,1.81,-0.11,-1.0,0.96,BK0945,concept,装配建筑
2021-03-09,914.97,904.7,922.28,893.3,19039479.0,18146098432.0,3.18,-0.72,-6.57,0.93,BK0945,concept,装配建筑
2021-03-10,907.73,889.48,908.93,887.07,14600261.0,13608661504.0,2.42,-1.68,-15.22,0.71,BK0945,concept,装配建筑
2021-03-11,887.48,905.9,906.02,886.09,12103710.0,13809297920.0,2.24,1.85,16.42,0.59,BK0945,concept,装配建筑
2021-03-12,903.92,906.37,910.26,897.84,16746563.0,16716335104.0,1.37,0.05,0.47,0.82,BK0945,concept,装配建筑
2021-03-15,904.93,907.42,912.53,900.59,14725374.0,13625598976.0,1.32,0.12,1.05,0.72,BK0945,concept,装配建筑
2021-03-16,908.07,921.97,922.11,906.51,13386774.0,14117237504.0,1.72,1.6,14.55,0.65,BK0945,concept,装配建筑
2021-03-17,919.38,923.34,924.53,917.58,11506656.0,12018117888.0,0.75,0.15,1.37,0.56,BK0945,concept,装配建筑
2021-03-18,922.12,923.23,927.27,920.29,10645465.0,10816397568.0,0.76,-0.01,-0.11,0.52,BK0945,concept,装配建筑
