日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-06-12,995.12,1004.77,1006.99,992.93,7667867.0,5717974105.0,1.41,0.48,4.77,1.43,BK1142,concept,裸眼3D
2023-06-13,999.89,1002.89,1003.21,994.03,7109677.0,4945811865.0,0.91,-0.19,-1.88,1.33,BK1142,concept,裸眼3D
2023-06-14,1001.7,995.64,1005.22,992.03,7019454.0,4803457483.0,1.32,-0.72,-7.25,1.31,BK1142,concept,裸眼3D
2023-06-15,996.61,1006.56,1009.74,996.46,5705868.0,4386928953.0,1.33,1.1,10.92,1.07,BK1142,concept,裸眼3D
2023-06-16,1002.39,1019.08,1019.73,995.58,6206841.0,4804144977.0,2.4,1.24,12.52,1.16,BK1142,concept,裸眼3D
2023-06-19,1018.39,1019.97,1022.2,1014.18,6089045.0,4789431426.0,0.79,0.09,0.89,1.14,BK1142,concept,裸眼3D
2023-06-20,1022.55,1021.19,1025.79,1012.74,5410213.0,4651139080.0,1.28,0.12,1.22,1.01,BK1142,concept,裸眼3D
2023-06-21,1018.62,990.72,1019.17,990.72,6222110.0,4478117410.0,2.79,-2.98,-30.47,1.16,BK1142,concept,裸眼3D
2023-06-26,982.32,949.82,986.69,948.22,6905223.0,4384583942.0,3.88,-4.13,-40.9,1.29,BK1142,concept,裸眼3D
2023-06-27,952.42,967.39,969.15,952.28,5202378.0,3221560403.0,1.78,1.85,17.57,0.97,BK1142,concept,裸眼3D
2023-06-28,968.93,956.84,968.97,933.77,5051524.0,3138268778.0,3.64,-1.09,-10.55,0.94,BK1142,concept,裸眼3D
2023-06-29,955.94,971.05,975.54,955.79,4744784.0,2933026160.0,2.06,1.49,14.21,0.89,BK1142,concept,裸眼3D
2023-06-30,968.31,985.39,987.66,964.85,6872203.0,3942867887.0,2.35,1.48,14.34,1.28,BK1142,concept,裸眼3D
2023-07-03,990.79,983.46,996.88,977.51,7452898.0,4470715713.0,1.97,-0.2,-1.93,1.39,BK1142,concept,裸眼3D
2023-07-04,982.56,989.37,990.93,981.02,3994742.0,2785373067.0,1.01,0.6,5.91,0.75,BK1142,concept,裸眼3D
2023-07-05,990.7,981.97,994.7,980.52,4015371.0,2806308368.0,1.43,-0.75,-7.4,0.75,BK1142,concept,裸眼3D
2023-07-06,978.03,979.75,987.83,971.46,6962471.0,4159849667.0,1.67,-0.23,-2.22,1.3,BK1142,concept,裸眼3D
2023-07-07,976.86,967.33,977.24,959.77,7847839.0,4348695998.0,1.78,-1.27,-12.42,1.47,BK1142,concept,裸眼3D
2023-07-10,968.56,962.02,971.21,958.67,5746828.0,3202975276.0,1.3,-0.55,-5.31,1.07,BK1142,concept,裸眼3D
2023-07-11,961.13,970.55,971.27,960.17,3851288.0,2299675601.0,1.15,0.89,8.53,0.72,BK1142,concept,裸眼3D
