日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-08-02,1000.96,1017.29,1039.39,989.43,56068.0,59237395.57,5.0,1.73,17.29,0.0,BK0590,concept,西部大开发
2010-09-16,1015.38,1018.25,1030.68,985.74,27233.0,28638229.29,4.42,0.09,0.96,0.0,BK0590,concept,西部大开发
2010-11-03,1047.25,1068.63,1068.63,1001.45,763813.0,527193939.22,6.6,4.95,50.38,0.01,BK0590,concept,西部大开发
2010-11-16,1066.53,1122.06,1122.06,1056.05,42295.0,44995342.0,6.18,5.0,53.43,0.0,BK0590,concept,西部大开发
2010-12-07,1119.95,1234.26,1234.26,1076.47,155237.0,260772873.08,14.06,10.0,112.2,0.0,BK0590,concept,西部大开发
2010-12-09,1227.54,1216.95,1251.49,1203.84,266333.0,320809031.52,3.86,-1.4,-17.31,0.0,BK0590,concept,西部大开发
2010-12-10,1211.24,1233.76,1245.04,1200.29,9984302.0,17734341501.5,3.68,1.38,16.81,0.13,BK0590,concept,西部大开发
2010-12-13,1240.07,1271.01,1279.12,1233.83,15891416.0,28695139695.34,3.67,3.02,37.25,0.2,BK0590,concept,西部大开发
2010-12-14,1274.75,1290.1,1302.45,1258.57,16805011.0,30417453423.39,3.45,1.5,19.09,0.22,BK0590,concept,西部大开发
2010-12-15,1291.48,1291.86,1317.91,1273.05,17812140.0,30850924615.12,3.48,0.14,1.76,0.23,BK0590,concept,西部大开发
2010-12-16,1290.43,1288.43,1311.95,1274.11,13123027.0,22431586632.29,2.93,-0.27,-3.43,0.17,BK0590,concept,西部大开发
2010-12-17,1288.38,1292.93,1308.89,1271.66,11313641.0,19829439642.12,2.89,0.35,4.5,0.14,BK0590,concept,西部大开发
2010-12-20,1298.1,1273.55,1314.04,1235.02,16821741.0,29583696158.21,6.11,-1.5,-19.38,0.22,BK0590,concept,西部大开发
2010-12-21,1274.78,1287.33,1300.66,1256.37,14000605.0,24842847125.67,3.48,1.08,13.78,0.18,BK0590,concept,西部大开发
2010-12-22,1287.93,1277.53,1306.78,1263.8,13591360.0,23832815602.01,3.34,-0.76,-9.8,0.17,BK0590,concept,西部大开发
2010-12-23,1274.64,1252.5,1289.81,1242.16,13060106.0,21563344146.32,3.73,-1.96,-25.03,0.17,BK0590,concept,西部大开发
2010-12-24,1246.16,1229.54,1259.55,1211.62,10813084.0,17397246309.32,3.83,-1.83,-22.96,0.14,BK0590,concept,西部大开发
2010-12-27,1229.52,1195.55,1259.07,1184.05,12973563.0,22096613263.0,6.1,-2.76,-33.99,0.17,BK0590,concept,西部大开发
2010-12-28,1188.55,1164.62,1202.78,1147.8,10840791.0,17237719538.77,4.6,-2.59,-30.93,0.14,BK0590,concept,西部大开发
2010-12-29,1166.53,1180.2,1189.41,1152.28,7897763.0,12791297427.62,3.19,1.34,15.58,0.1,BK0590,concept,西部大开发
2010-12-30,1181.52,1188.27,1203.54,1162.95,9130347.0,15630530426.25,3.44,0.68,8.07,0.12,BK0590,concept,西部大开发
2010-12-31,1191.38,1216.52,1224.19,1182.92,10735194.0,20018853045.98,3.47,2.38,28.25,0.14,BK0590,concept,西部大开发
