日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-08-12,989.14,993.08,1008.76,987.21,37751784.0,55472317696.0,2.16,-0.69,-6.92,0.15,BK0718,concept,证金持股
2015-08-13,990.79,1007.83,1008.69,983.35,38799629.0,54402985472.0,2.55,1.49,14.75,0.15,BK0718,concept,证金持股
2015-08-14,1012.08,1010.53,1023.27,1006.27,39642965.0,61575160064.0,1.69,0.27,2.7,0.15,BK0718,concept,证金持股
2015-08-17,1010.04,1012.12,1014.84,999.37,39814044.0,62390084096.0,1.53,0.16,1.59,0.15,BK0718,concept,证金持股
2015-08-18,1017.78,956.36,1020.12,956.14,55032673.0,82025254912.0,6.32,-5.51,-55.76,0.21,BK0718,concept,证金持股
2015-08-19,931.42,962.45,967.16,903.36,49675259.0,69103316992.0,6.67,0.64,6.09,0.19,BK0718,concept,证金持股
2015-08-20,948.02,924.77,957.18,924.05,37870531.0,56830590976.0,3.44,-3.92,-37.68,0.15,BK0718,concept,证金持股
2015-08-21,912.1,884.66,924.46,880.72,35824778.0,54862203904.0,4.73,-4.34,-40.11,0.14,BK0718,concept,证金持股
2015-08-24,850.53,804.69,858.04,798.19,37800640.0,47823377920.0,6.77,-9.04,-79.97,0.15,BK0718,concept,证金持股
2015-08-25,752.18,732.38,780.07,729.14,38224178.0,46421336832.0,6.33,-8.99,-72.31,0.15,BK0718,concept,证金持股
2015-08-26,739.12,714.43,761.11,697.04,57283732.0,67437189888.0,8.75,-2.45,-17.95,0.22,BK0718,concept,证金持股
2015-08-27,728.96,751.18,751.68,704.69,48944494.0,57957849088.0,6.58,5.14,36.75,0.19,BK0718,concept,证金持股
2015-08-28,769.06,800.06,801.05,763.48,54615762.0,67887271168.0,5.0,6.51,48.88,0.21,BK0718,concept,证金持股
2015-08-31,794.14,794.2,794.96,766.02,48090529.0,61426016768.0,3.62,-0.73,-5.86,0.19,BK0718,concept,证金持股
2015-09-01,787.05,790.7,793.11,762.96,46001585.0,55334083584.0,3.8,-0.44,-3.5,0.18,BK0718,concept,证金持股
2015-09-02,753.0,773.78,792.61,747.09,44845143.0,55103321856.0,5.76,-2.14,-16.92,0.17,BK0718,concept,证金持股
2015-09-07,777.28,763.78,800.15,762.62,33826081.0,43155617024.0,4.85,-1.29,-10.0,0.13,BK0718,concept,证金持股
2015-09-08,755.83,784.45,786.51,744.97,30148965.0,37269862144.0,5.44,2.71,20.67,0.12,BK0718,concept,证金持股
2015-09-09,790.08,805.5,810.17,784.18,47083320.0,61464675584.0,3.31,2.68,21.05,0.18,BK0718,concept,证金持股
2015-09-10,791.28,788.58,800.48,784.85,34968249.0,43333580544.0,1.94,-2.1,-16.92,0.13,BK0718,concept,证金持股
2015-09-11,788.11,786.46,797.02,778.44,25420089.0,32188172032.0,2.36,-0.27,-2.12,0.1,BK0718,concept,证金持股
2015-09-14,793.39,759.38,795.53,746.82,36109897.0,42464905472.0,6.19,-3.44,-27.08,0.14,BK0718,concept,证金持股
2015-09-15,744.31,734.43,754.1,729.12,28004183.0,30743740160.0,3.29,-3.29,-24.95,0.11,BK0718,concept,证金持股
2015-09-16,735.17,773.6,781.89,728.79,32916431.0,37009954304.0,7.23,5.33,39.17,0.13,BK0718,concept,证金持股
2015-09-17,769.16,757.11,788.45,757.05,37334284.0,44852174336.0,4.06,-2.13,-16.49,0.14,BK0718,concept,证金持股
2015-09-18,762.37,760.56,767.68,753.88,21929616.0,27614262016.0,1.82,0.46,3.45,0.08,BK0718,concept,证金持股
2015-09-21,759.22,779.72,780.53,755.42,28383398.0,37548294912.0,3.3,2.52,19.16,0.11,BK0718,concept,证金持股
2015-09-22,782.05,791.37,798.54,779.12,34940538.0,44871525120.0,2.49,1.49,11.65,0.13,BK0718,concept,证金持股
2015-09-23,779.56,771.28,785.65,768.97,26884396.0,32603987456.0,2.11,-2.54,-20.09,0.1,BK0718,concept,证金持股
2015-09-24,775.18,779.24,781.9,770.52,26289698.0,31532066304.0,1.48,1.03,7.96,0.1,BK0718,concept,证金持股
2015-09-25,776.87,767.02,783.06,759.03,31278339.0,35227290880.0,3.08,-1.57,-12.22,0.12,BK0718,concept,证金持股
2015-09-28,764.68,767.58,769.82,749.92,23488907.0,26366545152.0,2.59,0.07,0.56,0.09,BK0718,concept,证金持股
2015-09-29,754.44,748.98,758.38,745.79,21505668.0,25137116160.0,1.64,-2.42,-18.6,0.08,BK0718,concept,证金持股
2015-09-30,753.89,752.48,757.76,749.21,18409958.0,25360782336.0,1.14,0.47,3.5,0.07,BK0718,concept,证金持股
2015-10-08,786.85,780.56,788.77,778.2,29535033.0,37634714112.0,1.4,3.73,28.08,0.11,BK0718,concept,证金持股
2015-10-09,783.22,795.96,796.84,780.62,31251888.0,39069185536.0,2.08,1.97,15.4,0.12,BK0718,concept,证金持股
2015-10-12,798.72,826.05,832.9,796.47,47640660.0,62225547776.0,4.58,3.78,30.09,0.18,BK0718,concept,证金持股
2015-10-13,820.03,824.64,826.84,816.01,38380895.0,51238815232.0,1.31,-0.17,-1.41,0.15,BK0718,concept,证金持股
2015-10-14,822.5,820.14,830.37,816.48,37874301.0,50413237504.0,1.68,-0.55,-4.5,0.15,BK0718,concept,证金持股
2015-10-15,818.85,838.55,839.43,818.23,42424223.0,59937897472.0,2.58,2.24,18.41,0.16,BK0718,concept,证金持股
