日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-11-04,998.35,1032.03,1034.04,995.78,6053096.0,10782246144.0,3.83,3.2,32.03,1.91,BK1026,concept,调味品概念
2021-11-05,1031.82,1014.67,1039.79,1012.95,5297356.0,8922271232.0,2.6,-1.68,-17.36,1.67,BK1026,concept,调味品概念
2021-11-08,1009.53,996.78,1009.53,994.82,3881230.0,6362726400.0,1.45,-1.76,-17.89,1.23,BK1026,concept,调味品概念
2021-11-09,996.37,1000.4,1001.04,991.28,3846471.0,6132327424.0,0.98,0.36,3.62,1.22,BK1026,concept,调味品概念
2021-11-10,996.4,992.7,999.79,979.04,3441518.0,5892367872.0,2.07,-0.77,-7.7,1.09,BK1026,concept,调味品概念
2021-11-11,988.28,998.95,1000.64,986.02,3775998.0,6260629760.0,1.47,0.63,6.25,1.19,BK1026,concept,调味品概念
2021-11-12,998.3,1006.58,1011.6,995.16,4275633.0,6838391808.0,1.65,0.76,7.63,1.35,BK1026,concept,调味品概念
2021-11-15,1009.64,1027.83,1030.0,1009.23,4749015.0,8414800128.0,2.06,2.11,21.25,1.5,BK1026,concept,调味品概念
2021-11-16,1026.88,1016.58,1028.94,1014.73,4603060.0,7641796608.0,1.38,-1.09,-11.25,1.45,BK1026,concept,调味品概念
2021-11-17,1015.71,1017.94,1018.0,1007.52,3403926.0,5852035072.0,1.03,0.13,1.36,1.08,BK1026,concept,调味品概念
2021-11-18,1019.89,1015.53,1021.54,1013.97,3707012.0,5878793472.0,0.74,-0.24,-2.41,1.17,BK1026,concept,调味品概念
2021-11-19,1011.61,1017.81,1017.85,1008.32,4192549.0,6712679168.0,0.94,0.22,2.28,1.32,BK1026,concept,调味品概念
2021-11-22,1014.99,1024.15,1024.75,1012.63,3558698.0,6304894464.0,1.19,0.62,6.34,1.12,BK1026,concept,调味品概念
2021-11-23,1022.85,1037.5,1040.02,1021.91,3734706.0,6613218048.0,1.77,1.3,13.35,1.18,BK1026,concept,调味品概念
2021-11-24,1035.79,1034.11,1037.91,1024.27,3448908.0,6242957312.0,1.31,-0.33,-3.39,1.09,BK1026,concept,调味品概念
2021-11-25,1034.12,1029.0,1034.12,1025.31,4070360.0,6101787648.0,0.85,-0.49,-5.11,1.29,BK1026,concept,调味品概念
2021-11-26,1027.58,1019.43,1032.01,1017.08,3527648.0,5685042432.0,1.45,-0.93,-9.57,1.11,BK1026,concept,调味品概念
2021-11-29,1008.82,1019.44,1024.02,1007.5,3783273.0,6192082944.0,1.62,0.0,0.01,1.2,BK1026,concept,调味品概念
2021-11-30,1019.21,1018.41,1025.56,1014.49,3043526.0,5245331712.0,1.09,-0.1,-1.03,0.96,BK1026,concept,调味品概念
2021-12-01,1015.27,1030.06,1030.72,1014.64,3626539.0,6498722048.0,1.58,1.14,11.65,1.15,BK1026,concept,调味品概念
2021-12-02,1030.88,1014.8,1034.85,1014.45,3452680.0,6014127104.0,1.98,-1.48,-15.26,1.09,BK1026,concept,调味品概念
2021-12-03,1017.24,1017.66,1018.88,1008.13,3030800.0,5577346560.0,1.06,0.28,2.86,0.96,BK1026,concept,调味品概念
2021-12-06,1018.66,1015.81,1021.86,1008.83,3886220.0,7106288640.0,1.28,-0.18,-1.85,1.23,BK1026,concept,调味品概念
2021-12-07,1019.23,1027.24,1027.24,1015.1,3980829.0,7384079616.0,1.2,1.13,11.43,1.26,BK1026,concept,调味品概念
2021-12-08,1027.52,1036.5,1036.5,1020.17,3547704.0,7033103872.0,1.59,0.9,9.26,1.12,BK1026,concept,调味品概念
2021-12-09,1038.08,1049.59,1054.48,1036.05,4755205.0,11253049856.0,1.78,1.26,13.09,1.5,BK1026,concept,调味品概念
2021-12-10,1044.05,1051.6,1055.53,1042.85,4509904.0,11138183424.0,1.21,0.19,2.01,1.42,BK1026,concept,调味品概念
2021-12-13,1054.81,1049.06,1057.89,1047.29,4064630.0,8845449984.0,1.01,-0.24,-2.54,1.28,BK1026,concept,调味品概念
2021-12-14,1044.21,1050.15,1054.87,1042.36,3719285.0,7899303168.0,1.19,0.1,1.09,1.17,BK1026,concept,调味品概念
2021-12-15,1050.36,1035.23,1050.36,1034.6,3549589.0,7441403392.0,1.5,-1.42,-14.92,1.12,BK1026,concept,调味品概念
2021-12-16,1036.84,1039.13,1041.56,1026.61,3374174.0,6441133568.0,1.44,0.38,3.9,1.07,BK1026,concept,调味品概念
2021-12-17,1039.79,1032.44,1041.44,1030.92,3018086.0,5352368896.0,1.01,-0.64,-6.69,0.95,BK1026,concept,调味品概念
2021-12-20,1030.84,1018.02,1036.33,1016.86,3461413.0,5738417920.0,1.89,-1.4,-14.42,1.09,BK1026,concept,调味品概念
