日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2024-11-27,973.36,1091.53,1092.01,969.02,18989505.0,20196669970.0,12.3,9.15,91.53,2.93,BK1183,concept,谷子经济
2024-11-28,1114.83,1093.97,1154.75,1092.04,49926120.0,53071072180.0,5.75,0.22,2.44,7.71,BK1183,concept,谷子经济
2024-11-29,1077.01,1082.35,1103.74,1055.72,44251758.0,42244887607.0,4.39,-1.06,-11.62,6.84,BK1183,concept,谷子经济
2024-12-02,1075.44,1111.38,1118.04,1074.95,41498894.0,40850856263.0,3.98,2.68,29.03,6.41,BK1183,concept,谷子经济
2024-12-03,1103.69,1091.23,1118.38,1084.56,41243466.0,41525932194.0,3.04,-1.81,-20.15,6.37,BK1183,concept,谷子经济
2024-12-04,1072.93,1040.2,1075.48,1033.07,33971176.0,33614728368.0,3.89,-4.68,-51.03,5.25,BK1183,concept,谷子经济
2024-12-05,1034.41,1070.39,1071.07,1034.41,34483821.0,35730143638.0,3.52,2.9,30.19,5.33,BK1183,concept,谷子经济
2024-12-06,1074.0,1084.34,1095.13,1060.9,40260568.0,41686073741.0,3.2,1.3,13.95,6.22,BK1183,concept,谷子经济
2024-12-09,1084.27,1078.91,1087.61,1063.36,29637801.0,31858043515.0,2.24,-0.5,-5.43,4.58,BK1183,concept,谷子经济
2024-12-10,1110.34,1100.93,1126.7,1091.32,42954195.0,44966606556.0,3.28,2.04,22.02,6.63,BK1183,concept,谷子经济
2024-12-11,1091.02,1116.53,1118.75,1091.02,41476247.0,41493903340.0,2.52,1.42,15.6,6.41,BK1183,concept,谷子经济
2024-12-12,1121.13,1134.27,1136.99,1107.67,44681255.0,45146060241.0,2.63,1.59,17.74,6.9,BK1183,concept,谷子经济
2024-12-13,1122.94,1169.67,1192.33,1122.5,53564001.0,57701963638.0,6.16,3.12,35.4,8.27,BK1183,concept,谷子经济
2024-12-16,1178.59,1156.58,1181.52,1144.24,47235579.0,52155525312.0,3.19,-1.12,-13.09,7.3,BK1183,concept,谷子经济
2024-12-17,1138.88,1076.45,1141.63,1073.72,37120638.0,35878142794.0,5.87,-6.93,-80.13,5.73,BK1183,concept,谷子经济
2024-12-18,1062.31,1076.9,1088.94,1050.33,33267932.0,33150759172.0,3.59,0.04,0.45,5.14,BK1183,concept,谷子经济
2024-12-19,1057.46,1072.69,1076.56,1037.68,29072097.0,28938711618.0,3.61,-0.39,-4.21,4.49,BK1183,concept,谷子经济
2024-12-20,1070.22,1078.1,1093.91,1070.22,26461853.0,27049104989.0,2.21,0.5,5.41,4.09,BK1183,concept,谷子经济
2024-12-23,1071.59,1008.15,1072.55,1008.02,30052901.0,28874784294.0,5.99,-6.49,-69.95,4.64,BK1183,concept,谷子经济
2024-12-24,1008.2,1010.18,1012.66,986.11,22059717.0,20221852436.0,2.63,0.2,2.03,3.41,BK1183,concept,谷子经济
2024-12-25,1003.22,979.93,1003.43,962.15,20345366.0,18054419541.0,4.09,-2.99,-30.25,3.14,BK1183,concept,谷子经济
2024-12-26,978.45,994.03,1001.97,978.45,15913906.0,15097397329.0,2.4,1.44,14.1,2.46,BK1183,concept,谷子经济
2024-12-27,992.15,996.23,1011.99,984.4,19258691.0,18489534136.0,2.78,0.22,2.2,2.97,BK1183,concept,谷子经济
2024-12-30,993.09,979.89,993.09,967.24,16201258.0,14699139389.0,2.59,-1.64,-16.34,2.5,BK1183,concept,谷子经济
2024-12-31,981.12,954.04,986.3,954.04,17318126.0,15819625097.0,3.29,-2.64,-25.85,2.68,BK1183,concept,谷子经济
2025-01-02,955.08,953.31,979.46,942.85,17992127.0,16852895661.0,3.84,-0.08,-0.73,2.78,BK1183,concept,谷子经济
2025-01-03,958.82,901.59,962.93,899.71,19191919.0,16997832824.0,6.63,-5.43,-51.72,2.96,BK1183,concept,谷子经济
2025-01-06,893.17,882.04,901.07,869.8,13795772.0,12038325458.0,3.47,-2.17,-19.55,2.13,BK1183,concept,谷子经济
2025-01-07,886.16,909.63,909.95,883.21,15496013.0,12886852069.0,3.03,3.13,27.59,2.39,BK1183,concept,谷子经济
2025-01-08,905.06,920.31,924.71,886.4,19514303.0,16504719932.0,4.21,1.17,10.68,3.01,BK1183,concept,谷子经济
2025-01-09,914.83,930.5,935.84,914.09,20736430.0,17828465900.0,2.36,1.11,10.19,3.2,BK1183,concept,谷子经济
2025-01-10,931.96,897.29,945.53,897.29,22186022.0,18008544377.0,5.18,-3.57,-33.21,3.43,BK1183,concept,谷子经济
2025-01-13,876.56,890.4,894.43,862.86,16171188.0,12983084114.0,3.52,-0.77,-6.89,2.5,BK1183,concept,谷子经济
2025-01-14,904.96,949.65,949.65,900.38,23816486.0,20571950683.0,5.53,6.65,59.25,3.68,BK1183,concept,谷子经济
2025-01-15,955.13,968.0,981.57,955.13,28619262.0,27497425347.0,2.78,1.93,18.35,4.42,BK1183,concept,谷子经济
2025-01-16,966.15,975.01,989.92,960.51,25532194.0,24226143061.0,3.04,0.72,7.01,3.94,BK1183,concept,谷子经济
2025-01-17,969.1,956.81,970.8,956.81,19682626.0,18107768440.0,1.43,-1.87,-18.2,3.04,BK1183,concept,谷子经济
2025-01-20,965.43,967.29,977.79,956.52,20456966.0,19363322740.0,2.22,1.1,10.48,3.16,BK1183,concept,谷子经济
2025-01-21,973.7,976.62,984.25,959.96,22736055.0,20909214870.0,2.51,0.96,9.33,3.51,BK1183,concept,谷子经济
2025-01-22,967.37,948.33,967.37,944.11,18378291.0,16672569133.0,2.38,-2.9,-28.29,2.84,BK1183,concept,谷子经济
2025-01-23,960.01,946.37,972.36,946.37,18734116.0,18029908323.0,2.74,-0.21,-1.96,2.89,BK1183,concept,谷子经济
2025-01-24,943.87,970.06,970.12,937.82,20284866.0,19643086819.0,3.41,2.5,23.69,3.13,BK1183,concept,谷子经济
2025-01-27,977.08,955.76,981.28,955.76,19228403.0,18540333559.0,2.63,-1.47,-14.3,2.97,BK1183,concept,谷子经济
2025-02-05,973.02,971.28,978.03,961.87,22651901.0,23165848199.0,1.69,1.62,15.52,3.5,BK1183,concept,谷子经济
2025-02-06,969.98,1004.93,1004.99,966.58,29410603.0,30578948144.0,3.95,3.46,33.65,4.54,BK1183,concept,谷子经济
2025-02-07,1002.61,1012.79,1026.47,994.0,33904874.0,35340866734.0,3.23,0.78,7.86,5.24,BK1183,concept,谷子经济
2025-02-10,1016.68,1047.82,1047.96,1016.61,33300581.0,34957932722.0,3.1,3.46,35.03,5.14,BK1183,concept,谷子经济
2025-02-11,1050.37,1071.38,1077.59,1043.96,35750287.0,40303732492.0,3.21,2.25,23.56,5.52,BK1183,concept,谷子经济
2025-02-12,1069.0,1092.12,1095.96,1067.07,36313034.0,42890585607.0,2.7,1.94,20.74,5.61,BK1183,concept,谷子经济
2025-02-13,1094.98,1099.2,1119.32,1074.44,46208208.0,50294598986.0,4.11,0.65,7.08,7.14,BK1183,concept,谷子经济
