日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2024-07-03,1005.25,969.65,1011.32,969.61,11026149.0,12360505675.0,4.17,-3.04,-30.35,3.98,BK1176,concept,财税数字化
2024-07-04,948.55,935.35,961.81,933.5,8567948.0,8874001995.0,2.92,-3.54,-34.3,3.09,BK1176,concept,财税数字化
2024-07-05,930.84,955.39,967.68,919.84,8357103.0,8436220705.0,5.11,2.14,20.04,3.01,BK1176,concept,财税数字化
2024-07-08,941.23,920.25,941.41,917.64,6754400.0,7485730074.0,2.49,-3.68,-35.14,2.44,BK1176,concept,财税数字化
2024-07-09,914.24,933.01,936.39,890.31,7141204.0,7949775725.0,5.01,1.39,12.76,2.58,BK1176,concept,财税数字化
2024-07-10,925.1,929.6,948.46,920.18,5967028.0,6838150418.0,3.03,-0.37,-3.41,2.15,BK1176,concept,财税数字化
2024-07-11,943.1,953.36,956.66,936.83,6587323.0,7773676714.0,2.13,2.56,23.76,2.38,BK1176,concept,财税数字化
2024-07-12,946.86,944.28,965.18,943.11,5817780.0,7181141012.0,2.31,-0.95,-9.08,2.1,BK1176,concept,财税数字化
2024-07-15,935.73,921.31,935.73,917.63,4982136.0,5759861236.0,1.92,-2.43,-22.97,1.8,BK1176,concept,财税数字化
2024-07-16,913.89,926.45,928.26,908.95,4501081.0,6192322132.0,2.1,0.56,5.14,1.62,BK1176,concept,财税数字化
2024-07-17,922.51,909.01,927.94,908.98,4266017.0,5275945456.0,2.05,-1.88,-17.44,1.54,BK1176,concept,财税数字化
2024-07-18,901.88,910.59,913.37,881.49,5893030.0,6504368917.0,3.51,0.17,1.58,2.13,BK1176,concept,财税数字化
2024-07-19,907.5,919.97,929.36,906.27,6248516.0,7328227105.0,2.54,1.03,9.38,2.25,BK1176,concept,财税数字化
2024-07-22,930.41,933.85,941.91,924.3,6951531.0,9683484598.0,1.91,1.51,13.88,2.51,BK1176,concept,财税数字化
2024-07-23,927.3,913.05,933.13,912.94,5801427.0,7266345633.0,2.16,-2.23,-20.8,2.09,BK1176,concept,财税数字化
2024-07-24,907.02,889.78,912.98,888.36,4760473.0,5588656786.0,2.7,-2.55,-23.27,1.72,BK1176,concept,财税数字化
2024-07-25,880.43,888.8,900.22,876.96,3861211.0,4502479149.0,2.61,-0.11,-0.98,1.39,BK1176,concept,财税数字化
2024-07-26,888.77,899.61,903.23,888.77,4180409.0,4269798601.0,1.63,1.22,10.81,1.51,BK1176,concept,财税数字化
