日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2017-03-23,999.27,998.55,1000.62,992.63,6138901.0,8115389952.0,0.8,-0.15,-1.45,0.53,BK0812,concept,贬值受益
2017-03-24,995.5,998.17,999.39,991.06,5782958.0,6868527104.0,0.83,-0.04,-0.38,0.49,BK0812,concept,贬值受益
2017-03-27,1000.29,1003.53,1005.62,999.12,6742707.0,8974153984.0,0.65,0.54,5.36,0.58,BK0812,concept,贬值受益
2017-03-28,1001.15,998.78,1001.7,996.97,5388629.0,7185460224.0,0.47,-0.47,-4.75,0.46,BK0812,concept,贬值受益
2017-03-29,999.88,998.95,1003.23,994.19,5895035.0,8647792896.0,0.91,0.02,0.17,0.5,BK0812,concept,贬值受益
2017-03-30,997.17,976.43,997.47,972.7,6972237.0,8367079680.0,2.48,-2.25,-22.52,0.6,BK0812,concept,贬值受益
2017-03-31,974.3,976.81,979.53,972.09,4873797.0,5603397888.0,0.76,0.04,0.38,0.42,BK0812,concept,贬值受益
2017-04-05,979.84,990.78,990.78,979.84,5912437.0,6370590976.0,1.12,1.43,13.97,0.51,BK0812,concept,贬值受益
2017-04-06,991.37,997.3,999.66,988.37,6047257.0,6691100160.0,1.14,0.66,6.52,0.52,BK0812,concept,贬值受益
2017-04-07,997.14,1011.06,1015.18,996.27,11217042.0,10683396864.0,1.9,1.38,13.76,0.96,BK0812,concept,贬值受益
2017-04-10,1003.78,1003.45,1007.05,1001.14,7186998.0,7864197632.0,0.58,-0.75,-7.61,0.61,BK0812,concept,贬值受益
2017-04-11,1000.22,1011.93,1012.82,998.2,10886658.0,11943052544.0,1.46,0.85,8.48,0.93,BK0812,concept,贬值受益
2017-04-12,1016.54,1008.05,1018.39,1005.37,9209346.0,9859785984.0,1.29,-0.38,-3.88,0.79,BK0812,concept,贬值受益
2017-04-13,1011.28,1010.45,1013.38,1008.22,5634377.0,6282536704.0,0.51,0.24,2.4,0.48,BK0812,concept,贬值受益
